Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.34,14.34,14.34,14.34,100,14.34
2016-03-10,14.20,14.49,14.20,14.49,600,14.432
2016-03-09,13.97,14.40,13.97,14.40,6800,14.34236
2016-03-08,14.18,14.18,14.09,14.13,2500,14.073441
2016-03-07,13.94,14.14,13.94,14.04,2400,13.983801
2016-03-04,14.04,14.04,14.04,14.04,4800,13.983801
2016-03-03,14.00,14.07,13.94,13.94,5800,13.884201
2016-03-02,14.31,14.31,13.95,13.97,12200,13.914082
2016-03-01,14.50,14.50,14.32,14.40,2000,14.34236
2016-02-29,14.55,14.55,14.40,14.54,2500,14.4818
2016-02-26,14.43,14.43,14.36,14.37,6100,14.31248
2016-02-25,14.42,14.42,14.29,14.42,4600,14.36228
2016-02-24,14.43,14.45,14.43,14.44,800,14.3822
2016-02-23,14.30,14.38,14.30,14.38,1500,14.322441
2016-02-22,14.40,14.47,14.28,14.28,7000,14.22284
2016-02-19,14.27,14.27,14.27,14.27,1200,14.212881
2016-02-18,14.25,14.25,14.25,14.25,000,14.192961
2016-02-17,14.27,14.27,14.25,14.25,300,14.192961
2016-02-16,14.38,14.42,14.16,14.27,8500,14.212881
2016-02-12,14.35,14.45,14.35,14.36,9700,14.30252
2016-02-11,14.46,14.46,13.95,14.40,6400,14.34236
2016-02-10,14.02,14.11,14.01,14.01,6700,13.896154
2016-02-09,14.50,14.50,14.20,14.20,2300,14.084609
2016-02-08,14.20,14.44,14.10,14.36,15900,14.243309
2016-02-05,14.20,14.20,13.95,14.05,2200,13.935829
2016-02-04,14.08,14.09,14.08,14.08,4200,13.965585
2016-02-03,13.83,14.00,13.83,14.00,6400,13.886235
2016-02-02,14.25,14.25,13.77,13.77,1000,13.658104
2016-02-01,14.00,14.18,14.00,14.18,15800,14.064772
2016-01-29,13.95,13.99,13.80,13.96,15000,13.84656
2016-01-28,13.86,13.86,13.55,13.81,16900,13.697779
2016-01-27,13.54,13.62,13.49,13.62,1500,13.509323
2016-01-26,13.48,13.71,13.47,13.50,4700,13.390298
2016-01-25,13.51,13.51,13.51,13.51,1000,13.400217
