Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.45,14.45,14.45,14.45,000,14.45
2016-03-10,14.45,14.45,14.45,14.45,000,14.45
2016-03-09,14.43,14.45,14.43,14.45,1300,14.45
2016-03-08,14.24,14.24,14.24,14.24,000,14.24
2016-03-07,14.25,14.25,14.24,14.24,1600,14.24
2016-03-04,14.24,14.41,14.24,14.41,3000,14.41
2016-03-03,14.29,14.30,14.29,14.30,2700,14.30
2016-03-02,14.25,14.29,14.19,14.29,2700,14.29
2016-03-01,14.45,14.45,14.44,14.44,900,14.44
2016-02-29,14.45,14.45,14.34,14.34,700,14.34
2016-02-26,14.45,14.45,14.45,14.45,000,14.45
2016-02-25,14.47,14.47,14.45,14.45,1000,14.45
2016-02-24,14.22,14.44,14.22,14.44,1100,14.44
2016-02-23,14.12,14.12,14.12,14.12,000,14.12
2016-02-22,14.12,14.12,14.12,14.12,200,14.12
2016-02-19,14.74,14.74,14.16,14.16,6400,14.16
2016-02-18,14.73,14.73,14.40,14.40,10100,14.40
2016-02-17,14.50,14.50,14.50,14.50,300,14.441
2016-02-16,14.42,14.42,14.42,14.42,000,14.361326
2016-02-12,15.00,15.00,14.33,14.42,12600,14.361326
2016-02-11,14.52,14.52,14.52,14.52,000,14.460919
2016-02-10,14.52,14.52,14.52,14.52,1000,14.460919
2016-02-09,14.29,14.51,14.29,14.50,1400,14.441
2016-02-08,14.61,14.65,14.60,14.60,5500,14.540593
2016-02-05,14.49,14.49,14.49,14.49,1000,14.43104
2016-02-04,13.96,14.61,13.96,14.61,19000,14.550552
2016-02-03,14.16,14.16,14.16,14.16,1100,14.102383
2016-02-02,14.13,14.59,14.13,14.16,2500,14.102383
2016-02-01,14.13,14.13,14.13,14.13,000,14.072506
2016-01-29,14.18,14.18,14.05,14.13,1700,14.072506
2016-01-28,13.89,14.14,13.81,14.14,4900,14.082465
2016-01-27,13.85,13.85,13.80,13.83,1100,13.773726
2016-01-26,13.84,13.89,13.79,13.89,1500,13.833482
2016-01-25,13.77,13.89,13.72,13.88,5700,13.823523
2016-01-22,13.85,13.85,13.72,13.77,5000,13.713971
2016-01-21,13.77,13.79,13.76,13.76,4400,13.704011
2016-01-20,13.68,13.85,13.66,13.82,10300,13.763767
2016-01-19,13.79,13.86,13.72,13.86,8200,13.744844
2016-01-15,13.83,13.83,13.83,13.83,3800,13.715094
2016-01-14,13.70,13.87,13.70,13.87,4600,13.754761
2016-01-13,13.79,13.79,13.75,13.75,3300,13.635759
2016-01-12,13.83,13.84,13.63,13.70,4400,13.586174
2016-01-11,13.70,13.75,13.67,13.75,1700,13.635759
2016-01-08,13.70,13.70,13.70,13.70,1000,13.586174
2016-01-07,13.83,13.83,13.75,13.83,2300,13.715094
2016-01-06,13.83,13.83,13.79,13.83,1000,13.715094
2016-01-05,13.83,13.83,13.83,13.83,400,13.715094
2016-01-04,13.76,13.85,13.72,13.83,2300,13.715094
2015-12-31,13.85,13.85,13.85,13.85,000,13.734928
2015-12-30,13.98,13.98,13.85,13.85,1800,13.734928
2015-12-29,14.06,14.06,13.68,13.89,4500,13.774596
2015-12-28,13.95,13.95,13.95,13.95,000,13.834097
2015-12-24,13.95,13.95,13.95,13.95,200,13.834097
2015-12-23,13.72,13.84,13.62,13.82,4700,13.705177
2015-12-22,13.58,13.65,13.56,13.60,1400,13.487005
2015-12-21,13.44,13.62,13.40,13.45,5700,13.338251
2015-12-18,13.52,13.61,13.52,13.61,400,13.431469
2015-12-17,13.47,13.63,13.47,13.51,500,13.332781
2015-12-16,13.34,13.34,13.31,13.33,6000,13.155142
2015-12-15,13.36,13.52,13.30,13.30,2400,13.125536
2015-12-14,13.44,13.75,13.18,13.18,4500,13.00711
2015-12-11,13.61,13.61,13.28,13.28,5300,13.105798
2015-12-10,13.32,13.43,13.32,13.41,1700,13.234093
2015-12-09,13.26,13.34,13.26,13.34,1800,13.165011
2015-12-08,13.26,13.26,13.24,13.24,1600,13.066323
