Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.39,14.39,14.36,14.37,38000,14.37
2016-03-10,14.34,14.44,14.34,14.43,62300,14.361
2016-03-09,14.31,14.37,14.31,14.35,36700,14.281383
2016-03-08,14.37,14.39,14.30,14.30,21800,14.231622
2016-03-07,14.25,14.31,14.25,14.30,35600,14.231622
2016-03-04,14.30,14.31,14.25,14.25,61600,14.18186
2016-03-03,14.24,14.30,14.21,14.30,38600,14.231622
2016-03-02,14.13,14.20,14.13,14.18,19900,14.112195
2016-03-01,14.24,14.27,14.13,14.13,54200,14.062434
2016-02-29,14.13,14.20,14.10,14.20,36200,14.132099
2016-02-26,14.14,14.20,14.11,14.11,28700,14.04253
2016-02-25,14.19,14.23,14.14,14.14,37700,14.072387
2016-02-24,14.16,14.20,14.12,14.18,48800,14.112195
2016-02-23,14.09,14.16,14.05,14.16,32600,14.092291
2016-02-22,14.11,14.13,14.05,14.07,41900,14.002721
2016-02-19,14.12,14.16,14.09,14.09,76600,14.022626
2016-02-18,14.13,14.19,14.13,14.19,25400,14.122147
2016-02-17,14.09,14.13,14.07,14.08,34100,14.012673
2016-02-16,14.22,14.22,14.08,14.10,43300,14.032578
2016-02-12,14.34,14.39,14.21,14.23,48000,14.161956
2016-02-11,14.44,14.44,14.33,14.33,124500,14.261478
2016-02-10,14.43,14.44,14.39,14.42,31200,14.282378
2016-02-09,14.42,14.42,14.35,14.40,35000,14.262568
2016-02-08,14.39,14.43,14.35,14.40,57600,14.262568
2016-02-05,14.36,14.40,14.30,14.40,69400,14.262568
2016-02-04,14.34,14.37,14.28,14.36,66400,14.22295
2016-02-03,14.18,14.40,14.18,14.32,103700,14.183332
2016-02-02,14.20,14.28,14.18,14.18,40800,14.044669
2016-02-01,14.21,14.24,14.17,14.21,41800,14.074382
2016-01-29,14.07,14.20,14.06,14.20,71700,14.064477
2016-01-28,13.91,14.05,13.91,14.05,28100,13.915909
2016-01-27,13.95,14.00,13.89,13.89,57700,13.757436
2016-01-26,13.91,14.01,13.86,13.92,109800,13.78715
2016-01-25,13.96,14.00,13.90,13.90,31200,13.76734
2016-01-22,13.86,13.98,13.86,13.91,31200,13.777245
2016-01-21,13.85,13.92,13.81,13.85,69100,13.717818
2016-01-20,13.92,13.92,13.80,13.83,63700,13.698009
2016-01-19,14.06,14.06,13.90,13.92,41100,13.78715
2016-01-15,13.97,14.04,13.96,14.04,31900,13.906005
2016-01-14,13.93,13.98,13.90,13.95,57700,13.816863
2016-01-13,14.08,14.08,13.94,13.96,24500,13.826768
2016-01-12,14.10,14.13,14.09,14.10,31600,13.897091
2016-01-11,14.21,14.21,14.01,14.10,132300,13.897091
2016-01-08,14.15,14.21,14.11,14.21,30500,14.005507
2016-01-07,14.12,14.22,14.12,14.18,36600,13.975939
2016-01-06,14.09,14.20,14.09,14.16,51200,13.956227
