Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.75,5.91,5.75,5.86,6400,5.86
2016-03-10,5.562,5.77,5.555,5.61,4100,5.61
2016-03-09,5.30,5.84,5.165,5.50,34200,5.50
2016-03-08,5.15,5.37,5.13,5.37,5600,5.37
2016-03-07,5.00,5.23,5.00,5.21,11000,5.21
2016-03-04,5.50,5.63,4.55,4.66,24500,4.66
2016-03-03,6.19,6.20,5.30,5.39,18900,5.39
2016-03-02,6.05,6.34,6.05,6.20,7700,6.20
2016-03-01,6.02,6.29,6.02,6.17,18600,6.17
2016-02-29,6.10,6.26,6.02,6.02,3800,6.02
2016-02-26,6.20,6.29,6.08,6.25,7000,6.25
2016-02-25,6.14,6.647,6.13,6.20,26500,6.20
2016-02-24,6.05,6.15,6.00,6.15,1700,6.15
2016-02-23,6.12,6.15,6.12,6.15,1000,6.15
2016-02-22,6.258,6.26,6.00,6.12,7500,6.12
2016-02-19,5.89,6.20,5.89,6.20,6000,6.20
2016-02-18,5.78,5.81,5.74,5.81,2300,5.81
2016-02-17,5.50,5.66,5.46,5.65,49700,5.65
2016-02-16,5.55,5.80,5.535,5.55,53300,5.55
2016-02-12,5.64,5.79,5.60,5.65,107200,5.65
2016-02-11,5.77,5.825,5.52,5.67,30700,5.67
2016-02-10,5.89,6.00,5.70,5.77,61800,5.77
2016-02-09,6.10,6.10,5.86,5.86,3400,5.86
2016-02-08,6.13,6.13,5.89,6.08,3000,6.08
2016-02-05,6.23,6.25,6.19,6.19,500,6.19
2016-02-04,6.24,6.24,6.13,6.20,7300,6.20
2016-02-03,6.29,6.29,6.115,6.23,1700,6.23
2016-02-02,6.092,6.24,6.092,6.15,3200,6.15
2016-02-01,6.27,6.27,6.13,6.13,400,6.13
2016-01-29,6.24,6.26,6.13,6.13,4400,6.13
2016-01-28,6.121,6.31,6.09,6.11,10800,6.11
2016-01-27,6.165,6.31,6.139,6.21,8600,6.21
2016-01-26,6.077,6.29,6.07,6.25,10500,6.25
2016-01-25,6.03,6.18,6.03,6.18,5600,6.18
2016-01-22,6.18,6.30,6.03,6.20,4000,6.20
2016-01-21,6.15,6.18,6.033,6.18,800,6.18
2016-01-20,6.11,6.15,6.023,6.15,4400,6.15
2016-01-19,6.30,6.30,6.30,6.30,300,6.30
2016-01-15,6.31,6.31,6.15,6.15,1700,6.15
2016-01-14,6.15,6.50,6.15,6.26,19300,6.26
2016-01-13,6.231,6.29,6.15,6.29,2000,6.29
2016-01-12,6.23,6.35,6.21,6.25,4600,6.25
2016-01-11,6.35,6.35,6.162,6.18,5700,6.18
2016-01-08,6.37,6.45,6.255,6.30,9200,6.30
2016-01-07,6.53,6.53,6.344,6.38,8100,6.38
2016-01-06,6.63,6.63,6.27,6.47,40500,6.47
2016-01-05,6.133,6.74,6.133,6.47,39400,6.47
2016-01-04,6.10,6.10,5.99,6.07,11400,6.07
2015-12-31,6.084,6.084,6.00,6.00,4900,6.00
2015-12-30,5.75,5.95,5.75,5.94,11600,5.94
2015-12-29,5.74,5.85,5.64,5.64,10800,5.64
2015-12-28,5.68,5.68,5.68,5.68,100,5.68
2015-12-24,5.68,5.68,5.68,5.68,000,5.68
2015-12-23,5.68,5.68,5.68,5.68,1200,5.68
2015-12-22,5.55,5.68,5.54,5.68,2300,5.68
2015-12-21,5.594,5.68,5.594,5.68,300,5.68
2015-12-18,5.63,5.74,5.62,5.74,1800,5.74
2015-12-17,5.65,5.66,5.51,5.55,5000,5.55
2015-12-16,5.60,5.726,5.60,5.63,1200,5.63
2015-12-15,5.62,5.70,5.60,5.60,3500,5.60
2015-12-14,5.60,5.70,5.50,5.55,3800,5.55
2015-12-11,5.44,5.50,5.40,5.50,2900,5.50
2015-12-10,5.599,5.60,5.40,5.50,5900,5.50
