Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.95,14.95,14.94,14.94,1600,14.94
2016-03-10,14.90,14.95,14.90,14.95,800,14.95
2016-03-09,14.80,14.97,14.80,14.95,4300,14.95
2016-03-08,14.90,14.95,14.88,14.95,5200,14.892999
2016-03-07,14.90,14.90,14.90,14.90,700,14.84319
2016-03-04,14.95,14.95,14.81,14.83,6200,14.773457
2016-03-03,14.93,14.93,14.93,14.93,800,14.873076
2016-03-02,14.84,14.95,14.84,14.95,3100,14.892999
2016-03-01,14.79,14.93,14.77,14.84,11400,14.783419
2016-02-29,14.60,14.70,14.60,14.70,2200,14.643953
2016-02-26,14.56,14.59,14.56,14.59,3300,14.534372
2016-02-25,14.49,14.49,14.49,14.49,200,14.434753
2016-02-24,14.47,14.47,14.47,14.47,700,14.41483
2016-02-23,14.39,14.39,14.37,14.37,1000,14.315211
2016-02-22,14.38,14.47,14.38,14.44,700,14.384944
2016-02-19,14.33,14.36,14.25,14.36,12000,14.305249
2016-02-18,14.60,14.60,14.37,14.48,3900,14.424791
2016-02-17,14.45,14.59,14.45,14.58,5800,14.52441
2016-02-16,14.42,14.58,14.33,14.33,9400,14.275363
2016-02-12,14.36,14.38,14.33,14.34,4600,14.285326
2016-02-11,14.43,14.43,14.35,14.35,1400,14.295288
2016-02-10,14.43,14.43,14.31,14.32,6300,14.265401
2016-02-09,14.38,14.38,14.38,14.38,000,14.325173
2016-02-08,14.38,14.38,14.37,14.38,700,14.268391
2016-02-05,14.40,14.40,14.40,14.40,000,14.288235
2016-02-04,14.40,14.40,14.36,14.40,8600,14.288235
2016-02-03,14.40,14.40,14.31,14.40,2200,14.288235
2016-02-02,14.41,14.41,14.41,14.41,000,14.298158
2016-02-01,14.45,14.45,14.31,14.41,1300,14.298158
2016-01-29,14.26,14.42,14.26,14.34,1100,14.228701
2016-01-28,14.19,14.24,14.15,14.24,1500,14.129477
2016-01-27,14.06,14.33,14.06,14.33,400,14.218779
2016-01-26,14.09,14.28,13.97,14.28,6900,14.169167
2016-01-25,14.04,14.04,14.04,14.04,3100,13.93103
2016-01-22,13.97,14.08,13.97,14.08,1300,13.970719
2016-01-21,14.15,14.15,14.04,14.04,3700,13.93103
2016-01-20,14.00,14.05,13.99,14.05,3300,13.940952
2016-01-19,14.13,14.15,14.13,14.15,3800,14.040176
2016-01-15,14.10,14.14,14.06,14.14,5200,14.030254
2016-01-14,13.97,14.14,13.97,14.12,3000,14.010409
2016-01-13,14.15,14.15,13.97,13.97,6500,13.861573
2016-01-12,14.02,14.12,13.98,14.10,3900,13.990564
2016-01-11,14.25,14.25,14.03,14.04,7200,13.874472
2016-01-08,14.12,14.26,14.12,14.17,1700,14.002939
2016-01-07,14.23,14.25,14.14,14.15,6700,13.983175
2016-01-06,14.08,14.20,14.08,14.18,2200,14.012822
2016-01-05,14.02,14.02,14.02,14.02,500,13.854708
2016-01-04,14.10,14.10,14.08,14.08,400,13.914
2015-12-31,14.04,14.04,13.94,14.03,4900,13.86459
2015-12-30,14.04,14.04,14.04,14.04,100,13.874472
2015-12-29,13.99,13.99,13.96,13.96,3200,13.795415
2015-12-28,13.96,13.96,13.96,13.96,600,13.795415
2015-12-24,13.95,13.95,13.95,13.95,000,13.785533
2015-12-23,13.95,14.05,13.95,13.95,2100,13.785533
2015-12-22,14.06,14.06,14.06,14.06,300,13.894237
2015-12-21,14.01,14.19,13.98,14.01,8800,13.844826
2015-12-18,14.01,14.08,13.95,14.01,10200,13.844826
2015-12-17,13.96,13.96,13.96,13.96,200,13.795415
2015-12-16,13.79,14.04,13.79,13.82,9100,13.657066
2015-12-15,13.68,13.79,13.68,13.79,900,13.627419
2015-12-14,13.75,13.80,13.68,13.68,1900,13.518717
2015-12-11,13.79,13.80,13.75,13.80,2300,13.637302
2015-12-10,13.78,13.78,13.78,13.78,700,13.617537
2015-12-09,13.76,13.77,13.70,13.74,9400,13.578009
2015-12-08,14.03,14.06,13.86,13.97,2200,13.74897
2015-12-07,13.99,14.11,13.84,13.96,12300,13.739128
2015-12-04,14.00,14.00,14.00,14.00,400,13.778495
2015-12-03,13.97,13.97,13.97,13.97,000,13.74897
2015-12-02,13.94,14.02,13.92,13.97,5800,13.74897
2015-12-01,13.93,14.00,13.93,13.93,7700,13.709602
2015-11-30,13.93,14.02,13.93,14.02,1400,13.798179
2015-11-27,13.92,13.95,13.92,13.92,3500,13.69976
2015-11-25,13.90,13.92,13.90,13.92,700,13.69976
2015-11-24,13.70,13.82,13.68,13.82,2100,13.601342
2015-11-23,13.91,13.94,13.91,13.94,2700,13.719443
2015-11-20,13.85,13.88,13.84,13.84,800,13.621026
2015-11-19,13.93,13.93,13.66,13.81,10700,13.591501
2015-11-18,13.94,13.94,13.94,13.94,000,13.719443
2015-11-17,13.94,13.94,13.94,13.94,200,13.719443
2015-11-16,13.95,13.95,13.95,13.95,300,13.729285
2015-11-13,14.00,14.00,13.95,14.00,4000,13.778495
2015-11-12,13.84,13.97,13.84,13.97,4200,13.74897
2015-11-11,13.83,13.92,13.75,13.92,2400,13.69976
2015-11-10,13.85,13.85,13.73,13.73,3300,13.512766
2015-11-09,13.78,13.80,13.78,13.79,3700,13.515719
2015-11-06,13.70,13.87,13.66,13.76,2600,13.486316
2015-11-05,13.70,13.98,13.70,13.87,2300,13.594128
2015-11-04,13.87,13.87,13.87,13.87,900,13.594128
2015-11-03,13.91,13.96,13.90,13.92,6200,13.643134
2015-11-02,13.86,13.92,13.80,13.80,1900,13.525521
2015-10-30,13.95,13.95,13.95,13.95,000,13.672537
2015-10-29,13.83,13.95,13.78,13.95,4400,13.672537
2015-10-28,13.70,13.70,13.66,13.68,2800,13.407907
2015-10-27,13.96,13.96,13.60,13.60,13700,13.329499
2015-10-26,13.98,13.98,13.94,13.98,9100,13.70194
2015-10-23,13.85,13.85,13.85,13.85,000,13.574526
2015-10-22,13.86,13.87,13.81,13.85,7200,13.574526
2015-10-21,13.92,13.98,13.92,13.98,2300,13.70194
2015-10-20,13.95,13.98,13.75,13.78,2200,13.505918
2015-10-19,13.89,13.98,13.81,13.89,2800,13.613731
2015-10-16,14.02,14.02,14.02,14.02,000,13.741145
2015-10-15,13.89,14.02,13.79,14.02,600,13.741145
2015-10-14,14.10,14.10,14.00,14.00,900,13.721542
