Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.05,15.06,14.95,14.95,3300,14.95
2016-03-10,14.98,15.09,14.98,15.03,13700,14.962
2016-03-09,15.01,15.04,14.99,15.03,5600,14.962
2016-03-08,14.89,15.00,14.87,15.00,15900,14.932136
2016-03-07,14.80,14.94,14.80,14.90,16200,14.832588
2016-03-04,14.78,14.89,14.78,14.86,22600,14.792769
2016-03-03,14.75,14.86,14.75,14.86,13200,14.792769
2016-03-02,14.85,14.85,14.75,14.75,28800,14.683267
2016-03-01,14.88,14.96,14.81,14.88,22400,14.812679
2016-02-29,14.79,14.84,14.74,14.79,17400,14.723086
2016-02-26,14.82,14.88,14.71,14.71,18900,14.643448
2016-02-25,14.87,14.95,14.83,14.83,30000,14.762905
2016-02-24,14.75,14.86,14.75,14.84,19800,14.77286
2016-02-23,14.67,14.80,14.67,14.75,21700,14.683267
2016-02-22,14.73,14.74,14.64,14.67,38900,14.603629
2016-02-19,14.68,14.74,14.66,14.66,24400,14.593674
2016-02-18,14.70,14.76,14.68,14.74,34100,14.673312
2016-02-17,14.77,14.84,14.70,14.70,33500,14.633493
2016-02-16,14.93,14.93,14.78,14.78,24900,14.713131
2016-02-12,15.14,15.14,14.95,14.96,30100,14.892317
2016-02-11,15.11,15.18,15.10,15.13,22100,15.061548
2016-02-10,15.20,15.20,15.17,15.17,40300,15.029692
2016-02-09,15.15,15.21,15.15,15.17,8200,15.029692
2016-02-08,15.18,15.25,15.15,15.16,14300,15.019785
2016-02-05,15.20,15.24,15.20,15.22,9600,15.07923
2016-02-04,15.14,15.23,15.14,15.23,11900,15.089137
2016-02-03,15.13,15.22,15.13,15.18,18900,15.0396
2016-02-02,15.13,15.18,15.11,15.18,24500,15.0396
2016-02-01,15.09,15.26,15.04,15.16,29800,15.019785
2016-01-29,15.01,15.07,14.99,15.02,11300,14.88108
2016-01-28,14.98,15.00,14.98,14.99,10600,14.851357
2016-01-27,15.03,15.10,14.95,14.97,10700,14.831542
2016-01-26,14.88,15.02,14.85,15.01,27400,14.871172
