Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.65,13.69,13.60,13.60,30400,13.60
2016-03-10,13.76,13.81,13.71,13.74,30200,13.673
2016-03-09,13.78,13.82,13.72,13.72,46900,13.653098
2016-03-08,13.84,13.85,13.78,13.78,40000,13.712805
2016-03-07,13.79,13.83,13.71,13.83,67000,13.762561
2016-03-04,13.81,13.85,13.76,13.76,37300,13.692903
2016-03-03,13.80,13.83,13.76,13.81,20400,13.742659
2016-03-02,13.83,13.84,13.74,13.78,31400,13.712805
2016-03-01,13.83,13.85,13.75,13.81,63600,13.742659
2016-02-29,13.65,13.80,13.65,13.75,31800,13.682951
2016-02-26,13.70,13.72,13.64,13.64,24000,13.573488
2016-02-25,13.73,13.85,13.71,13.75,27600,13.682951
2016-02-24,13.69,13.75,13.68,13.68,28400,13.613293
2016-02-23,13.44,13.68,13.44,13.68,64900,13.613293
2016-02-22,13.62,13.62,13.46,13.50,33500,13.434171
2016-02-19,13.56,13.58,13.50,13.56,29600,13.493878
2016-02-18,13.51,13.54,13.46,13.54,32800,13.473975
2016-02-17,13.50,13.52,13.41,13.44,70900,13.374463
2016-02-16,13.68,13.69,13.48,13.49,62000,13.424219
2016-02-12,13.76,13.80,13.64,13.65,61500,13.583439
2016-02-11,13.92,13.94,13.73,13.79,34100,13.722756
2016-02-10,13.90,14.02,13.90,13.91,80400,13.775497
2016-02-09,13.80,13.90,13.75,13.90,39700,13.765594
2016-02-08,13.78,13.80,13.70,13.80,15800,13.666561
2016-02-05,13.77,13.85,13.69,13.73,28700,13.597238
2016-02-04,13.69,13.74,13.64,13.74,23600,13.607141
2016-02-03,13.69,13.69,13.61,13.65,33500,13.518011
2016-02-02,13.72,13.73,13.61,13.62,72400,13.488302
2016-02-01,13.65,13.69,13.63,13.67,70100,13.537818
2016-01-29,13.52,13.66,13.49,13.65,62300,13.518011
2016-01-28,13.42,13.49,13.39,13.48,19900,13.349655
2016-01-27,13.42,13.50,13.36,13.36,41800,13.230815
2016-01-26,13.27,13.41,13.27,13.40,50300,13.270429
2016-01-25,13.41,13.46,13.31,13.34,37300,13.211009
2016-01-22,13.44,13.44,13.34,13.37,33100,13.240719
2016-01-21,13.35,13.38,13.30,13.36,19700,13.230815
2016-01-20,13.43,13.45,13.19,13.30,70400,13.171396
2016-01-19,13.60,13.60,13.36,13.36,60800,13.230815
2016-01-15,13.47,13.61,13.44,13.51,68300,13.379366
2016-01-14,13.42,13.44,13.33,13.42,94600,13.290236
2016-01-13,13.43,13.43,13.33,13.39,54400,13.260526
2016-01-12,13.45,13.49,13.43,13.48,37000,13.283303
2016-01-11,13.55,13.55,13.42,13.46,53800,13.263595
2016-01-08,13.50,13.54,13.44,13.53,47800,13.332573
2016-01-07,13.51,13.51,13.47,13.50,29500,13.303011
2016-01-06,13.41,13.49,13.39,13.46,108700,13.263595
2016-01-05,13.40,13.41,13.38,13.41,93800,13.214324
2016-01-04,13.28,13.42,13.25,13.40,76200,13.20447
2015-12-31,13.35,13.45,13.26,13.28,67800,13.086221
2015-12-30,13.18,13.31,13.16,13.30,36900,13.10593
2015-12-29,13.24,13.27,13.18,13.18,57400,12.987681
2015-12-28,13.19,13.31,13.19,13.27,36500,13.076368
2015-12-24,13.22,13.26,13.18,13.22,24000,13.027097
2015-12-23,13.15,13.27,13.14,13.14,62700,12.948265
2015-12-22,13.16,13.19,13.11,13.15,96600,12.958118
2015-12-21,13.11,13.20,13.11,13.15,54900,12.958118
2015-12-18,13.15,13.17,13.08,13.10,54600,12.908848
2015-12-17,13.08,13.18,13.02,13.10,34000,12.908848
2015-12-16,12.95,13.08,12.94,13.01,38500,12.820162
2015-12-15,13.05,13.06,12.92,12.98,93100,12.790599
2015-12-14,13.09,13.13,13.00,13.04,55400,12.849723
2015-12-11,13.18,13.23,13.09,13.18,35100,12.987681
2015-12-10,13.30,13.31,13.10,13.17,41100,12.977827
2015-12-09,13.29,13.38,13.24,13.31,60200,13.049762
2015-12-08,13.12,13.30,13.12,13.29,18400,13.030152
2015-12-07,13.18,13.21,13.12,13.13,19900,12.873281
2015-12-04,13.12,13.21,13.12,13.16,48500,12.902694
2015-12-03,13.28,13.28,13.12,13.13,28500,12.873281
2015-12-02,13.31,13.34,13.26,13.32,53800,13.059566
2015-12-01,13.38,13.38,13.25,13.27,39200,13.010544
2015-11-30,13.32,13.34,13.26,13.34,32900,13.079175
2015-11-27,13.35,13.35,13.29,13.32,3600,13.059566
2015-11-25,13.27,13.33,13.21,13.32,30400,13.059566
2015-11-24,13.24,13.28,13.21,13.23,23400,12.971325
