Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.95,15.95,15.75,15.75,76400,15.75
2016-03-10,15.92,16.02,15.92,16.01,61200,15.933
2016-03-09,15.92,16.01,15.89,15.97,44400,15.893193
2016-03-08,15.92,15.93,15.90,15.92,78100,15.843433
2016-03-07,15.86,15.92,15.85,15.92,58800,15.843433
2016-03-04,15.92,15.92,15.85,15.86,60900,15.783721
2016-03-03,15.90,15.93,15.86,15.92,45200,15.843433
2016-03-02,15.82,15.93,15.79,15.89,85800,15.813577
2016-03-01,15.97,16.00,15.88,15.88,68000,15.803625
2016-02-29,15.88,15.95,15.87,15.94,34700,15.863336
2016-02-26,16.02,16.02,15.82,15.88,93100,15.803625
2016-02-25,16.09,16.139999,16.01,16.10,32900,16.022567
2016-02-24,15.99,16.07,15.98,16.07,54300,15.992711
2016-02-23,15.96,16.00,15.88,15.97,49400,15.893193
2016-02-22,15.96,15.97,15.85,15.97,39800,15.893193
2016-02-19,15.94,15.97,15.91,15.96,25200,15.88324
2016-02-18,15.84,15.94,15.79,15.91,47800,15.833481
2016-02-17,15.84,15.87,15.73,15.79,33100,15.714058
2016-02-16,15.89,15.92,15.77,15.88,70800,15.803625
2016-02-12,16.059999,16.09,15.90,16.01,67100,15.933
2016-02-11,16.059999,16.08,16.00,16.07,32600,15.992711
2016-02-10,16.200001,16.219999,16.15,16.15,43200,15.992711
2016-02-09,16.15,16.18,16.07,16.18,34500,16.02242
2016-02-08,16.139999,16.15,16.02,16.15,38000,15.992711
2016-02-05,16.040001,16.129999,16.030001,16.10,43200,15.943199
2016-02-04,16.040001,16.040001,15.96,15.98,24300,15.824367
2016-02-03,16.07,16.07,15.96,16.02,58200,15.863978
2016-02-02,16.10,16.139999,15.99,16.040001,105400,15.883784
2016-02-01,16.049999,16.120001,15.99,16.09,44600,15.933296
2016-01-29,15.87,16.02,15.87,16.02,32800,15.863978
2016-01-28,15.81,15.87,15.81,15.87,23500,15.715438
2016-01-27,15.70,15.89,15.70,15.80,91700,15.646121
2016-01-26,15.71,15.78,15.69,15.75,92100,15.596607
2016-01-25,15.96,15.97,15.74,15.74,76000,15.586704
2016-01-22,15.88,15.95,15.86,15.91,36800,15.755049
2016-01-21,15.78,15.82,15.76,15.82,16900,15.665925
2016-01-20,15.96,15.96,15.68,15.73,53500,15.576802
2016-01-19,15.92,15.96,15.87,15.93,43600,15.774855
2016-01-15,15.87,15.91,15.81,15.88,32700,15.725341
2016-01-14,15.82,15.85,15.77,15.85,43500,15.695634
2016-01-13,15.96,15.96,15.77,15.78,85700,15.626315
2016-01-12,16.049999,16.08,15.88,15.98,31300,15.745146
2016-01-11,16.09,16.120001,15.99,15.99,53400,15.754999
2016-01-08,16.030001,16.059999,15.97,16.059999,44600,15.82397
2016-01-07,16.07,16.16,15.98,16.00,83900,15.764853
2016-01-06,16.190001,16.360001,15.85,16.059999,213800,15.82397
2016-01-05,15.93,16.16,15.93,16.120001,62100,15.88309
2016-01-04,15.82,15.93,15.82,15.93,59800,15.695882
2015-12-31,15.85,15.94,15.79,15.83,39000,15.597351
2015-12-30,15.74,15.84,15.70,15.79,50700,15.557939
2015-12-29,15.83,15.86,15.74,15.74,52600,15.508673
2015-12-28,15.72,15.90,15.72,15.89,83700,15.65647
2015-12-24,15.70,15.77,15.70,15.77,6100,15.538233
2015-12-23,15.65,15.75,15.65,15.69,18700,15.459408
2015-12-22,15.76,15.76,15.65,15.67,28500,15.439703
2015-12-21,15.72,15.76,15.68,15.74,41400,15.508673
2015-12-18,15.56,15.71,15.56,15.69,65400,15.459408
2015-12-17,15.41,15.57,15.41,15.54,47100,15.311613
2015-12-16,15.34,15.45,15.33,15.45,53800,15.222936
2015-12-15,15.34,15.44,15.34,15.39,28100,15.163818
2015-12-14,15.63,15.63,15.39,15.39,55700,15.163818
2015-12-11,15.70,15.70,15.59,15.63,45700,15.40029
2015-12-10,15.76,15.76,15.61,15.65,19000,15.419996
2015-12-09,15.80,15.83,15.76,15.80,34400,15.488967
2015-12-08,15.58,15.80,15.54,15.80,34400,15.488967
2015-12-07,15.59,15.61,15.50,15.53,40800,15.224282
2015-12-04,15.46,15.59,15.45,15.56,41600,15.253692
2015-12-03,15.69,15.69,15.45,15.45,46200,15.145857
2015-12-02,15.72,15.78,15.72,15.73,40300,15.420345
2015-12-01,15.65,15.86,15.63,15.74,98600,15.430148
2015-11-30,15.64,15.64,15.55,15.59,25500,15.283101
2015-11-27,15.60,15.63,15.58,15.60,14500,15.292905
2015-11-25,15.49,15.61,15.49,15.59,19200,15.283101
2015-11-24,15.69,15.69,15.50,15.51,33800,15.204676
2015-11-23,15.63,15.67,15.55,15.65,35100,15.34192
2015-11-20,15.47,15.60,15.47,15.60,30100,15.292905
2015-11-19,15.45,15.53,15.44,15.45,28800,15.145857
2015-11-18,15.49,15.49,15.41,15.45,38700,15.145857
2015-11-17,15.42,15.47,15.41,15.46,41900,15.15566
2015-11-16,15.32,15.52,15.32,15.49,62700,15.185069
2015-11-13,15.24,15.33,15.23,15.32,45400,15.018416
2015-11-12,15.23,15.27,15.18,15.21,42200,14.910582
2015-11-11,15.25,15.33,15.22,15.27,29200,14.890976
2015-11-10,15.22,15.32,15.17,15.31,21200,14.929983
2015-11-09,15.36,15.36,15.16,15.18,55600,14.80321
2015-11-06,15.53,15.55,15.36,15.40,33000,15.017748
2015-11-05,15.73,15.74,15.55,15.56,54100,15.173778
2015-11-04,15.69,15.73,15.67,15.72,31400,15.329806
2015-11-03,15.67,15.72,15.63,15.68,33700,15.290799
2015-11-02,15.64,15.68,15.60,15.64,37000,15.251792
2015-10-30,15.57,15.62,15.53,15.62,33500,15.232288
2015-10-29,15.49,15.57,15.46,15.55,27200,15.164026
2015-10-28,15.47,15.51,15.36,15.50,54100,15.115266
2015-10-27,15.38,15.47,15.37,15.46,28700,15.076259
2015-10-26,15.42,15.45,15.35,15.35,47700,14.96899
2015-10-23,15.42,15.45,15.41,15.45,26700,15.066507
2015-10-22,15.35,15.42,15.35,15.40,29300,15.017748
2015-10-21,15.34,15.38,15.31,15.35,36900,14.96899
2015-10-20,15.31,15.34,15.30,15.31,19300,14.929983
2015-10-19,15.31,15.34,15.23,15.31,28600,14.929983
2015-10-16,15.37,15.37,15.25,15.35,55300,14.96899
2015-10-15,15.29,15.34,15.28,15.33,28400,14.949486
2015-10-14,15.27,15.35,15.24,15.31,59800,14.929983
2015-10-13,15.21,15.24,15.18,15.24,20300,14.86172
2015-10-12,15.35,15.37,15.21,15.27,62400,14.812962
2015-10-09,15.35,15.37,15.23,15.25,55800,14.79356
2015-10-08,15.34,15.37,15.28,15.32,41300,14.861465
2015-10-07,15.40,15.40,15.28,15.32,45900,14.861465
2015-10-06,15.36,15.42,15.35,15.38,82200,14.919669
2015-10-05,15.36,15.39,15.26,15.31,42700,14.851765
2015-10-02,15.34,15.37,15.30,15.34,35400,14.880867
2015-10-01,15.35,15.36,15.30,15.35,50400,14.890568
2015-09-30,15.37,15.37,15.28,15.30,39900,14.842064
2015-09-29,15.38,15.42,15.31,15.37,52400,14.909969
2015-09-28,15.34,15.39,15.32,15.34,36600,14.880867
2015-09-25,15.40,15.42,15.32,15.33,32500,14.871166
2015-09-24,15.45,15.45,15.40,15.40,8000,14.93907
