Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.63,14.71,14.61,14.66,66400,14.66
2016-03-10,14.65,14.70,14.59,14.63,65800,14.57
2016-03-09,14.65,14.68,14.62,14.65,44100,14.589918
2016-03-08,14.58,14.63,14.55,14.60,57800,14.540123
2016-03-07,14.58,14.60,14.54,14.60,36400,14.540123
2016-03-04,14.60,14.61,14.56,14.57,50400,14.510246
2016-03-03,14.47,14.63,14.47,14.60,53700,14.540123
2016-03-02,14.57,14.59,14.50,14.50,45400,14.440533
2016-03-01,14.53,14.60,14.50,14.60,76600,14.540123
2016-02-29,14.43,14.49,14.41,14.49,25100,14.430574
2016-02-26,14.55,14.57,14.40,14.41,71000,14.350902
2016-02-25,14.53,14.59,14.49,14.56,68100,14.500288
2016-02-24,14.59,14.65,14.50,14.56,50700,14.500288
2016-02-23,14.49,14.65,14.44,14.51,115700,14.450492
2016-02-22,14.38,14.51,14.30,14.51,74500,14.450492
2016-02-19,14.35,14.40,14.28,14.33,25700,14.27123
2016-02-18,14.21,14.37,14.19,14.34,35200,14.28119
2016-02-17,14.29,14.30,14.11,14.14,82700,14.08201
2016-02-16,14.32,14.33,14.19,14.20,64100,14.141763
2016-02-12,14.64,14.66,14.25,14.27,119800,14.211477
2016-02-11,14.58,14.68,14.55,14.58,79500,14.520205
2016-02-10,14.58,14.66,14.58,14.64,72900,14.520206
2016-02-09,14.56,14.69,14.56,14.64,46800,14.520206
2016-02-08,14.63,14.65,14.57,14.57,77200,14.450778
2016-02-05,14.63,14.64,14.60,14.63,32000,14.510287
2016-02-04,14.60,14.67,14.59,14.63,26700,14.510287
2016-02-03,14.64,14.70,14.56,14.63,103700,14.510287
2016-02-02,14.49,14.65,14.49,14.58,69500,14.460696
2016-02-01,14.46,14.65,14.46,14.61,53700,14.49045
2016-01-29,14.55,14.58,14.49,14.52,40200,14.401188
2016-01-28,14.69,14.78,14.50,14.53,59200,14.411105
2016-01-27,14.55,14.77,14.55,14.64,90300,14.520206
2016-01-26,14.48,14.74,14.47,14.62,114400,14.500369
2016-01-25,14.53,14.59,14.47,14.47,60400,14.351597
2016-01-22,14.42,14.52,14.42,14.50,27000,14.381351
2016-01-21,14.44,14.53,14.39,14.45,54100,14.33176
2016-01-20,14.64,14.65,14.22,14.42,84800,14.302005
2016-01-19,14.65,14.70,14.58,14.63,45900,14.510287
2016-01-15,14.42,14.67,14.42,14.60,67700,14.480533
2016-01-14,14.38,14.55,14.38,14.50,60500,14.381351
2016-01-13,14.45,14.47,14.31,14.42,97200,14.302005
2016-01-12,14.36,14.50,14.36,14.44,73700,14.262332
2016-01-11,14.42,14.43,14.32,14.33,38500,14.153686
2016-01-08,14.38,14.44,14.35,14.40,63700,14.222824
2016-01-07,14.36,14.41,14.36,14.40,42400,14.222824
2016-01-06,14.20,14.38,14.20,14.33,148700,14.153686
2016-01-05,14.26,14.26,14.21,14.25,40500,14.07467
2016-01-04,14.29,14.29,14.14,14.21,51900,14.035163
2015-12-31,14.32,14.37,14.27,14.27,40100,14.094425
2015-12-30,14.37,14.38,14.30,14.32,41600,14.143809
2015-12-29,14.27,14.47,14.26,14.38,60400,14.203071
2015-12-28,14.18,14.31,14.12,14.29,67700,14.114178
2015-12-24,14.03,14.21,14.01,14.15,17500,13.9759
2015-12-23,14.12,14.23,13.93,13.96,60500,13.788239
2015-12-22,14.09,14.16,14.09,14.10,48100,13.926516
2015-12-21,14.13,14.15,14.09,14.09,35500,13.916639
2015-12-18,14.14,14.28,14.13,14.13,64100,13.956147
2015-12-17,14.03,14.21,14.03,14.18,49900,14.005532
2015-12-16,13.84,14.06,13.81,14.03,52600,13.857377
2015-12-15,13.90,13.91,13.85,13.89,31000,13.7191
2015-12-14,14.04,14.07,13.85,13.87,47100,13.699346
2015-12-11,14.10,14.14,14.00,14.07,80000,13.896885
2015-12-10,13.89,14.03,13.88,14.03,70000,13.857377
2015-12-09,13.92,13.93,13.85,13.93,31600,13.69342
2015-12-08,13.77,13.99,13.74,13.90,73300,13.663929
2015-12-07,13.62,13.76,13.60,13.76,77200,13.526307
2015-12-04,13.49,13.59,13.49,13.59,40200,13.359194
2015-12-03,13.56,13.56,13.42,13.45,55000,13.221572
2015-12-02,13.57,13.62,13.53,13.57,54500,13.339533
2015-12-01,13.53,13.60,13.51,13.58,97000,13.349364
2015-11-30,13.51,13.53,13.45,13.53,67300,13.300213
2015-11-27,13.46,13.51,13.46,13.51,2900,13.280553
2015-11-25,13.39,13.45,13.37,13.44,52700,13.211741
2015-11-24,13.43,13.46,13.36,13.41,9300,13.182251
2015-11-23,13.43,13.51,13.39,13.46,90600,13.231402
2015-11-20,13.47,13.51,13.36,13.39,32000,13.162591
2015-11-19,13.48,13.49,13.40,13.47,39300,13.241232
2015-11-18,13.37,13.50,13.22,13.49,165700,13.260892
2015-11-17,13.45,13.47,13.37,13.37,56500,13.14293
2015-11-16,13.52,13.55,13.42,13.46,62000,13.231402
2015-11-13,13.44,13.53,13.44,13.53,37000,13.300213
2015-11-12,13.51,13.52,13.39,13.41,64100,13.182251
2015-11-11,13.45,13.55,13.45,13.55,26200,13.260892
2015-11-10,13.45,13.51,13.42,13.48,46400,13.192385
2015-11-09,13.53,13.53,13.45,13.47,75400,13.182599
2015-11-06,13.55,13.60,13.50,13.58,53100,13.290252
2015-11-05,13.74,13.77,13.60,13.61,46800,13.319612
2015-11-04,13.64,13.74,13.63,13.74,37400,13.446838
2015-11-03,13.86,13.96,13.67,13.70,54100,13.407691
2015-11-02,13.70,13.88,13.67,13.87,37600,13.574064
2015-10-30,13.61,13.71,13.60,13.65,48900,13.358758
2015-10-29,13.64,13.75,13.57,13.73,41400,13.437051
2015-10-28,13.64,13.71,13.61,13.67,38300,13.378332
2015-10-27,13.71,13.72,13.64,13.64,27500,13.348972
2015-10-26,13.61,13.73,13.61,13.73,56200,13.437051
2015-10-23,13.56,13.63,13.56,13.62,29600,13.329398
2015-10-22,13.56,13.60,13.56,13.59,45100,13.300039
2015-10-21,13.47,13.60,13.47,13.58,45700,13.290252
2015-10-20,13.46,13.53,13.46,13.53,31000,13.241319
2015-10-19,13.43,13.55,13.42,13.49,50300,13.202172
2015-10-16,13.49,13.50,13.41,13.46,45700,13.172812
2015-10-15,13.45,13.51,13.45,13.48,33200,13.192385
2015-10-14,13.44,13.48,13.44,13.46,11300,13.172812
2015-10-13,13.48,13.48,13.40,13.45,20700,13.163026
2015-10-12,13.51,13.60,13.51,13.56,25100,13.21196
2015-10-09,13.55,13.58,13.50,13.54,18800,13.192473
2015-10-08,13.53,13.58,13.49,13.57,18700,13.221702
2015-10-07,13.56,13.61,13.49,13.56,84100,13.21196
2015-10-06,13.52,13.59,13.52,13.56,26600,13.21196
2015-10-05,13.48,13.53,13.46,13.51,54500,13.163243
2015-10-02,13.48,13.49,13.44,13.46,85800,13.114526
2015-10-01,13.52,13.53,13.47,13.47,60200,13.12427
2015-09-30,13.62,13.63,13.45,13.51,66600,13.163243
2015-09-29,13.52,13.62,13.52,13.60,23400,13.250933
2015-09-28,13.53,13.60,13.53,13.56,36700,13.21196
2015-09-25,13.54,13.58,13.52,13.57,20100,13.221702
2015-09-24,13.60,13.63,13.48,13.51,31100,13.163243
2015-09-23,13.59,13.65,13.56,13.58,24900,13.231446
2015-09-22,13.54,13.66,13.54,13.64,25900,13.289906
2015-09-21,13.55,13.59,13.54,13.57,22000,13.221702
2015-09-18,13.44,13.63,13.44,13.54,88000,13.192473
2015-09-17,13.43,13.59,13.42,13.55,58400,13.202216
2015-09-16,13.53,13.56,13.43,13.47,45700,13.12427
2015-09-15,13.58,13.60,13.54,13.57,47500,13.221702
2015-09-14,13.74,13.77,13.59,13.59,34700,13.24119
2015-09-11,13.81,13.82,13.73,13.76,27400,13.406826
2015-09-10,13.86,13.90,13.82,13.86,25800,13.442876
2015-09-09,13.86,13.90,13.80,13.90,26400,13.481672
2015-09-08,13.62,13.90,13.62,13.89,70100,13.471974
2015-09-04,13.48,13.67,13.48,13.67,40000,13.258594
2015-09-03,13.57,13.57,13.47,13.53,68800,13.122807
2015-09-02,13.49,13.56,13.45,13.54,63200,13.132507
2015-09-01,13.48,13.52,13.44,13.52,44300,13.113109
2015-08-31,13.43,13.53,13.41,13.43,39300,13.025817
2015-08-28,13.44,13.46,13.35,13.43,58700,13.025817
2015-08-27,13.40,13.50,13.39,13.45,93100,13.045215
2015-08-26,13.51,13.51,13.41,13.43,68600,13.025817
2015-08-25,13.50,13.60,13.47,13.57,71000,13.161604
2015-08-24,13.66,13.74,13.61,13.61,77400,13.2004
2015-08-21,13.66,13.74,13.64,13.70,68200,13.287691
2015-08-20,13.70,13.75,13.67,13.68,26100,13.268294
2015-08-19,13.76,13.76,13.70,13.71,20900,13.29739
2015-08-18,13.74,13.82,13.74,13.80,40400,13.384682
2015-08-17,13.79,13.84,13.77,13.77,46600,13.355585
2015-08-14,13.88,13.88,13.75,13.80,38300,13.384682
2015-08-13,13.83,13.89,13.82,13.86,16700,13.442876
2015-08-12,13.82,13.88,13.82,13.86,23200,13.442876
2015-08-11,13.74,13.92,13.72,13.91,43000,13.430267
2015-08-10,13.65,13.73,13.61,13.73,46600,13.256475
2015-08-07,13.64,13.71,13.62,13.70,27200,13.22751
2015-08-06,13.59,13.65,13.58,13.64,38500,13.16958
2015-08-05,13.80,13.80,13.52,13.61,105800,13.140614
2015-08-04,13.80,13.85,13.75,13.78,44800,13.304751
2015-08-03,13.81,13.86,13.79,13.82,71300,13.343371
2015-07-31,13.71,13.84,13.68,13.77,50600,13.295096
2015-07-30,13.67,13.72,13.67,13.71,18000,13.237165
2015-07-29,13.67,13.71,13.60,13.70,40100,13.22751
2015-07-28,13.60,13.66,13.59,13.64,25100,13.16958
2015-07-27,13.60,13.66,13.57,13.62,35900,13.150269
2015-07-24,13.58,13.64,13.52,13.56,58100,13.092339
2015-07-23,13.63,13.63,13.58,13.62,32000,13.150269
2015-07-22,13.58,13.64,13.57,13.60,37300,13.130959
2015-07-21,13.61,13.63,13.56,13.62,24000,13.150269
2015-07-20,13.63,13.70,13.57,13.59,26000,13.121304
2015-07-17,13.68,13.71,13.64,13.66,44400,13.188889
2015-07-16,13.68,13.72,13.66,13.70,32100,13.22751
2015-07-15,13.65,13.72,13.57,13.64,51100,13.16958
2015-07-14,13.66,13.75,13.58,13.67,57600,13.198545
2015-07-13,13.57,13.65,13.55,13.62,57700,13.150269
2015-07-10,13.68,13.69,13.54,13.68,25300,13.147373
2015-07-09,13.74,13.89,13.67,13.72,50000,13.185815
2015-07-08,13.74,13.84,13.67,13.81,100000,13.272311
2015-07-07,13.59,13.79,13.59,13.76,43600,13.224258
2015-07-06,13.54,13.60,13.54,13.56,34200,13.032045
2015-07-02,13.59,13.61,13.53,13.58,29300,13.051266
2015-07-01,13.62,13.62,13.49,13.53,47300,13.003212
2015-06-30,13.44,13.53,13.40,13.53,66600,13.003212
2015-06-29,13.57,13.57,13.49,13.49,36600,12.96477
2015-06-26,13.66,13.66,13.55,13.55,59900,13.022434
2015-06-25,13.70,13.70,13.56,13.61,39200,13.080097
2015-06-24,13.62,13.69,13.61,13.69,24900,13.156983
2015-06-23,13.64,13.67,13.55,13.63,77500,13.099319
2015-06-22,13.65,13.71,13.58,13.65,51500,13.11854
2015-06-19,13.62,13.66,13.58,13.65,42200,13.11854
2015-06-18,13.61,13.61,13.57,13.57,19900,13.041655
2015-06-17,13.61,13.61,13.46,13.58,63100,13.051266
2015-06-16,13.54,13.57,13.50,13.53,25400,13.003212
2015-06-15,13.56,13.57,13.49,13.56,40300,13.032045
2015-06-12,13.49,13.58,13.45,13.55,34600,13.022434
2015-06-11,13.43,13.49,13.39,13.47,61600,12.945549
2015-06-10,13.38,13.50,13.38,13.42,61000,12.836948
2015-06-09,13.43,13.45,13.36,13.41,112900,12.827383
2015-06-08,13.62,13.66,13.43,13.48,96100,12.894341
2015-06-05,13.69,13.71,13.62,13.63,90200,13.037825
2015-06-04,13.73,13.78,13.71,13.76,41900,13.162177
2015-06-03,13.82,13.82,13.73,13.73,40300,13.133479
2015-06-02,13.84,13.86,13.79,13.86,45600,13.257831
2015-06-01,13.87,13.89,13.79,13.89,32200,13.286529
2015-05-29,13.77,13.86,13.77,13.86,33300,13.257831
2015-05-28,13.75,13.85,13.72,13.79,41200,13.190873
2015-05-27,13.72,13.78,13.71,13.75,49200,13.152611
2015-05-26,13.62,13.74,13.60,13.71,63300,13.114349
2015-05-22,13.74,13.74,13.64,13.64,36900,13.04739
2015-05-21,13.67,13.79,13.66,13.78,39500,13.181307
