Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.44,15.44,15.30,15.30,80700,15.30
2016-03-10,15.57,15.61,15.39,15.47,158000,15.402
2016-03-09,15.61,15.65,15.44,15.51,158000,15.441824
2016-03-08,15.63,15.63,15.57,15.60,91900,15.531429
2016-03-07,15.54,15.55,15.49,15.55,47200,15.481649
2016-03-04,15.55,15.57,15.49,15.50,120700,15.431868
2016-03-03,15.44,15.52,15.44,15.52,54800,15.451781
2016-03-02,15.46,15.47,15.36,15.44,57000,15.372131
2016-03-01,15.36,15.49,15.32,15.45,162400,15.382088
2016-02-29,15.22,15.29,15.20,15.29,53700,15.222791
2016-02-26,15.29,15.31,15.11,15.15,117600,15.083406
2016-02-25,15.37,15.40,15.28,15.30,66400,15.232747
2016-02-24,15.25,15.38,15.25,15.34,73600,15.272572
2016-02-23,15.15,15.29,15.15,15.29,64600,15.222791
2016-02-22,15.19,15.20,15.12,15.13,66000,15.063495
2016-02-19,15.11,15.17,15.07,15.17,56600,15.103319
2016-02-18,14.95,15.07,14.95,15.07,74300,15.003758
2016-02-17,15.05,15.05,14.93,14.93,142100,14.864374
2016-02-16,15.04,15.06,15.01,15.05,106200,14.983846
2016-02-12,15.12,15.19,15.03,15.04,82800,14.97389
2016-02-11,15.25,15.26,15.13,15.13,73000,15.063495
2016-02-10,15.30,15.34,15.25,15.25,66700,15.115266
2016-02-09,15.33,15.33,15.28,15.30,67900,15.164824
2016-02-08,15.38,15.38,15.24,15.31,46800,15.174736
2016-02-05,15.25,15.37,15.19,15.37,188500,15.234206
2016-02-04,15.20,15.26,15.16,15.20,98000,15.065708
2016-02-03,15.15,15.20,15.13,15.20,50200,15.065708
2016-02-02,15.07,15.15,15.07,15.12,81800,14.986414
2016-02-01,15.01,15.06,14.97,15.05,75400,14.917033
2016-01-29,14.94,15.06,14.94,15.05,105600,14.917033
2016-01-28,14.90,14.93,14.87,14.91,51800,14.77827
2016-01-27,14.93,14.95,14.86,14.86,75900,14.728711
2016-01-26,14.89,14.95,14.85,14.93,89400,14.798093
2016-01-25,14.93,14.94,14.79,14.87,74000,14.738623
2016-01-22,14.87,14.95,14.85,14.89,150800,14.758447
2016-01-21,14.84,14.88,14.77,14.79,72900,14.65933
2016-01-20,14.92,14.92,14.66,14.81,172900,14.679154
2016-01-19,14.96,14.99,14.83,14.85,76900,14.7188
2016-01-15,14.87,14.96,14.87,14.87,72000,14.738623
2016-01-14,14.86,14.86,14.80,14.83,89900,14.698977
2016-01-13,14.88,14.88,14.77,14.80,87900,14.669242
2016-01-12,15.00,15.01,14.87,14.95,97200,14.750517
2016-01-11,14.99,15.04,14.94,14.98,101800,14.780116
2016-01-08,15.03,15.03,14.95,14.95,89400,14.750517
2016-01-07,15.02,15.09,14.97,15.00,96000,14.79985
2016-01-06,14.99,15.09,14.93,15.00,84200,14.79985
2016-01-05,14.96,15.00,14.91,14.93,69900,14.730784
2016-01-04,14.85,14.93,14.78,14.91,79700,14.711051
2015-12-31,14.83,14.89,14.79,14.85,59800,14.651852
2015-12-30,14.68,14.85,14.67,14.81,70200,14.612386
2015-12-29,14.77,14.78,14.67,14.73,96100,14.533452
2015-12-28,14.80,14.82,14.75,14.78,89400,14.582785
2015-12-24,14.69,14.77,14.67,14.75,26000,14.553186
2015-12-23,14.75,14.78,14.57,14.62,121200,14.42492
2015-12-22,14.75,14.75,14.68,14.73,39700,14.533452
2015-12-21,14.72,14.72,14.64,14.72,133300,14.523586
2015-12-18,14.58,14.68,14.58,14.67,98600,14.474253
2015-12-17,14.46,14.64,14.46,14.61,131200,14.415054
2015-12-16,14.47,14.49,14.33,14.47,214500,14.276922
2015-12-15,14.46,14.47,14.40,14.41,39200,14.217722
2015-12-14,14.58,14.58,14.40,14.46,91500,14.267055
2015-12-11,14.62,14.82,14.56,14.56,111500,14.365721
2015-12-10,14.49,14.57,14.47,14.57,68400,14.375587
2015-12-09,14.52,14.55,14.48,14.55,58600,14.288762
2015-12-08,14.45,14.57,14.44,14.57,68100,14.308402
2015-12-07,14.54,14.56,14.43,14.50,88000,14.239659
2015-12-04,14.50,14.60,14.46,14.56,83900,14.298582
2015-12-03,14.49,14.55,14.44,14.50,136500,14.239659
2015-12-02,14.65,14.65,14.50,14.59,129100,14.328044
2015-12-01,14.62,14.65,14.53,14.58,107100,14.318223
2015-11-30,14.53,14.54,14.44,14.54,59700,14.278941
2015-11-27,14.49,14.53,14.46,14.49,23200,14.229839
2015-11-25,14.53,14.58,14.44,14.49,71500,14.229839
2015-11-24,14.63,14.63,14.43,14.46,87700,14.200378
2015-11-23,14.50,14.59,14.50,14.58,62800,14.318223
