Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.94,13.95,13.83,13.84,31300,13.84
2016-03-10,13.92,14.01,13.92,13.96,33900,13.892
2016-03-09,14.00,14.08,13.91,13.92,80100,13.852195
2016-03-08,14.06,14.06,14.00,14.00,44100,13.931805
2016-03-07,13.94,14.00,13.92,13.99,53200,13.921853
2016-03-04,13.92,13.94,13.88,13.91,80100,13.842243
2016-03-03,13.93,13.96,13.88,13.92,38100,13.852195
2016-03-02,13.88,13.93,13.77,13.86,90400,13.792487
2016-03-01,13.84,13.90,13.83,13.89,42700,13.822341
2016-02-29,13.77,13.90,13.77,13.84,104700,13.772585
2016-02-26,13.77,13.81,13.75,13.76,52400,13.692974
2016-02-25,13.78,13.83,13.78,13.81,74000,13.742731
2016-02-24,13.75,13.81,13.74,13.78,82500,13.712876
2016-02-23,13.71,13.75,13.68,13.74,61000,13.673071
2016-02-22,13.72,13.72,13.67,13.68,42300,13.613364
2016-02-19,13.68,13.72,13.68,13.72,41400,13.653169
2016-02-18,13.71,13.73,13.65,13.70,60300,13.633266
2016-02-17,13.65,13.73,13.63,13.67,56400,13.603413
2016-02-16,13.73,13.75,13.63,13.70,62000,13.633266
2016-02-12,13.90,13.90,13.75,13.76,27800,13.692974
2016-02-11,13.93,13.93,13.85,13.90,60700,13.832292
2016-02-10,13.96,13.98,13.94,13.97,31900,13.834283
2016-02-09,13.96,13.97,13.92,13.94,38500,13.804574
2016-02-08,13.95,13.96,13.89,13.93,47200,13.794672
2016-02-05,13.91,13.94,13.87,13.94,30800,13.804574
2016-02-04,13.87,13.90,13.84,13.89,25700,13.75506
2016-02-03,13.83,13.90,13.82,13.90,109600,13.764962
2016-02-02,13.79,13.80,13.77,13.80,76400,13.665935
2016-02-01,13.78,13.80,13.76,13.78,53600,13.646128
2016-01-29,13.72,13.75,13.66,13.75,71000,13.61642
2016-01-28,13.64,13.70,13.60,13.70,43400,13.566906
2016-01-27,13.62,13.62,13.57,13.60,58200,13.467878
2016-01-26,13.56,13.63,13.55,13.60,47900,13.467878
2016-01-25,13.58,13.67,13.58,13.59,116000,13.457975
2016-01-22,13.62,13.64,13.56,13.60,68900,13.467878
2016-01-21,13.52,13.59,13.47,13.58,43400,13.448072
2016-01-20,13.58,13.59,13.40,13.46,77300,13.329237
2016-01-19,13.66,13.67,13.56,13.58,65900,13.448072
2016-01-15,13.59,13.64,13.55,13.63,114700,13.497586
2016-01-14,13.59,13.61,13.55,13.60,37300,13.467878
2016-01-13,13.66,13.66,13.56,13.56,38800,13.428266
2016-01-12,13.73,13.74,13.70,13.72,40900,13.519372
2016-01-11,13.73,13.75,13.68,13.72,113700,13.519372
2016-01-08,13.70,13.73,13.64,13.73,47200,13.529225
2016-01-07,13.70,13.74,13.67,13.70,59800,13.499664
2016-01-06,13.64,13.69,13.60,13.67,142200,13.470103
2016-01-05,13.62,13.64,13.60,13.64,140600,13.440542
2016-01-04,13.62,13.63,13.50,13.63,40400,13.430688
2015-12-31,13.58,13.65,13.56,13.61,50600,13.41098
2015-12-30,13.50,13.58,13.45,13.56,47100,13.361712
2015-12-29,13.52,13.52,13.43,13.49,69000,13.292735
2015-12-28,13.44,13.57,13.44,13.52,39000,13.322297
2015-12-24,13.40,13.47,13.40,13.47,7400,13.273028
2015-12-23,13.44,13.48,13.39,13.41,32400,13.213905
2015-12-22,13.38,13.42,13.37,13.40,32700,13.204051
2015-12-21,13.39,13.43,13.38,13.38,49000,13.184344
2015-12-18,13.39,13.48,13.34,13.37,118100,13.17449
2015-12-17,13.32,13.39,13.30,13.38,43600,13.184344
2015-12-16,13.21,13.32,13.12,13.32,103000,13.125221
2015-12-15,13.28,13.33,13.21,13.24,38600,13.046391
2015-12-14,13.40,13.40,13.25,13.28,27700,13.085806
2015-12-11,13.41,13.48,13.34,13.39,31300,13.194198
2015-12-10,13.46,13.46,13.38,13.41,32800,13.213905
2015-12-09,13.53,13.54,13.48,13.53,34500,13.265144
2015-12-08,13.41,13.53,13.40,13.53,58200,13.265144
2015-12-07,13.39,13.40,13.35,13.37,28300,13.108277
2015-12-04,13.32,13.36,13.29,13.36,36700,13.098472
2015-12-03,13.37,13.41,13.30,13.32,38100,13.059255
2015-12-02,13.44,13.45,13.42,13.45,29800,13.18671
2015-12-01,13.48,13.49,13.43,13.46,66300,13.196515
2015-11-30,13.43,13.46,13.42,13.44,32800,13.176906
2015-11-27,13.44,13.44,13.42,13.43,15600,13.167102
2015-11-25,13.37,13.42,13.36,13.42,17700,13.157298
2015-11-24,13.35,13.38,13.31,13.37,43400,13.108277
2015-11-23,13.34,13.35,13.32,13.35,32200,13.088669
2015-11-20,13.29,13.32,13.28,13.32,14800,13.059255
2015-11-19,13.26,13.28,13.25,13.25,20800,12.990626
2015-11-18,13.23,13.25,13.20,13.25,26600,12.990626
2015-11-17,13.17,13.23,13.17,13.21,39100,12.951409
2015-11-16,13.22,13.23,13.20,13.22,27600,12.961213
2015-11-13,13.20,13.23,13.12,13.20,49800,12.941604
2015-11-12,13.10,13.17,13.07,13.16,29500,12.902387
2015-11-11,13.15,13.16,13.07,13.13,22100,12.806306
2015-11-10,13.11,13.23,13.08,13.13,42300,12.806306
2015-11-09,13.23,13.23,13.03,13.12,75000,12.796552
2015-11-06,13.36,13.36,13.26,13.28,46700,12.952608
2015-11-05,13.39,13.42,13.36,13.39,67600,13.059896
2015-11-04,13.38,13.38,13.32,13.35,28200,13.020883
2015-11-03,13.40,13.41,13.31,13.38,42500,13.050143
2015-11-02,13.38,13.40,13.35,13.40,28400,13.069649
2015-10-30,13.42,13.42,13.32,13.35,31300,13.020883
2015-10-29,13.37,13.45,13.34,13.40,140400,13.069649
2015-10-28,13.30,13.33,13.28,13.33,76400,13.001375
2015-10-27,13.26,13.31,13.25,13.30,51800,12.972115
2015-10-26,13.34,13.35,13.24,13.24,42000,12.913594
2015-10-23,13.33,13.46,13.31,13.32,74000,12.991622
2015-10-22,13.34,13.34,13.28,13.28,81600,12.952608
2015-10-21,13.31,13.32,13.28,13.32,66400,12.991622
2015-10-20,13.27,13.30,13.26,13.30,76000,12.972115
2015-10-19,13.23,13.27,13.23,13.26,19300,12.933101
2015-10-16,13.24,13.27,13.23,13.24,19500,12.913594
2015-10-15,13.26,13.29,13.20,13.22,32500,12.894087
2015-10-14,13.25,13.29,13.24,13.29,37800,12.962361
2015-10-13,13.31,13.32,13.21,13.24,40400,12.913594
2015-10-12,13.37,13.41,13.33,13.38,33500,12.983819
2015-10-09,13.30,13.36,13.29,13.36,32400,12.964411
2015-10-08,13.31,13.31,13.24,13.31,51300,12.915892
2015-10-07,13.29,13.31,13.26,13.29,20400,12.896484
2015-10-06,13.24,13.31,13.21,13.30,48200,12.906188
2015-10-05,13.23,13.25,13.19,13.22,16100,12.828557
2015-10-02,13.24,13.30,13.18,13.25,48900,12.857669
2015-10-01,13.26,13.27,13.18,13.22,31700,12.828557
2015-09-30,13.28,13.28,13.21,13.23,29600,12.83826
2015-09-29,13.29,13.29,13.23,13.27,58200,12.877077
2015-09-28,13.30,13.30,13.24,13.29,25900,12.896484
2015-09-25,13.32,13.32,13.24,13.28,29200,12.88678
2015-09-24,13.27,13.33,13.26,13.31,32500,12.915892
2015-09-23,13.22,13.29,13.20,13.24,38900,12.847964
2015-09-22,13.15,13.22,13.14,13.22,31400,12.828557
2015-09-21,13.16,13.16,13.08,13.13,51800,12.741222
2015-09-18,13.05,13.18,13.05,13.14,92800,12.750926
2015-09-17,13.03,13.09,12.97,13.08,48800,12.692702
2015-09-16,13.02,13.05,12.97,12.97,9600,12.58596
2015-09-15,13.07,13.07,12.99,13.01,28700,12.624775
2015-09-14,13.13,13.13,13.04,13.04,36200,12.653887
2015-09-11,13.11,13.13,13.09,13.10,21400,12.71211
2015-09-10,13.20,13.24,13.15,13.16,15500,12.704347
2015-09-09,13.25,13.27,13.21,13.21,17700,12.752616
2015-09-08,13.15,13.35,13.14,13.26,90800,12.800885
2015-09-04,13.04,13.13,13.04,13.12,28400,12.665732
2015-09-03,13.06,13.08,13.04,13.08,34600,12.627117
2015-09-02,13.00,13.04,12.90,13.03,51900,12.578848
2015-09-01,13.04,13.04,12.96,12.99,49200,12.540233
2015-08-31,13.00,13.00,12.94,13.00,44100,12.549887
2015-08-28,12.84,12.97,12.84,12.95,77300,12.501618
2015-08-27,12.81,12.87,12.79,12.85,84600,12.405081
2015-08-26,12.90,12.90,12.80,12.81,100900,12.366466
2015-08-25,12.90,12.91,12.85,12.87,18400,12.424388
2015-08-24,12.95,12.96,12.81,12.85,87300,12.405081
2015-08-21,13.04,13.07,12.97,12.98,53100,12.530579
2015-08-20,13.00,13.05,12.98,13.02,57100,12.569195
2015-08-19,13.02,13.02,12.97,13.00,26400,12.549887
2015-08-18,13.02,13.04,12.97,13.03,52900,12.578848
2015-08-17,13.06,13.07,13.03,13.03,10600,12.578848
2015-08-14,13.04,13.06,13.00,13.04,23600,12.588502
2015-08-13,13.10,13.10,13.04,13.06,21500,12.60781
2015-08-12,13.11,13.17,13.08,13.09,22300,12.636771
2015-08-11,13.06,13.20,13.05,13.20,13500,12.677316
2015-08-10,13.06,13.09,13.03,13.03,17100,12.514047
