Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.07,16.10,16.02,16.02,24000,16.02
2016-03-10,16.129999,16.129999,16.07,16.120001,11100,16.042001
2016-03-09,16.049999,16.129999,16.049999,16.059999,16600,15.98229
2016-03-08,16.00,16.059999,16.00,16.059999,6600,15.98229
2016-03-07,15.95,16.030001,15.95,16.030001,15500,15.952436
2016-03-04,15.91,15.95,15.86,15.94,17600,15.862871
2016-03-03,15.87,15.91,15.85,15.91,11300,15.833016
2016-03-02,15.91,15.94,15.65,15.84,36100,15.763355
2016-03-01,15.88,15.95,15.85,15.91,23200,15.833016
2016-02-29,15.82,15.90,15.82,15.85,11300,15.773307
2016-02-26,15.92,15.93,15.78,15.78,24600,15.703645
2016-02-25,15.92,15.98,15.88,15.89,24600,15.813113
2016-02-24,15.84,15.92,15.81,15.84,15900,15.763355
2016-02-23,15.72,15.91,15.71,15.83,24800,15.753403
2016-02-22,15.68,15.75,15.68,15.71,7900,15.633984
2016-02-19,15.66,15.82,15.64,15.71,17900,15.633984
2016-02-18,15.72,15.89,15.65,15.72,31400,15.643936
2016-02-17,15.55,15.71,15.55,15.71,57800,15.633984
2016-02-16,15.58,15.58,15.50,15.56,25800,15.48471
2016-02-12,15.85,15.93,15.55,15.60,47800,15.524517
2016-02-11,15.85,16.02,15.80,15.80,17600,15.723549
2016-02-10,16.07,16.10,15.94,15.94,22900,15.785248
2016-02-09,15.83,16.049999,15.83,16.030001,30400,15.874375
2016-02-08,15.88,15.98,15.88,15.93,26600,15.775345
2016-02-05,16.00,16.01,15.88,15.90,24200,15.745636
2016-02-04,15.72,15.99,15.72,15.97,39700,15.814957
2016-02-03,15.62,15.77,15.62,15.77,40200,15.616899
2016-02-02,15.64,15.69,15.62,15.63,14000,15.478258
2016-02-01,15.67,15.70,15.58,15.65,33200,15.498063
2016-01-29,15.58,15.66,15.58,15.62,28500,15.468355
2016-01-28,15.53,15.61,15.51,15.60,28200,15.448549
2016-01-27,15.58,15.59,15.51,15.52,20600,15.369326
2016-01-26,15.41,15.57,15.38,15.57,38400,15.41884
2016-01-25,15.45,15.50,15.38,15.40,25600,15.25049
2016-01-22,15.32,15.45,15.32,15.45,36000,15.300005
2016-01-21,15.30,15.39,15.25,15.30,20400,15.151462
2016-01-20,15.43,15.43,15.18,15.20,35900,15.052432
2016-01-19,15.41,15.51,15.38,15.43,31400,15.2802
2016-01-15,15.34,15.49,15.34,15.42,23400,15.270296
2016-01-14,15.40,15.41,15.33,15.40,10500,15.25049
2016-01-13,15.47,15.48,15.40,15.40,10900,15.25049
2016-01-12,15.53,15.54,15.49,15.52,15400,15.292083
2016-01-11,15.52,15.55,15.48,15.52,22700,15.292083
2016-01-08,15.59,15.60,15.52,15.55,23700,15.321642
2016-01-07,15.58,15.59,15.52,15.56,24500,15.331496
2016-01-06,15.44,15.55,15.43,15.51,30900,15.28223
2016-01-05,15.38,15.49,15.38,15.43,12900,15.203405
2016-01-04,15.40,15.40,15.32,15.38,12200,15.154139
2015-12-31,15.36,15.42,15.30,15.35,28300,15.12458
2015-12-30,15.28,15.34,15.28,15.34,9400,15.114726
2015-12-29,15.18,15.30,15.18,15.28,19300,15.055607
2015-12-28,15.20,15.26,15.19,15.24,22000,15.016194
2015-12-24,15.10,15.19,15.10,15.17,8200,14.947223
2015-12-23,15.14,15.20,15.10,15.12,15200,14.897957
2015-12-22,15.20,15.20,15.08,15.13,43000,14.90781
2015-12-21,15.16,15.23,15.16,15.22,16500,14.996489
2015-12-18,15.14,15.25,15.14,15.19,23100,14.966928
2015-12-17,15.04,15.18,15.03,15.17,10200,14.947223
2015-12-16,14.88,15.03,14.88,15.02,17100,14.799426
2015-12-15,14.91,15.03,14.85,14.93,43600,14.710747
2015-12-14,15.07,15.07,14.94,14.94,4200,14.7206
2015-12-11,15.12,15.15,15.08,15.08,3100,14.858544
2015-12-10,15.19,15.22,15.11,15.11,18100,14.888103
2015-12-09,15.25,15.30,15.25,15.28,16000,14.972841
2015-12-08,15.25,15.30,15.21,15.29,21500,14.98264
2015-12-07,15.29,15.32,15.24,15.28,13300,14.972841
2015-12-04,15.15,15.33,15.14,15.32,11000,15.012037
2015-12-03,15.19,15.19,15.08,15.13,17600,14.825856
2015-12-02,15.17,15.22,15.17,15.18,2900,14.874852
2015-12-01,15.10,15.19,15.10,15.19,4500,14.88465
2015-11-30,15.16,15.16,15.08,15.09,18500,14.786661
2015-11-27,15.20,15.22,15.16,15.18,3600,14.874852
2015-11-25,15.19,15.20,15.11,15.18,7000,14.874852
2015-11-24,15.15,15.15,15.12,15.15,3300,14.845454
2015-11-23,15.17,15.17,15.10,15.10,7500,14.79646
2015-11-20,15.03,15.21,15.03,15.13,22000,14.825856
2015-11-19,15.03,15.12,15.03,15.04,23800,14.737666
2015-11-18,14.97,15.06,14.97,15.04,11900,14.737666
2015-11-17,14.97,15.03,14.94,15.02,24100,14.718068
2015-11-16,14.97,15.01,14.96,15.01,18300,14.708269
2015-11-13,14.88,14.99,14.88,14.99,13500,14.68867
2015-11-12,14.87,14.91,14.86,14.91,8500,14.610279
2015-11-11,14.89,14.96,14.83,14.95,16000,14.573042
2015-11-10,14.83,14.95,14.83,14.92,7800,14.543799
2015-11-09,14.90,14.91,14.74,14.89,33400,14.514556
2015-11-06,15.00,15.04,14.88,14.96,25200,14.58279
2015-11-05,15.06,15.12,15.04,15.08,9800,14.699764
2015-11-04,15.13,15.15,15.05,15.13,13500,14.748504
2015-11-03,15.05,15.16,15.03,15.11,8600,14.729008
2015-11-02,15.04,15.15,15.01,15.10,19700,14.719261
2015-10-30,15.11,15.15,15.03,15.05,19600,14.670521
2015-10-29,15.11,15.18,15.09,15.15,9600,14.767999
2015-10-28,15.12,15.13,15.09,15.13,2900,14.748504
2015-10-27,15.09,15.14,15.09,15.12,5200,14.738756
2015-10-26,15.10,15.15,15.09,15.10,14900,14.719261
2015-10-23,15.11,15.18,15.11,15.16,12600,14.777747
2015-10-22,15.01,15.13,15.01,15.04,5200,14.660773
2015-10-21,15.02,15.10,15.02,15.02,5100,14.641278
2015-10-20,15.00,15.04,15.00,15.03,3900,14.651025
2015-10-19,15.06,15.09,15.00,15.00,15100,14.621782
2015-10-16,15.07,15.07,14.99,15.00,12200,14.621782
2015-10-15,14.95,15.05,14.95,15.05,24000,14.670521
2015-10-14,14.94,14.97,14.91,14.96,9700,14.58279
2015-10-13,14.88,14.93,14.86,14.90,10800,14.524303
2015-10-12,14.90,14.99,14.89,14.93,26100,14.477514
2015-10-09,14.89,14.92,14.88,14.91,16400,14.45812
2015-10-08,14.88,14.92,14.88,14.89,9100,14.438727
2015-10-07,14.91,14.91,14.86,14.87,19000,14.419332
2015-10-06,14.94,14.96,14.93,14.93,19200,14.477514
2015-10-05,15.01,15.01,14.93,14.93,5800,14.477514
2015-10-02,14.91,15.05,14.91,15.01,25600,14.55509
2015-10-01,14.97,14.97,14.89,14.91,28900,14.45812
2015-09-30,14.95,14.95,14.88,14.94,19400,14.48721
2015-09-29,14.85,14.89,14.85,14.89,5000,14.438727
2015-09-28,14.81,14.92,14.81,14.89,32800,14.438727
2015-09-25,14.81,14.81,14.73,14.79,14000,14.341757
2015-09-24,14.85,14.91,14.83,14.83,4300,14.380545
2015-09-23,14.80,14.88,14.80,14.88,10000,14.429029
2015-09-22,14.79,14.85,14.78,14.85,6700,14.399939
2015-09-21,14.80,14.86,14.78,14.82,4300,14.370847
2015-09-18,14.76,14.85,14.76,14.82,3000,14.370847
2015-09-17,14.57,14.75,14.56,14.74,10900,14.293272
2015-09-16,14.55,14.58,14.55,14.57,8700,14.128424
2015-09-15,14.74,14.74,14.57,14.57,18900,14.128424
2015-09-14,14.78,14.79,14.72,14.73,19500,14.283575
2015-09-11,14.77,14.79,14.76,14.79,13500,14.341757
2015-09-10,14.78,14.83,14.77,14.83,25800,14.304909
2015-09-09,14.78,14.85,14.74,14.84,25600,14.314555
2015-09-08,14.70,14.80,14.68,14.78,11400,14.256679
2015-09-04,14.58,14.76,14.58,14.75,19300,14.227741
2015-09-03,14.62,14.63,14.57,14.63,13000,14.11199
2015-09-02,14.56,14.61,14.56,14.59,18200,14.073407
2015-09-01,14.59,14.60,14.55,14.59,33100,14.073407
2015-08-31,14.54,14.54,14.47,14.53,6800,14.015531
2015-08-28,14.38,14.54,14.38,14.54,9600,14.025177
2015-08-27,14.38,14.48,14.32,14.48,15200,13.967301
2015-08-26,14.38,14.44,14.27,14.32,61000,13.812966
2015-08-25,14.46,14.56,14.37,14.38,46400,13.870842
2015-08-24,14.52,14.57,14.44,14.50,29300,13.986593
2015-08-21,14.66,14.66,14.59,14.60,12800,14.083053
2015-08-20,14.60,14.65,14.60,14.65,14800,14.131282
2015-08-19,14.57,14.63,14.57,14.62,8700,14.102344
2015-08-18,14.66,14.66,14.61,14.62,19700,14.102344
2015-08-17,14.70,14.70,14.68,14.68,8100,14.16022
2015-08-14,14.67,14.70,14.67,14.70,6600,14.179512
2015-08-13,14.79,14.79,14.69,14.70,9200,14.179512
2015-08-12,14.79,14.79,14.75,14.75,5900,14.227741
2015-08-11,14.71,14.85,14.71,14.84,13600,14.239316
2015-08-10,14.82,14.82,14.72,14.73,21800,14.133768
2015-08-07,14.64,14.75,14.64,14.74,10600,14.143364
2015-08-06,14.75,14.75,14.64,14.64,24300,14.047412
2015-08-05,14.81,14.81,14.66,14.73,21400,14.133768
2015-08-04,14.57,14.86,14.57,14.81,74200,14.210531
2015-08-03,14.49,14.61,14.48,14.61,20700,14.018626
2015-07-31,14.46,14.49,14.41,14.49,19400,13.903483
2015-07-30,14.42,14.45,14.42,14.45,6200,13.865102
2015-07-29,14.40,14.44,14.39,14.42,7500,13.836317
2015-07-28,14.39,14.41,14.37,14.38,6900,13.797936
2015-07-27,14.45,14.45,14.39,14.39,13400,13.807531
2015-07-24,14.40,14.40,14.33,14.40,14000,13.817126
2015-07-23,14.36,14.39,14.35,14.35,22800,13.769151
2015-07-22,14.35,14.43,14.35,14.42,29100,13.836317
2015-07-21,14.45,14.45,14.36,14.36,12300,13.778745
2015-07-20,14.44,14.45,14.41,14.41,8800,13.826721
2015-07-17,14.49,14.52,14.44,14.44,39300,13.855507
2015-07-16,14.45,14.52,14.45,14.52,16600,13.93227
2015-07-15,14.39,14.49,14.39,14.49,16600,13.903483
2015-07-14,14.46,14.46,14.38,14.44,10300,13.855507
2015-07-13,14.43,14.45,14.41,14.44,23100,13.855507
2015-07-10,14.49,14.52,14.45,14.52,12300,13.857426
2015-07-09,14.50,14.56,14.45,14.52,43300,13.857426
2015-07-08,14.53,14.57,14.53,14.55,15900,13.886057
2015-07-07,14.41,14.57,14.41,14.51,25200,13.847882
2015-07-06,14.30,14.41,14.30,14.38,27600,13.723814
2015-07-02,14.30,14.35,14.30,14.33,24200,13.676096
2015-07-01,14.39,14.40,14.27,14.32,39000,13.666552
2015-06-30,14.32,14.36,14.30,14.36,21700,13.704727
2015-06-29,14.43,14.43,14.31,14.32,16300,13.666552
2015-06-26,14.45,14.47,14.39,14.41,37900,13.752445
2015-06-25,14.50,14.51,14.48,14.48,19900,13.819251
2015-06-24,14.51,14.53,14.50,14.50,34700,13.838339
2015-06-23,14.47,14.51,14.44,14.49,17800,13.828795
2015-06-22,14.47,14.51,14.46,14.51,29900,13.847882
2015-06-19,14.49,14.52,14.45,14.50,9300,13.838339
2015-06-18,14.43,14.46,14.38,14.46,25800,13.800164
2015-06-17,14.40,14.43,14.37,14.43,31600,13.771533
2015-06-16,14.37,14.42,14.33,14.41,11900,13.752445
2015-06-15,14.29,14.35,14.27,14.35,25900,13.695184
2015-06-12,14.21,14.35,14.21,14.33,18600,13.676096
2015-06-11,14.12,14.29,14.12,14.26,24700,13.60929
2015-06-10,14.15,14.25,14.10,14.22,20600,13.496675
2015-06-09,14.22,14.25,14.03,14.19,64500,13.468201
2015-06-08,14.45,14.45,14.25,14.27,40600,13.544132
2015-06-05,14.65,14.65,14.46,14.47,31900,13.733959
2015-06-04,14.67,14.70,14.67,14.68,23600,13.933277
2015-06-03,14.71,14.73,14.66,14.68,37300,13.933277
2015-06-02,14.76,14.77,14.72,14.72,37700,13.971242
2015-06-01,14.80,14.81,14.76,14.76,33100,14.009207
2015-05-29,14.73,14.77,14.73,14.75,7700,13.999716
2015-05-28,14.81,14.81,14.72,14.72,12700,13.971242
2015-05-27,14.81,14.81,14.74,14.79,12300,14.037681
2015-05-26,14.75,14.77,14.70,14.74,7900,13.990224
2015-05-22,14.79,14.79,14.72,14.76,32200,14.009207
2015-05-21,14.78,14.80,14.76,14.77,17100,14.018699
2015-05-20,14.79,14.80,14.75,14.76,20600,14.009207
2015-05-19,14.78,14.86,14.75,14.83,34600,14.075646
2015-05-18,14.92,14.92,14.78,14.82,22700,14.066155
2015-05-15,14.84,14.93,14.84,14.91,20600,14.151577
2015-05-14,14.79,14.87,14.79,14.82,28200,14.066155
2015-05-13,14.85,14.92,14.79,14.80,24300,14.047173
2015-05-12,14.88,14.92,14.88,14.90,38600,14.068053
2015-05-11,15.09,15.11,14.92,14.92,25700,14.086936
2015-05-08,15.07,15.12,15.07,15.12,15600,14.275769
2015-05-07,15.17,15.17,14.94,15.05,34400,14.209678
2015-05-06,15.26,15.28,15.11,15.13,52100,14.285211
2015-05-05,15.26,15.35,15.26,15.26,24700,14.407953
2015-05-04,15.26,15.28,15.22,15.28,18700,14.426835
2015-05-01,15.33,15.33,15.22,15.24,30700,14.389069
2015-04-30,15.27,15.31,15.27,15.28,14600,14.426835
2015-04-29,15.30,15.32,15.28,15.29,9700,14.436277
2015-04-28,15.32,15.35,15.28,15.35,11100,14.492927
2015-04-27,15.31,15.34,15.30,15.31,15100,14.455161
2015-04-24,15.34,15.35,15.31,15.31,11400,14.455161
2015-04-23,15.35,15.37,15.31,15.32,9600,14.464602
2015-04-22,15.36,15.38,15.30,15.32,15200,14.464602
2015-04-21,15.39,15.39,15.36,15.39,12800,14.530694
2015-04-20,15.38,15.43,15.38,15.43,8700,14.568461
2015-04-17,15.37,15.42,15.37,15.42,6300,14.559019
2015-04-16,15.45,15.45,15.36,15.42,19800,14.559019
2015-04-15,15.43,15.45,15.40,15.45,10900,14.587343
2015-04-14,15.40,15.44,15.39,15.43,9800,14.568461
2015-04-13,15.43,15.43,15.35,15.38,13100,14.521252
2015-04-10,15.43,15.48,15.43,15.47,15100,14.532582
2015-04-09,15.46,15.48,15.41,15.47,18600,14.532582
2015-04-08,15.42,15.54,15.42,15.49,16500,14.55137
2015-04-07,15.36,15.47,15.36,15.46,20900,14.523188
2015-04-06,15.40,15.44,15.37,15.37,22400,14.438641
2015-04-02,15.39,15.46,15.36,15.40,20300,14.466823
2015-04-01,15.45,15.51,15.41,15.44,18300,14.504399
2015-03-31,15.31,15.42,15.31,15.42,20300,14.485612
2015-03-30,15.32,15.37,15.30,15.31,18200,14.382278
2015-03-27,15.27,15.38,15.27,15.32,13500,14.391671
2015-03-26,15.34,15.34,15.26,15.27,21000,14.344701
2015-03-25,15.38,15.38,15.32,15.34,12500,14.410459
2015-03-24,15.34,15.39,15.28,15.39,45800,14.45743
2015-03-23,15.38,15.39,15.33,15.36,43700,14.429247
2015-03-20,15.32,15.39,15.28,15.39,28700,14.45743
2015-03-19,15.42,15.42,15.26,15.31,25100,14.382278
2015-03-18,15.26,15.40,15.24,15.40,28000,14.466823
2015-03-17,15.30,15.32,15.26,15.26,10900,14.335307
2015-03-16,15.34,15.35,15.31,15.33,11900,14.401065
2015-03-13,15.35,15.36,15.31,15.36,8200,14.429247
2015-03-12,15.39,15.39,15.34,15.37,22100,14.438641
2015-03-11,15.40,15.41,15.31,15.34,15100,14.410459
2015-03-10,15.49,15.50,15.44,15.44,24700,14.431126
2015-03-09,15.47,15.48,15.44,15.44,7000,14.431126
2015-03-06,15.48,15.53,15.43,15.47,19800,14.459167
2015-03-05,15.60,15.60,15.55,15.57,8100,14.552632
2015-03-04,15.53,15.62,15.53,15.61,8900,14.590018
2015-03-03,15.53,15.59,15.51,15.55,9100,14.533939
2015-03-02,15.68,15.68,15.53,15.57,16800,14.552632
2015-02-27,15.51,15.65,15.48,15.65,13600,14.627405
2015-02-26,15.63,15.67,15.52,15.54,17200,14.524593
2015-02-25,15.58,15.69,15.58,15.63,29400,14.608712
2015-02-24,15.46,15.54,15.45,15.54,18400,14.524593
2015-02-23,15.48,15.55,15.45,15.51,14600,14.496553
2015-02-20,15.43,15.52,15.43,15.44,16500,14.431126
2015-02-19,15.49,15.54,15.35,15.43,30300,14.42178
2015-02-18,15.37,15.53,15.37,15.53,7600,14.515246
2015-02-17,15.70,15.72,15.36,15.36,60000,14.356354
2015-02-13,15.56,15.72,15.55,15.68,30500,14.655445
2015-02-12,15.58,15.58,15.55,15.57,10900,14.552632
2015-02-11,15.66,15.66,15.56,15.56,18700,14.543286
2015-02-10,15.75,15.84,15.66,15.74,49600,14.639556
2015-02-09,15.81,16.18,15.76,15.78,38100,14.676759
2015-02-06,15.96,16.02,15.79,15.79,29800,14.68606
2015-02-05,16.15,16.24,15.95,15.99,51300,14.872077
2015-02-04,16.10,16.190001,16.040001,16.190001,25700,15.058095
2015-02-03,16.209999,16.27,16.10,16.10,45100,14.974387
2015-02-02,16.129999,16.370001,16.129999,16.23,26500,15.095298
2015-01-30,16.00,16.18,16.00,16.18,20600,15.048794
2015-01-29,15.86,16.02,15.84,16.02,22500,14.89998
2015-01-28,15.86,15.93,15.86,15.87,20000,14.760467
2015-01-27,15.78,15.88,15.78,15.83,11000,14.723263
2015-01-26,15.78,15.81,15.74,15.79,21500,14.68606
2015-01-23,15.74,15.75,15.71,15.74,13200,14.639556
2015-01-22,15.70,15.75,15.67,15.69,27200,14.593051
2015-01-21,15.61,15.73,15.61,15.68,24200,14.583751
2015-01-20,15.63,15.66,15.59,15.61,31200,14.518644
2015-01-16,15.66,15.66,15.59,15.59,17200,14.500043
2015-01-15,15.59,15.66,15.59,15.62,15800,14.527945
2015-01-14,15.61,15.67,15.56,15.56,35300,14.472141
2015-01-13,15.56,15.62,15.55,15.59,19300,14.500043
2015-01-12,15.63,15.67,15.62,15.63,23000,14.465629
2015-01-09,15.52,15.64,15.52,15.61,20600,14.447119
2015-01-08,15.61,15.65,15.54,15.57,61900,14.410098
2015-01-07,15.59,15.70,15.58,15.64,49300,14.474884
2015-01-06,15.55,15.70,15.53,15.55,58500,14.391589
2015-01-05,15.66,15.66,15.46,15.48,67400,14.326803
2015-01-02,15.68,15.75,15.67,15.67,22900,14.502649
2014-12-31,15.73,15.74,15.66,15.67,11900,14.502649
2014-12-30,15.66,15.70,15.65,15.67,21900,14.502649
2014-12-29,15.69,15.70,15.63,15.66,15300,14.493394
2014-12-26,15.60,15.77,15.59,15.70,15700,14.530414
2014-12-24,15.61,15.65,15.59,15.60,15700,14.437864
2014-12-23,15.75,15.75,15.60,15.60,24500,14.437864
2014-12-22,15.71,15.76,15.65,15.65,21000,14.484139
2014-12-19,15.57,15.78,15.57,15.72,26800,14.548925
2014-12-18,15.54,15.62,15.51,15.57,22300,14.410098
2014-12-17,15.39,15.55,15.39,15.51,21300,14.354569
2014-12-16,15.40,15.55,15.40,15.41,32800,14.262018
2014-12-15,15.41,15.46,15.41,15.44,10200,14.289783
2014-12-12,15.36,15.45,15.36,15.42,14300,14.271273
2014-12-11,15.45,15.46,15.35,15.35,8700,14.206488
2014-12-10,15.45,15.51,15.43,15.44,28600,14.289783
2014-12-09,15.45,15.52,15.44,15.51,15700,14.277752
2014-12-08,15.49,15.49,15.39,15.49,12500,14.25934
2014-12-05,15.41,15.48,15.39,15.47,19500,14.24093
2014-12-04,15.37,15.46,15.37,15.45,16600,14.222518
2014-12-03,15.32,15.38,15.31,15.37,27700,14.148874
2014-12-02,15.19,15.31,15.16,15.31,23700,14.093642
2014-12-01,15.21,15.21,15.15,15.15,21300,13.946353
2014-11-28,15.17,15.18,15.12,15.18,21100,13.97397
2014-11-26,15.16,15.21,15.14,15.15,20500,13.946353
2014-11-25,15.19,15.20,15.14,15.17,37500,13.964764
2014-11-24,15.15,15.19,15.10,15.13,29900,13.927942
2014-11-21,15.18,15.23,15.15,15.15,27500,13.946353
2014-11-20,15.19,15.26,15.16,15.16,34100,13.955558
2014-11-19,15.24,15.25,15.15,15.15,10900,13.946353
2014-11-18,15.16,15.29,15.16,15.26,17700,14.047614
2014-11-17,15.22,15.26,15.14,15.19,38800,13.983175
2014-11-14,15.17,15.23,15.16,15.21,19800,14.001586
2014-11-13,15.22,15.23,15.17,15.17,16600,13.964764
2014-11-12,15.21,15.24,15.18,15.24,21800,14.029203
2014-11-11,15.26,15.31,15.23,15.30,26900,14.008031
2014-11-10,15.37,15.37,15.28,15.34,42400,14.044653
2014-11-07,15.27,15.34,15.21,15.33,30300,14.035497
2014-11-06,15.29,15.29,15.19,15.28,35200,13.989719
2014-11-05,15.12,15.29,15.12,15.29,37100,13.998875
2014-11-04,15.09,15.15,15.04,15.15,18000,13.870697
2014-11-03,15.18,15.18,15.08,15.09,24500,13.815764
2014-10-31,15.14,15.19,15.07,15.18,20400,13.898164
2014-10-30,15.18,15.19,15.04,15.18,35400,13.898164
2014-10-29,15.07,15.15,15.07,15.14,21200,13.861542
