Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.84,13.84,13.72,13.81,17200,13.81
2016-03-10,13.81,13.89,13.81,13.82,14000,13.751999
2016-03-09,13.92,13.92,13.81,13.83,21700,13.76195
2016-03-08,13.94,13.94,13.81,13.82,25600,13.751999
2016-03-07,13.78,13.89,13.78,13.86,29900,13.791803
2016-03-04,13.77,13.92,13.77,13.78,64500,13.712196
2016-03-03,13.72,13.87,13.72,13.82,26500,13.751999
2016-03-02,13.72,13.77,13.68,13.72,24900,13.652492
2016-03-01,13.71,13.82,13.71,13.81,32300,13.742049
2016-02-29,13.66,13.75,13.66,13.75,8500,13.682344
2016-02-26,13.70,13.71,13.67,13.68,19800,13.612689
2016-02-25,13.77,13.78,13.74,13.74,18600,13.672393
2016-02-24,13.72,13.74,13.68,13.73,40400,13.662442
2016-02-23,13.63,13.71,13.61,13.65,41800,13.582836
2016-02-22,13.63,13.65,13.59,13.61,50900,13.543033
2016-02-19,13.65,13.66,13.61,13.62,64300,13.552984
2016-02-18,13.62,13.67,13.62,13.67,11200,13.602738
2016-02-17,13.63,13.67,13.61,13.62,20800,13.552984
2016-02-16,13.67,13.69,13.63,13.67,51400,13.602738
2016-02-12,13.81,13.83,13.68,13.68,15600,13.612689
2016-02-11,13.87,13.89,13.79,13.80,22100,13.732098
2016-02-10,13.98,14.00,13.90,13.92,22000,13.783843
2016-02-09,13.81,14.70,13.80,13.98,114500,13.843255
2016-02-08,13.93,13.97,13.78,13.78,31800,13.645212
2016-02-05,13.87,13.94,13.84,13.86,123800,13.724429
2016-02-04,13.84,13.86,13.80,13.82,144900,13.68482
2016-02-03,13.72,13.81,13.72,13.81,38200,13.674919
2016-02-02,13.73,13.75,13.70,13.74,51000,13.605603
2016-02-01,13.68,13.72,13.67,13.71,68400,13.575897
2016-01-29,13.67,13.70,13.61,13.67,29700,13.536288
2016-01-28,13.60,13.67,13.57,13.67,11800,13.536288
2016-01-27,13.56,13.61,13.56,13.60,17900,13.466973
2016-01-26,13.51,13.61,13.51,13.61,26300,13.476875
2016-01-25,13.59,13.59,13.44,13.57,6900,13.437266
2016-01-22,13.63,13.68,13.56,13.56,56000,13.427364
2016-01-21,13.46,13.61,13.45,13.60,34200,13.466973
2016-01-20,13.61,13.62,13.35,13.42,62500,13.288733
2016-01-19,13.65,13.65,13.53,13.55,42800,13.417462
2016-01-15,13.57,13.64,13.55,13.59,41600,13.457071
2016-01-14,13.57,13.58,13.49,13.55,24300,13.417462
2016-01-13,13.64,13.64,13.52,13.52,22200,13.387756
2016-01-12,13.65,13.69,13.64,13.67,35400,13.468953
