Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.56,10.61,10.54,10.59,62800,10.59
2016-03-10,10.58,10.65,10.57,10.63,102400,10.576
2016-03-09,10.57,10.61,10.57,10.60,72700,10.546153
2016-03-08,10.59,10.60,10.54,10.59,61000,10.536203
2016-03-07,10.55,10.59,10.52,10.59,77900,10.536203
2016-03-04,10.55,10.57,10.51,10.51,194100,10.45661
2016-03-03,10.54,10.63,10.52,10.58,92300,10.526254
2016-03-02,10.57,10.59,10.51,10.54,133400,10.486457
2016-03-01,10.64,10.66,10.56,10.60,101700,10.546153
2016-02-29,10.57,10.60,10.54,10.60,53800,10.546153
2016-02-26,10.59,10.59,10.51,10.53,76200,10.476507
2016-02-25,10.47,10.59,10.47,10.58,85700,10.526254
2016-02-24,10.52,10.56,10.48,10.49,65700,10.436711
2016-02-23,10.48,10.56,10.48,10.54,87700,10.486457
2016-02-22,10.52,10.52,10.44,10.46,43800,10.406863
2016-02-19,10.41,10.51,10.41,10.50,54200,10.44666
2016-02-18,10.40,10.48,10.38,10.45,77300,10.396914
2016-02-17,10.33,10.40,10.33,10.38,82800,10.32727
2016-02-16,10.41,10.41,10.31,10.33,100500,10.277524
2016-02-12,10.48,10.53,10.42,10.46,52400,10.406863
2016-02-11,10.50,10.57,10.43,10.51,135200,10.45661
2016-02-10,10.51,10.59,10.51,10.59,83300,10.482477
2016-02-09,10.49,10.53,10.49,10.52,83500,10.413188
2016-02-08,10.63,10.63,10.47,10.50,114900,10.393391
2016-02-05,10.46,10.49,10.44,10.48,68300,10.373594
2016-02-04,10.51,10.55,10.45,10.48,53300,10.373594
2016-02-03,10.42,10.58,10.38,10.55,142300,10.442884
2016-02-02,10.42,10.62,10.37,10.45,131000,10.343899
2016-02-01,10.40,10.48,10.35,10.35,173000,10.244914
2016-01-29,10.32,10.38,10.29,10.34,55000,10.235016
2016-01-28,10.22,10.32,10.22,10.32,68700,10.215218
2016-01-27,10.30,10.32,10.22,10.24,113900,10.136031
2016-01-26,10.25,10.28,10.23,10.26,133200,10.155828
2016-01-25,10.27,10.30,10.18,10.25,73000,10.145929
2016-01-22,10.32,10.34,10.27,10.30,33800,10.195422
2016-01-21,10.11,10.39,10.11,10.35,102100,10.244914
2016-01-20,10.17,10.21,10.01,10.15,131200,10.046944
2016-01-19,10.26,10.30,10.00,10.00,78500,9.898468
2016-01-15,10.28,10.31,10.21,10.26,199400,10.155828
2016-01-14,10.22,10.38,10.20,10.29,126000,10.185523
2016-01-13,10.27,10.31,10.21,10.22,147900,10.116234
2016-01-12,10.33,10.38,10.29,10.34,102900,10.181564
2016-01-11,10.40,10.43,10.34,10.34,55000,10.181564
2016-01-08,10.47,10.47,10.35,10.46,105700,10.299725
2016-01-07,10.37,10.45,10.37,10.43,63400,10.270185
2016-01-06,10.31,10.42,10.31,10.41,64800,10.250491
2016-01-05,10.34,10.39,10.30,10.30,127500,10.142177
2016-01-04,10.36,10.38,10.30,10.30,82000,10.142177
2015-12-31,10.26,10.37,10.25,10.25,103300,10.092943
2015-12-30,10.21,10.29,10.20,10.29,76900,10.13233
2015-12-29,10.32,10.32,10.17,10.22,78400,10.063403
2015-12-28,10.16,10.33,10.16,10.27,220300,10.112637
2015-12-24,10.14,10.17,10.14,10.17,37700,10.014169
2015-12-23,10.12,10.21,10.07,10.14,132000,9.984629
2015-12-22,10.10,10.23,10.07,10.14,83700,9.984629
2015-12-21,10.20,10.36,10.08,10.10,196400,9.945242
2015-12-18,10.33,10.40,10.21,10.21,144100,10.053556
2015-12-17,10.07,10.39,10.02,10.39,191300,10.230798
2015-12-16,9.97,10.09,9.95,10.06,65200,9.905855
2015-12-15,9.92,10.11,9.92,9.99,62800,9.836927
