Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.65,16.690001,16.540001,16.58,45300,16.58
2016-03-10,16.959999,16.98,16.620001,16.68,98200,16.606001
2016-03-09,16.91,17.040001,16.790001,16.92,111000,16.844936
2016-03-08,16.610001,16.85,16.52,16.85,71200,16.775246
2016-03-07,16.540001,16.549999,16.48,16.549999,39300,16.476576
2016-03-04,16.49,16.59,16.49,16.51,49200,16.436755
2016-03-03,16.50,16.559999,16.469999,16.559999,26900,16.486532
2016-03-02,16.48,16.59,16.360001,16.459999,68100,16.386975
2016-03-01,16.26,16.48,16.25,16.440001,52800,16.367066
2016-02-29,16.15,16.360001,16.15,16.15,34300,16.078351
2016-02-26,16.280001,16.280001,16.049999,16.059999,54500,15.98875
2016-02-25,16.389999,16.41,16.219999,16.299999,46800,16.227685
2016-02-24,16.23,16.360001,16.23,16.35,39900,16.277465
2016-02-23,16.110001,16.280001,16.110001,16.25,45500,16.177908
2016-02-22,16.16,16.18,16.120001,16.15,29400,16.078351
2016-02-19,16.059999,16.129999,16.00,16.129999,28100,16.058439
2016-02-18,15.98,16.059999,15.97,16.040001,34400,15.968841
2016-02-17,16.030001,16.120001,15.96,15.96,40400,15.889195
2016-02-16,16.190001,16.190001,16.030001,16.040001,44600,15.968841
2016-02-12,16.32,16.360001,16.139999,16.18,34200,16.108219
2016-02-11,16.48,16.559999,16.309999,16.389999,77900,16.317286
2016-02-10,16.620001,16.690001,16.43,16.459999,65000,16.313303
2016-02-09,16.73,16.73,16.60,16.65,40400,16.50161
2016-02-08,16.51,16.799999,16.50,16.690001,45800,16.541255
2016-02-05,16.559999,16.58,16.50,16.57,42200,16.422323
2016-02-04,16.41,16.530001,16.41,16.51,53900,16.362859
2016-02-03,16.25,16.360001,16.24,16.360001,27300,16.214196
2016-02-02,16.18,16.25,16.17,16.24,30500,16.095265
2016-02-01,16.120001,16.18,16.049999,16.18,31200,16.0358
2016-01-29,16.059999,16.16,16.059999,16.120001,38200,15.976335
2016-01-28,15.97,16.02,15.94,16.02,25600,15.877226
2016-01-27,15.87,15.99,15.87,15.91,28100,15.768206
2016-01-26,15.95,15.96,15.88,15.93,33000,15.788028
2016-01-25,16.00,16.00,15.86,15.88,33500,15.738473
2016-01-22,15.84,15.97,15.84,15.95,37600,15.807849
2016-01-21,15.74,15.86,15.74,15.79,38700,15.649275
2016-01-20,15.95,15.96,15.70,15.80,53200,15.659186
2016-01-19,15.95,16.01,15.87,15.89,21900,15.748384
2016-01-15,15.95,15.98,15.91,15.95,21800,15.807849
2016-01-14,15.89,15.92,15.78,15.92,49300,15.778117
2016-01-13,15.92,15.94,15.81,15.83,47400,15.688919
