Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.059999,16.07,15.93,15.93,37800,15.93
2016-03-10,16.120001,16.120001,16.049999,16.07,30400,15.987999
2016-03-09,16.110001,16.129999,16.07,16.09,24600,16.007898
2016-03-08,16.190001,16.200001,16.110001,16.129999,24900,16.047693
2016-03-07,16.07,16.15,16.07,16.15,16200,16.067591
2016-03-04,16.120001,16.15,16.08,16.10,12000,16.017847
2016-03-03,16.02,16.129999,16.02,16.110001,48600,16.027796
2016-03-02,15.95,16.059999,15.85,15.99,49400,15.908408
2016-03-01,15.82,15.96,15.80,15.96,41200,15.878561
2016-02-29,15.79,15.90,15.79,15.84,22000,15.759173
2016-02-26,15.75,15.85,15.72,15.79,29100,15.709428
2016-02-25,15.78,15.81,15.75,15.79,21400,15.709428
2016-02-24,15.81,15.87,15.72,15.76,35300,15.679582
2016-02-23,15.83,15.87,15.71,15.80,54500,15.719378
2016-02-22,15.82,15.86,15.75,15.76,42700,15.679582
2016-02-19,15.83,15.87,15.80,15.85,19700,15.769123
2016-02-18,15.76,15.81,15.73,15.79,12100,15.709428
2016-02-17,15.76,15.85,15.71,15.71,31800,15.629837
2016-02-16,15.92,15.92,15.77,15.79,18600,15.709428
2016-02-12,16.02,16.040001,15.90,15.90,14000,15.818867
2016-02-11,16.15,16.15,16.01,16.01,13000,15.928306
2016-02-10,16.16,16.16,16.110001,16.15,20400,15.986009
2016-02-09,16.08,16.129999,16.040001,16.129999,26500,15.966212
2016-02-08,16.07,16.07,16.030001,16.049999,3900,15.887025
2016-02-05,16.030001,16.049999,16.01,16.030001,23100,15.867229
2016-02-04,16.040001,16.049999,16.00,16.030001,16000,15.867229
2016-02-03,16.10,16.10,15.99,15.99,38200,15.827634
2016-02-02,15.91,16.129999,15.91,16.07,72000,15.906822
2016-02-01,15.82,15.95,15.80,15.95,36900,15.788041
2016-01-29,15.73,15.86,15.73,15.84,18300,15.679158
2016-01-28,15.68,15.76,15.67,15.73,35300,15.570274
2016-01-27,15.63,15.72,15.55,15.66,36800,15.500985
2016-01-26,15.50,15.61,15.50,15.61,29800,15.451493
2016-01-25,15.71,15.71,15.52,15.52,26400,15.362407
2016-01-22,15.54,15.66,15.54,15.66,31200,15.500985
2016-01-21,15.53,15.57,15.47,15.50,25400,15.34261
2016-01-20,15.61,15.61,15.37,15.50,41700,15.34261
2016-01-19,15.69,15.74,15.56,15.59,39000,15.431696
2016-01-15,15.64,15.72,15.61,15.67,30000,15.510884
2016-01-14,15.69,15.69,15.58,15.61,22800,15.451493
2016-01-13,15.73,15.74,15.64,15.64,26600,15.481189
2016-01-12,15.88,15.89,15.77,15.82,31200,15.578194
2016-01-11,15.95,15.96,15.79,15.80,33900,15.5585
