Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.83,14.91,14.76,14.77,157900,14.77
2016-03-10,15.00,15.00,14.89,14.94,135100,14.866
2016-03-09,14.89,14.98,14.89,14.97,95200,14.895852
2016-03-08,14.92,14.98,14.87,14.93,135200,14.85605
2016-03-07,14.75,14.85,14.75,14.85,137500,14.776446
2016-03-04,14.75,14.80,14.70,14.77,334400,14.696842
2016-03-03,14.76,14.79,14.74,14.75,127100,14.676941
2016-03-02,14.80,14.83,14.74,14.78,157100,14.706792
2016-03-01,14.89,14.91,14.76,14.80,167000,14.726694
2016-02-29,14.75,14.81,14.75,14.81,83300,14.736644
2016-02-26,14.85,14.85,14.73,14.75,194100,14.676941
2016-02-25,14.83,14.93,14.83,14.88,66900,14.806297
2016-02-24,14.92,14.92,14.80,14.84,137000,14.766495
2016-02-23,14.85,14.94,14.84,14.89,145600,14.816248
2016-02-22,14.80,14.92,14.72,14.86,180200,14.786396
2016-02-19,14.82,14.91,14.75,14.76,182900,14.686892
2016-02-18,14.78,14.85,14.74,14.85,76300,14.776446
2016-02-17,14.73,14.76,14.68,14.73,84400,14.65704
2016-02-16,14.88,14.88,14.73,14.73,117000,14.65704
2016-02-12,14.95,14.95,14.85,14.91,177900,14.836148
2016-02-11,15.08,15.08,14.85,14.93,150100,14.85605
2016-02-10,15.01,15.06,14.94,15.06,102000,14.911772
2016-02-09,14.96,15.01,14.91,15.00,133500,14.852362
2016-02-08,14.97,15.00,14.92,14.98,85200,14.832559
2016-02-05,14.96,15.00,14.88,14.89,101900,14.743445
2016-02-04,14.85,14.94,14.84,14.91,167700,14.763248
2016-02-03,14.96,15.00,14.85,14.85,201900,14.703839
2016-02-02,15.07,15.11,14.96,15.00,174800,14.852362
2016-02-01,14.94,15.01,14.90,15.01,160700,14.862264
2016-01-29,14.79,14.94,14.79,14.94,90500,14.792952
2016-01-28,14.77,14.84,14.73,14.79,111100,14.644429
2016-01-27,14.84,14.86,14.68,14.70,179500,14.555315
2016-01-26,14.66,14.74,14.64,14.72,179400,14.575118
2016-01-25,14.92,14.93,14.68,14.69,186200,14.545413
2016-01-22,14.86,14.95,14.77,14.91,72700,14.763248
2016-01-21,14.73,14.81,14.66,14.80,99500,14.654331
2016-01-20,14.84,14.85,14.67,14.73,102600,14.585019
2016-01-19,14.78,14.90,14.74,14.84,121900,14.693937
2016-01-15,14.77,14.86,14.77,14.78,97700,14.634527
2016-01-14,14.75,14.75,14.70,14.75,93900,14.604823
2016-01-13,14.85,14.85,14.68,14.69,85600,14.545413
2016-01-12,14.89,14.89,14.82,14.89,58500,14.670174
2016-01-11,14.94,14.94,14.81,14.89,84000,14.670174
2016-01-08,14.81,14.95,14.77,14.91,115700,14.689878
2016-01-07,14.98,15.02,14.80,14.81,199700,14.591355
2016-01-06,14.94,14.99,14.92,14.94,144500,14.719435
2016-01-05,14.82,14.87,14.79,14.85,154500,14.630765
2016-01-04,14.74,14.80,14.61,14.79,119600,14.57165
2015-12-31,14.67,14.73,14.65,14.73,123400,14.512535
2015-12-30,14.60,14.67,14.60,14.63,91200,14.414012
2015-12-29,14.67,14.68,14.58,14.58,126700,14.36475
2015-12-28,14.54,14.68,14.53,14.68,76700,14.463274
2015-12-24,14.58,14.64,14.55,14.57,20500,14.354898
2015-12-23,14.48,14.58,14.48,14.56,42900,14.345046
2015-12-22,14.53,14.54,14.47,14.49,78000,14.276079
2015-12-21,14.50,14.57,14.50,14.50,140400,14.285931
2015-12-18,14.51,14.58,14.50,14.50,52700,14.285931
2015-12-17,14.37,14.52,14.37,14.47,140100,14.256375
2015-12-16,14.32,14.40,14.29,14.38,81600,14.167703
2015-12-15,14.25,14.38,14.25,14.38,92700,14.167703
2015-12-14,14.46,14.46,14.28,14.28,139400,14.069179
2015-12-11,14.53,14.55,14.45,14.46,100900,14.246522
2015-12-10,14.56,14.56,14.44,14.48,103600,14.266226
2015-12-09,14.60,14.63,14.54,14.61,97200,14.3214
2015-12-08,14.49,14.60,14.47,14.60,95000,14.311598
2015-12-07,14.45,14.50,14.37,14.49,102400,14.20377
2015-12-04,14.38,14.48,14.33,14.42,118900,14.135154
2015-12-03,14.50,14.57,14.32,14.34,209200,14.056734
2015-12-02,14.53,14.61,14.52,14.56,114200,14.272388
2015-12-01,14.58,14.61,14.54,14.55,107200,14.262586
2015-11-30,14.43,14.52,14.37,14.50,142700,14.213573
2015-11-27,14.41,14.43,14.39,14.43,9000,14.144956
2015-11-25,14.33,14.42,14.31,14.41,54300,14.125351
2015-11-24,14.29,14.40,14.29,14.33,149300,14.046931
2015-11-23,14.29,14.33,14.26,14.33,43900,14.046931
2015-11-20,14.30,14.33,14.24,14.28,93200,13.997919
2015-11-19,14.27,14.37,14.27,14.33,93700,14.046931
2015-11-18,14.26,14.28,14.24,14.28,48900,13.997919
2015-11-17,14.23,14.29,14.23,14.28,126100,13.997919
2015-11-16,14.15,14.29,14.12,14.29,213300,14.007721
2015-11-13,14.12,14.16,14.08,14.15,131800,13.870487
2015-11-12,14.08,14.16,14.04,14.12,105200,13.841079
2015-11-11,14.09,14.12,14.05,14.12,104800,13.768541
2015-11-10,14.04,14.11,14.00,14.11,116600,13.75879
2015-11-09,14.19,14.19,14.01,14.01,157200,13.66128
2015-11-06,14.25,14.25,14.11,14.25,199800,13.895306
2015-11-05,14.34,14.37,14.28,14.31,113500,13.953812
2015-11-04,14.32,14.35,14.25,14.32,96300,13.963563
2015-11-03,14.35,14.35,14.30,14.30,131500,13.944061
2015-11-02,14.28,14.34,14.22,14.33,149600,13.973314
2015-10-30,14.15,14.28,14.15,14.28,124000,13.924559
2015-10-29,14.15,14.20,14.13,14.18,191700,13.827048
2015-10-28,14.19,14.24,14.14,14.15,97100,13.797794
2015-10-27,14.28,14.28,14.15,14.16,139400,13.807546
2015-10-26,14.32,14.33,14.25,14.25,57500,13.895306
2015-10-23,14.26,14.35,14.26,14.33,105000,13.973314
2015-10-22,14.25,14.29,14.25,14.29,50200,13.93431
2015-10-21,14.19,14.30,14.19,14.25,61200,13.895306
2015-10-20,14.15,14.24,14.15,14.20,43300,13.84655
2015-10-19,14.14,14.19,14.13,14.17,73600,13.817297
2015-10-16,14.13,14.18,14.11,14.17,39200,13.817297
2015-10-15,14.24,14.24,14.15,14.15,65000,13.797794
2015-10-14,14.13,14.26,14.12,14.22,63200,13.866053
2015-10-13,14.08,14.14,14.01,14.14,61500,13.788044
2015-10-12,14.04,14.17,14.04,14.17,65700,13.745139
2015-10-09,14.04,14.09,14.02,14.03,65000,13.609336
2015-10-08,14.02,14.11,14.02,14.04,59400,13.619036
2015-10-07,14.06,14.08,14.02,14.02,60900,13.599637
2015-10-06,14.00,14.12,13.99,14.05,160800,13.628737
2015-10-05,14.13,14.13,13.99,14.00,136900,13.580236
2015-10-02,14.03,14.11,14.02,14.10,115400,13.677238
2015-10-01,14.03,14.06,13.96,14.00,124800,13.580236
2015-09-30,14.08,14.08,13.97,13.97,64200,13.551135
2015-09-29,14.04,14.10,14.00,14.05,58800,13.628737
2015-09-28,14.01,14.02,13.98,14.02,119800,13.599637
2015-09-25,13.96,13.99,13.94,13.99,32900,13.570535
2015-09-24,14.00,14.05,13.96,13.98,67200,13.560835
2015-09-23,14.00,14.04,13.99,14.01,70400,13.589936
2015-09-22,13.92,14.05,13.90,14.04,156300,13.619036
2015-09-21,14.07,14.07,13.90,13.92,120100,13.502634
2015-09-18,13.93,14.11,13.93,14.05,157300,13.628737
2015-09-17,13.84,14.03,13.77,14.03,82100,13.609336
2015-09-16,13.78,13.85,13.77,13.81,67400,13.395933
2015-09-15,13.83,13.83,13.74,13.76,61800,13.347432
2015-09-14,13.90,13.95,13.83,13.83,98100,13.415333
2015-09-11,14.00,14.04,13.85,13.86,164700,13.444433
2015-09-10,14.15,14.19,14.01,14.03,99900,13.537555
2015-09-09,14.15,14.19,14.09,14.14,67300,13.643694
2015-09-08,14.19,14.25,14.12,14.15,106300,13.653342
2015-09-04,14.24,14.29,14.18,14.25,112800,13.749833
