Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.93,13.93,13.80,13.80,65900,13.80
2016-03-10,14.05,14.06,13.85,13.95,51000,13.888
2016-03-09,13.97,14.03,13.95,13.99,39300,13.927822
2016-03-08,13.96,14.03,13.88,13.93,41800,13.86809
2016-03-07,14.03,14.07,13.81,13.88,79100,13.818312
2016-03-04,13.99,14.04,13.99,14.00,66600,13.937778
2016-03-03,13.98,14.02,13.94,14.01,72900,13.947734
2016-03-02,13.96,14.03,13.90,13.98,76900,13.917867
2016-03-01,13.96,14.05,13.93,13.98,121600,13.917867
2016-02-29,14.00,14.08,13.89,13.91,60600,13.848178
2016-02-26,13.94,13.99,13.87,13.98,111400,13.917867
2016-02-25,13.91,13.98,13.85,13.98,109100,13.917867
2016-02-24,13.78,13.94,13.78,13.92,98100,13.858134
2016-02-23,13.78,13.86,13.71,13.79,192400,13.728711
2016-02-22,13.77,13.78,13.74,13.78,45300,13.718756
2016-02-19,13.72,13.76,13.67,13.76,35400,13.698845
2016-02-18,13.64,13.70,13.63,13.67,41600,13.609245
2016-02-17,13.61,13.66,13.54,13.58,56200,13.519645
2016-02-16,13.68,13.72,13.58,13.61,56200,13.549511
2016-02-12,13.82,13.82,13.67,13.68,94000,13.619201
2016-02-11,13.88,13.89,13.75,13.81,53400,13.748623
2016-02-10,13.89,13.96,13.82,13.90,84000,13.776498
2016-02-09,13.75,13.97,13.73,13.79,91500,13.667475
2016-02-08,13.96,13.98,13.72,13.75,95800,13.627831
2016-02-05,13.93,13.99,13.87,13.93,64900,13.806232
2016-02-04,13.92,13.94,13.88,13.92,38000,13.796321
2016-02-03,13.83,13.93,13.83,13.91,79700,13.786409
2016-02-02,13.80,13.88,13.74,13.83,118200,13.70712
2016-02-01,13.67,13.76,13.64,13.76,79000,13.637742
2016-01-29,13.57,13.63,13.57,13.63,27100,13.508897
2016-01-28,13.60,13.61,13.51,13.55,84900,13.429608
2016-01-27,13.50,13.58,13.46,13.54,57200,13.419697
2016-01-26,13.38,13.48,13.38,13.48,60300,13.360229
2016-01-25,13.46,13.49,13.42,13.43,65500,13.310674
2016-01-22,13.50,13.54,13.43,13.43,68900,13.310674
2016-01-21,13.43,13.49,13.40,13.46,75200,13.340408
2016-01-20,13.53,13.57,13.35,13.38,185000,13.261118
2016-01-19,13.58,13.58,13.51,13.52,81800,13.399875
2016-01-15,13.53,13.61,13.51,13.57,120700,13.44943
2016-01-14,13.53,13.55,13.48,13.55,51100,13.429608
2016-01-13,13.62,13.62,13.48,13.50,99700,13.380052
2016-01-12,13.66,13.67,13.56,13.66,88300,13.477181
2016-01-11,13.68,13.70,13.60,13.66,72900,13.477181
2016-01-08,13.72,13.72,13.65,13.69,29600,13.506779
2016-01-07,13.71,13.74,13.63,13.73,62300,13.546244
2016-01-06,13.58,13.73,13.57,13.70,68400,13.516646
2016-01-05,13.50,13.63,13.50,13.63,45000,13.447583
2016-01-04,13.42,13.57,13.42,13.53,137300,13.348921
2015-12-31,13.49,13.55,13.47,13.52,59500,13.339055
2015-12-30,13.42,13.50,13.42,13.45,78400,13.269992
2015-12-29,13.52,13.52,13.38,13.39,107700,13.210795
2015-12-28,13.50,13.51,13.42,13.48,53100,13.29959
2015-12-24,13.43,13.48,13.41,13.46,20100,13.279858
2015-12-23,13.28,13.48,13.27,13.40,121000,13.220661
2015-12-22,13.33,13.36,13.23,13.26,49300,13.082535
2015-12-21,13.30,13.31,13.22,13.30,66100,13.122
2015-12-18,13.29,13.34,13.23,13.25,68000,13.072669
2015-12-17,13.24,13.30,13.16,13.24,80200,13.062802
2015-12-16,13.03,13.20,12.96,13.20,99800,13.023338
2015-12-15,12.97,13.10,12.97,13.08,73500,12.904944
2015-12-14,13.29,13.29,13.03,13.06,79200,12.885212
2015-12-11,13.22,13.31,13.22,13.26,63100,13.082535
2015-12-10,13.23,13.25,13.10,13.25,89000,13.072669
2015-12-09,13.28,13.28,13.23,13.25,54100,13.010511
2015-12-08,13.23,13.25,13.20,13.25,26300,13.010511
2015-12-07,13.23,13.25,13.16,13.18,64200,12.941777
2015-12-04,13.18,13.22,13.17,13.20,74200,12.961415
2015-12-03,13.19,13.21,13.11,13.16,74000,12.922138
2015-12-02,13.24,13.30,13.19,13.22,80700,12.981054
2015-12-01,13.24,13.27,13.18,13.27,87800,13.03015
2015-11-30,13.14,13.19,13.11,13.17,32300,12.931957
2015-11-27,13.10,13.15,13.08,13.12,14500,12.882861
2015-11-25,13.11,13.14,13.08,13.10,37200,12.863223
2015-11-24,13.11,13.14,12.99,13.07,68400,12.833764
2015-11-23,13.07,13.16,13.06,13.11,26600,12.873041
2015-11-20,13.13,13.14,13.00,13.01,40100,12.774849
2015-11-19,13.01,13.09,13.00,13.09,57700,12.853403
2015-11-18,12.97,13.03,12.90,12.99,48800,12.75521
2015-11-17,12.96,13.07,12.92,12.93,58700,12.696295
2015-11-16,13.08,13.08,12.96,12.97,41600,12.735572
2015-11-13,13.00,13.09,12.93,13.07,100300,12.833764
2015-11-12,12.95,13.05,12.89,12.97,71000,12.735572
2015-11-11,12.96,13.01,12.92,12.99,42700,12.694331
2015-11-10,12.90,13.07,12.85,12.97,95500,12.674787
2015-11-09,13.04,13.04,12.92,12.98,100800,12.684559
2015-11-06,13.10,13.13,13.02,13.08,70900,12.782283
2015-11-05,13.10,13.18,13.09,13.17,63600,12.870235
2015-11-04,13.15,13.16,13.09,13.15,135100,12.85069
2015-11-03,13.21,13.34,13.17,13.18,77500,12.880007
2015-11-02,13.26,13.28,13.21,13.21,38800,12.909324
2015-10-30,13.15,13.25,13.15,13.25,30600,12.948414
2015-10-29,13.17,13.21,13.13,13.18,44100,12.880007
2015-10-28,13.21,13.24,13.11,13.19,78100,12.889779
