Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.18,17.18,17.00,17.00,1800,17.00
2016-03-10,17.209999,17.209999,17.209999,17.209999,000,17.139999
2016-03-09,17.15,17.209999,17.15,17.209999,600,17.139999
2016-03-08,16.77,17.209999,16.77,16.790001,3500,16.721709
2016-03-07,16.77,17.110001,16.76,17.110001,6300,17.040407
2016-03-04,17.190001,17.190001,16.91,16.91,4700,16.84122
2016-03-03,16.99,17.059999,16.959999,17.059999,3900,16.990609
2016-03-02,16.48,16.75,16.469999,16.75,1100,16.681871
2016-03-01,17.02,17.030001,16.91,17.030001,3100,16.960733
2016-02-29,16.950001,16.959999,16.870001,16.950001,2900,16.881058
2016-02-26,16.77,16.77,16.77,16.77,3000,16.70179
2016-02-25,16.969999,16.969999,16.459999,16.690001,4400,16.622115
2016-02-24,16.85,16.91,16.809999,16.91,1400,16.84122
2016-02-23,16.33,16.90,16.33,16.83,11600,16.761545
2016-02-22,16.26,16.450001,16.26,16.450001,1300,16.383092
2016-02-19,16.209999,16.209999,16.209999,16.209999,000,16.144066
2016-02-18,16.27,16.49,16.209999,16.209999,7700,16.144066
2016-02-17,16.610001,16.780001,16.139999,16.15,12400,16.084311
2016-02-16,16.84,16.84,16.84,16.84,000,16.771505
2016-02-12,16.75,16.85,16.75,16.84,4200,16.771505
2016-02-11,16.85,16.85,16.85,16.85,200,16.781464
2016-02-10,16.68,16.75,16.68,16.75,7100,16.612156
2016-02-09,16.60,16.90,16.540001,16.67,4700,16.532814
2016-02-08,16.700001,16.700001,16.700001,16.700001,600,16.562568
2016-02-05,16.639999,16.98,16.51,16.549999,15800,16.413801
2016-02-04,16.74,17.10,16.50,16.700001,12300,16.562568
2016-02-03,16.49,16.99,16.459999,16.83,7000,16.691498
2016-02-02,16.40,16.41,16.40,16.40,800,16.265036
2016-02-01,16.60,16.60,16.33,16.40,1500,16.265036
2016-01-29,16.34,16.549999,16.219999,16.48,8300,16.344377
2016-01-28,16.40,16.40,16.40,16.40,000,16.265036
2016-01-27,16.34,16.40,16.34,16.40,600,16.265036
2016-01-26,16.51,16.51,16.51,16.51,300,16.374131
2016-01-25,16.299999,16.41,16.299999,16.41,2600,16.274954
2016-01-22,16.219999,16.32,16.219999,16.32,1100,16.185694
2016-01-21,16.26,16.26,16.209999,16.209999,2500,16.076599
2016-01-20,16.18,16.26,16.01,16.139999,2900,16.007175
2016-01-19,16.23,16.280001,16.18,16.18,8300,16.046847
2016-01-15,16.18,16.280001,16.18,16.209999,4300,16.076599
2016-01-14,16.32,16.32,16.200001,16.200001,3000,16.066683
2016-01-13,16.40,16.42,16.200001,16.42,7000,16.284872
2016-01-12,16.42,16.42,16.32,16.40,6900,16.195612
2016-01-11,16.42,16.43,16.42,16.43,1500,16.225239
2016-01-08,16.469999,16.469999,16.35,16.42,1600,16.215363
2016-01-07,16.75,16.75,16.35,16.35,9400,16.146236
2016-01-06,16.91,16.950001,16.709999,16.74,10300,16.531375
2016-01-05,17.02,17.030001,16.75,16.84,7600,16.630129
2016-01-04,16.709999,16.98,16.709999,16.969999,4200,16.758508
2015-12-31,16.969999,16.969999,16.790001,16.860001,1500,16.64988
2015-12-30,16.799999,16.870001,16.799999,16.870001,400,16.659755
2015-12-29,16.700001,16.799999,16.700001,16.700001,4000,16.491874
2015-12-28,16.610001,16.74,16.610001,16.719999,2200,16.511623
2015-12-24,16.799999,16.799999,16.799999,16.799999,100,16.590626
2015-12-23,16.65,16.719999,16.65,16.709999,1000,16.501748
2015-12-22,16.639999,16.639999,16.540001,16.540001,3100,16.333868
2015-12-21,16.35,16.66,16.35,16.66,8600,16.452372
2015-12-18,16.35,16.57,16.35,16.52,4200,16.314117
2015-12-17,16.58,16.58,16.27,16.41,3600,16.205487
2015-12-16,16.280001,16.360001,16.26,16.360001,2400,16.156111
2015-12-15,16.15,16.34,16.09,16.25,8000,16.047482
2015-12-14,16.209999,16.23,15.91,15.97,9000,15.770971
2015-12-11,16.74,16.790001,16.35,16.35,17700,16.146236
2015-12-10,16.74,16.889999,16.719999,16.889999,700,16.679505
2015-12-09,16.93,17.00,16.75,16.77,5000,16.491874
2015-12-08,16.950001,17.030001,16.950001,17.030001,700,16.747562
2015-12-07,16.98,17.02,16.98,17.00,1100,16.718059
2015-12-04,17.030001,17.049999,16.93,16.93,11900,16.64922
2015-12-03,16.98,17.129999,16.98,16.99,3600,16.708225
2015-12-02,17.16,17.17,16.950001,16.98,4800,16.69839
2015-12-01,17.360001,17.370001,16.98,17.290001,3900,17.003251
2015-11-30,17.24,17.24,17.190001,17.190001,800,16.904909
2015-11-27,17.059999,17.059999,17.059999,17.059999,100,16.777064
2015-11-25,17.129999,17.24,17.129999,17.219999,1100,16.93441
2015-11-24,17.049999,17.049999,17.02,17.02,1800,16.737728
2015-11-23,16.98,17.15,16.98,17.15,3700,16.865571
2015-11-20,16.940001,17.059999,16.940001,16.940001,2600,16.659055
2015-11-19,17.200001,17.200001,17.200001,17.200001,000,16.914743
2015-11-18,16.959999,17.200001,16.959999,17.200001,4800,16.914743
2015-11-17,17.139999,17.139999,16.959999,16.959999,1300,16.678722
2015-11-16,17.17,17.17,17.17,17.17,500,16.88524
2015-11-13,17.049999,17.25,17.049999,17.25,1900,16.963913
2015-11-12,17.120001,17.120001,17.120001,17.120001,000,16.83607
2015-11-11,17.25,17.25,17.120001,17.120001,1800,16.767231
2015-11-10,17.110001,17.120001,17.110001,17.120001,900,16.767231
2015-11-09,17.18,17.190001,17.17,17.190001,900,16.835788
2015-11-06,17.34,17.40,17.24,17.40,3400,17.04146
2015-11-05,17.51,17.51,17.379999,17.379999,3900,17.021871
2015-11-04,17.379999,17.41,17.379999,17.41,5500,17.051254
2015-11-03,17.299999,17.41,17.299999,17.299999,15800,16.94352
2015-11-02,17.40,17.41,17.33,17.33,3100,16.972902
2015-10-30,17.18,17.33,17.18,17.33,1800,16.972902
2015-10-29,17.190001,17.299999,17.110001,17.110001,2900,16.757436
2015-10-28,17.040001,17.40,17.040001,17.40,11700,17.04146
2015-10-27,17.35,17.35,17.35,17.35,000,16.992491
2015-10-26,17.25,17.35,17.25,17.35,1300,16.992491
2015-10-23,17.040001,17.040001,16.959999,16.959999,2100,16.610526
2015-10-22,17.040001,17.040001,17.040001,17.040001,000,16.688879
2015-10-21,17.040001,17.040001,17.040001,17.040001,000,16.688879
2015-10-20,16.969999,17.129999,16.969999,17.040001,2400,16.688879
2015-10-19,17.25,17.25,17.00,17.059999,2700,16.708466
2015-10-16,17.299999,17.299999,16.93,17.10,6700,16.747642
2015-10-15,16.950001,16.950001,16.75,16.75,3200,16.404854
2015-10-14,16.879999,16.879999,16.84,16.860001,3700,16.512588
2015-10-13,16.719999,16.799999,16.719999,16.790001,3500,16.44403
2015-10-12,16.709999,16.950001,16.709999,16.950001,1900,16.532176
2015-10-09,16.860001,16.860001,16.74,16.74,3700,16.327351
2015-10-08,16.99,16.99,16.99,16.99,2200,16.571189
2015-10-07,16.940001,16.940001,16.940001,16.940001,000,16.522422
2015-10-06,16.93,16.940001,16.93,16.940001,900,16.522422
2015-10-05,16.90,16.959999,16.90,16.93,600,16.512668
2015-10-02,16.85,16.93,16.799999,16.93,1000,16.512668
2015-10-01,16.98,16.98,16.809999,16.809999,2900,16.395625
2015-09-30,16.959999,17.200001,16.82,16.90,18300,16.483407
2015-09-29,16.99,17.02,16.959999,17.02,3400,16.60045
2015-09-28,17.25,17.25,17.110001,17.17,3700,16.746752
2015-09-25,17.049999,17.059999,16.959999,16.959999,7400,16.541927
2015-09-24,17.07,17.07,17.049999,17.049999,7200,16.629709
2015-09-23,17.139999,17.27,17.10,17.10,5400,16.678478
2015-09-22,17.00,17.120001,17.00,17.10,1700,16.678478
2015-09-21,17.059999,17.059999,17.059999,17.059999,100,16.639463
2015-09-18,17.040001,17.049999,16.93,16.940001,8700,16.522422
2015-09-17,16.950001,17.00,16.950001,16.950001,5000,16.532176
2015-09-16,17.040001,17.040001,16.98,17.02,2400,16.60045
2015-09-15,16.90,17.059999,16.90,16.90,2300,16.483407
2015-09-14,16.969999,16.969999,16.90,16.90,4200,16.483407
2015-09-11,17.09,17.09,17.09,17.09,000,16.668724
2015-09-10,17.049999,17.09,17.00,17.09,4800,16.600449
2015-09-09,17.00,17.00,17.00,17.00,2300,16.513027
2015-09-08,16.959999,17.02,16.959999,17.00,6000,16.513027
2015-09-04,16.98,16.98,16.98,16.98,300,16.4936
2015-09-03,17.00,17.139999,17.00,17.00,900,16.513027
2015-09-02,17.09,17.09,17.00,17.00,2800,16.513027
2015-09-01,17.190001,17.190001,17.00,17.00,6100,16.513027
2015-08-31,17.00,17.200001,17.00,17.09,1100,16.600449
2015-08-28,17.02,17.120001,16.889999,17.00,5900,16.513027
2015-08-27,17.120001,17.120001,17.01,17.030001,1400,16.542169
2015-08-26,17.48,17.48,17.00,17.02,4200,16.532455
