Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.47,14.48,14.32,14.32,32400,14.32
2016-03-10,14.48,14.53,14.44,14.50,47900,14.433
2016-03-09,14.38,14.51,14.34,14.46,26900,14.393185
2016-03-08,14.47,14.55,14.37,14.39,57500,14.323509
2016-03-07,14.34,14.48,14.34,14.40,59000,14.333462
2016-03-04,14.29,14.42,14.28,14.31,64600,14.243879
2016-03-03,14.30,14.32,14.25,14.32,60700,14.253832
2016-03-02,14.33,14.34,14.25,14.26,24900,14.194109
2016-03-01,14.45,14.45,14.29,14.30,84400,14.233925
2016-02-29,14.33,14.44,14.33,14.40,48400,14.333462
2016-02-26,14.43,14.43,14.35,14.36,47400,14.293647
2016-02-25,14.38,14.45,14.37,14.45,47200,14.383231
2016-02-24,14.26,14.36,14.26,14.36,55300,14.293647
2016-02-23,14.24,14.37,14.21,14.34,52200,14.27374
2016-02-22,14.24,14.24,14.20,14.21,26400,14.14434
2016-02-19,14.23,14.24,14.19,14.21,33300,14.14434
2016-02-18,14.25,14.25,14.19,14.22,31300,14.154294
2016-02-17,14.22,14.22,14.16,14.17,24900,14.104525
2016-02-16,14.24,14.25,14.18,14.19,35500,14.124432
2016-02-12,14.32,14.36,14.22,14.24,74500,14.174201
2016-02-11,14.39,14.39,14.31,14.31,101900,14.243879
2016-02-10,14.30,14.39,14.26,14.31,51300,14.243879
2016-02-09,14.30,14.39,14.26,14.30,92400,14.167234
2016-02-08,14.34,14.40,14.27,14.30,62900,14.167234
2016-02-05,14.31,14.32,14.27,14.27,52800,14.137512
2016-02-04,14.33,14.34,14.30,14.30,41700,14.167234
2016-02-03,14.25,14.35,14.25,14.30,47200,14.167234
2016-02-02,14.32,14.32,14.24,14.25,60900,14.117698
2016-02-01,14.23,14.25,14.17,14.25,23200,14.117698
2016-01-29,14.20,14.25,14.17,14.19,70900,14.058254
2016-01-28,14.13,14.20,14.10,14.20,53400,14.068162
2016-01-27,14.07,14.13,14.05,14.07,35700,13.939369
2016-01-26,13.99,14.05,13.96,14.05,40900,13.919555
2016-01-25,14.03,14.03,13.95,13.95,34700,13.820483
2016-01-22,13.95,14.10,13.95,14.00,70000,13.870019
2016-01-21,14.00,14.06,13.93,13.99,46900,13.860111
2016-01-20,14.09,14.09,13.87,13.90,69600,13.770947
2016-01-19,14.12,14.13,14.02,14.03,48100,13.89974
2016-01-15,14.09,14.09,14.04,14.07,26200,13.939369
2016-01-14,14.06,14.12,13.99,14.06,126600,13.929462
2016-01-13,14.04,14.07,14.02,14.04,62200,13.909647
2016-01-12,14.02,14.11,14.01,14.05,103000,13.853177
2016-01-11,14.12,14.12,14.01,14.02,72700,13.823598
2016-01-08,14.10,14.11,14.09,14.09,62400,13.892617
2016-01-07,14.09,14.11,14.08,14.09,57000,13.892617
2016-01-06,14.10,14.14,14.05,14.08,74000,13.882757
2016-01-05,14.15,14.16,14.10,14.11,74000,13.912336
2016-01-04,14.10,14.15,14.09,14.10,122300,13.902477
2015-12-31,14.18,14.25,14.10,14.23,53300,14.030655
2015-12-30,14.12,14.13,14.03,14.12,38000,13.922196
2015-12-29,14.15,14.24,13.99,14.09,112600,13.892617
2015-12-28,14.00,14.13,14.00,14.12,84800,13.922196
2015-12-24,14.01,14.11,14.01,14.08,8200,13.882757
2015-12-23,13.99,14.07,13.97,14.01,23000,13.813737
2015-12-22,14.04,14.06,13.97,14.01,42400,13.813737
2015-12-21,14.02,14.07,13.96,14.01,45700,13.813737
2015-12-18,13.95,14.04,13.93,13.98,34900,13.784157
2015-12-17,13.86,13.99,13.77,13.90,52300,13.705278
2015-12-16,13.69,13.86,13.65,13.82,71600,13.626399
2015-12-15,13.72,13.80,13.66,13.75,44500,13.55738
2015-12-14,13.81,13.87,13.70,13.72,33700,13.5278
2015-12-11,13.83,13.91,13.75,13.81,43300,13.616539
2015-12-10,13.85,13.90,13.79,13.84,33500,13.575127
2015-12-09,13.87,13.92,13.79,13.90,41900,13.633978
2015-12-08,13.83,13.93,13.82,13.91,20600,13.643787
2015-12-07,13.86,13.87,13.75,13.78,51300,13.516275
2015-12-04,13.83,13.94,13.76,13.85,47300,13.584936
2015-12-03,13.93,13.93,13.77,13.80,31000,13.535893
2015-12-02,14.04,14.10,13.87,13.91,44700,13.643787
2015-12-01,14.05,14.10,13.97,14.07,55200,13.800725
2015-11-30,14.08,14.08,13.94,13.95,64800,13.683022
2015-11-27,14.00,14.02,13.93,14.00,9900,13.732065
2015-11-25,13.95,13.97,13.88,13.95,76100,13.683022
2015-11-24,13.91,13.94,13.83,13.90,63700,13.633978
2015-11-23,13.94,14.00,13.89,13.90,40300,13.633978
2015-11-20,13.76,13.92,13.76,13.89,39200,13.624171
2015-11-19,13.78,13.79,13.69,13.78,27000,13.516275
2015-11-18,13.69,13.77,13.69,13.73,31200,13.467232
2015-11-17,13.69,13.74,13.64,13.66,26300,13.398572
2015-11-16,13.72,13.78,13.72,13.76,31100,13.496658
2015-11-13,13.60,13.81,13.58,13.70,43900,13.437806
2015-11-12,13.50,13.60,13.50,13.60,29100,13.339721
2015-11-11,13.51,13.57,13.50,13.50,44600,13.241634
2015-11-10,13.45,13.55,13.45,13.53,29700,13.27106
2015-11-09,13.63,13.63,13.48,13.57,46900,13.244576
2015-11-06,13.75,13.75,13.59,13.73,69000,13.400739
2015-11-05,13.75,13.81,13.75,13.76,42500,13.43002
2015-11-04,13.79,13.80,13.69,13.76,59900,13.43002
2015-11-03,13.80,13.87,13.80,13.84,40800,13.508102
2015-11-02,13.85,13.96,13.79,13.82,70700,13.488581
2015-10-30,13.76,13.89,13.72,13.86,64100,13.527622
2015-10-29,13.83,13.86,13.80,13.83,23100,13.498341
2015-10-28,13.75,13.91,13.75,13.88,39900,13.547143
2015-10-27,13.83,13.85,13.75,13.85,54700,13.517862
2015-10-26,13.84,13.86,13.76,13.85,24400,13.517862
2015-10-23,13.78,13.88,13.73,13.87,33500,13.537382
2015-10-22,13.76,13.88,13.76,13.80,43800,13.469061
2015-10-21,13.70,13.74,13.64,13.71,38800,13.381219
2015-10-20,13.65,13.70,13.62,13.65,50300,13.322658
2015-10-19,13.68,13.70,13.61,13.70,47100,13.371459
2015-10-16,13.60,13.74,13.57,13.64,54400,13.312898
2015-10-15,13.61,13.66,13.60,13.63,23800,13.303138
2015-10-14,13.64,13.67,13.56,13.66,24100,13.332418
2015-10-13,13.62,13.64,13.55,13.61,17100,13.283617
2015-10-12,13.72,13.74,13.64,13.64,31300,13.247506
2015-10-09,13.70,13.70,13.64,13.65,27800,13.257217
2015-10-08,13.60,13.73,13.59,13.67,52500,13.276642
2015-10-07,13.64,13.69,13.58,13.63,41300,13.237793
2015-10-06,13.64,13.69,13.59,13.69,43000,13.296066
2015-10-05,13.60,13.64,13.51,13.64,43200,13.247506
2015-10-02,13.46,13.62,13.45,13.62,52800,13.228081
2015-10-01,13.45,13.49,13.42,13.47,31500,13.082397
2015-09-30,13.34,13.44,13.34,13.42,45000,13.033836
2015-09-29,13.31,13.40,13.30,13.40,27600,13.014411
2015-09-28,13.45,13.45,13.32,13.33,44300,12.946426
2015-09-25,13.41,13.46,13.40,13.42,21400,13.033836
2015-09-24,13.41,13.47,13.37,13.47,36600,13.082397
2015-09-23,13.35,13.46,13.35,13.41,17800,13.024123
2015-09-22,13.27,13.40,13.27,13.39,50300,13.004699
2015-09-21,13.30,13.33,13.28,13.30,24400,12.917289
2015-09-18,13.22,13.37,13.21,13.35,36700,12.96585
2015-09-17,13.10,13.25,13.10,13.24,75900,12.859015
2015-09-16,13.15,13.16,13.11,13.12,19200,12.742468
2015-09-15,13.18,13.19,13.11,13.15,35800,12.771605
2015-09-14,13.30,13.35,13.18,13.18,34000,12.800742
2015-09-11,13.34,13.39,13.27,13.28,47000,12.897864
2015-09-10,13.45,13.50,13.41,13.42,36400,12.968764
2015-09-09,13.46,13.49,13.44,13.45,27000,12.997755
2015-09-08,13.47,13.50,13.45,13.46,29800,13.007419
2015-09-04,13.48,13.50,13.42,13.45,37400,12.997755
2015-09-03,13.47,13.50,13.41,13.43,47800,12.978428
2015-09-02,13.45,13.55,13.43,13.47,45700,13.017083
2015-09-01,13.45,13.48,13.35,13.45,36700,12.997755
2015-08-31,13.44,13.47,13.30,13.40,70200,12.949436
2015-08-28,13.31,13.48,13.29,13.40,40800,12.949436
2015-08-27,13.39,13.46,13.36,13.41,26500,12.9591
2015-08-26,13.46,13.46,13.33,13.44,37000,12.988091
2015-08-25,13.38,13.38,13.32,13.36,31400,12.910781
2015-08-24,13.34,13.39,13.27,13.27,54100,12.823808
2015-08-21,13.34,13.39,13.34,13.37,25400,12.920445
2015-08-20,13.34,13.38,13.31,13.34,37900,12.891454
2015-08-19,13.35,13.41,13.34,13.39,15800,12.939773
2015-08-18,13.37,13.41,13.35,13.36,35000,12.910781
2015-08-17,13.40,13.46,13.35,13.41,27200,12.9591
2015-08-14,13.39,13.44,13.36,13.40,30800,12.949436
2015-08-13,13.46,13.51,13.40,13.42,44300,12.968764
2015-08-12,13.52,13.53,13.45,13.49,25600,13.03641
2015-08-11,13.46,13.55,13.46,13.55,37300,13.029646
2015-08-10,13.52,13.53,13.45,13.46,19500,12.943102
2015-08-07,13.51,13.55,13.45,13.45,32300,12.933485
2015-08-06,13.44,13.50,13.40,13.48,49300,12.962333
2015-08-05,13.54,13.54,13.39,13.41,65500,12.895022
2015-08-04,13.50,13.59,13.49,13.54,54800,13.020029
2015-08-03,13.50,13.50,13.47,13.49,54600,12.971949
2015-07-31,13.43,13.50,13.43,13.50,43600,12.981565
2015-07-30,13.48,13.48,13.30,13.35,114700,12.837326
2015-07-29,13.46,13.47,13.43,13.46,24100,12.943102
2015-07-28,13.46,13.46,13.39,13.40,38000,12.885405
2015-07-27,13.46,13.54,13.46,13.49,22500,12.971949
2015-07-24,13.43,13.51,13.41,13.50,37000,12.981565
2015-07-23,13.41,13.42,13.37,13.42,8600,12.904638
2015-07-22,13.30,13.40,13.30,13.40,38100,12.885405
2015-07-21,13.26,13.37,13.26,13.37,69200,12.856558
