Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.299999,16.299999,16.17,16.17,21900,16.17
2016-03-10,16.280001,16.280001,16.16,16.17,16700,16.17
2016-03-09,16.209999,16.290001,16.18,16.219999,24200,16.219999
2016-03-08,16.08,16.209999,16.08,16.18,35500,16.18
2016-03-07,16.10,16.139999,16.049999,16.08,31200,16.08
2016-03-04,16.139999,16.16,16.040001,16.129999,32500,16.129999
2016-03-03,16.120001,16.139999,16.02,16.139999,55300,16.139999
2016-03-02,16.18,16.24,16.129999,16.16,34900,16.16
2016-03-01,16.35,16.43,16.08,16.18,74400,16.18
2016-02-29,16.290001,16.370001,16.26,16.370001,35800,16.370001
2016-02-26,16.360001,16.360001,16.23,16.309999,19200,16.309999
2016-02-25,16.309999,16.43,16.280001,16.379999,50900,16.379999
2016-02-24,16.389999,16.440001,16.290001,16.370001,29300,16.295001
2016-02-23,16.16,16.42,16.139999,16.370001,25200,16.295001
2016-02-22,16.32,16.32,16.18,16.18,24600,16.10587
2016-02-19,16.23,16.309999,16.16,16.299999,47100,16.22532
2016-02-18,16.07,16.190001,16.07,16.190001,46100,16.115825
2016-02-17,15.99,16.139999,15.99,16.10,15700,16.026237
2016-02-16,16.190001,16.190001,15.96,16.049999,47800,15.976465
2016-02-12,16.34,16.370001,16.09,16.18,26600,16.10587
2016-02-11,16.35,16.379999,16.209999,16.280001,25000,16.205413
2016-02-10,16.34,16.370001,16.24,16.27,45500,16.195458
2016-02-09,16.10,16.27,16.10,16.23,28600,16.155641
2016-02-08,16.25,16.280001,16.049999,16.190001,31100,16.115825
2016-02-05,16.190001,16.25,16.17,16.25,15300,16.175549
2016-02-04,16.09,16.190001,16.08,16.17,48500,16.095916
2016-02-03,16.120001,16.139999,16.049999,16.139999,22600,16.066053
2016-02-02,16.129999,16.15,16.059999,16.059999,29200,15.986419
2016-02-01,15.95,16.139999,15.95,16.040001,33300,15.966513
2016-01-29,15.91,16.049999,15.91,16.01,15400,15.936649
2016-01-28,15.71,15.88,15.71,15.85,22400,15.777382
2016-01-27,15.84,15.87,15.71,15.71,40100,15.638024
2016-01-26,15.96,15.96,15.87,15.90,41800,15.752496
2016-01-25,15.97,15.97,15.88,15.88,19100,15.732683
2016-01-22,15.84,16.00,15.84,15.99,28500,15.841662
2016-01-21,15.79,15.84,15.79,15.83,22800,15.683146
2016-01-20,15.87,15.88,15.60,15.79,37700,15.643517
2016-01-19,15.86,16.059999,15.86,15.97,41400,15.821848
2016-01-15,16.00,16.879999,15.83,15.84,66500,15.693054
2016-01-14,15.97,16.00,15.89,16.00,21100,15.851569
2016-01-13,15.96,16.15,15.86,15.93,31200,15.782219
2016-01-12,15.88,15.95,15.76,15.95,34900,15.802033
2016-01-11,15.88,15.93,15.72,15.82,35300,15.673239
2016-01-08,15.94,15.94,15.84,15.84,26500,15.693054
2016-01-07,15.87,16.110001,15.87,15.91,12900,15.762404
2016-01-06,15.86,15.92,15.73,15.90,33300,15.752496
2016-01-05,15.80,15.98,15.70,15.91,65900,15.762404
2016-01-04,15.68,15.83,15.55,15.74,48900,15.593981
2015-12-31,15.69,15.76,15.67,15.72,9400,15.574167
2015-12-30,15.50,15.66,15.50,15.65,25400,15.504816
2015-12-29,15.54,15.65,15.52,15.55,28900,15.405744
2015-12-28,15.58,15.67,15.58,15.59,13700,15.371068
2015-12-24,15.66,15.72,15.57,15.65,31600,15.430225
2015-12-23,15.67,15.67,15.46,15.66,43300,15.440085
2015-12-22,15.46,15.72,15.45,15.58,37800,15.361209
2015-12-21,15.54,15.59,15.46,15.46,26000,15.242894
