Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.88,14.92,14.60,14.71,6400,14.71
2016-03-10,14.65,14.95,14.61,14.75,16600,14.75
2016-03-09,14.65,14.85,14.55,14.55,12400,14.55
2016-03-08,14.69,14.69,14.50,14.62,12100,14.62
2016-03-07,14.45,14.68,14.45,14.61,9000,14.61
2016-03-04,14.49,14.50,14.34,14.34,3300,14.34
2016-03-03,14.47,14.60,14.40,14.43,13300,14.43
2016-03-02,14.59,14.59,14.41,14.59,9600,14.59
2016-03-01,14.33,14.59,14.33,14.59,8600,14.59
2016-02-29,14.44,14.45,14.36,14.45,9400,14.45
2016-02-26,14.59,14.59,14.33,14.35,30500,14.35
2016-02-25,14.55,14.63,14.45,14.47,10200,14.47
2016-02-24,14.52,14.70,14.52,14.70,7300,14.642999
2016-02-23,14.63,14.71,14.59,14.63,16700,14.573271
2016-02-22,14.58,14.58,14.42,14.50,11200,14.443775
2016-02-19,14.75,14.75,14.46,14.46,13400,14.40393
2016-02-18,14.54,14.55,14.49,14.55,10600,14.493581
2016-02-17,14.55,14.63,14.42,14.43,6800,14.374047
2016-02-16,14.65,14.74,14.44,14.44,17000,14.384007
2016-02-12,14.68,14.71,14.60,14.69,5400,14.633038
2016-02-11,14.75,14.75,14.60,14.60,5100,14.543388
2016-02-10,14.71,14.71,14.63,14.63,5800,14.573271
2016-02-09,14.69,14.69,14.60,14.60,3900,14.543388
2016-02-08,14.60,14.64,14.60,14.60,3000,14.543388
2016-02-05,14.61,14.97,14.52,14.53,9300,14.473658
2016-02-04,15.03,15.05,14.73,14.73,4500,14.672883
2016-02-03,15.05,15.05,14.66,14.95,9500,14.89203
2016-02-02,14.84,15.05,14.72,15.00,16400,14.941836
2016-02-01,14.65,14.75,14.64,14.75,2600,14.692806
2016-01-29,14.51,14.65,14.51,14.65,1300,14.593193
2016-01-28,14.52,14.57,14.43,14.44,7700,14.384007
2016-01-27,14.40,14.48,14.15,14.48,9500,14.423852
2016-01-26,14.11,14.40,14.10,14.39,9400,14.277423
2016-01-25,14.08,14.31,14.03,14.03,4100,13.920239
2016-01-22,14.33,14.33,14.09,14.13,9400,14.019457
2016-01-21,14.15,14.25,14.10,14.20,4000,14.088909
2016-01-20,14.22,14.44,13.83,13.85,12000,13.741648
2016-01-19,14.09,14.33,14.09,14.17,9300,14.059144
2016-01-15,14.33,14.47,14.16,14.21,7400,14.098831
2016-01-14,14.09,14.33,14.02,14.16,26600,14.049222
2016-01-13,14.59,14.59,14.07,14.12,9800,14.009535
2016-01-12,14.40,14.61,14.14,14.19,8000,14.078987
2016-01-11,14.62,14.62,14.18,14.29,6700,14.178205
2016-01-08,14.62,14.66,14.31,14.54,7500,14.426249
2016-01-07,14.57,14.57,14.22,14.52,11700,14.406406
2016-01-06,14.21,14.44,14.05,14.42,4700,14.307188
