Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.92,10.92,10.87,10.89,37800,10.89
2016-03-10,10.93,10.95,10.90,10.95,45000,10.911
2016-03-09,10.91,10.93,10.89,10.93,39000,10.891072
2016-03-08,10.90,10.96,10.88,10.92,77900,10.881107
2016-03-07,10.86,10.93,10.85,10.93,18600,10.891072
2016-03-04,10.98,10.98,10.86,10.89,23900,10.851214
2016-03-03,10.82,10.99,10.81,10.99,81200,10.950858
2016-03-02,10.80,10.84,10.78,10.82,67500,10.781463
2016-03-01,10.78,10.86,10.73,10.84,75000,10.801392
2016-02-29,10.71,10.80,10.65,10.79,34700,10.75157
2016-02-26,10.75,10.75,10.65,10.67,68100,10.631998
2016-02-25,10.75,10.78,10.73,10.75,31000,10.711713
2016-02-24,10.82,10.84,10.74,10.76,63100,10.721677
2016-02-23,10.76,10.82,10.72,10.82,76600,10.781463
2016-02-22,10.85,10.85,10.77,10.77,53900,10.731642
2016-02-19,10.81,10.88,10.81,10.85,17700,10.811357
2016-02-18,10.74,10.82,10.73,10.81,52400,10.771499
2016-02-17,10.79,10.82,10.74,10.78,48000,10.741606
2016-02-16,10.84,10.86,10.70,10.86,64100,10.821321
2016-02-12,11.01,11.01,10.76,10.76,56700,10.721677
2016-02-11,11.03,11.09,10.98,11.04,67400,11.00068
2016-02-10,11.08,11.08,10.99,11.00,47400,10.960822
2016-02-09,11.05,11.10,11.01,11.10,42000,11.021605
2016-02-08,11.00,11.05,10.94,11.05,53400,10.971958
2016-02-05,10.98,11.05,10.98,11.05,56000,10.971958
2016-02-04,10.94,11.00,10.94,11.00,18100,10.922311
2016-02-03,10.90,10.98,10.89,10.95,35000,10.872664
2016-02-02,10.86,10.91,10.85,10.90,45400,10.823017
2016-02-01,10.85,10.88,10.82,10.88,32500,10.803159
2016-01-29,10.80,10.86,10.80,10.86,45000,10.7833
2016-01-28,10.85,10.85,10.77,10.80,30400,10.723724
2016-01-27,10.79,10.83,10.78,10.80,57600,10.723724
2016-01-26,10.85,10.85,10.70,10.82,88300,10.743582
2016-01-25,10.84,10.87,10.82,10.83,25400,10.753512
2016-01-22,10.81,10.82,10.80,10.81,23600,10.733654
2016-01-21,10.81,10.81,10.79,10.80,25900,10.723724
2016-01-20,10.88,10.88,10.70,10.80,40900,10.723724
2016-01-19,10.89,10.90,10.81,10.88,40900,10.803159
2016-01-15,10.73,10.92,10.73,10.89,59400,10.813088
2016-01-14,10.70,10.82,10.61,10.69,50800,10.6145
2016-01-13,10.78,10.78,10.66,10.69,39900,10.6145
2016-01-12,10.74,10.79,10.65,10.79,52700,10.675069
2016-01-11,10.77,10.77,10.68,10.70,45600,10.586028
2016-01-08,10.80,10.80,10.77,10.77,23000,10.655283
2016-01-07,10.80,10.85,10.72,10.79,59600,10.675069
2016-01-06,10.89,10.95,10.78,10.79,63800,10.675069
2016-01-05,10.83,10.90,10.82,10.88,49400,10.764111
2016-01-04,10.82,10.83,10.79,10.83,29600,10.714643
2015-12-31,10.81,10.88,10.79,10.88,26200,10.764111
2015-12-30,10.79,10.84,10.77,10.82,14600,10.70475
2015-12-29,10.77,10.82,10.73,10.76,30400,10.645389
2015-12-28,10.81,10.81,10.77,10.78,15400,10.665176
2015-12-24,10.81,10.81,10.75,10.79,5100,10.675069
2015-12-23,10.85,10.87,10.73,10.80,44100,10.684963
2015-12-22,10.86,10.86,10.80,10.84,61900,10.724537
2015-12-21,10.88,10.88,10.77,10.86,37800,10.744323
2015-12-18,10.82,10.88,10.78,10.87,38400,10.754217
2015-12-17,10.69,10.85,10.67,10.80,71800,10.684963
2015-12-16,10.58,10.68,10.58,10.68,42200,10.566241
2015-12-15,10.60,10.60,10.35,10.55,85800,10.437626
2015-12-14,10.75,10.75,10.57,10.59,33200,10.4772
2015-12-11,10.65,10.84,10.63,10.74,143600,10.625602
2015-12-10,10.65,10.69,10.63,10.68,33700,10.527657
2015-12-09,10.63,10.65,10.51,10.64,60600,10.488228
2015-12-08,10.61,10.64,10.44,10.64,100300,10.488228
2015-12-07,10.54,10.64,10.54,10.60,57900,10.448798
2015-12-04,10.57,10.61,10.53,10.60,25900,10.448798
2015-12-03,10.59,10.63,10.53,10.54,58100,10.389654
2015-12-02,10.68,10.68,10.57,10.62,73400,10.468513
2015-12-01,10.72,10.79,10.66,10.67,94400,10.5178
2015-11-30,10.64,10.70,10.64,10.67,37700,10.5178
2015-11-27,10.75,10.77,10.61,10.69,50800,10.537514
2015-11-25,10.72,10.77,10.72,10.74,45800,10.586801
2015-11-24,10.74,10.77,10.72,10.72,42500,10.567086
2015-11-23,10.81,10.81,10.74,10.76,38700,10.606516
2015-11-20,10.83,10.90,10.81,10.81,29700,10.655803
2015-11-19,10.90,10.90,10.87,10.89,34700,10.734662
2015-11-18,10.81,10.95,10.79,10.90,59700,10.744518
2015-11-17,10.65,10.83,10.65,10.81,52200,10.65186
2015-11-16,10.75,10.79,10.70,10.70,22200,10.543468
2015-11-13,10.78,10.80,10.74,10.80,35000,10.642006
2015-11-12,10.75,10.78,10.73,10.76,30200,10.602591
2015-11-11,10.70,10.78,10.70,10.74,38700,10.582883
2015-11-10,10.54,10.75,10.52,10.72,33100,10.563176
2015-11-09,10.53,10.61,10.44,10.58,64700,10.386795
2015-11-06,10.70,10.72,10.59,10.59,34500,10.396612
2015-11-05,10.78,10.79,10.74,10.75,61400,10.55369
2015-11-04,10.75,10.79,10.71,10.79,41900,10.59296
2015-11-03,10.76,10.79,10.72,10.73,58900,10.534055
2015-11-02,10.75,10.79,10.73,10.78,56000,10.583142
2015-10-30,10.75,10.75,10.72,10.74,56700,10.543873
2015-10-29,10.72,10.78,10.72,10.75,22900,10.55369
2015-10-28,10.71,10.77,10.69,10.76,46800,10.563508
2015-10-27,10.78,10.78,10.72,10.72,22900,10.524238
2015-10-26,10.78,10.80,10.72,10.75,26700,10.55369
2015-10-23,10.83,10.83,10.71,10.74,36900,10.543873
2015-10-22,10.80,10.80,10.73,10.77,33600,10.573325
2015-10-21,10.80,10.80,10.76,10.78,36700,10.583142
2015-10-20,10.80,10.82,10.72,10.80,18300,10.602777
2015-10-19,10.78,10.80,10.72,10.80,33700,10.602777
2015-10-16,10.79,10.79,10.70,10.72,15700,10.524238
2015-10-15,10.70,10.86,10.67,10.73,50500,10.534055
2015-10-14,10.65,10.70,10.60,10.70,25800,10.504603
2015-10-13,10.61,10.68,10.57,10.68,30500,10.484969
2015-10-12,10.60,10.61,10.49,10.60,35200,10.368142
2015-10-09,10.56,10.59,10.54,10.55,10100,10.319236
2015-10-08,10.52,10.59,10.52,10.54,52900,10.309454
2015-10-07,10.60,10.62,10.52,10.52,47900,10.289892
2015-10-06,10.48,10.60,10.48,10.57,21500,10.338798
