Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.25,5.27,5.22,5.26,263700,5.26
2016-03-10,5.23,5.24,5.17,5.20,376400,5.20
2016-03-09,5.19,5.19,5.11,5.18,306600,5.18
2016-03-08,5.22,5.23,5.18,5.20,431300,5.135
2016-03-07,5.18,5.23,5.18,5.20,397800,5.135
2016-03-04,5.14,5.20,5.14,5.18,459900,5.11525
2016-03-03,5.12,5.16,5.09,5.11,359900,5.046125
2016-03-02,5.10,5.10,5.03,5.10,657600,5.03625
2016-03-01,4.99,5.07,4.94,5.07,573500,5.006625
2016-02-29,4.83,4.92,4.83,4.92,305600,4.8585
2016-02-26,4.75,4.83,4.74,4.83,442200,4.769625
2016-02-25,4.62,4.73,4.62,4.72,290700,4.661
2016-02-24,4.59,4.64,4.56,4.63,262200,4.572125
2016-02-23,4.58,4.64,4.57,4.60,273500,4.5425
2016-02-22,4.64,4.69,4.61,4.61,357900,4.552375
2016-02-19,4.61,4.65,4.58,4.61,258100,4.552375
2016-02-18,4.66,4.66,4.61,4.63,207000,4.572125
2016-02-17,4.57,4.63,4.56,4.62,332100,4.56225
2016-02-16,4.55,4.58,4.51,4.54,380500,4.48325
2016-02-12,4.52,4.56,4.50,4.51,291000,4.453625
2016-02-11,4.50,4.53,4.41,4.52,593800,4.4635
2016-02-10,4.62,4.64,4.57,4.58,235200,4.52275
2016-02-09,4.65,4.70,4.59,4.67,680200,4.547438
2016-02-08,4.85,4.85,4.65,4.74,665500,4.6156
2016-02-05,4.91,4.92,4.79,4.88,529700,4.751926
2016-02-04,4.94,4.94,4.87,4.94,421300,4.810352
2016-02-03,4.96,4.96,4.82,4.94,381100,4.810352
2016-02-02,4.95,4.97,4.88,4.90,643400,4.771401
2016-02-01,4.93,5.00,4.91,5.00,646200,4.868777
2016-01-29,4.91,4.99,4.91,4.96,755700,4.829827
2016-01-28,4.84,4.94,4.82,4.91,426900,4.781139
2016-01-27,4.86,4.88,4.76,4.79,575500,4.664288
2016-01-26,4.75,4.86,4.75,4.85,248400,4.722713
2016-01-25,4.78,4.85,4.73,4.73,291100,4.605863
2016-01-22,4.71,4.88,4.70,4.80,646300,4.674026
2016-01-21,4.57,4.67,4.55,4.62,929500,4.49875
2016-01-20,4.73,4.75,4.50,4.57,1379400,4.450062
2016-01-19,4.90,4.91,4.77,4.81,723100,4.683763
2016-01-15,5.00,5.00,4.84,4.91,1201900,4.781139
2016-01-14,5.12,5.14,5.02,5.10,417600,4.966152
2016-01-13,5.30,5.30,5.08,5.10,524600,4.966152
2016-01-12,5.37,5.41,5.23,5.30,465200,5.160904
2016-01-11,5.48,5.49,5.39,5.45,548200,5.243672
2016-01-08,5.61,5.64,5.46,5.48,443900,5.272537
2016-01-07,5.70,5.70,5.57,5.61,553700,5.397615
2016-01-06,5.73,5.79,5.62,5.79,1446800,5.570801
2016-01-05,5.64,5.83,5.64,5.80,1533200,5.580422
2016-01-04,5.49,5.67,5.44,5.66,1508300,5.445722
2015-12-31,5.40,5.58,5.34,5.54,1760300,5.330265
2015-12-30,5.47,5.47,5.38,5.38,1155500,5.176323
2015-12-29,5.48,5.48,5.42,5.44,1116700,5.234051
2015-12-28,5.46,5.48,5.41,5.41,994800,5.205187
2015-12-24,5.48,5.54,5.46,5.48,708600,5.272537
2015-12-23,5.43,5.53,5.43,5.48,479000,5.272537
2015-12-22,5.36,5.42,5.33,5.41,644200,5.205187
2015-12-21,5.45,5.45,5.34,5.36,848800,5.15708
2015-12-18,5.42,5.44,5.37,5.40,999500,5.195566
2015-12-17,5.45,5.48,5.40,5.41,359300,5.205187
2015-12-16,5.35,5.45,5.35,5.42,780300,5.214808
2015-12-15,5.37,5.43,5.33,5.34,934300,5.137837
2015-12-14,5.53,5.56,5.32,5.35,1766200,5.147458
2015-12-11,5.64,5.64,5.53,5.56,443200,5.349508
2015-12-10,5.70,5.73,5.64,5.67,465600,5.455344
2015-12-09,5.75,5.80,5.67,5.67,801700,5.455344
2015-12-08,5.94,5.97,5.81,5.86,500300,5.575612
2015-12-07,5.97,5.99,5.93,5.93,697100,5.642214
2015-12-04,5.95,6.04,5.93,6.02,637600,5.727847
2015-12-03,5.95,5.97,5.92,5.96,674200,5.670758
2015-12-02,5.86,5.98,5.86,5.95,605600,5.661244
2015-12-01,5.83,5.94,5.81,5.90,375900,5.61367
2015-11-30,5.83,5.90,5.81,5.81,505500,5.528038
2015-11-27,5.81,5.85,5.75,5.85,122000,5.566097
2015-11-25,5.79,5.82,5.76,5.82,237700,5.537553
2015-11-24,5.75,5.80,5.74,5.76,278700,5.480465
2015-11-23,5.77,5.83,5.77,5.77,255400,5.489979
2015-11-20,5.77,5.85,5.77,5.79,490500,5.509009
2015-11-19,5.82,5.82,5.78,5.78,205500,5.499494
2015-11-18,5.76,5.81,5.75,5.79,263200,5.509009
2015-11-17,5.77,5.83,5.75,5.75,356000,5.47095
2015-11-16,5.71,5.81,5.71,5.80,263900,5.518524
2015-11-13,5.77,5.80,5.73,5.74,321300,5.461435
2015-11-12,5.87,5.90,5.77,5.78,451800,5.499494
2015-11-11,6.06,6.07,5.92,5.92,458800,5.6327
2015-11-10,6.05,6.10,6.05,6.06,331500,5.765905
2015-11-09,6.22,6.22,6.07,6.10,443200,5.803964
2015-11-06,6.36,6.42,6.25,6.28,433100,5.913383
2015-11-05,6.40,6.44,6.40,6.40,253500,6.026378
2015-11-04,6.49,6.49,6.43,6.44,223800,6.064043
2015-11-03,6.45,6.50,6.42,6.47,376900,6.092291
2015-11-02,6.37,6.46,6.35,6.43,389200,6.054626
2015-10-30,6.30,6.34,6.27,6.34,290000,5.969881
2015-10-29,6.30,6.32,6.28,6.30,179600,5.932216
2015-10-28,6.26,6.34,6.26,6.30,332900,5.932216
2015-10-27,6.30,6.34,6.29,6.30,183400,5.932216
2015-10-26,6.41,6.42,6.35,6.36,192300,5.988713
2015-10-23,6.41,6.44,6.38,6.38,212800,6.007546
2015-10-22,6.39,6.40,6.35,6.37,307100,5.998129
2015-10-21,6.38,6.39,6.34,6.36,273900,5.988713
2015-10-20,6.26,6.36,6.26,6.36,593200,5.988713
2015-10-19,6.18,6.28,6.18,6.28,256400,5.913383
2015-10-16,6.21,6.25,6.20,6.21,270300,5.84747
2015-10-15,6.17,6.24,6.15,6.21,297100,5.84747
2015-10-14,6.07,6.17,6.07,6.15,297900,5.790973
2015-10-13,6.09,6.15,6.09,6.10,331700,5.743891
2015-10-12,6.17,6.17,6.10,6.13,199300,5.77214
2015-10-09,6.10,6.17,6.10,6.15,219000,5.790973
2015-10-08,5.99,6.16,5.99,6.07,417900,5.715643
2015-10-07,6.00,6.12,6.00,6.09,466400,5.67327
2015-10-06,5.90,6.00,5.90,6.00,328900,5.589428
2015-10-05,5.88,5.95,5.87,5.90,270100,5.496271
2015-10-02,5.67,5.86,5.64,5.84,497900,5.440377
2015-10-01,5.85,5.85,5.73,5.79,513900,5.393798
2015-09-30,5.87,5.95,5.79,5.83,642600,5.431061
2015-09-29,5.96,6.00,5.78,5.80,714200,5.403114
2015-09-28,6.27,6.27,5.90,5.94,684800,5.533534
2015-09-25,6.30,6.30,6.23,6.25,421400,5.822321
2015-09-24,6.21,6.29,6.16,6.25,708600,5.822321
2015-09-23,6.25,6.30,6.16,6.19,253000,5.766427
2015-09-22,6.28,6.32,6.20,6.28,432400,5.850268
2015-09-21,6.40,6.42,6.33,6.38,377500,5.943425
2015-09-18,6.38,6.45,6.34,6.37,273200,5.934109
2015-09-17,6.32,6.44,6.31,6.39,422500,5.952741
2015-09-16,6.44,6.48,6.29,6.32,768500,5.887531
2015-09-15,6.06,6.33,6.05,6.28,934400,5.850268
2015-09-14,6.21,6.25,6.01,6.06,1240800,5.645322
2015-09-11,6.37,6.43,6.22,6.25,775300,5.822321
2015-09-10,6.53,6.53,6.40,6.40,644200,5.962057
2015-09-09,6.55,6.62,6.53,6.53,480700,6.083161
2015-09-08,6.65,6.69,6.58,6.60,466100,6.087819
2015-09-04,6.41,6.64,6.39,6.62,488300,6.106267
2015-09-03,6.36,6.64,6.33,6.51,1249200,6.004804
2015-09-02,6.61,6.90,6.42,6.44,4086500,5.940236
2015-09-01,7.13,7.30,7.10,7.26,557500,6.696601
2015-08-31,7.23,7.33,7.19,7.22,377900,6.659705
2015-08-28,7.25,7.33,7.19,7.32,335700,6.751945
2015-08-27,7.12,7.31,7.08,7.31,590000,6.742721
2015-08-26,7.03,7.04,6.90,7.02,392500,6.475226
2015-08-25,6.95,7.08,6.90,6.96,414800,6.419882
2015-08-24,6.65,6.75,6.10,6.75,578000,6.226179
2015-08-21,7.18,7.23,7.03,7.08,534400,6.53057
2015-08-20,7.36,7.37,7.27,7.29,203400,6.724273
2015-08-19,7.40,7.44,7.35,7.43,192900,6.853408
2015-08-18,7.40,7.47,7.37,7.46,231400,6.88108
2015-08-17,7.28,7.39,7.28,7.39,219800,6.816513
2015-08-14,7.33,7.35,7.28,7.34,196800,6.770393
2015-08-13,7.33,7.36,7.27,7.35,155000,6.779617
2015-08-12,7.29,7.35,7.24,7.34,228600,6.770393
2015-08-11,7.52,7.55,7.36,7.38,282500,6.807289
2015-08-10,7.62,7.68,7.50,7.66,318500,6.982544
2015-08-07,7.62,7.66,7.56,7.62,230100,6.946081
2015-08-06,7.66,7.67,7.58,7.65,209800,6.973428
2015-08-05,7.66,7.69,7.60,7.67,296300,6.991659
2015-08-04,7.52,7.65,7.48,7.64,355500,6.964312
2015-08-03,7.48,7.56,7.45,7.54,762900,6.873157
2015-07-31,7.37,7.53,7.37,7.43,275000,6.772885
2015-07-30,7.34,7.42,7.34,7.38,263200,6.727307
2015-07-29,7.32,7.42,7.30,7.39,281100,6.736423
2015-07-28,7.21,7.52,7.18,7.39,458700,6.736423
2015-07-27,7.26,7.26,7.04,7.17,897100,6.53588
2015-07-24,7.57,7.61,7.27,7.31,505500,6.663498
2015-07-23,7.53,7.67,7.52,7.63,980300,6.955197
2015-07-22,7.35,7.57,7.35,7.49,572800,6.827578
2015-07-21,7.55,7.55,7.33,7.37,881400,6.718191
