Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,4.72,4.75,4.68,4.74,189300,4.74
2016-03-10,4.71,4.72,4.65,4.67,281000,4.67
2016-03-09,4.66,4.67,4.63,4.66,309100,4.66
2016-03-08,4.72,4.74,4.68,4.69,422100,4.632
2016-03-07,4.71,4.73,4.65,4.70,225500,4.641876
2016-03-04,4.65,4.72,4.63,4.71,459200,4.651753
2016-03-03,4.61,4.69,4.58,4.61,576600,4.55299
2016-03-02,4.64,4.68,4.55,4.62,2876000,4.562866
2016-03-01,4.51,4.61,4.49,4.60,603200,4.543113
2016-02-29,4.41,4.49,4.40,4.46,504200,4.404845
2016-02-26,4.35,4.39,4.33,4.39,446900,4.33571
2016-02-25,4.25,4.32,4.21,4.32,583200,4.266576
2016-02-24,4.15,4.20,4.12,4.20,135300,4.14806
2016-02-23,4.18,4.21,4.13,4.16,195800,4.108554
2016-02-22,4.20,4.23,4.18,4.19,213900,4.138184
2016-02-19,4.19,4.19,4.12,4.18,158600,4.128307
2016-02-18,4.19,4.19,4.13,4.19,125600,4.138184
2016-02-17,4.15,4.16,4.09,4.16,316400,4.108554
2016-02-16,4.13,4.13,4.06,4.10,388200,4.049296
2016-02-12,4.10,4.10,4.01,4.08,119600,4.029544
2016-02-11,4.07,4.09,3.94,4.03,470700,3.980162
2016-02-10,4.12,4.16,4.10,4.14,201100,4.088802
2016-02-09,4.17,4.20,4.11,4.18,262200,4.071024
2016-02-08,4.34,4.35,4.16,4.24,263900,4.12946
2016-02-05,4.40,4.40,4.33,4.38,224300,4.26581
2016-02-04,4.40,4.43,4.36,4.41,248100,4.295028
2016-02-03,4.47,4.47,4.36,4.42,286100,4.304768
2016-02-02,4.47,4.48,4.39,4.42,307900,4.304768
2016-02-01,4.44,4.51,4.40,4.48,413700,4.363203
2016-01-29,4.41,4.49,4.41,4.47,419400,4.353464
2016-01-28,4.36,4.43,4.31,4.41,1414500,4.295028
2016-01-27,4.31,4.36,4.26,4.28,331500,4.168418
2016-01-26,4.22,4.33,4.22,4.29,262000,4.178157
2016-01-25,4.24,4.32,4.20,4.21,360300,4.100242
2016-01-22,4.20,4.34,4.20,4.25,707600,4.139199
2016-01-21,4.09,4.17,4.06,4.13,294100,4.022328
2016-01-20,4.20,4.21,3.98,4.09,892600,3.983371
2016-01-19,4.35,4.38,4.21,4.26,534300,4.148939
2016-01-15,4.41,4.44,4.32,4.35,480500,4.236592
2016-01-14,4.54,4.56,4.48,4.52,482000,4.40216
2016-01-13,4.68,4.70,4.52,4.52,539800,4.40216
2016-01-12,4.73,4.77,4.66,4.68,505000,4.557989
2016-01-11,4.81,4.84,4.75,4.79,591200,4.608633
2016-01-08,4.99,5.00,4.79,4.81,661000,4.627876
2016-01-07,5.01,5.04,4.94,4.94,417600,4.752954
