Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,54.25,55.700001,53.00,55.450001,1500,55.450001
2016-03-10,53.00,54.049999,53.00,54.049999,800,53.800001
2016-03-09,52.389999,53.860001,51.50,53.50,4100,53.252545
2016-03-08,51.200001,51.200001,50.860001,51.200001,1500,50.963184
2016-03-07,50.50,51.200001,50.50,51.200001,900,50.963184
2016-03-04,50.490002,50.849998,50.34,50.50,1300,50.266421
2016-03-03,50.369999,50.50,50.00,50.00,2700,49.768734
2016-03-02,49.93,50.48,49.93,50.48,2100,50.246513
2016-03-01,50.00,50.200001,49.689999,49.689999,1600,49.460166
2016-02-29,49.799999,50.799999,49.799999,50.50,2400,50.266421
2016-02-26,49.77,49.790001,49.299999,49.299999,1200,49.071971
2016-02-25,48.18,49.330002,48.18,49.330002,2500,49.101835
2016-02-24,49.200001,49.529999,48.950001,48.950001,1000,48.723591
2016-02-23,49.790001,49.790001,48.900002,48.900002,1000,48.673823
2016-02-22,49.02,49.790001,49.02,49.790001,1600,49.559706
2016-02-19,49.919998,49.919998,49.919998,49.919998,400,49.689102
2016-02-18,49.990002,49.990002,49.799999,49.799999,500,49.569658
2016-02-17,49.959999,49.959999,49.740002,49.740002,400,49.509938
2016-02-16,50.00,50.00,49.349998,49.959999,3900,49.728918
2016-02-12,50.689999,50.799999,48.889999,48.889999,1100,48.663867
2016-02-11,49.459999,49.669998,49.459999,49.669998,600,49.440259
2016-02-10,49.50,49.50,49.360001,49.360001,700,49.131695
2016-02-09,50.27,50.27,50.00,50.00,500,49.768734
2016-02-08,49.48,49.48,49.48,49.48,000,49.251139
2016-02-05,49.48,49.48,49.48,49.48,000,49.251139
2016-02-04,49.119999,49.77,49.049999,49.48,3500,49.251139
2016-02-03,49.98,50.00,49.700001,49.98,1000,49.748826
2016-02-02,49.849998,49.849998,49.849998,49.849998,000,49.619426
2016-02-01,49.549999,49.849998,49.529999,49.849998,1200,49.619426
2016-01-29,51.029999,51.029999,50.389999,50.389999,1100,50.156929
2016-01-28,52.139999,52.349998,51.240002,51.240002,2400,51.003
2016-01-27,50.360001,51.900002,50.360001,51.50,5400,51.261796
2016-01-26,49.16,50.110001,49.16,50.099998,4800,49.86827
2016-01-25,48.75,49.360001,48.75,49.09,2700,48.862943
2016-01-22,49.689999,49.689999,48.75,48.75,2400,48.524516
2016-01-21,49.880001,49.880001,49.880001,49.880001,300,49.64929
2016-01-20,49.77,49.77,49.75,49.75,300,49.51989
2016-01-19,49.75,50.169998,49.75,50.169998,600,49.937946
2016-01-15,50.00,50.34,49.75,50.34,1200,50.107162
2016-01-14,49.75,49.75,49.75,49.75,1000,49.51989
2016-01-13,50.450001,50.450001,49.900002,50.00,1500,49.768734
2016-01-12,50.25,50.43,50.00,50.00,1300,49.768734
2016-01-11,49.98,50.310001,49.98,50.27,1700,50.037486
2016-01-08,50.189999,50.990002,49.990002,49.990002,2200,49.758782
2016-01-07,50.00,50.349998,50.00,50.200001,1400,49.96781
2016-01-06,50.50,50.50,50.27,50.27,500,50.037486
2016-01-05,50.400002,50.50,50.349998,50.50,2000,50.266421
2016-01-04,49.990002,50.459999,49.990002,50.459999,300,50.226605
2015-12-31,50.93,50.93,50.75,50.75,600,50.515265
2015-12-30,50.990002,50.990002,50.990002,50.990002,000,50.754157
2015-12-29,50.990002,50.990002,50.990002,50.990002,1100,50.754157
2015-12-28,51.439999,51.439999,51.439999,51.439999,200,51.202072
2015-12-24,51.200001,51.200001,51.200001,51.200001,1100,50.963184
2015-12-23,50.560001,50.560001,50.560001,50.560001,000,50.326145
2015-12-22,50.560001,50.560001,50.560001,50.560001,100,50.326145
2015-12-21,50.049999,50.049999,50.049999,50.049999,000,49.818502
2015-12-18,50.049999,50.049999,50.049999,50.049999,000,49.818502
2015-12-17,51.00,51.00,50.049999,50.049999,2900,49.818502
2015-12-16,51.50,51.57,51.50,51.50,900,51.261796
2015-12-15,51.599998,51.599998,51.599998,51.599998,000,51.361332
2015-12-14,51.599998,51.599998,51.599998,51.599998,000,51.361332
2015-12-11,51.599998,51.599998,51.599998,51.599998,300,51.361332
2015-12-10,51.75,51.75,50.799999,50.799999,600,50.316187
2015-12-09,51.25,51.25,51.25,51.25,000,50.761902
2015-12-08,51.25,51.25,51.25,51.25,000,50.761902
2015-12-07,51.240002,51.25,51.240002,51.25,600,50.761902
2015-12-04,51.240002,51.25,51.240002,51.25,900,50.761902
2015-12-03,51.189999,51.189999,51.189999,51.189999,300,50.702472
2015-12-02,51.00,51.25,50.900002,51.25,1500,50.761902
2015-12-01,50.889999,50.900002,50.490002,50.709999,1100,50.227044
2015-11-30,50.200001,50.200001,50.200001,50.200001,400,49.721903
2015-11-27,50.150002,50.150002,50.150002,50.150002,300,49.67238
2015-11-25,50.41,50.41,50.18,50.18,800,49.702093
2015-11-24,49.720001,50.400002,49.720001,50.400002,600,49.919999
2015-11-23,50.00,50.220001,49.02,49.02,9700,48.55314
2015-11-20,50.00,50.00,50.00,50.00,300,49.523807
2015-11-19,50.099998,50.150002,50.060001,50.150002,1600,49.67238
2015-11-18,50.150002,50.150002,50.150002,50.150002,200,49.67238
2015-11-17,50.279999,50.279999,50.029999,50.240002,1200,49.761523
2015-11-16,50.040001,50.040001,50.040001,50.040001,000,49.563427
2015-11-13,50.00,50.040001,49.490002,50.040001,2100,49.563427
2015-11-12,49.509998,49.509998,49.509998,49.509998,000,49.038472
2015-11-11,50.02,50.040001,49.509998,49.509998,600,49.038472
2015-11-10,50.049999,50.599998,50.049999,50.43,700,49.949712
2015-11-09,50.200001,50.599998,50.200001,50.200001,1500,49.721903
2015-11-06,50.099998,50.330002,50.099998,50.25,700,49.771426
