Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.86,15.96,15.81,15.93,73500,15.93
2016-03-10,15.92,15.93,15.88,15.88,53600,15.80
2016-03-09,15.88,15.91,15.85,15.87,38400,15.79005
2016-03-08,15.83,15.89,15.83,15.88,42300,15.80
2016-03-07,15.76,15.85,15.76,15.85,29500,15.770151
2016-03-04,15.80,15.84,15.77,15.78,53400,15.700503
2016-03-03,15.81,15.83,15.80,15.83,37200,15.750252
2016-03-02,15.86,15.86,15.77,15.80,72700,15.720403
2016-03-01,15.89,15.93,15.80,15.80,48300,15.720403
2016-02-29,15.85,15.85,15.81,15.85,60600,15.770151
2016-02-26,15.88,15.88,15.72,15.73,101300,15.650755
2016-02-25,15.93,15.95,15.84,15.86,26400,15.7801
2016-02-24,15.93,15.95,15.85,15.85,43300,15.770151
2016-02-23,15.87,15.92,15.84,15.87,36100,15.79005
2016-02-22,15.83,15.91,15.76,15.83,51300,15.750252
2016-02-19,15.84,15.90,15.83,15.84,36300,15.760202
2016-02-18,15.84,15.88,15.80,15.88,25900,15.80
2016-02-17,15.67,15.83,15.66,15.81,45400,15.730353
2016-02-16,15.74,15.75,15.63,15.74,39700,15.660705
2016-02-12,15.86,15.87,15.77,15.78,27200,15.700503
2016-02-11,15.91,15.92,15.77,15.85,59800,15.770151
2016-02-10,15.90,16.01,15.85,15.90,47200,15.819899
2016-02-09,15.88,15.93,15.88,15.90,52900,15.740302
2016-02-08,15.93,15.96,15.85,15.85,65900,15.690805
2016-02-05,15.97,15.98,15.84,15.86,82200,15.700704
2016-02-04,15.89,15.92,15.87,15.90,41000,15.740302
2016-02-03,15.94,15.97,15.89,15.90,58900,15.740302
2016-02-02,16.02,16.030001,15.93,15.95,54400,15.7898
2016-02-01,15.90,15.99,15.85,15.95,55500,15.7898
2016-01-29,15.87,15.94,15.83,15.85,41100,15.690805
2016-01-28,15.91,15.91,15.80,15.86,67300,15.700704
2016-01-27,15.79,15.88,15.69,15.83,92200,15.671006
2016-01-26,15.66,15.73,15.63,15.69,40600,15.532411
2016-01-25,15.76,15.77,15.65,15.65,26200,15.492813
2016-01-22,15.67,15.80,15.63,15.70,46300,15.542311
2016-01-21,15.60,15.69,15.57,15.65,35900,15.492813
2016-01-20,15.79,15.79,15.50,15.66,67100,15.502713
2016-01-19,15.74,15.80,15.73,15.73,38500,15.57201
2016-01-15,15.83,16.01,15.81,15.83,26200,15.671006
2016-01-14,15.78,15.90,15.69,15.83,62200,15.671006
2016-01-13,15.90,15.90,15.67,15.71,51600,15.552211
2016-01-12,15.93,15.93,15.85,15.92,13000,15.680905
2016-01-11,15.98,16.02,15.83,15.92,90300,15.680905
2016-01-08,15.85,16.00,15.76,15.91,38800,15.671055
2016-01-07,15.92,15.98,15.85,15.89,70500,15.651356
2016-01-06,15.94,16.139999,15.92,15.96,69000,15.720304
2016-01-05,15.82,15.97,15.78,15.92,51600,15.680905
2016-01-04,15.81,15.90,15.72,15.72,41600,15.483909
2015-12-31,15.77,15.83,15.71,15.71,37400,15.474059
2015-12-30,15.76,15.79,15.71,15.73,41300,15.493758
2015-12-29,15.69,15.98,15.66,15.78,87700,15.543007
2015-12-28,15.62,15.76,15.62,15.75,62900,15.513458
2015-12-24,15.64,15.65,15.62,15.65,14600,15.41496
2015-12-23,15.62,15.65,15.55,15.63,29600,15.395261
2015-12-22,15.52,15.58,15.52,15.56,24900,15.326312
2015-12-21,15.60,15.60,15.51,15.56,31300,15.326312
2015-12-18,15.45,15.69,15.45,15.53,45500,15.296762
2015-12-17,15.28,15.50,15.28,15.45,37400,15.217964
2015-12-16,15.33,15.33,15.25,15.25,47000,15.020968
2015-12-15,15.34,15.42,15.25,15.28,93000,15.050517
2015-12-14,15.32,15.39,15.24,15.31,68500,15.080067
2015-12-11,15.49,15.57,15.26,15.34,71300,15.109616
2015-12-10,15.56,15.63,15.54,15.61,24700,15.291837
2015-12-09,15.55,15.61,15.40,15.56,22600,15.242857
2015-12-08,15.25,15.51,15.25,15.51,32200,15.193876
2015-12-07,15.28,15.40,15.24,15.25,42500,14.939175
2015-12-04,15.21,15.33,15.21,15.24,50700,14.929378
2015-12-03,15.44,15.44,15.18,15.21,73900,14.89999
2015-12-02,15.51,15.51,15.44,15.46,37700,15.144895
2015-12-01,15.49,15.56,15.41,15.44,38500,15.125302
2015-11-30,15.48,15.54,15.40,15.45,34800,15.135098
2015-11-27,15.39,15.53,15.39,15.43,17000,15.115506
2015-11-25,15.45,15.47,15.38,15.39,25200,15.076322
2015-11-24,15.42,15.44,15.37,15.40,15200,15.086117
2015-11-23,15.51,15.56,15.38,15.39,48900,15.076322
2015-11-20,15.60,15.60,15.44,15.51,35500,15.193876
2015-11-19,15.40,15.58,15.40,15.57,22500,15.252652
2015-11-18,15.34,15.43,15.30,15.41,20100,15.095913
