Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.38,10.55,10.37,10.54,128600,10.54
2016-03-10,10.39,10.41,10.29,10.38,83800,10.30
2016-03-09,10.34,10.37,10.30,10.36,102300,10.280154
2016-03-08,10.31,10.34,10.30,10.32,74000,10.240462
2016-03-07,10.30,10.35,10.26,10.31,70900,10.23054
2016-03-04,10.27,10.33,10.22,10.29,91800,10.210694
2016-03-03,10.23,10.26,10.07,10.23,165000,10.151156
2016-03-02,10.23,10.23,10.15,10.21,42100,10.13131
2016-03-01,10.10,10.28,10.05,10.24,74200,10.161079
2016-02-29,9.94,10.06,9.94,10.04,80200,9.96262
2016-02-26,9.71,9.94,9.71,9.92,75100,9.843545
2016-02-25,9.67,9.74,9.62,9.73,39700,9.655009
2016-02-24,9.58,9.72,9.57,9.72,76700,9.645087
2016-02-23,9.60,9.70,9.57,9.58,81400,9.506166
2016-02-22,9.70,9.71,9.59,9.59,148200,9.516089
2016-02-19,9.60,9.69,9.50,9.69,55500,9.615318
2016-02-18,9.43,9.61,9.43,9.61,84200,9.535934
2016-02-17,9.47,9.50,9.42,9.48,49300,9.406936
2016-02-16,9.36,9.46,9.27,9.40,88600,9.327553
2016-02-12,9.25,9.34,9.16,9.33,73600,9.258093
2016-02-11,9.20,9.24,9.08,9.19,68000,9.119171
2016-02-10,9.31,9.39,9.29,9.30,80000,9.14894
2016-02-09,9.24,9.36,9.24,9.36,33000,9.207965
2016-02-08,9.57,9.57,9.37,9.37,73300,9.217803
2016-02-05,9.71,9.72,9.65,9.72,59700,9.562118
2016-02-04,9.71,9.75,9.67,9.72,37300,9.562118
2016-02-03,9.71,9.78,9.63,9.77,49200,9.611307
2016-02-02,9.68,9.77,9.61,9.73,82200,9.571955
2016-02-01,9.75,9.81,9.66,9.78,203600,9.621143
2016-01-29,9.75,9.86,9.74,9.79,80300,9.630981
2016-01-28,9.64,9.76,9.62,9.76,57500,9.601469
2016-01-27,9.63,9.64,9.56,9.56,165900,9.404718
2016-01-26,9.44,9.57,9.43,9.56,49700,9.404718
2016-01-25,9.53,9.53,9.32,9.37,221900,9.217803
2016-01-22,9.17,9.56,9.17,9.56,191500,9.404718
2016-01-21,9.16,9.19,9.02,9.11,130200,8.962026
2016-01-20,9.14,9.16,8.97,9.16,191700,9.011214
2016-01-19,9.44,9.44,9.09,9.21,122100,9.060402
2016-01-15,9.46,9.46,9.34,9.42,104100,9.266991
2016-01-14,9.69,9.69,9.52,9.57,84900,9.414554
2016-01-13,9.78,9.80,9.69,9.70,113000,9.542443
2016-01-12,10.02,10.02,9.83,9.95,119800,9.709682
2016-01-11,9.98,10.03,9.94,9.99,69500,9.748716
2016-01-08,10.03,10.11,9.92,9.99,102100,9.748716
2016-01-07,10.14,10.14,10.04,10.07,73100,9.826783
2016-01-06,10.10,10.24,10.09,10.17,118600,9.924368
2016-01-05,10.14,10.17,10.10,10.12,66300,9.875576
2016-01-04,10.00,10.12,10.00,10.12,138200,9.875576
2015-12-31,10.08,10.25,10.05,10.09,139000,9.846301
2015-12-30,10.08,10.10,10.03,10.07,40100,9.826783
2015-12-29,10.05,10.12,10.05,10.08,68400,9.836542
2015-12-28,10.20,10.20,10.06,10.08,72500,9.836542
2015-12-24,10.15,10.20,10.15,10.18,81600,9.934127
2015-12-23,10.09,10.24,10.02,10.19,133500,9.943885
2015-12-22,10.01,10.09,9.92,10.09,121700,9.846301
2015-12-21,10.00,10.09,9.92,10.04,265300,9.797508
2015-12-18,9.75,9.93,9.73,9.93,276300,9.690165
2015-12-17,9.70,9.76,9.66,9.72,142200,9.485237
2015-12-16,9.44,9.71,9.44,9.65,131800,9.416927
2015-12-15,9.38,9.48,9.34,9.41,290000,9.182724
2015-12-14,9.51,9.60,9.31,9.33,220700,9.104656
2015-12-11,9.77,9.77,9.52,9.59,149700,9.358377
2015-12-10,9.93,9.93,9.85,9.88,53900,9.563305
2015-12-09,9.95,10.00,9.88,9.93,56700,9.611702
2015-12-08,9.96,9.97,9.86,9.93,73500,9.611702
2015-12-07,10.05,10.05,9.93,9.98,48800,9.660099
2015-12-04,10.05,10.10,10.05,10.08,74500,9.756894
2015-12-03,10.11,10.12,10.05,10.08,111200,9.756894
2015-12-02,10.09,10.18,10.05,10.06,175500,9.737535
2015-12-01,10.09,10.15,10.05,10.09,171200,9.766573
2015-11-30,10.11,10.11,10.00,10.03,160800,9.708496
2015-11-27,10.12,10.15,10.05,10.06,43900,9.737535
2015-11-25,10.16,10.17,10.13,10.16,54000,9.834329
2015-11-24,10.16,10.19,10.12,10.19,33000,9.863367
2015-11-23,10.17,10.17,10.10,10.17,48100,9.844009
2015-11-20,10.13,10.17,10.10,10.15,42600,9.82465
2015-11-19,10.17,10.17,10.08,10.16,28500,9.834329
2015-11-18,10.15,10.21,10.11,10.20,39100,9.873047
2015-11-17,10.14,10.17,10.09,10.10,50800,9.776253
2015-11-16,10.12,10.20,10.10,10.17,39500,9.844009
2015-11-13,10.19,10.23,10.10,10.17,53700,9.844009
