Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.17,13.18,13.14,13.14,70800,13.14
2016-03-10,13.18,13.21,13.18,13.18,50700,13.123
2016-03-09,13.20,13.21,13.15,13.15,60500,13.093129
2016-03-08,13.15,13.20,13.15,13.18,96900,13.123
2016-03-07,13.22,13.22,13.13,13.14,139600,13.083173
2016-03-04,13.19,13.22,13.16,13.21,122100,13.15287
2016-03-03,13.17,13.18,13.13,13.18,126100,13.123
2016-03-02,13.19,13.21,13.13,13.15,141800,13.093129
2016-03-01,13.16,13.21,13.16,13.18,131200,13.123
2016-02-29,13.12,13.14,13.09,13.14,107300,13.083173
2016-02-26,13.17,13.17,13.07,13.08,95700,13.023432
2016-02-25,13.17,13.17,13.16,13.17,70700,13.113043
2016-02-24,13.14,13.16,13.11,13.16,139700,13.103086
2016-02-23,13.11,13.14,13.09,13.13,97700,13.073216
2016-02-22,13.14,13.14,13.08,13.13,111900,13.073216
2016-02-19,13.15,13.15,13.10,13.14,110200,13.083173
2016-02-18,13.14,13.15,13.11,13.14,144000,13.083173
2016-02-17,13.08,13.12,13.03,13.12,106000,13.063259
2016-02-16,13.09,13.09,13.01,13.07,85300,13.013475
2016-02-12,13.19,13.22,13.06,13.08,126500,13.023432
2016-02-11,13.19,13.24,13.16,13.16,226200,13.103086
2016-02-10,13.15,13.19,13.12,13.16,100600,13.103086
2016-02-09,13.18,13.19,13.13,13.19,135000,13.076203
2016-02-08,13.12,13.19,13.12,13.18,75900,13.06629
2016-02-05,13.17,13.17,13.11,13.15,114200,13.036548
2016-02-04,13.17,13.19,13.14,13.15,147000,13.036548
2016-02-03,13.12,13.17,13.12,13.16,122600,13.046462
2016-02-02,13.06,13.14,13.06,13.13,173500,13.016721
2016-02-01,13.05,13.07,13.02,13.03,113300,12.917584
2016-01-29,12.97,13.04,12.97,13.02,121900,12.907671
2016-01-28,13.03,13.03,12.94,12.95,182100,12.838274
2016-01-27,12.97,13.01,12.96,12.96,76300,12.848188
2016-01-26,12.94,12.98,12.90,12.95,96600,12.838274
2016-01-25,12.90,12.97,12.89,12.91,167400,12.798619
2016-01-22,12.90,12.95,12.85,12.87,120900,12.758964
2016-01-21,12.86,12.89,12.81,12.82,105600,12.709395
2016-01-20,12.93,12.93,12.70,12.82,179600,12.709395
2016-01-19,13.02,13.02,12.88,12.88,151400,12.768878
2016-01-15,12.89,12.95,12.86,12.93,166900,12.818447
2016-01-14,12.86,12.97,12.78,12.85,225400,12.739137
2016-01-13,12.93,12.95,12.83,12.83,93000,12.719309
2016-01-12,12.93,12.98,12.93,12.95,71800,12.781765
2016-01-11,13.02,13.02,12.89,12.89,118800,12.722545
2016-01-08,13.00,13.02,12.97,12.99,85500,12.821246
2016-01-07,12.97,13.05,12.93,13.02,192900,12.850857
2016-01-06,13.00,13.03,12.94,12.97,160400,12.801506
2016-01-05,12.93,12.98,12.92,12.97,113100,12.801506
2016-01-04,12.84,12.91,12.79,12.91,135400,12.742285
2015-12-31,12.81,12.93,12.81,12.86,112900,12.692934
2015-12-30,12.76,12.87,12.76,12.82,107100,12.653454
2015-12-29,12.69,12.82,12.68,12.73,133000,12.564623
2015-12-28,12.76,12.78,12.71,12.71,110800,12.544884
2015-12-24,12.78,12.81,12.69,12.71,112900,12.544884
2015-12-23,12.74,12.78,12.71,12.76,169700,12.594234
2015-12-22,12.69,12.78,12.69,12.71,87300,12.544884
2015-12-21,12.70,12.76,12.66,12.75,163900,12.584364
2015-12-18,12.70,12.76,12.67,12.70,86500,12.535013
2015-12-17,12.59,12.74,12.59,12.68,193600,12.515274
2015-12-16,12.50,12.58,12.44,12.54,198100,12.377092
2015-12-15,12.53,12.55,12.46,12.52,144600,12.357352
2015-12-14,12.50,12.53,12.43,12.53,167100,12.367222
2015-12-11,12.57,12.58,12.51,12.53,136600,12.367222
2015-12-10,12.49,12.60,12.40,12.60,155100,12.380053
2015-12-09,12.49,12.51,12.40,12.45,103000,12.232671
2015-12-08,12.49,12.56,12.47,12.51,85700,12.291624
2015-12-07,12.63,12.63,12.46,12.46,95100,12.242497
2015-12-04,12.46,12.59,12.46,12.59,86500,12.370228
2015-12-03,12.47,12.50,12.40,12.49,152500,12.271973
2015-12-02,12.58,12.58,12.53,12.53,151600,12.311275
2015-12-01,12.59,12.62,12.52,12.56,174600,12.340752
2015-11-30,12.50,12.57,12.49,12.57,84400,12.350576
2015-11-27,12.52,12.56,12.49,12.51,20800,12.291624
2015-11-25,12.49,12.54,12.49,12.52,81600,12.30145
2015-11-24,12.55,12.56,12.51,12.53,103200,12.311275
2015-11-23,12.49,12.51,12.46,12.48,70800,12.262147
2015-11-20,12.48,12.48,12.43,12.47,105700,12.252323
2015-11-19,12.46,12.49,12.44,12.45,69300,12.232671
2015-11-18,12.47,12.50,12.43,12.46,109800,12.242497
2015-11-17,12.51,12.51,12.43,12.48,64600,12.262147
2015-11-16,12.48,12.52,12.48,12.51,76400,12.291624
2015-11-13,12.44,12.52,12.43,12.50,100200,12.281799
2015-11-12,12.42,12.45,12.39,12.41,166000,12.193369
2015-11-11,12.43,12.48,12.41,12.42,105000,12.203195
2015-11-10,12.39,12.50,12.35,12.43,117800,12.213021
2015-11-09,12.44,12.46,12.34,12.44,87500,12.166841
2015-11-06,12.62,12.64,12.42,12.45,202800,12.176621
2015-11-05,12.68,12.74,12.65,12.69,187900,12.411351
2015-11-04,12.66,12.70,12.65,12.65,99100,12.37223
2015-11-03,12.70,12.70,12.66,12.66,37800,12.38201
2015-11-02,12.72,12.72,12.67,12.71,95700,12.430912
2015-10-30,12.68,12.72,12.65,12.68,63300,12.401571
2015-10-29,12.66,12.71,12.65,12.67,53600,12.391791
2015-10-28,12.69,12.72,12.65,12.69,72800,12.411351
2015-10-27,12.61,12.71,12.58,12.69,105100,12.411351
2015-10-26,12.64,12.64,12.59,12.64,48800,12.36245
2015-10-23,12.55,12.62,12.55,12.62,80100,12.342889
2015-10-22,12.53,12.61,12.51,12.60,102800,12.323328
2015-10-21,12.44,12.52,12.44,12.50,128400,12.225524
2015-10-20,12.44,12.44,12.37,12.43,65700,12.157061
2015-10-19,12.44,12.46,12.41,12.43,71700,12.157061
2015-10-16,12.42,12.51,12.42,12.45,85200,12.176621
2015-10-15,12.42,12.46,12.42,12.44,71200,12.166841
2015-10-14,12.41,12.45,12.40,12.45,54500,12.176621
2015-10-13,12.38,12.44,12.37,12.41,149400,12.1375
2015-10-12,12.34,12.44,12.31,12.41,59700,12.081751
2015-10-09,12.33,12.41,12.29,12.31,150200,11.984397
2015-10-08,12.35,12.40,12.30,12.34,105100,12.013603
2015-10-07,12.32,12.43,12.27,12.32,182500,11.994132
2015-10-06,12.29,12.33,12.28,12.30,78000,11.974661
2015-10-05,12.37,12.39,12.30,12.30,74000,11.974661
2015-10-02,12.39,12.43,12.33,12.37,89800,12.042809
2015-10-01,12.40,12.46,12.34,12.39,117500,12.062281
2015-09-30,12.31,12.40,12.27,12.40,73200,12.072015
2015-09-29,12.33,12.40,12.30,12.36,65000,12.033074
2015-09-28,12.35,12.36,12.29,12.30,81700,11.974661
2015-09-25,12.34,12.36,12.31,12.33,50900,12.003867
2015-09-24,12.30,12.41,12.30,12.35,168900,12.023339
2015-09-23,12.24,12.30,12.22,12.30,103500,11.974661
2015-09-22,12.16,12.23,12.16,12.19,71800,11.86757
2015-09-21,12.17,12.21,12.13,12.15,87300,11.828628
2015-09-18,12.20,12.35,12.18,12.18,90000,11.857835
2015-09-17,12.06,12.27,12.06,12.27,75700,11.945455
2015-09-16,12.10,12.12,12.06,12.08,48400,11.76048
2015-09-15,12.08,12.11,12.07,12.08,42400,11.76048
2015-09-14,12.15,12.15,12.07,12.11,44600,11.789686
2015-09-11,12.18,12.18,12.10,12.15,56400,11.828628
2015-09-10,12.20,12.24,12.18,12.21,76000,11.831549
2015-09-09,12.23,12.24,12.18,12.21,54600,11.831549
2015-09-08,12.24,12.25,12.22,12.24,44900,11.860619
2015-09-04,12.21,12.26,12.20,12.24,41600,11.860619
2015-09-03,12.22,12.27,12.21,12.26,79500,11.879999
2015-09-02,12.20,12.25,12.19,12.25,82400,11.870309
2015-09-01,12.22,12.24,12.18,12.22,61600,11.841239
2015-08-31,12.23,12.24,12.19,12.20,70200,11.821858
2015-08-28,12.20,12.25,12.20,12.24,62400,11.860619
2015-08-27,12.10,12.23,12.07,12.21,148400,11.831549
2015-08-26,12.23,12.23,12.07,12.10,126600,11.724959
2015-08-25,12.15,12.22,12.13,12.17,85100,11.792789
2015-08-24,12.17,12.19,12.09,12.19,223200,11.812168
2015-08-21,12.23,12.27,12.23,12.24,66900,11.860619
2015-08-20,12.28,12.30,12.21,12.23,169100,11.850928
2015-08-19,12.26,12.29,12.24,12.28,55700,11.899379
2015-08-18,12.26,12.28,12.22,12.24,112600,11.860619
2015-08-17,12.28,12.30,12.25,12.28,84300,11.899379
2015-08-14,12.23,12.28,12.22,12.28,78400,11.899379
2015-08-13,12.28,12.28,12.24,12.25,47600,11.870309
2015-08-12,12.31,12.34,12.26,12.26,94500,11.879999
2015-08-11,12.30,12.37,12.25,12.37,174800,11.931357
2015-08-10,12.21,12.30,12.21,12.29,79900,11.854194
2015-08-07,12.22,12.25,12.21,12.23,57800,11.796321
2015-08-06,12.25,12.25,12.20,12.24,59300,11.805967
2015-08-05,12.30,12.32,12.19,12.20,67200,11.767385
2015-08-04,12.33,12.34,12.30,12.30,104700,11.863839
2015-08-03,12.33,12.37,12.31,12.34,160000,11.902421
2015-07-31,12.32,12.32,12.28,12.30,167700,11.863839
2015-07-30,12.29,12.32,12.27,12.31,65600,11.873485
2015-07-29,12.29,12.32,12.27,12.29,77200,11.854194
2015-07-28,12.32,12.33,12.28,12.29,94200,11.854194
2015-07-27,12.32,12.37,12.29,12.36,95700,11.921711
2015-07-24,12.29,12.34,12.29,12.32,71500,11.88313
2015-07-23,12.28,12.32,12.27,12.32,48500,11.88313
2015-07-22,12.33,12.35,12.26,12.31,124000,11.873485
2015-07-21,12.33,12.36,12.31,12.34,101800,11.902421
2015-07-20,12.34,12.36,12.28,12.36,63900,11.921711
2015-07-17,12.33,12.35,12.30,12.35,73300,11.912066
2015-07-16,12.29,12.36,12.25,12.36,69300,11.921711
2015-07-15,12.28,12.34,12.24,12.32,127700,11.88313
2015-07-14,12.33,12.36,12.29,12.35,145900,11.912066
2015-07-13,12.30,12.35,12.23,12.35,74100,11.912066
2015-07-10,12.29,12.38,12.26,12.38,141200,11.886023
2015-07-09,12.37,12.38,12.27,12.29,113300,11.799614
2015-07-08,12.30,12.39,12.28,12.39,164400,11.895624
2015-07-07,12.25,12.36,12.25,12.32,188300,11.828417
2015-07-06,12.29,12.31,12.20,12.22,155000,11.732408
2015-07-02,12.22,12.30,12.22,12.24,120700,11.751609
2015-07-01,12.22,12.25,12.17,12.21,132200,11.722806
2015-06-30,12.21,12.26,12.20,12.25,121800,11.76121
2015-06-29,12.32,12.32,12.18,12.23,77800,11.742008
2015-06-26,12.39,12.42,12.31,12.32,102000,11.828417
2015-06-25,12.47,12.50,12.37,12.43,102600,11.934028
2015-06-24,12.53,12.54,12.44,12.48,122400,11.982033
2015-06-23,12.48,12.57,12.47,12.50,114100,12.001235
2015-06-22,12.51,12.56,12.46,12.50,69800,12.001235
2015-06-19,12.41,12.58,12.41,12.51,124600,12.010836
2015-06-18,12.43,12.46,12.39,12.39,68400,11.895624
2015-06-17,12.43,12.46,12.38,12.43,52300,11.934028
2015-06-16,12.45,12.45,12.37,12.44,90900,11.943629
2015-06-15,12.33,12.42,12.33,12.39,87500,11.895624
2015-06-12,12.23,12.42,12.23,12.30,213200,11.809215
2015-06-11,12.25,12.26,12.19,12.23,125000,11.742008
2015-06-10,12.16,12.25,12.16,12.25,94800,11.706485
2015-06-09,12.15,12.19,12.11,12.19,103800,11.649147
2015-06-08,12.25,12.28,12.14,12.15,142200,11.610922
2015-06-05,12.31,12.31,12.23,12.28,159800,11.735154
2015-06-04,12.40,12.40,12.33,12.35,101100,11.802049
2015-06-03,12.44,12.45,12.39,12.40,97500,11.849829
2015-06-02,12.45,12.46,12.42,12.43,78400,11.878499
2015-06-01,12.49,12.50,12.45,12.49,93800,11.935836
2015-05-29,12.41,12.48,12.41,12.48,101500,11.92628
2015-05-28,12.44,12.45,12.35,12.42,172000,11.868942
2015-05-27,12.40,12.48,12.40,12.42,94200,11.868942
2015-05-26,12.42,12.49,12.39,12.39,140600,11.840274
2015-05-22,12.43,12.45,12.40,12.41,84600,11.859386
2015-05-21,12.50,12.53,12.44,12.44,201400,11.888055
2015-05-20,12.47,12.53,12.45,12.47,113800,11.916724
2015-05-19,12.48,12.56,12.44,12.48,165800,11.92628
2015-05-18,12.65,12.65,12.48,12.53,161400,11.974062
2015-05-15,12.60,12.69,12.57,12.67,103000,12.10785
2015-05-14,12.59,12.63,12.56,12.57,114500,12.012287
2015-05-13,12.70,12.70,12.58,12.60,147600,12.040956
2015-05-12,12.59,12.70,12.59,12.70,82400,12.082048
2015-05-11,12.73,12.74,12.62,12.64,116000,12.024968
2015-05-08,12.69,12.75,12.69,12.75,159000,12.129615
2015-05-07,12.68,12.71,12.66,12.71,97400,12.091561
2015-05-06,12.78,12.78,12.64,12.64,119800,12.024968
2015-05-05,12.83,12.86,12.77,12.81,262600,12.186696
2015-05-04,12.89,12.94,12.86,12.86,106800,12.234262
2015-05-01,12.98,12.98,12.87,12.88,83000,12.25329
2015-04-30,12.98,12.98,12.92,12.96,101000,12.329397
2015-04-29,13.03,13.03,12.92,12.98,177100,12.348423
2015-04-28,13.03,13.09,13.00,13.05,180800,12.415018
2015-04-27,12.99,13.04,12.99,13.01,70100,12.376964
2015-04-24,13.05,13.05,12.97,12.99,92500,12.357937
2015-04-23,13.00,13.07,12.98,13.04,73000,12.405504
2015-04-22,13.05,13.07,12.97,13.00,116800,12.36745
2015-04-21,13.01,13.08,13.01,13.06,74700,12.424531
2015-04-20,13.06,13.07,13.00,13.01,74800,12.376964
2015-04-17,13.01,13.08,13.01,13.08,54000,12.443558
2015-04-16,13.01,13.06,12.98,13.02,115900,12.386478
2015-04-15,13.01,13.07,12.99,13.00,146100,12.36745
2015-04-14,12.98,13.00,12.96,13.00,56500,12.36745
2015-04-13,12.94,13.00,12.87,12.97,73400,12.33891
2015-04-10,12.97,13.03,12.97,12.98,83600,12.294197
2015-04-09,13.00,13.01,12.94,13.00,75000,12.313141
2015-04-08,12.98,13.03,12.95,13.00,89600,12.313141
2015-04-07,12.96,12.98,12.93,12.95,91900,12.265782
2015-04-06,13.00,13.01,12.94,12.96,69000,12.275254
2015-04-02,12.99,13.00,12.92,12.98,84200,12.294197
2015-04-01,13.02,13.02,12.94,12.99,67900,12.303669
2015-03-31,12.89,12.98,12.88,12.96,93400,12.275254
2015-03-30,12.93,12.95,12.86,12.87,67500,12.190009
2015-03-27,12.87,12.97,12.87,12.91,55200,12.227896
2015-03-26,12.95,12.97,12.85,12.85,133400,12.171066
2015-03-25,12.93,12.99,12.91,12.97,84100,12.284726
2015-03-24,12.91,12.97,12.86,12.93,126500,12.246839
2015-03-23,13.00,13.02,12.91,12.91,78700,12.227896
2015-03-20,12.90,12.97,12.88,12.97,58600,12.284726
2015-03-19,12.95,13.00,12.82,12.86,96000,12.180537
2015-03-18,12.84,12.99,12.80,12.97,82400,12.284726
2015-03-17,12.86,12.86,12.78,12.82,70900,12.142651
2015-03-16,12.90,12.91,12.81,12.89,89200,12.208953
2015-03-13,12.92,12.92,12.82,12.89,76200,12.208953
2015-03-12,12.94,12.95,12.87,12.92,91900,12.237367
2015-03-11,12.93,12.93,12.87,12.92,82600,12.237367
2015-03-10,12.96,12.99,12.92,12.93,87400,12.192851
2015-03-09,12.90,12.97,12.89,12.97,58600,12.230571
2015-03-06,13.02,13.03,12.86,12.88,201600,12.145701
2015-03-05,13.12,13.12,13.05,13.08,74100,12.334299
2015-03-04,13.10,13.19,13.07,13.10,254100,12.353159
2015-03-03,13.07,13.12,13.03,13.09,149000,12.343729
2015-03-02,13.07,13.12,13.00,13.10,151200,12.353159
2015-02-27,13.03,13.13,12.65,13.05,112700,12.30601
2015-02-26,13.01,13.04,12.96,13.02,104400,12.27772
2015-02-25,13.05,13.10,12.99,13.03,107100,12.287149
