Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.47,10.51,10.41,10.42,11600,10.42
2016-03-10,10.48,10.54,10.46,10.52,11400,10.494
2016-03-09,10.54,10.54,10.46,10.46,18800,10.434148
2016-03-08,10.50,10.57,10.49,10.54,13800,10.51395
2016-03-07,10.47,10.49,10.46,10.48,25500,10.454098
2016-03-04,10.46,10.49,10.44,10.44,9600,10.414197
2016-03-03,10.48,10.49,10.46,10.47,9400,10.444124
2016-03-02,10.50,10.50,10.44,10.47,8500,10.444124
2016-03-01,10.48,10.49,10.46,10.48,14400,10.454098
2016-02-29,10.44,10.48,10.43,10.44,12800,10.414197
2016-02-26,10.41,10.41,10.39,10.41,7700,10.384271
2016-02-25,10.40,10.44,10.39,10.40,23700,10.374296
2016-02-24,10.32,10.39,10.32,10.39,6700,10.364321
2016-02-23,10.28,10.34,10.28,10.34,8600,10.314445
2016-02-22,10.45,10.45,10.24,10.25,19600,10.224667
2016-02-19,10.32,10.40,10.32,10.40,11900,10.374296
2016-02-18,10.28,10.34,10.28,10.34,9500,10.314445
2016-02-17,10.31,10.32,10.28,10.29,18600,10.264568
2016-02-16,10.29,10.30,10.28,10.30,16800,10.274544
2016-02-12,10.40,10.40,10.30,10.31,46600,10.284519
2016-02-11,10.44,10.47,10.38,10.38,31900,10.354346
2016-02-10,10.38,10.44,10.38,10.44,7000,10.414197
2016-02-09,10.50,10.52,10.38,10.39,27300,10.338386
2016-02-08,10.47,10.61,10.42,10.57,46100,10.517491
2016-02-05,10.48,10.48,10.43,10.44,6400,10.388137
2016-02-04,10.39,10.49,10.38,10.47,19000,10.417989
2016-02-03,10.29,10.38,10.29,10.38,36200,10.328435
2016-02-02,10.32,10.33,10.25,10.30,24200,10.248833
2016-02-01,10.27,10.31,10.26,10.31,15100,10.258784
2016-01-29,10.22,10.27,10.22,10.23,25300,10.17918
2016-01-28,10.22,10.23,10.20,10.20,14900,10.149329
2016-01-27,10.24,10.28,10.20,10.20,13800,10.149329
2016-01-26,10.23,10.26,10.22,10.22,35300,10.16923
2016-01-25,10.22,10.27,10.17,10.27,41400,10.218982
2016-01-22,10.17,10.23,10.17,10.17,20300,10.119479
2016-01-21,10.19,10.21,10.15,10.18,9600,10.129429
2016-01-20,10.20,10.26,10.15,10.16,36600,10.109528
2016-01-19,10.21,10.24,10.20,10.20,22100,10.149329
2016-01-15,10.14,10.23,10.14,10.22,11400,10.16923
2016-01-14,10.25,10.26,10.20,10.20,5900,10.149329
2016-01-13,10.25,10.28,10.24,10.27,9300,10.218982
2016-01-12,10.29,10.30,10.22,10.30,31400,10.222962
2016-01-11,10.31,10.32,10.24,10.29,17000,10.213037
2016-01-08,10.29,10.31,10.27,10.31,38300,10.232888
2016-01-07,10.39,10.39,10.26,10.30,23600,10.222962
2016-01-06,10.33,10.38,10.24,10.34,21900,10.262663
2016-01-05,10.23,10.33,10.17,10.31,38100,10.232888
2016-01-04,10.32,10.32,10.19,10.21,14700,10.133635
2015-12-31,10.49,10.49,10.20,10.24,25900,10.16341
2015-12-30,10.20,10.24,10.16,10.20,9900,10.12371
2015-12-29,10.20,10.27,10.18,10.18,18400,10.10386
2015-12-28,10.21,10.29,10.20,10.21,17200,10.133635
2015-12-24,10.17,10.25,10.15,10.19,7900,10.113784
2015-12-23,10.22,10.26,10.18,10.22,15000,10.14356
2015-12-22,10.27,10.31,10.18,10.19,34600,10.113784
2015-12-21,10.26,10.32,10.24,10.25,10100,10.173336
2015-12-18,10.25,10.28,10.23,10.28,11700,10.203111
2015-12-17,10.22,10.30,10.22,10.25,39600,10.173336
2015-12-16,10.08,10.21,10.07,10.20,25100,10.12371
2015-12-15,10.08,10.14,10.02,10.02,33600,9.945057
2015-12-14,10.17,10.22,10.09,10.12,15500,10.044308
2015-12-11,10.20,10.25,10.17,10.18,11200,10.10386
2015-12-10,10.09,10.25,10.09,10.19,39100,10.079046
2015-12-09,10.16,10.16,10.11,10.13,11200,10.0197
2015-12-08,10.08,10.20,10.08,10.15,23700,10.039482
2015-12-07,10.10,10.10,10.02,10.08,29600,9.970244
2015-12-04,10.02,10.10,10.02,10.10,25700,9.990027
2015-12-03,10.04,10.04,10.00,10.01,17500,9.901007
2015-12-02,10.08,10.12,10.03,10.06,14400,9.950463
2015-12-01,10.07,10.10,10.04,10.07,28300,9.960353
2015-11-30,10.05,10.08,10.02,10.04,9100,9.93068
2015-11-27,10.05,10.06,10.04,10.05,1400,9.940571
2015-11-25,10.04,10.06,10.02,10.04,9800,9.93068
2015-11-24,10.04,10.07,10.01,10.02,13300,9.910898
2015-11-23,10.06,10.10,10.01,10.03,40500,9.920789
2015-11-20,10.06,10.07,10.03,10.06,16800,9.950463
2015-11-19,10.05,10.06,10.03,10.04,12700,9.93068
2015-11-18,10.05,10.13,10.01,10.06,21000,9.950463
2015-11-17,10.09,10.09,10.07,10.08,9500,9.970244
2015-11-16,10.14,10.15,10.07,10.07,21300,9.960353
2015-11-13,10.04,10.14,10.04,10.14,12600,10.029591
2015-11-12,10.10,10.10,10.02,10.03,17400,9.920789
2015-11-11,10.07,10.09,10.04,10.09,5600,9.980136
2015-11-10,10.02,10.08,10.02,10.07,9100,9.960353
2015-11-09,10.06,10.07,10.02,10.05,47700,9.914854
2015-11-06,10.14,10.14,10.10,10.10,12300,9.964182
2015-11-05,10.14,10.16,10.13,10.14,7100,10.003644
2015-11-04,10.12,10.16,10.10,10.15,15100,10.013508
2015-11-03,10.17,10.20,10.08,10.12,21000,9.983912
2015-11-02,10.19,10.23,10.16,10.16,13000,10.023374
2015-10-30,10.15,10.19,10.13,10.19,9000,10.052971
2015-10-29,10.09,10.14,10.09,10.14,13000,10.003644
