Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.35,13.36,13.29,13.30,52100,13.30
2016-03-10,13.39,13.41,13.36,13.41,35800,13.362
2016-03-09,13.42,13.49,13.36,13.36,38900,13.312178
2016-03-08,13.38,13.38,13.31,13.37,20800,13.322143
2016-03-07,13.35,13.35,13.19,13.31,38300,13.262358
2016-03-04,13.39,13.39,13.32,13.33,24000,13.282286
2016-03-03,13.40,13.45,13.29,13.39,49600,13.342072
2016-03-02,13.39,13.42,13.30,13.36,44200,13.312178
2016-03-01,13.39,13.44,13.39,13.40,26300,13.352035
2016-02-29,13.36,13.39,13.33,13.39,20500,13.342072
2016-02-26,13.38,13.47,13.33,13.36,36300,13.312178
2016-02-25,13.37,13.49,13.37,13.43,28900,13.381928
2016-02-24,13.33,13.39,13.27,13.37,41900,13.322143
2016-02-23,13.31,13.35,13.30,13.32,14600,13.272322
2016-02-22,13.30,13.40,13.27,13.28,46700,13.232465
2016-02-19,13.32,13.35,13.28,13.35,16900,13.302215
2016-02-18,13.33,13.36,13.31,13.34,23300,13.29225
2016-02-17,13.33,13.35,13.22,13.30,33400,13.252394
2016-02-16,13.34,13.36,13.25,13.25,32800,13.202572
2016-02-12,13.28,13.44,13.28,13.32,26400,13.272322
2016-02-11,13.49,13.49,13.40,13.40,13300,13.352035
2016-02-10,13.50,13.52,13.48,13.48,27300,13.431749
2016-02-09,13.29,13.51,13.29,13.51,24100,13.413814
2016-02-08,13.41,13.54,13.30,13.39,39900,13.294669
2016-02-05,13.37,13.42,13.33,13.41,17800,13.314526
2016-02-04,13.39,13.41,13.32,13.40,15000,13.304597
2016-02-03,13.33,13.37,13.33,13.36,19200,13.264882
2016-02-02,13.22,13.42,13.22,13.27,54100,13.175523
2016-02-01,13.20,13.26,13.20,13.20,25300,13.106021
2016-01-29,13.23,13.25,13.13,13.13,33900,13.03652
2016-01-28,13.23,13.24,13.15,13.17,32600,13.076235
2016-01-27,13.22,13.28,13.18,13.18,27600,13.086164
2016-01-26,13.12,13.21,13.12,13.18,19900,13.086164
2016-01-25,13.12,13.21,13.12,13.18,19000,13.086164
2016-01-22,12.98,13.12,12.98,13.11,46000,13.016662
2016-01-21,12.93,12.98,12.87,12.98,12400,12.887587
2016-01-20,12.99,13.03,12.82,12.87,27600,12.778371
2016-01-19,13.12,13.12,12.99,12.99,32400,12.897516
2016-01-15,13.14,13.24,13.00,13.02,81400,12.927303
2016-01-14,13.17,13.20,13.10,13.19,34800,13.096092
2016-01-13,13.12,13.17,13.06,13.12,22600,13.026591
2016-01-12,13.16,13.23,13.14,13.18,23800,13.038505
2016-01-11,13.17,13.27,13.08,13.11,41100,12.969256
2016-01-08,13.10,13.24,13.10,13.14,39500,12.998935
2016-01-07,13.12,13.25,13.12,13.19,56900,13.048397
2016-01-06,13.04,13.23,13.04,13.12,31600,12.979149
2016-01-05,12.89,13.10,12.89,13.10,52000,12.959364
2016-01-04,12.83,12.89,12.77,12.85,25600,12.712048
2015-12-31,12.96,13.05,12.81,12.88,26900,12.741726
2015-12-30,12.98,13.00,12.91,12.94,12100,12.801081
2015-12-29,12.99,13.02,12.98,13.01,13700,12.87033
2015-12-28,12.90,13.09,12.88,13.05,55000,12.909901
2015-12-24,12.93,12.98,12.91,12.97,16600,12.83076
2015-12-23,12.77,12.91,12.77,12.90,20900,12.761511
2015-12-22,12.73,12.74,12.70,12.72,32100,12.583444
2015-12-21,12.86,12.88,12.70,12.73,41700,12.593336
2015-12-18,12.94,12.94,12.81,12.81,48200,12.672478
2015-12-17,12.96,13.04,12.84,12.99,56800,12.850545
2015-12-16,12.84,13.05,12.78,12.99,87200,12.850545
2015-12-15,12.69,12.71,12.49,12.70,60200,12.563658
2015-12-14,12.82,12.82,12.66,12.66,41200,12.524088
2015-12-11,12.85,12.88,12.80,12.85,37100,12.712048
2015-12-10,12.72,12.85,12.72,12.83,43300,12.644778
2015-12-09,12.75,12.78,12.61,12.71,33000,12.52651
2015-12-08,12.61,12.82,12.61,12.74,49200,12.556077
2015-12-07,12.67,12.68,12.62,12.67,17600,12.487088
2015-12-04,12.68,12.72,12.58,12.64,56400,12.457521
2015-12-03,12.75,12.75,12.63,12.68,33800,12.496943
2015-12-02,12.65,12.75,12.65,12.70,30200,12.516654
2015-12-01,12.74,12.74,12.63,12.67,48600,12.487088
2015-11-30,12.58,12.66,12.58,12.64,58700,12.457521
2015-11-27,12.61,12.66,12.59,12.66,8000,12.477232
2015-11-25,12.59,12.60,12.55,12.58,33000,12.398387
2015-11-24,12.44,12.58,12.44,12.58,38900,12.398387
2015-11-23,12.50,12.55,12.46,12.46,22000,12.280119
2015-11-20,12.48,12.48,12.44,12.45,30200,12.270263
2015-11-19,12.44,12.48,12.44,12.45,18700,12.270263
2015-11-18,12.51,12.51,12.40,12.43,23400,12.250553
2015-11-17,12.39,12.48,12.39,12.45,31600,12.270263
2015-11-16,12.46,12.49,12.43,12.43,41000,12.250553
2015-11-13,12.49,12.55,12.48,12.48,23900,12.29983
2015-11-12,12.39,12.50,12.37,12.49,46900,12.309686
2015-11-11,12.43,12.43,12.36,12.38,16100,12.201274
2015-11-10,12.39,12.39,12.35,12.38,25800,12.201274
2015-11-09,12.43,12.44,12.40,12.40,20800,12.173678
2015-11-06,12.55,12.55,12.44,12.44,31700,12.212948
2015-11-05,12.62,12.64,12.59,12.59,26400,12.360211
2015-11-04,12.62,12.65,12.59,12.62,29300,12.389663
2015-11-03,12.62,12.63,12.61,12.62,7500,12.389663
2015-11-02,12.65,12.65,12.60,12.63,16300,12.399481
2015-10-30,12.61,12.65,12.59,12.63,19400,12.399481
2015-10-29,12.60,12.62,12.60,12.61,14000,12.379846
2015-10-28,12.60,12.65,12.60,12.60,35900,12.370029
2015-10-27,12.55,12.65,12.53,12.65,22200,12.419115
2015-10-26,12.55,12.57,12.52,12.52,10800,12.291489
2015-10-23,12.48,12.57,12.48,12.55,37200,12.320941
2015-10-22,12.44,12.48,12.42,12.48,12600,12.252218
2015-10-21,12.47,12.49,12.35,12.41,57000,12.183496
2015-10-20,12.44,12.48,12.40,12.43,31800,12.203131
2015-10-19,12.42,12.55,12.42,12.49,34100,12.262036
2015-10-16,12.43,12.43,12.38,12.43,15400,12.203131
2015-10-15,12.40,12.44,12.34,12.43,18000,12.203131
2015-10-14,12.39,12.39,12.37,12.38,27100,12.154044
2015-10-13,12.42,12.47,12.33,12.37,15900,12.144226
2015-10-12,12.46,12.54,12.46,12.47,18100,12.195277
2015-10-09,12.48,12.49,12.45,12.49,5500,12.214836
2015-10-08,12.45,12.48,12.44,12.45,5900,12.175717
2015-10-07,12.40,12.47,12.40,12.47,19200,12.195277
2015-10-06,12.35,12.43,12.35,12.43,12000,12.156159
2015-10-05,12.36,12.40,12.35,12.35,9800,12.077921
2015-10-02,12.43,12.43,12.34,12.38,18000,12.10726
2015-10-01,12.48,12.50,12.39,12.40,28100,12.126819
2015-09-30,12.48,12.48,12.33,12.44,19300,12.165938
2015-09-29,12.45,12.50,12.43,12.43,33600,12.156159
2015-09-28,12.42,12.44,12.32,12.33,11800,12.058361
2015-09-25,12.43,12.47,12.31,12.39,39900,12.11704
2015-09-24,12.41,12.46,12.38,12.46,12900,12.185497
2015-09-23,12.41,12.49,12.39,12.46,5100,12.185497
2015-09-22,12.38,12.47,12.37,12.47,22000,12.195277
2015-09-21,12.40,12.41,12.36,12.40,28700,12.126819
2015-09-18,12.35,12.47,12.35,12.45,18000,12.175717
2015-09-17,12.25,12.37,12.25,12.35,8100,12.077921
2015-09-16,12.22,12.29,12.22,12.26,23300,11.989904
2015-09-15,12.25,12.28,12.23,12.27,6900,11.999684
2015-09-14,12.29,12.32,12.27,12.29,21500,12.019243
2015-09-11,12.31,12.35,12.28,12.29,16600,12.019243
2015-09-10,12.35,12.43,12.35,12.39,9300,12.070097
2015-09-09,12.41,12.46,12.38,12.38,12300,12.060355
