Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.62,15.62,15.50,15.50,1400,15.50
2016-03-10,15.34,15.60,15.07,15.59,3400,15.541001
2016-03-09,15.32,15.32,15.30,15.30,1300,15.251912
2016-03-08,15.25,15.33,14.93,15.30,4200,15.251912
2016-03-07,14.94,15.09,14.93,14.95,3300,14.903012
2016-03-04,14.96,15.11,14.96,15.10,1000,15.052541
2016-03-03,15.19,15.19,14.95,14.95,1000,14.903012
2016-03-02,15.19,15.25,14.92,15.00,3500,14.952855
2016-03-01,14.98,15.11,14.98,15.00,3800,14.952855
2016-02-29,15.23,15.25,15.06,15.07,3200,15.022634
2016-02-26,15.25,15.25,15.15,15.24,2500,15.1921
2016-02-25,15.45,15.45,15.25,15.25,2100,15.202069
2016-02-24,15.65,15.65,15.21,15.25,4000,15.202069
2016-02-23,15.63,15.63,15.15,15.15,2600,15.102383
2016-02-22,15.36,15.36,15.30,15.30,500,15.251912
2016-02-19,15.25,15.25,15.25,15.25,000,15.202069
2016-02-18,15.14,15.25,15.14,15.25,600,15.202069
2016-02-17,15.14,15.23,15.13,15.22,1600,15.172164
2016-02-16,15.09,15.12,15.03,15.12,6500,15.072478
2016-02-12,14.96,15.12,14.88,15.12,4300,15.072478
2016-02-11,14.85,14.85,14.72,14.85,2400,14.803327
2016-02-10,14.70,15.08,14.70,15.08,3900,15.032603
2016-02-09,14.78,14.99,14.70,14.81,2800,14.714606
2016-02-08,14.84,14.88,14.84,14.88,700,14.784155
2016-02-05,14.83,15.00,14.81,14.95,5300,14.853703
2016-02-04,14.82,14.88,14.64,14.88,1300,14.784155
2016-02-03,14.68,14.86,14.68,14.76,4900,14.664928
2016-02-02,14.74,14.91,14.60,14.60,8300,14.505958
2016-02-01,14.70,14.88,14.60,14.71,2400,14.615249
2016-01-29,14.71,14.97,14.53,14.63,4800,14.535765
2016-01-28,14.67,14.99,14.52,14.60,8100,14.505958
2016-01-27,14.73,14.93,14.59,14.74,9900,14.645056
2016-01-26,14.67,14.77,14.63,14.65,1700,14.555636
2016-01-25,14.74,14.94,14.61,14.72,5100,14.625185
2016-01-22,14.76,14.87,14.65,14.67,5100,14.575507
2016-01-21,14.73,14.76,14.65,14.65,1400,14.555636
2016-01-20,14.75,14.89,14.56,14.70,8400,14.605314
2016-01-19,14.93,14.93,14.63,14.65,1500,14.555636
2016-01-15,14.60,14.97,14.60,14.88,9300,14.784155
2016-01-14,14.68,14.73,14.68,14.73,3200,14.63512
2016-01-13,14.67,14.68,14.60,14.67,2900,14.575507
2016-01-12,14.47,14.69,14.45,14.69,4900,14.546694
2016-01-11,14.61,14.61,14.50,14.59,600,14.44767
2016-01-08,14.54,14.77,14.53,14.59,2000,14.44767
2016-01-07,14.61,14.61,14.48,14.59,1200,14.44767
2016-01-06,14.60,14.78,14.53,14.65,5500,14.507084
2016-01-05,14.50,14.78,14.43,14.65,10200,14.507084
2016-01-04,14.34,14.45,14.34,14.43,2300,14.289231
2015-12-31,14.48,14.49,14.37,14.49,6800,14.348645
2015-12-30,14.39,14.39,14.37,14.38,6500,14.239719
2015-12-29,14.38,14.38,14.31,14.31,800,14.170402
2015-12-28,14.42,14.42,14.36,14.37,1700,14.229816
2015-12-24,14.25,14.42,14.25,14.42,6200,14.279328
2015-12-23,14.33,14.34,14.33,14.33,3300,14.190206
2015-12-22,14.43,14.43,14.24,14.26,6800,14.120889
2015-12-21,14.41,14.43,14.33,14.43,3000,14.289231
2015-12-18,14.33,14.36,14.27,14.34,2800,14.200109
2015-12-17,14.23,14.39,14.22,14.28,8300,14.140694
2015-12-16,14.48,14.48,14.21,14.24,3200,14.101084
2015-12-15,14.24,14.46,14.19,14.46,2900,14.318938
