Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.14,7.34,7.05,7.28,260600,7.28
2016-03-10,7.03,7.25,6.97,7.14,198200,7.035
2016-03-09,7.13,7.34,7.04,7.08,247600,6.975882
2016-03-08,7.36,7.46,7.02,7.08,400900,6.975882
2016-03-07,7.45,7.55,7.27,7.49,349200,7.379853
2016-03-04,7.42,7.48,7.25,7.41,465800,7.301029
2016-03-03,7.01,7.50,6.97,7.39,622800,7.281323
2016-03-02,6.75,7.09,6.75,7.02,301700,6.916765
2016-03-01,6.98,7.02,6.80,6.93,335100,6.828088
2016-02-29,6.89,6.98,6.70,6.85,285500,6.749265
2016-02-26,6.80,6.85,6.55,6.63,353800,6.5325
2016-02-25,6.37,6.51,6.21,6.48,229000,6.384706
2016-02-24,6.25,6.63,6.06,6.50,377700,6.404412
2016-02-23,6.52,6.60,6.32,6.47,291200,6.374853
2016-02-22,6.54,6.90,6.51,6.56,329900,6.463529
2016-02-19,6.19,6.47,6.11,6.36,278500,6.266471
2016-02-18,6.51,6.52,6.31,6.39,241300,6.296029
2016-02-17,6.06,6.45,6.06,6.45,330300,6.355147
2016-02-16,5.82,6.17,5.81,6.17,318900,6.079265
2016-02-12,5.50,5.79,5.41,5.72,280900,5.635882
2016-02-11,5.26,5.55,5.16,5.43,402100,5.350147
2016-02-10,5.78,5.97,5.41,5.41,496100,5.226985
2016-02-09,5.36,5.77,5.31,5.52,311700,5.333264
2016-02-08,6.90,6.90,5.57,5.66,823300,5.468528
2016-02-05,7.19,7.46,7.05,7.11,261600,6.869476
2016-02-04,7.06,7.33,7.01,7.26,294800,7.014402
2016-02-03,7.17,7.33,6.73,7.02,355100,6.782521
2016-02-02,6.85,6.99,6.63,6.87,304200,6.637595
2016-02-01,7.09,7.14,6.88,7.00,311200,6.763197
2016-01-29,6.93,7.58,6.82,7.17,799300,6.927446
2016-01-28,6.69,6.90,6.53,6.88,560300,6.647257
2016-01-27,6.40,6.60,6.11,6.29,582800,6.077216
2016-01-26,6.05,6.75,5.96,6.46,669200,6.241465
2016-01-25,5.94,6.40,5.72,5.91,509100,5.710071
2016-01-22,5.60,6.12,5.55,5.98,831100,5.777703
2016-01-21,5.20,5.45,4.95,5.15,716400,4.975781
2016-01-20,5.30,5.30,4.52,4.94,1080900,4.772885
2016-01-19,5.85,5.96,5.46,5.52,517400,5.333264
2016-01-15,6.00,6.04,5.72,5.89,427300,5.690747
2016-01-14,5.74,6.25,5.71,6.24,662800,6.028907
2016-01-13,6.64,6.64,5.68,5.74,587500,5.545821
2016-01-12,6.86,7.19,6.27,6.56,720000,6.236634
2016-01-11,7.45,7.45,6.65,6.85,491800,6.512339
2016-01-08,7.51,7.81,7.29,7.47,656600,7.101777
2016-01-07,7.65,7.93,7.42,7.55,587400,7.177834
2016-01-06,8.28,8.34,7.71,7.86,695300,7.472553
2016-01-05,8.47,8.54,8.13,8.50,356800,8.081005
2016-01-04,7.90,8.46,7.90,8.44,648100,8.023962
2015-12-31,7.55,8.25,7.40,8.16,1173500,7.757764
2015-12-30,7.30,7.79,7.30,7.45,1388300,7.082763
2015-12-29,7.63,7.80,7.21,7.57,1263100,7.196848
2015-12-28,7.95,7.99,7.34,7.50,1117200,7.130298
2015-12-24,8.38,8.49,8.04,8.12,510200,7.719736
2015-12-23,7.31,8.44,7.22,8.30,1283200,7.890863
2015-12-22,6.55,7.40,6.55,7.11,1794900,6.759523
2015-12-21,6.30,6.64,6.10,6.60,870300,6.274662
2015-12-18,6.80,6.84,6.26,6.38,1177900,6.065507
2015-12-17,7.46,7.46,6.84,6.85,1293500,6.512339
2015-12-16,7.12,7.52,7.11,7.40,862800,7.035228
2015-12-15,7.20,7.37,7.05,7.18,849000,6.826072
2015-12-14,7.57,7.59,6.89,7.10,922600,6.750016
2015-12-11,8.06,8.06,7.42,7.66,1054100,7.282411
2015-12-10,8.20,8.50,7.96,8.30,807200,7.791039
2015-12-09,8.15,8.68,8.01,8.23,1096400,7.725331
2015-12-08,8.00,8.52,7.96,8.00,1044500,7.509435
2015-12-07,8.98,9.02,8.21,8.32,1050500,7.809812
2015-12-04,9.72,9.72,9.07,9.10,780800,8.541983
2015-12-03,10.24,10.42,9.87,9.87,504100,9.264766
2015-12-02,10.54,10.60,10.33,10.34,462800,9.705945
2015-12-01,10.64,10.74,10.39,10.68,561200,10.025096
2015-11-30,10.84,10.87,10.48,10.59,527800,9.940615
2015-11-27,10.45,10.85,10.43,10.68,138400,10.025096
2015-11-25,10.93,10.95,10.55,10.60,358000,9.950002
2015-11-24,10.58,11.06,10.50,10.89,510100,10.222219
2015-11-23,10.47,10.84,10.31,10.49,438800,9.846747
2015-11-20,10.60,10.70,10.39,10.40,358100,9.762265
2015-11-19,10.75,10.75,10.45,10.61,351400,9.959388
2015-11-18,11.15,11.15,10.50,10.75,739200,10.090804
2015-11-17,11.22,11.52,10.71,10.94,659600,10.269152
2015-11-16,10.94,11.50,10.94,11.31,281000,10.616464
2015-11-13,10.89,11.27,10.70,10.99,410500,10.316086
2015-11-12,11.07,11.19,10.64,10.93,292600,10.259766
2015-11-11,11.70,11.82,11.27,11.30,390300,10.508516
2015-11-10,12.07,12.21,11.65,11.76,542500,10.936296
2015-11-09,12.55,12.60,12.13,12.25,268600,11.391975
