Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.09,14.09,14.01,14.02,34100,14.02
2016-03-10,14.09,14.14,14.09,14.11,43300,14.046
2016-03-09,14.06,14.14,14.06,14.10,58000,14.036046
2016-03-08,14.16,14.16,14.07,14.07,83500,14.006181
2016-03-07,14.16,14.17,14.09,14.14,73900,14.075864
2016-03-04,14.18,14.20,14.13,14.13,138400,14.065909
2016-03-03,14.12,14.18,14.10,14.17,169000,14.105728
2016-03-02,14.10,14.11,14.02,14.11,76900,14.046
2016-03-01,14.11,14.12,14.07,14.08,121200,14.016136
2016-02-29,14.06,14.10,14.02,14.07,118500,14.006181
2016-02-26,14.03,14.07,14.01,14.02,121600,13.956409
2016-02-25,14.05,14.09,14.03,14.03,149900,13.966363
2016-02-24,14.05,14.08,14.02,14.02,123200,13.956409
2016-02-23,14.03,14.07,14.02,14.05,126500,13.986272
2016-02-22,14.03,14.05,14.00,14.02,84900,13.956409
2016-02-19,14.07,14.07,14.03,14.03,61300,13.966363
2016-02-18,14.06,14.06,14.00,14.04,92900,13.976317
2016-02-17,13.99,14.05,13.99,14.04,99700,13.976317
2016-02-16,14.08,14.08,14.00,14.01,103100,13.946454
2016-02-12,14.12,14.17,14.09,14.10,153300,14.036046
2016-02-11,14.14,14.15,14.06,14.15,217200,14.085818
2016-02-10,14.14,14.15,14.08,14.08,104500,14.016136
2016-02-09,14.12,14.18,14.12,14.16,69500,14.032064
2016-02-08,14.10,14.12,14.09,14.12,66900,13.992425
2016-02-05,14.08,14.13,14.02,14.06,139300,13.932968
2016-02-04,14.03,14.03,13.99,14.02,69100,13.893329
2016-02-03,14.02,14.06,14.00,14.02,117400,13.893329
2016-02-02,13.98,14.02,13.98,13.99,158900,13.863599
2016-02-01,13.99,14.01,13.95,13.99,53200,13.863599
2016-01-29,13.89,13.95,13.89,13.95,57300,13.823961
2016-01-28,13.91,13.91,13.79,13.87,93400,13.744684
2016-01-27,13.89,13.90,13.83,13.86,43500,13.734774
2016-01-26,13.77,13.85,13.76,13.85,47000,13.724865
2016-01-25,13.76,13.82,13.76,13.79,62700,13.665407
2016-01-22,13.83,13.85,13.78,13.81,81500,13.685226
2016-01-21,13.72,13.79,13.62,13.79,110400,13.665407
2016-01-20,13.86,13.87,13.67,13.73,138600,13.605948
2016-01-19,13.89,13.89,13.81,13.82,75600,13.695135
2016-01-15,13.89,13.91,13.81,13.84,80600,13.714955
2016-01-14,13.87,13.90,13.83,13.86,101300,13.734774
2016-01-13,13.89,13.89,13.82,13.86,143400,13.734774
2016-01-12,13.91,13.94,13.87,13.94,96200,13.750629
2016-01-11,13.95,13.95,13.87,13.90,161900,13.711173
2016-01-08,13.90,13.99,13.87,13.99,246600,13.79995
2016-01-07,13.99,13.99,13.88,13.90,125400,13.711173
2016-01-06,13.97,14.01,13.88,13.93,112100,13.740766
2016-01-05,13.83,13.90,13.78,13.90,134000,13.711173
2016-01-04,13.79,13.81,13.77,13.80,74900,13.612532
2015-12-31,13.82,13.85,13.73,13.79,110700,13.602667
2015-12-30,13.69,13.78,13.67,13.75,90900,13.563211
2015-12-29,13.63,13.71,13.62,13.69,86400,13.504025
2015-12-28,13.69,13.73,13.65,13.70,67000,13.51389
2015-12-24,13.67,13.69,13.64,13.69,28000,13.504025
2015-12-23,13.57,13.65,13.57,13.62,80400,13.434977
2015-12-22,13.57,13.57,13.53,13.55,61700,13.365928
2015-12-21,13.56,13.59,13.54,13.55,50200,13.365928
2015-12-18,13.51,13.58,13.50,13.53,149400,13.346199
2015-12-17,13.41,13.54,13.41,13.51,109800,13.326471
