Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.86,14.90,14.75,14.83,11600,14.83
2016-03-10,14.94,14.99,14.86,14.95,13900,14.891
2016-03-09,15.05,15.08,14.85,14.91,18300,14.851158
2016-03-08,14.85,14.85,14.69,14.80,13500,14.741592
2016-03-07,14.67,14.75,14.54,14.70,29700,14.641987
2016-03-04,14.70,14.70,14.60,14.68,6800,14.622066
2016-03-03,14.75,14.75,14.60,14.68,12200,14.622066
2016-03-02,14.59,14.71,14.48,14.63,18200,14.572263
2016-03-01,14.50,14.70,14.40,14.60,20100,14.542382
2016-02-29,14.30,14.51,14.27,14.51,5900,14.452737
2016-02-26,14.41,14.41,14.08,14.37,18200,14.313289
2016-02-25,14.25,14.51,14.24,14.43,8800,14.373053
2016-02-24,14.07,14.16,14.03,14.16,5500,14.104118
2016-02-23,14.02,14.06,14.01,14.06,6900,14.004513
2016-02-22,13.99,14.09,13.99,14.00,5000,13.944749
2016-02-19,14.21,14.21,13.97,14.05,7000,13.994552
2016-02-18,14.02,14.11,14.02,14.09,4900,14.034394
2016-02-17,13.95,14.12,13.94,14.01,10800,13.95471
2016-02-16,14.09,14.09,13.99,13.99,7700,13.934788
2016-02-12,14.21,14.22,14.08,14.08,19100,14.024433
2016-02-11,14.13,14.21,14.10,14.21,5700,14.153921
2016-02-10,14.08,14.13,14.04,14.13,10100,14.074236
2016-02-09,14.10,14.17,14.06,14.15,8400,14.03539
2016-02-08,14.00,14.08,14.00,14.06,8600,13.94612
2016-02-05,14.06,14.08,13.94,13.94,5000,13.827091
2016-02-04,14.10,14.10,14.06,14.08,5400,13.965957
2016-02-03,14.07,14.10,14.01,14.09,3200,13.975877
2016-02-02,13.96,14.03,13.96,13.99,23000,13.876686
2016-02-01,14.07,14.09,14.01,14.06,9700,13.94612
2016-01-29,13.90,14.06,13.90,14.03,6400,13.916362
2016-01-28,13.94,13.94,13.88,13.91,8000,13.797334
2016-01-27,13.92,14.09,13.84,13.84,11000,13.727901
2016-01-26,13.85,14.05,13.85,13.91,14700,13.797334
2016-01-25,13.93,13.93,13.80,13.92,8800,13.807253
2016-01-22,13.74,13.90,13.71,13.86,2300,13.747739
2016-01-21,13.85,13.90,13.73,13.82,4200,13.708063
2016-01-20,13.79,13.79,13.68,13.70,3700,13.589035
2016-01-19,13.76,13.80,13.70,13.72,8300,13.608874
2016-01-15,13.86,14.02,13.78,13.83,20700,13.717982
2016-01-14,13.91,13.91,13.79,13.79,20500,13.678306
2016-01-13,13.84,14.10,13.84,13.87,2900,13.757658
2016-01-12,13.93,14.05,13.88,13.88,11500,13.709055
2016-01-11,13.87,14.03,13.86,13.99,13200,13.8177
2016-01-08,13.82,13.96,13.82,13.87,18100,13.699178
2016-01-07,13.93,13.93,13.77,13.86,14800,13.689301
2016-01-06,13.91,13.93,13.81,13.93,2400,13.758439
2016-01-05,13.82,13.94,13.76,13.83,25500,13.659671
2016-01-04,13.80,13.84,13.72,13.77,16400,13.60041
2015-12-31,13.78,13.78,13.67,13.73,11300,13.560902
2015-12-30,13.64,13.76,13.61,13.71,33400,13.541149
2015-12-29,13.70,13.76,13.60,13.66,32800,13.491764
2015-12-28,13.66,13.77,13.61,13.77,16100,13.60041
2015-12-24,13.59,13.70,13.59,13.66,3600,13.491764
2015-12-23,13.62,13.73,13.58,13.58,46000,13.41275
2015-12-22,13.79,13.80,13.59,13.63,31200,13.462134
2015-12-21,13.85,13.88,13.67,13.79,26400,13.620163
2015-12-18,13.60,14.17,13.60,13.87,26500,13.699178
2015-12-17,13.47,13.65,13.47,13.64,14800,13.472011
2015-12-16,13.45,13.51,13.33,13.48,34100,13.313981
2015-12-15,13.39,13.79,13.30,13.47,76200,13.304105
2015-12-14,13.67,13.79,13.54,13.57,5100,13.402873
2015-12-11,13.80,13.80,13.68,13.68,4700,13.511518
2015-12-10,13.91,13.91,13.66,13.75,3500,13.520407
2015-12-09,13.91,13.92,13.84,13.92,12200,13.687569
2015-12-08,13.58,13.87,13.58,13.81,10200,13.579406
2015-12-07,13.56,13.74,13.55,13.64,2900,13.412244
2015-12-04,13.71,13.71,13.53,13.55,7300,13.323747
2015-12-03,13.68,13.71,13.62,13.71,4500,13.481075
2015-12-02,13.69,13.74,13.61,13.65,7100,13.422077
2015-12-01,13.68,13.68,13.59,13.64,9300,13.412244
2015-11-30,13.53,13.67,13.53,13.62,16200,13.392578
2015-11-27,13.67,13.69,13.49,13.62,4700,13.392578
2015-11-25,13.65,13.66,13.54,13.61,6400,13.382745
2015-11-24,13.59,13.67,13.54,13.60,6100,13.372912
2015-11-23,13.42,13.58,13.42,13.58,7900,13.353246
2015-11-20,13.61,13.68,13.51,13.51,7800,13.284415
2015-11-19,13.69,13.73,13.57,13.60,12900,13.372912
2015-11-18,13.57,13.68,13.57,13.65,2400,13.422077
2015-11-17,13.65,13.75,13.52,13.56,21800,13.33358
2015-11-16,13.51,13.67,13.51,13.56,10900,13.33358
2015-11-13,13.54,13.65,13.44,13.54,17000,13.313914
2015-11-12,13.46,13.52,13.37,13.51,8100,13.284415
2015-11-11,13.42,13.46,13.40,13.41,2000,13.186084
2015-11-10,13.42,13.44,13.36,13.41,2600,13.186084
2015-11-09,13.48,13.48,13.33,13.38,19400,13.098571
2015-11-06,13.56,13.58,13.46,13.52,2700,13.235626
2015-11-05,13.60,13.68,13.55,13.60,15100,13.313944
2015-11-04,13.56,13.59,13.43,13.50,8400,13.216047
2015-11-03,13.63,13.63,13.50,13.57,15100,13.284574
2015-11-02,13.53,13.67,13.50,13.63,12900,13.343312
2015-10-30,13.69,13.69,13.51,13.51,8700,13.225836
2015-10-29,13.57,13.70,13.55,13.56,10200,13.274785
2015-10-28,13.56,13.75,13.50,13.59,14700,13.304154
2015-10-27,13.50,13.69,13.41,13.61,16400,13.323733
2015-10-26,13.50,13.50,13.45,13.50,15000,13.216047
2015-10-23,13.51,13.53,13.47,13.50,3000,13.216047
2015-10-22,13.56,13.66,13.46,13.46,17100,13.176888
2015-10-21,13.50,13.58,13.50,13.50,8400,13.216047
2015-10-20,13.58,13.58,13.41,13.44,9900,13.157308
2015-10-19,13.42,13.62,13.42,13.59,23400,13.304154
2015-10-16,13.59,13.63,13.52,13.54,5300,13.255205
2015-10-15,13.67,13.73,13.65,13.66,9200,13.372681
2015-10-14,13.73,13.74,13.70,13.70,2700,13.41184
2015-10-13,13.76,13.76,13.68,13.72,10700,13.431419
2015-10-12,13.71,13.73,13.70,13.73,6700,13.383449
2015-10-09,13.72,13.75,13.72,13.75,1700,13.402945
2015-10-08,13.72,13.78,13.72,13.75,8700,13.402945
2015-10-07,13.72,13.73,13.72,13.73,1500,13.383449
2015-10-06,13.65,13.95,13.65,13.75,10400,13.402945
2015-10-05,13.65,13.94,13.65,13.69,16400,13.344459
2015-10-02,13.56,13.68,13.56,13.68,5500,13.334712
2015-10-01,13.51,13.51,13.49,13.51,3300,13.169003
2015-09-30,13.51,13.51,13.45,13.48,3800,13.139759
