Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.99,12.99,12.94,12.94,38600,12.94
2016-03-10,12.98,13.03,12.96,12.99,54600,12.934
2016-03-09,12.99,13.01,12.94,12.95,59500,12.894172
2016-03-08,12.97,13.01,12.94,12.98,30500,12.924042
2016-03-07,12.94,12.98,12.92,12.97,59700,12.914086
2016-03-04,12.98,13.02,12.90,12.92,56900,12.864302
2016-03-03,12.93,12.99,12.93,12.96,30200,12.904129
2016-03-02,13.04,13.04,12.93,12.96,37400,12.904129
2016-03-01,13.00,13.00,12.97,13.00,36800,12.943957
2016-02-29,12.95,12.97,12.93,12.96,42000,12.904129
2016-02-26,12.96,12.97,12.90,12.91,38800,12.854345
2016-02-25,12.95,12.97,12.92,12.97,33600,12.914086
2016-02-24,12.96,12.97,12.91,12.93,31600,12.874259
2016-02-23,12.86,12.95,12.85,12.95,49900,12.894172
2016-02-22,12.90,12.92,12.85,12.86,36800,12.80456
2016-02-19,12.87,12.89,12.81,12.85,44500,12.794604
2016-02-18,12.81,12.87,12.81,12.87,29500,12.814517
2016-02-17,12.82,12.83,12.77,12.82,26800,12.764732
2016-02-16,12.82,12.85,12.80,12.80,49900,12.744819
2016-02-12,12.92,12.97,12.75,12.85,113600,12.794604
2016-02-11,12.95,12.96,12.90,12.92,31800,12.864302
2016-02-10,12.93,12.94,12.90,12.92,16800,12.864302
2016-02-09,12.93,12.98,12.93,12.96,58600,12.848371
2016-02-08,12.94,12.99,12.94,12.98,19000,12.868198
2016-02-05,12.97,12.97,12.92,12.94,49600,12.828543
2016-02-04,12.95,12.97,12.91,12.95,46400,12.838457
2016-02-03,12.93,12.96,12.87,12.92,44000,12.808716
2016-02-02,12.90,12.97,12.87,12.93,47000,12.81863
2016-02-01,12.85,12.89,12.80,12.88,66700,12.76906
2016-01-29,12.75,12.86,12.75,12.82,23300,12.709577
2016-01-28,12.72,12.80,12.72,12.73,62600,12.620352
2016-01-27,12.81,12.81,12.71,12.71,14900,12.600524
2016-01-26,12.67,12.79,12.67,12.79,41200,12.679835
2016-01-25,12.67,12.70,12.67,12.70,6300,12.59061
2016-01-22,12.65,12.74,12.64,12.71,13500,12.600524
2016-01-21,12.58,12.65,12.58,12.64,22700,12.531128
2016-01-20,12.71,12.72,12.54,12.54,52800,12.431989
2016-01-19,12.77,12.79,12.70,12.70,28000,12.59061
2016-01-15,12.76,12.78,12.70,12.77,41100,12.660008
2016-01-14,12.73,12.74,12.68,12.72,24500,12.610438
2016-01-13,12.80,12.89,12.69,12.69,99600,12.580696
2016-01-12,12.82,12.84,12.78,12.84,30800,12.673887
2016-01-11,12.88,12.88,12.80,12.80,45000,12.634404
2016-01-08,12.82,12.88,12.82,12.85,11600,12.683758
2016-01-07,12.87,12.89,12.81,12.85,44000,12.683758
2016-01-06,12.83,12.90,12.76,12.85,42000,12.683758
2016-01-05,12.77,12.78,12.70,12.76,28800,12.594922
2016-01-04,12.77,12.77,12.66,12.72,35900,12.555439
2015-12-31,12.62,12.74,12.62,12.69,49800,12.525827
2015-12-30,12.57,12.69,12.57,12.67,90900,12.506086
2015-12-29,12.58,12.63,12.50,12.59,80100,12.427121
2015-12-28,12.56,12.62,12.56,12.60,58400,12.436992
2015-12-24,12.55,12.61,12.53,12.61,33200,12.446862
2015-12-23,12.50,12.59,12.50,12.56,34500,12.397509
2015-12-22,12.55,12.58,12.54,12.55,30300,12.387638
2015-12-21,12.61,12.61,12.50,12.57,60500,12.407379
2015-12-18,12.51,12.58,12.49,12.57,31000,12.407379
2015-12-17,12.39,12.52,12.39,12.46,106300,12.298803
2015-12-16,12.34,12.44,12.31,12.35,109200,12.190226
2015-12-15,12.39,12.40,12.33,12.37,69200,12.209967
2015-12-14,12.41,12.44,12.30,12.38,52700,12.219838
2015-12-11,12.47,12.64,12.36,12.43,108300,12.269191
2015-12-10,12.45,12.49,12.43,12.47,60900,12.251424
2015-12-09,12.50,12.50,12.42,12.46,25300,12.241599
2015-12-08,12.37,12.50,12.37,12.46,68500,12.241599
2015-12-07,12.49,12.50,12.37,12.42,85700,12.2023
2015-12-04,12.40,12.47,12.40,12.47,22200,12.251424
2015-12-03,12.47,12.47,12.38,12.40,69800,12.18265
2015-12-02,12.57,12.57,12.45,12.47,65100,12.251424
2015-12-01,12.54,12.55,12.45,12.51,43500,12.290723
2015-11-30,12.55,12.55,12.44,12.49,32500,12.271073
2015-11-27,12.42,12.50,12.42,12.49,18400,12.271073
2015-11-25,12.46,12.46,12.41,12.43,27000,12.212125
2015-11-24,12.46,12.48,12.37,12.37,59700,12.153176
2015-11-23,12.43,12.47,12.42,12.46,21800,12.241599
2015-11-20,12.47,12.51,12.41,12.42,25800,12.2023
2015-11-19,12.42,12.44,12.39,12.41,47300,12.192475
2015-11-18,12.42,12.44,12.40,12.40,30700,12.18265
2015-11-17,12.45,12.45,12.36,12.38,23800,12.163001
2015-11-16,12.45,12.46,12.40,12.46,22000,12.241599
2015-11-13,12.40,12.48,12.39,12.47,37900,12.251424
2015-11-12,12.33,12.40,12.30,12.37,44300,12.153176
2015-11-11,12.39,12.40,12.30,12.32,53900,12.104053
2015-11-10,12.36,12.39,12.33,12.39,26400,12.172826
2015-11-09,12.37,12.43,12.36,12.39,43500,12.117808
2015-11-06,12.47,12.51,12.40,12.43,39500,12.156929
2015-11-05,12.55,12.62,12.54,12.56,34500,12.284073
2015-11-04,12.49,12.59,12.49,12.56,58800,12.284073
2015-11-03,12.61,12.61,12.50,12.50,50100,12.225391
2015-11-02,12.61,12.61,12.54,12.56,24600,12.284073
