Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.89,13.93,13.87,13.87,153500,13.87
2016-03-10,13.97,13.98,13.94,13.97,151600,13.894
2016-03-09,13.94,13.96,13.90,13.94,195800,13.864163
2016-03-08,13.92,13.94,13.88,13.94,149700,13.864163
2016-03-07,13.90,13.94,13.87,13.92,203900,13.844272
2016-03-04,13.92,13.93,13.87,13.88,183000,13.80449
2016-03-03,13.86,13.92,13.86,13.92,139900,13.844272
2016-03-02,13.91,13.92,13.81,13.85,393000,13.774653
2016-03-01,13.93,13.97,13.89,13.90,220900,13.82438
2016-02-29,13.92,13.95,13.89,13.90,129600,13.82438
2016-02-26,13.93,13.95,13.87,13.87,135900,13.794544
2016-02-25,13.91,13.97,13.89,13.90,219400,13.82438
2016-02-24,13.94,13.95,13.89,13.90,99300,13.82438
2016-02-23,13.85,13.92,13.84,13.89,103000,13.814435
2016-02-22,13.84,13.87,13.81,13.83,80400,13.754761
2016-02-19,13.88,13.88,13.81,13.81,100700,13.734871
2016-02-18,13.86,13.88,13.82,13.84,110600,13.764707
2016-02-17,13.81,13.91,13.76,13.79,189300,13.714979
2016-02-16,13.82,13.85,13.76,13.76,148200,13.685143
2016-02-12,13.88,13.97,13.84,13.86,165100,13.784598
2016-02-11,13.94,13.99,13.88,13.88,284100,13.80449
2016-02-10,13.91,13.96,13.89,13.93,157200,13.854218
2016-02-09,13.98,13.98,13.94,13.96,163900,13.808468
2016-02-08,14.03,14.03,13.92,13.97,214300,13.81836
2016-02-05,14.00,14.00,13.91,13.98,118900,13.828251
2016-02-04,13.95,13.99,13.93,13.97,118300,13.81836
2016-02-03,13.92,13.99,13.91,13.91,132500,13.759011
2016-02-02,13.96,14.01,13.93,13.95,190100,13.798576
2016-02-01,13.87,14.01,13.87,13.98,277100,13.828251
2016-01-29,13.87,13.96,13.84,13.87,177100,13.719445
2016-01-28,13.80,13.86,13.80,13.85,68400,13.699662
2016-01-27,13.91,13.91,13.80,13.82,105400,13.669987
2016-01-26,13.77,13.85,13.75,13.85,150600,13.699662
2016-01-25,13.84,13.85,13.78,13.78,99800,13.630422
2016-01-22,13.74,13.85,13.67,13.85,80500,13.699662
2016-01-21,13.69,13.75,13.64,13.71,117600,13.561182
2016-01-20,13.85,13.85,13.62,13.69,165700,13.541398
2016-01-19,13.92,13.94,13.75,13.75,165800,13.600748
2016-01-15,13.85,13.89,13.81,13.85,58200,13.699662
2016-01-14,13.81,13.88,13.77,13.84,137700,13.689771
2016-01-13,13.92,13.92,13.80,13.82,191700,13.669987
2016-01-12,13.94,13.95,13.88,13.94,144800,13.713509
2016-01-11,13.84,13.96,13.84,13.89,209200,13.664322
2016-01-08,13.93,13.96,13.85,13.88,217100,13.654485
2016-01-07,13.93,13.98,13.93,13.94,120000,13.713509
2016-01-06,13.97,13.99,13.91,13.96,217500,13.733185
2016-01-05,13.83,13.96,13.83,13.90,173200,13.674159
2016-01-04,13.82,13.89,13.81,13.84,193500,13.615135
2015-12-31,13.83,13.89,13.80,13.82,96900,13.595459
2015-12-30,13.74,13.83,13.74,13.78,167600,13.556109
2015-12-29,13.73,13.83,13.73,13.75,113700,13.526597
2015-12-28,13.76,13.79,13.76,13.76,93000,13.536434
2015-12-24,13.78,13.78,13.72,13.78,50300,13.556109
2015-12-23,13.75,13.77,13.70,13.75,116300,13.526597
2015-12-22,13.72,13.74,13.66,13.72,86800,13.497084
2015-12-21,13.70,13.73,13.61,13.69,107300,13.467571
2015-12-18,13.61,13.70,13.57,13.66,209300,13.438059
2015-12-17,13.49,13.63,13.49,13.60,114200,13.379034
2015-12-16,13.51,13.54,13.45,13.48,136900,13.260983
2015-12-15,13.45,13.52,13.44,13.45,197900,13.231471
2015-12-14,13.65,13.65,13.45,13.45,160000,13.231471
2015-12-11,13.79,13.80,13.59,13.62,178500,13.398709
2015-12-10,13.82,13.85,13.75,13.85,169800,13.541353
2015-12-09,13.82,13.82,13.73,13.77,63800,13.463136
2015-12-08,13.69,13.80,13.61,13.80,219600,13.492467
2015-12-07,13.67,13.69,13.56,13.65,153200,13.34581
2015-12-04,13.56,13.67,13.56,13.61,79900,13.306701
2015-12-03,13.63,13.65,13.55,13.55,182800,13.248039
2015-12-02,13.73,13.74,13.59,13.65,140600,13.34581
2015-12-01,13.68,13.74,13.65,13.70,90500,13.394696
2015-11-30,13.70,13.70,13.60,13.65,85100,13.34581
2015-11-27,13.67,13.73,13.62,13.71,38400,13.404473
2015-11-25,13.58,13.64,13.57,13.62,76700,13.316478
2015-11-24,13.53,13.57,13.51,13.54,85400,13.238261
2015-11-23,13.60,13.62,13.51,13.56,88600,13.257816
2015-11-20,13.62,13.64,13.53,13.58,62800,13.27737
2015-11-19,13.52,13.62,13.45,13.62,148400,13.316478
2015-11-18,13.53,13.57,13.45,13.47,119300,13.169822
2015-11-17,13.59,13.62,13.51,13.51,96300,13.20893
2015-11-16,13.57,13.60,13.48,13.60,100700,13.296925
2015-11-13,13.47,13.66,13.47,13.58,112600,13.27737
2015-11-12,13.33,13.54,13.33,13.47,59300,13.169822
2015-11-11,13.36,13.42,13.33,13.35,133200,13.052496
2015-11-10,13.49,13.49,13.34,13.39,174100,13.091604
2015-11-09,13.60,13.60,13.45,13.53,184700,13.154178
2015-11-06,13.70,13.70,13.61,13.67,120300,13.290289
2015-11-05,13.75,13.82,13.73,13.74,67400,13.358344
2015-11-04,13.78,13.81,13.75,13.75,77600,13.368067
2015-11-03,13.76,13.81,13.76,13.79,94500,13.406956
2015-11-02,13.76,13.81,13.70,13.80,108200,13.416678
2015-10-30,13.70,13.78,13.63,13.76,77100,13.377789
2015-10-29,13.61,13.71,13.61,13.67,37000,13.290289
2015-10-28,13.63,13.70,13.61,13.61,87300,13.231955
2015-10-27,13.65,13.67,13.59,13.60,85000,13.222234
2015-10-26,13.70,13.75,13.66,13.66,119600,13.280567
2015-10-23,13.62,13.67,13.62,13.66,67500,13.280567
2015-10-22,13.56,13.71,13.54,13.66,67800,13.280567
2015-10-21,13.51,13.59,13.51,13.52,97900,13.144456
2015-10-20,13.50,13.53,13.50,13.51,106100,13.134734
2015-10-19,13.54,13.58,13.50,13.50,84500,13.125011
2015-10-16,13.53,13.59,13.49,13.54,87400,13.1639
2015-10-15,13.56,13.59,13.53,13.53,87800,13.154178
2015-10-14,13.50,13.60,13.46,13.60,108100,13.222234
2015-10-13,13.51,13.53,13.44,13.49,77800,13.115289
2015-10-12,13.67,13.70,13.55,13.55,187600,13.099734
2015-10-09,13.64,13.70,13.58,13.70,76300,13.244749
2015-10-08,13.54,13.64,13.50,13.64,100100,13.186743
2015-10-07,13.45,13.52,13.45,13.51,77100,13.061063
2015-10-06,13.41,13.47,13.40,13.45,55300,13.003056
2015-10-05,13.45,13.46,13.40,13.44,151700,12.993388
2015-10-02,13.41,13.45,13.40,13.42,142900,12.974053
2015-10-01,13.35,13.43,13.31,13.40,64700,12.954718
2015-09-30,13.40,13.47,13.27,13.29,182400,12.848373
2015-09-29,13.38,13.44,13.36,13.41,107000,12.964385
