Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.55,13.55,13.45,13.45,27800,13.45
2016-03-10,13.55,13.56,13.50,13.51,28400,13.461
2016-03-09,13.66,13.69,13.51,13.51,71400,13.461
2016-03-08,13.53,13.67,13.50,13.62,49800,13.570601
2016-03-07,13.51,13.52,13.42,13.47,62500,13.421145
2016-03-04,13.60,13.61,13.48,13.48,128400,13.431108
2016-03-03,13.59,13.59,13.55,13.58,20200,13.530746
2016-03-02,13.61,13.61,13.55,13.57,21900,13.520782
2016-03-01,13.60,13.60,13.53,13.56,37100,13.510819
2016-02-29,13.58,13.60,13.56,13.60,12300,13.550674
2016-02-26,13.58,13.59,13.50,13.53,21500,13.480927
2016-02-25,13.58,13.62,13.58,13.59,10100,13.54071
2016-02-24,13.58,13.62,13.52,13.58,18400,13.530746
2016-02-23,13.54,13.65,13.51,13.65,24800,13.600492
2016-02-22,13.54,13.59,13.50,13.50,28400,13.451036
2016-02-19,13.65,13.65,13.51,13.53,28200,13.480927
2016-02-18,13.49,13.73,13.48,13.73,19100,13.680202
2016-02-17,13.59,13.62,13.49,13.54,21800,13.490891
2016-02-16,13.64,13.64,13.52,13.55,43100,13.500855
2016-02-12,13.71,13.72,13.55,13.59,26400,13.54071
2016-02-11,13.86,13.87,13.65,13.66,52500,13.610456
2016-02-10,13.67,13.69,13.65,13.65,20600,13.600492
2016-02-09,13.67,13.72,13.67,13.71,13900,13.611452
2016-02-08,13.73,13.75,13.60,13.68,34700,13.581668
2016-02-05,13.61,13.71,13.60,13.63,27300,13.532027
2016-02-04,13.62,13.64,13.57,13.58,27700,13.482387
2016-02-03,13.53,13.62,13.53,13.57,32400,13.472458
2016-02-02,13.47,13.57,13.45,13.51,44500,13.41289
2016-02-01,13.42,13.48,13.38,13.47,37900,13.373178
2016-01-29,13.33,13.49,13.33,13.48,17900,13.383105
2016-01-28,13.25,13.34,13.25,13.34,17800,13.244112
2016-01-27,13.38,13.38,13.28,13.28,13400,13.184543
2016-01-26,13.28,13.44,13.18,13.35,47800,13.25404
2016-01-25,13.32,13.38,13.19,13.19,24500,13.09519
2016-01-22,13.16,13.37,13.16,13.26,24100,13.164687
2016-01-21,13.07,13.27,13.07,13.16,41100,13.065405
2016-01-20,13.19,13.21,13.05,13.09,35200,12.995909
2016-01-19,13.21,13.29,13.19,13.22,12300,13.124975
2016-01-15,13.18,13.37,13.18,13.29,36300,13.194471
2016-01-14,13.14,13.21,13.09,13.20,31000,13.105118
2016-01-13,13.14,13.23,13.12,13.14,34400,13.04555
2016-01-12,13.32,13.37,13.27,13.28,35600,13.135895
2016-01-11,13.32,13.40,13.27,13.28,45400,13.135895
2016-01-08,13.42,13.43,13.30,13.38,17900,13.23481
2016-01-07,13.40,13.64,13.31,13.47,68600,13.323834
2016-01-06,13.35,13.48,13.30,13.38,45300,13.23481
2016-01-05,13.24,13.44,13.23,13.30,38700,13.155678
2016-01-04,13.15,13.31,13.08,13.25,70200,13.106221
2015-12-31,13.15,13.23,13.10,13.10,35900,12.957849
2015-12-30,13.08,13.23,13.04,13.15,46500,13.007306
2015-12-29,13.05,13.08,13.00,13.05,41900,12.908391
2015-12-28,13.03,13.10,13.02,13.05,41000,12.908391
2015-12-24,13.06,13.06,13.00,13.03,12000,12.888608
2015-12-23,12.96,13.09,12.94,13.08,34900,12.938065
2015-12-22,12.97,12.98,12.91,12.98,24800,12.83915
2015-12-21,12.92,12.98,12.92,12.93,33700,12.789693
2015-12-18,12.89,12.96,12.87,12.92,30600,12.779802
2015-12-17,12.75,12.90,12.75,12.89,60600,12.750128
2015-12-16,12.70,12.82,12.70,12.77,60800,12.63143
2015-12-15,12.77,12.92,12.75,12.76,31500,12.621538
