Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.02,10.07,10.02,10.03,2900,10.03
2016-03-10,10.03,10.10,10.03,10.07,7900,10.037
2016-03-09,10.07,10.10,10.03,10.03,17500,9.997131
2016-03-08,10.14,10.14,10.07,10.14,9700,10.106771
2016-03-07,10.04,10.09,10.03,10.09,8800,10.056935
2016-03-04,10.10,10.12,10.04,10.04,21300,10.007098
2016-03-03,10.05,10.05,10.00,10.05,18200,10.017066
2016-03-02,10.05,10.05,9.98,10.03,27300,9.997131
2016-03-01,10.07,10.10,10.01,10.02,36100,9.987164
2016-02-29,10.13,10.14,10.00,10.01,41100,9.977197
2016-02-26,10.28,10.28,10.09,10.10,40500,10.066902
2016-02-25,10.22,10.25,10.17,10.23,20200,10.196475
2016-02-24,10.17,10.20,10.12,10.19,7500,10.156606
2016-02-23,10.06,10.22,10.00,10.14,35700,10.106771
2016-02-22,10.07,10.18,10.00,10.00,19000,9.967229
2016-02-19,10.00,10.09,9.97,10.07,14800,10.037
2016-02-18,9.98,9.98,9.89,9.98,17600,9.947294
2016-02-17,10.00,10.00,9.91,9.97,11600,9.937328
2016-02-16,9.91,10.01,9.91,9.95,20800,9.917393
2016-02-12,10.02,10.03,9.88,9.96,21000,9.92736
2016-02-11,10.02,10.02,9.97,9.99,12600,9.957262
2016-02-10,10.08,10.09,9.95,9.97,21900,9.937328
2016-02-09,10.10,10.10,10.04,10.05,19700,9.984174
2016-02-08,10.08,10.13,10.06,10.10,19500,10.033846
2016-02-05,9.97,10.07,9.97,10.07,17600,10.004042
2016-02-04,10.05,10.05,9.97,10.00,37900,9.934501
2016-02-03,9.98,10.03,9.98,10.03,5400,9.964304
2016-02-02,9.96,10.01,9.95,9.97,30700,9.904698
2016-02-01,9.98,10.01,9.94,9.94,17300,9.874894
2016-01-29,9.96,9.97,9.94,9.94,10700,9.874894
2016-01-28,9.95,9.99,9.89,9.93,30200,9.86496
2016-01-27,9.89,9.93,9.89,9.91,31300,9.84509
2016-01-26,9.86,9.87,9.80,9.87,18600,9.805352
2016-01-25,9.90,9.90,9.83,9.83,15200,9.765614
2016-01-22,9.92,9.96,9.83,9.86,59600,9.795418
2016-01-21,9.84,9.96,9.80,9.92,21700,9.855025
2016-01-20,9.89,9.93,9.75,9.79,51400,9.725876
2016-01-19,9.95,9.96,9.85,9.85,31200,9.785484
2016-01-15,9.90,9.95,9.89,9.91,14300,9.84509
2016-01-14,9.95,9.97,9.86,9.91,37200,9.84509
2016-01-13,10.01,10.02,9.91,9.92,27000,9.855025
2016-01-12,10.21,10.21,10.10,10.11,16600,10.010996
2016-01-11,10.12,10.20,10.07,10.19,22000,10.090213
2016-01-08,10.07,10.11,10.07,10.11,5100,10.010996
2016-01-07,10.14,10.18,10.00,10.03,23400,9.93178
2016-01-06,10.05,10.19,10.04,10.14,18000,10.040703
2016-01-05,10.09,10.15,10.03,10.08,23600,9.98129
2016-01-04,10.10,10.10,9.96,10.05,23600,9.951584
2015-12-31,10.01,10.12,10.01,10.04,20300,9.941682
2015-12-30,9.98,10.04,9.96,10.04,31500,9.941682
2015-12-29,9.96,9.99,9.95,9.95,10900,9.852563
2015-12-28,10.06,10.10,9.94,9.94,17800,9.842661
2015-12-24,9.95,10.06,9.95,10.04,8300,9.941682
2015-12-23,10.01,10.08,9.91,9.94,27800,9.842661
2015-12-22,10.00,10.03,9.90,9.91,12500,9.812955
2015-12-21,9.94,10.01,9.94,9.97,14500,9.872368
2015-12-18,9.90,9.98,9.88,9.89,19000,9.793151
2015-12-17,9.85,9.94,9.85,9.94,16900,9.842661
2015-12-16,9.78,9.92,9.78,9.86,22400,9.763444
2015-12-15,9.82,9.89,9.82,9.84,7400,9.743641
2015-12-14,9.96,9.96,9.84,9.85,6600,9.753543
2015-12-11,9.90,9.99,9.84,9.95,12400,9.852563
2015-12-10,9.87,9.90,9.85,9.89,17200,9.758495
2015-12-09,9.78,9.82,9.78,9.81,12300,9.679558
2015-12-08,9.82,9.86,9.77,9.77,16400,9.64009
2015-12-07,9.82,9.82,9.75,9.79,14200,9.659824
2015-12-04,9.76,9.81,9.76,9.80,4400,9.669691
2015-12-03,9.79,9.79,9.71,9.72,13900,9.590755
2015-12-02,9.84,9.85,9.72,9.75,21000,9.620356
2015-12-01,9.83,9.91,9.77,9.78,33600,9.649957
2015-11-30,9.80,9.88,9.80,9.80,10700,9.669691
2015-11-27,9.88,9.88,9.78,9.79,9900,9.659824
2015-11-25,9.90,9.92,9.83,9.83,32200,9.699292
2015-11-24,9.84,9.90,9.82,9.82,18500,9.689425
2015-11-23,9.83,9.92,9.82,9.85,22200,9.719026
2015-11-20,9.80,9.84,9.75,9.83,24000,9.699292
2015-11-19,9.80,9.81,9.72,9.79,26800,9.659824
2015-11-18,9.80,9.80,9.72,9.80,21200,9.669691
2015-11-17,9.84,9.92,9.76,9.77,35600,9.64009
2015-11-16,9.96,9.96,9.88,9.90,9500,9.768361
2015-11-13,9.93,9.96,9.87,9.90,11800,9.768361
2015-11-12,9.92,9.94,9.91,9.93,9300,9.797963
2015-11-11,9.91,9.96,9.88,9.93,17600,9.797963
2015-11-10,9.83,9.96,9.70,9.96,27800,9.827563
2015-11-09,9.81,9.94,9.76,9.94,28300,9.775267
2015-11-06,9.81,9.89,9.81,9.88,10500,9.716262
2015-11-05,9.93,9.93,9.83,9.88,8200,9.716262
2015-11-04,9.78,10.00,9.75,9.94,34300,9.775267
2015-11-03,9.89,9.94,9.82,9.83,10500,9.667091
2015-11-02,9.80,9.98,9.76,9.93,42700,9.765434
2015-10-30,9.75,9.85,9.73,9.80,14700,9.637588
2015-10-29,9.84,9.90,9.73,9.76,11600,9.598251
2015-10-28,9.81,9.90,9.77,9.88,13200,9.716262
2015-10-27,9.80,9.80,9.76,9.78,11600,9.617919
2015-10-26,9.72,9.79,9.72,9.78,12500,9.617919
2015-10-23,9.79,9.79,9.69,9.72,5400,9.558914
2015-10-22,9.79,9.80,9.73,9.77,20300,9.608086
2015-10-21,9.72,9.74,9.66,9.71,5000,9.54908
2015-10-20,9.66,9.77,9.66,9.67,9200,9.509743
2015-10-19,9.74,9.77,9.69,9.70,1400,9.539245
2015-10-16,9.71,9.77,9.68,9.73,18300,9.568748
2015-10-15,9.74,9.79,9.71,9.71,10800,9.54908
2015-10-14,9.73,9.84,9.73,9.82,18300,9.657256
2015-10-13,9.73,9.78,9.72,9.72,7000,9.558914
2015-10-12,9.77,9.82,9.77,9.77,2900,9.575633
2015-10-09,9.70,9.82,9.70,9.80,13500,9.605035
2015-10-08,9.70,9.70,9.61,9.70,13100,9.507025
2015-10-07,9.70,9.71,9.68,9.68,3100,9.487423
2015-10-06,9.71,9.71,9.65,9.67,8600,9.477622
2015-10-05,9.71,9.71,9.66,9.70,5600,9.507025
2015-10-02,9.71,9.71,9.68,9.71,26700,9.516826
2015-10-01,9.70,9.71,9.70,9.71,8700,9.516826
2015-09-30,9.70,9.71,9.69,9.71,11700,9.516826
2015-09-29,9.71,9.71,9.69,9.70,2700,9.507025
2015-09-28,9.66,9.73,9.66,9.71,9400,9.516826
2015-09-25,9.70,9.70,9.64,9.70,17000,9.507025
2015-09-24,9.70,9.70,9.65,9.69,13900,9.497223
2015-09-23,9.64,9.70,9.64,9.70,17700,9.507025
2015-09-22,9.60,9.67,9.58,9.64,18900,9.448219
2015-09-21,9.60,9.65,9.60,9.64,7000,9.448219
2015-09-18,9.61,9.64,9.51,9.64,16000,9.448219
2015-09-17,9.55,9.63,9.51,9.62,12000,9.428616
2015-09-16,9.48,9.54,9.48,9.51,6400,9.320805
2015-09-15,9.53,9.53,9.47,9.49,24700,9.301202
2015-09-14,9.59,9.62,9.52,9.52,16100,9.330606
2015-09-11,9.60,9.62,9.56,9.56,6800,9.36981
2015-09-10,9.66,9.66,9.58,9.58,4100,9.357069
2015-09-09,9.64,9.66,9.60,9.62,20000,9.396138
2015-09-08,9.65,9.65,9.57,9.60,9300,9.376604
2015-09-04,9.61,9.69,9.59,9.63,18900,9.405905
2015-09-03,9.58,9.65,9.55,9.55,11700,9.327767
2015-09-02,9.67,9.67,9.54,9.58,29600,9.357069
2015-09-01,9.69,9.69,9.60,9.68,16800,9.454742
2015-08-31,9.62,9.65,9.55,9.62,18700,9.396138
2015-08-28,9.53,9.57,9.53,9.53,15300,9.308232
2015-08-27,9.59,9.64,9.56,9.57,18600,9.347301
2015-08-26,9.57,9.64,9.52,9.59,27200,9.366836
2015-08-25,9.61,9.64,9.56,9.57,7400,9.347301
