Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.70,15.98,15.70,15.98,1300,15.98
2016-03-10,16.25,16.25,16.25,16.25,700,16.189
2016-03-09,15.66,15.93,15.66,15.90,3000,15.840314
2016-03-08,16.25,16.25,16.25,16.25,400,16.189
2016-03-07,15.93,16.190001,15.93,16.190001,2700,16.129226
2016-03-04,16.16,16.16,16.16,16.16,400,16.099338
2016-03-03,16.75,16.75,16.16,16.16,900,16.099338
2016-03-02,15.57,15.61,15.56,15.61,2000,15.551402
2016-03-01,16.00,16.18,15.99,16.18,1900,16.119263
2016-02-29,15.82,16.00,15.70,16.00,2100,15.939939
2016-02-26,15.74,15.74,15.74,15.74,200,15.680914
2016-02-25,15.45,16.25,15.45,16.25,1400,16.189
2016-02-24,15.69,15.97,15.57,15.95,1800,15.890126
2016-02-23,15.69,15.69,15.67,15.69,2400,15.631102
2016-02-22,15.70,15.90,15.63,15.63,4400,15.571328
2016-02-19,16.110001,16.110001,15.95,16.07,1000,16.009675
2016-02-18,16.25,18.200001,16.25,16.60,11200,16.537687
2016-02-17,15.44,16.219999,15.43,16.219999,4800,16.159112
2016-02-16,15.98,16.60,15.98,16.10,600,16.039564
2016-02-12,15.49,16.24,15.49,15.75,2300,15.690877
2016-02-11,15.99,16.17,15.64,16.17,1600,16.1093
2016-02-10,16.25,16.25,16.01,16.25,9300,16.189
2016-02-09,15.75,15.95,15.58,15.83,1700,15.709806
2016-02-08,16.25,16.25,15.63,15.82,4900,15.699882
2016-02-05,16.00,16.00,15.69,15.69,700,15.570869
2016-02-04,15.61,15.61,15.61,15.61,000,15.491476
2016-02-03,15.90,16.25,15.61,15.61,3500,15.491476
2016-02-02,15.57,15.81,15.57,15.81,500,15.689958
2016-02-01,16.280001,16.280001,15.38,15.71,6600,15.590717
2016-01-29,16.559999,16.559999,15.51,15.51,1400,15.392236
2016-01-28,15.29,15.64,15.29,15.64,1300,15.521249
2016-01-27,15.47,15.47,15.34,15.34,500,15.223527
2016-01-26,15.62,15.62,15.62,15.62,800,15.5014
2016-01-25,15.63,15.63,15.29,15.53,2300,15.412084
2016-01-22,15.09,15.64,15.05,15.63,2600,15.511325
2016-01-21,14.76,15.51,14.76,15.20,500,15.084589
2016-01-20,15.55,15.55,15.55,15.55,300,15.431932
2016-01-19,14.78,15.53,14.78,15.53,1100,15.412084
2016-01-15,15.25,15.48,15.25,15.48,700,15.362463
2016-01-14,15.51,15.51,15.00,15.00,3600,14.886108
2016-01-13,15.54,15.54,15.10,15.10,900,14.985349
2016-01-12,15.50,15.53,15.42,15.51,8700,15.331699
2016-01-11,15.49,15.50,15.49,15.50,1100,15.321814
2016-01-08,15.50,15.50,15.47,15.49,1200,15.311928
2016-01-07,15.44,15.48,15.44,15.45,2400,15.272388
2016-01-06,15.44,15.44,15.40,15.43,1700,15.252619
2016-01-05,15.37,15.39,15.36,15.36,1100,15.183423
2016-01-04,15.40,15.40,15.39,15.39,600,15.213079
2015-12-31,15.40,15.40,15.38,15.38,500,15.203193
2015-12-30,15.24,15.24,15.24,15.24,000,15.064802
2015-12-29,15.26,15.50,15.24,15.24,900,15.064802
2015-12-28,15.25,15.48,15.20,15.27,1500,15.094458
2015-12-24,15.50,15.50,15.50,15.50,300,15.321814
2015-12-23,15.40,15.40,15.40,15.40,200,15.222963
2015-12-22,15.23,15.23,15.23,15.23,1400,15.054917
2015-12-21,15.28,15.28,15.18,15.22,900,15.045033
2015-12-18,15.20,15.20,15.13,15.13,1300,14.956067
2015-12-17,15.49,15.49,15.49,15.49,1000,15.311928
2015-12-16,15.10,15.16,15.06,15.15,5800,14.975837
2015-12-15,15.38,15.38,15.23,15.23,2300,15.054917
2015-12-14,15.20,15.20,15.08,15.08,1600,14.906642
2015-12-11,15.09,15.31,14.90,15.31,1300,15.133998
2015-12-10,15.07,15.22,15.05,15.10,2200,14.866113
2015-12-09,14.99,14.99,14.62,14.86,4800,14.62983
2015-12-08,14.90,15.00,14.82,14.82,3500,14.590449
2015-12-07,15.43,15.63,15.10,15.13,7300,14.895648
2015-12-04,15.45,15.45,15.20,15.20,400,14.964564
2015-12-03,15.48,15.48,15.09,15.45,700,15.210691
2015-12-02,15.39,15.39,15.38,15.39,3500,15.151621
2015-12-01,15.35,15.40,14.87,15.24,4700,15.003944
2015-11-30,15.39,15.39,15.23,15.35,1400,15.112241
2015-11-27,15.32,15.37,15.31,15.37,1300,15.131931
2015-11-25,15.68,15.68,15.00,15.00,400,14.767662
2015-11-24,15.19,15.70,15.19,15.70,600,15.456819
2015-11-23,15.28,15.93,15.20,15.93,3500,15.683257
2015-11-20,15.05,15.19,15.01,15.16,9500,14.925183
2015-11-19,15.10,15.10,15.07,15.10,1300,14.866113
2015-11-18,15.06,15.06,15.02,15.02,200,14.787352
2015-11-17,15.01,15.01,14.83,14.83,2200,14.600295
2015-11-16,15.02,15.02,15.02,15.02,300,14.787352
2015-11-13,14.86,14.86,14.77,14.77,4100,14.541225
2015-11-12,14.89,14.89,14.89,14.89,200,14.659366
2015-11-11,14.97,15.15,14.81,15.05,1900,14.816887
2015-11-10,14.65,15.18,14.60,15.18,14800,14.944874
2015-11-09,14.65,14.65,14.65,14.65,1500,14.363028
2015-11-06,14.65,14.75,14.65,14.74,1400,14.451265
2015-11-05,14.70,14.70,14.70,14.70,200,14.412048
2015-11-04,14.70,14.70,14.70,14.70,400,14.412048
2015-11-03,14.65,14.70,14.65,14.70,800,14.412048
2015-11-02,14.69,14.70,14.69,14.69,1000,14.402244
2015-10-30,14.70,14.70,14.70,14.70,200,14.412048
2015-10-29,14.70,14.70,14.67,14.69,1100,14.402244
2015-10-28,14.70,14.70,14.70,14.70,1900,14.412048
2015-10-27,14.68,14.70,14.68,14.70,400,14.412048
2015-10-26,14.65,14.65,14.65,14.65,100,14.363028
2015-10-23,14.67,14.70,14.55,14.70,2000,14.412048
2015-10-22,14.69,14.70,14.69,14.70,1500,14.412048
2015-10-21,14.70,14.70,14.53,14.53,3000,14.245378
