Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.07,14.07,13.97,13.97,18200,13.97
2016-03-10,14.11,14.11,14.04,14.10,17400,14.035
2016-03-09,14.09,14.13,14.02,14.04,28400,13.975276
2016-03-08,14.07,14.11,14.04,14.11,17200,14.044953
2016-03-07,14.03,14.04,13.96,14.04,37300,13.975276
2016-03-04,14.01,14.10,13.97,14.01,81700,13.945415
2016-03-03,14.01,14.04,14.00,14.04,20600,13.975276
2016-03-02,14.08,14.08,14.00,14.01,86700,13.945415
2016-03-01,14.04,14.13,14.04,14.08,76800,14.015092
2016-02-29,14.00,14.10,14.00,14.10,39900,14.035
2016-02-26,14.00,14.07,14.00,14.02,44000,13.955369
2016-02-25,14.05,14.09,14.03,14.08,28200,14.015092
2016-02-24,14.00,14.04,14.00,14.04,19600,13.975276
2016-02-23,13.92,14.02,13.90,14.02,86700,13.955369
2016-02-22,13.94,13.94,13.88,13.91,39500,13.845876
2016-02-19,13.92,13.93,13.87,13.93,14700,13.865784
2016-02-18,13.92,13.92,13.84,13.92,31600,13.85583
2016-02-17,13.84,13.88,13.84,13.86,27000,13.796106
2016-02-16,13.90,13.90,13.85,13.88,72300,13.816014
2016-02-12,14.00,14.03,13.90,13.90,32000,13.835921
2016-02-11,14.07,14.10,13.99,13.99,65700,13.925507
2016-02-10,14.07,14.09,14.03,14.07,22600,14.005138
2016-02-09,14.08,14.12,14.04,14.11,41700,13.980254
2016-02-08,14.18,14.18,14.06,14.11,83700,13.980254
2016-02-05,14.18,14.18,14.14,14.18,36000,14.049611
2016-02-04,14.05,14.15,14.05,14.15,51800,14.019886
2016-02-03,13.99,14.14,13.98,14.12,47400,13.990162
2016-02-02,13.99,14.04,13.88,13.99,54000,13.861357
2016-02-01,13.87,13.96,13.87,13.96,29200,13.831633
2016-01-29,13.84,13.92,13.84,13.89,21100,13.762277
2016-01-28,13.81,13.84,13.81,13.84,8000,13.712737
2016-01-27,13.92,13.95,13.79,13.79,68400,13.663196
2016-01-26,13.86,13.93,13.82,13.92,55100,13.792001
2016-01-25,13.83,13.87,13.80,13.86,31700,13.732552
2016-01-22,13.75,13.84,13.75,13.82,32200,13.69292
2016-01-21,13.69,13.77,13.60,13.76,49300,13.633473
2016-01-20,13.76,13.76,13.59,13.69,31800,13.564116
2016-01-19,13.78,13.82,13.73,13.76,23500,13.633473
2016-01-15,13.74,13.80,13.74,13.78,16700,13.653288
2016-01-14,13.71,13.76,13.69,13.74,27900,13.613656
2016-01-13,13.80,13.80,13.70,13.70,31900,13.574024
2016-01-12,13.78,13.83,13.78,13.83,18200,13.638426
2016-01-11,13.85,13.85,13.76,13.76,31400,13.569396
2016-01-08,13.81,13.89,13.79,13.88,47800,13.687734
2016-01-07,13.85,13.92,13.74,13.82,62000,13.628564
2016-01-06,13.78,13.89,13.76,13.87,42400,13.677872
2016-01-05,13.63,13.79,13.63,13.76,35900,13.569396
2016-01-04,13.63,13.71,13.61,13.67,37000,13.480642
2015-12-31,13.71,13.71,13.64,13.66,51100,13.470781
2015-12-30,13.55,13.67,13.55,13.66,101900,13.470781
2015-12-29,13.55,13.59,13.51,13.55,60300,13.362305
2015-12-28,13.52,13.57,13.52,13.55,21200,13.362305
2015-12-24,13.58,13.58,13.52,13.55,23000,13.362305
2015-12-23,13.55,13.59,13.49,13.57,60800,13.382027
2015-12-22,13.55,13.55,13.44,13.51,34400,13.322859
2015-12-21,13.46,13.55,13.46,13.53,69200,13.342581
2015-12-18,13.42,13.50,13.38,13.50,32800,13.312997
2015-12-17,13.34,13.44,13.34,13.42,36200,13.234105
2015-12-16,13.14,13.30,13.14,13.28,51900,13.096044
2015-12-15,13.19,13.25,13.10,13.16,151100,12.977707
2015-12-14,13.44,13.44,13.20,13.21,54100,13.027014
2015-12-11,13.38,13.47,13.37,13.44,32100,13.253828
2015-12-10,13.50,13.50,13.43,13.49,35300,13.239036
2015-12-09,13.42,13.50,13.33,13.50,91000,13.24885
2015-12-08,13.32,13.41,13.30,13.41,34300,13.160524
2015-12-07,13.32,13.35,13.29,13.32,30300,13.072199
2015-12-04,13.30,13.37,13.25,13.32,30800,13.072199
2015-12-03,13.32,13.34,13.22,13.31,69400,13.062385
2015-12-02,13.32,13.40,13.32,13.38,55800,13.131083
2015-12-01,13.34,13.40,13.29,13.37,41000,13.121269
2015-11-30,13.28,13.34,13.26,13.34,52900,13.091827
2015-11-27,13.25,13.28,13.25,13.28,4100,13.032943
2015-11-25,13.22,13.27,13.20,13.24,37800,12.993687
2015-11-24,13.16,13.22,13.16,13.21,39300,12.964245
2015-11-23,13.19,13.21,13.07,13.20,67300,12.954431
2015-11-20,13.16,13.18,13.14,13.14,69700,12.895548
2015-11-19,13.04,13.16,13.04,13.15,58500,12.905361
2015-11-18,13.04,13.07,13.04,13.05,38200,12.807222
2015-11-17,13.00,13.09,13.00,13.02,38900,12.777781
2015-11-16,13.04,13.09,13.04,13.05,23400,12.807222
2015-11-13,13.02,13.10,13.00,13.02,31000,12.777781
2015-11-12,12.94,13.04,12.94,13.04,21300,12.797408
2015-11-11,12.98,13.02,12.91,12.94,55400,12.699268
2015-11-10,12.92,13.02,12.92,12.98,29200,12.738524
2015-11-09,13.04,13.06,12.93,13.03,46500,12.723803
2015-11-06,13.17,13.17,13.07,13.11,55800,12.801923
2015-11-05,13.20,13.24,13.15,13.24,83400,12.928868
2015-11-04,13.20,13.21,13.15,13.20,61900,12.889808
2015-11-03,13.20,13.25,13.19,13.19,57500,12.880043
2015-11-02,13.23,13.27,13.17,13.22,74600,12.909339
2015-10-30,13.15,13.23,13.14,13.23,68800,12.919103
2015-10-29,13.14,13.22,13.14,13.17,47600,12.860513
2015-10-28,13.21,13.24,13.18,13.19,45400,12.880043
2015-10-27,13.15,13.22,13.15,13.19,46800,12.880043
2015-10-26,13.13,13.20,13.13,13.20,51700,12.889808
2015-10-23,13.14,13.16,13.13,13.13,14400,12.821453
2015-10-22,13.13,13.17,13.12,13.17,113200,12.860513
2015-10-21,13.07,13.12,13.06,13.08,44500,12.772628
2015-10-20,13.03,13.07,13.03,13.04,42000,12.733568
2015-10-19,13.06,13.08,13.03,13.08,31600,12.772628
2015-10-16,13.12,13.12,13.06,13.07,31500,12.762863
2015-10-15,13.07,13.09,13.05,13.05,19000,12.743333
2015-10-14,13.06,13.09,13.06,13.08,17400,12.772628
2015-10-13,13.04,13.06,13.03,13.05,12700,12.743333
2015-10-12,13.11,13.12,13.08,13.09,42300,12.718921
2015-10-09,13.09,13.12,13.09,13.12,26300,12.74807
2015-10-08,13.11,13.12,13.09,13.09,67400,12.718921
2015-10-07,13.15,13.15,13.10,13.11,37500,12.738353
2015-10-06,13.09,13.15,13.08,13.15,24700,12.777219
2015-10-05,13.08,13.12,13.08,13.08,36400,12.709204
2015-10-02,13.05,13.12,13.05,13.11,58100,12.738353
2015-10-01,13.09,13.09,13.02,13.02,41700,12.650905
2015-09-30,13.08,13.08,13.01,13.05,27000,12.680055
2015-09-29,13.02,13.07,13.00,13.07,23800,12.699487
2015-09-28,13.05,13.06,13.01,13.01,32500,12.641188
2015-09-25,13.03,13.08,13.01,13.06,21200,12.689771
2015-09-24,13.04,13.08,13.01,13.01,18900,12.641188
2015-09-23,13.00,13.03,12.99,13.03,9800,12.660621
2015-09-22,12.92,13.03,12.92,13.02,24800,12.650905
2015-09-21,12.95,12.95,12.92,12.93,24700,12.563456
2015-09-18,12.84,13.00,12.84,12.95,53900,12.582889
2015-09-17,12.76,12.96,12.76,12.96,52500,12.592606
2015-09-16,12.74,12.80,12.74,12.80,15700,12.437142
2015-09-15,12.82,12.83,12.72,12.78,60700,12.417708
2015-09-14,12.85,12.90,12.82,12.82,23500,12.456574
2015-09-11,12.88,12.88,12.84,12.87,16400,12.505157
2015-09-10,12.92,12.96,12.91,12.91,21900,12.480866
2015-09-09,12.94,12.96,12.90,12.94,19500,12.509868
2015-09-08,12.93,12.98,12.93,12.93,35400,12.500201
2015-09-04,12.87,12.97,12.87,12.97,22400,12.538872
2015-09-03,12.90,12.92,12.86,12.87,23400,12.442195
2015-09-02,12.91,12.94,12.84,12.85,27700,12.422861
2015-09-01,12.91,12.94,12.89,12.92,23300,12.490534
2015-08-31,12.90,12.91,12.84,12.85,22400,12.422861
2015-08-28,12.84,12.91,12.84,12.85,19400,12.422861
2015-08-27,12.82,12.89,12.82,12.86,16300,12.432528
2015-08-26,12.93,12.96,12.82,12.82,52900,12.393857
2015-08-25,12.99,13.02,12.93,12.94,41000,12.509868
2015-08-24,13.17,13.19,12.96,12.96,40300,12.529204
2015-08-21,13.17,13.19,13.11,13.11,11700,12.674218
2015-08-20,13.13,13.15,13.10,13.12,33100,12.683885
2015-08-19,13.20,13.20,13.14,13.14,15000,12.703221
2015-08-18,13.28,13.29,13.19,13.19,27900,12.751558
2015-08-17,13.28,13.33,13.28,13.29,7300,12.848235
2015-08-14,13.28,13.32,13.27,13.32,12400,12.877237
2015-08-13,13.30,13.32,13.27,13.32,26500,12.877237
2015-08-12,13.25,13.31,13.25,13.31,28800,12.86757
2015-08-11,13.25,13.36,13.23,13.36,36900,12.849201
2015-08-10,13.15,13.25,13.15,13.23,29700,12.724171
2015-08-07,13.17,13.29,13.15,13.15,45300,12.64723
2015-08-06,13.14,13.20,13.13,13.15,16500,12.64723
2015-08-05,13.22,13.22,13.10,13.13,16300,12.627995
2015-08-04,13.27,13.28,13.22,13.22,25500,12.714554
2015-08-03,13.23,13.28,13.19,13.27,18000,12.762642
2015-07-31,13.17,13.23,13.16,13.23,24600,12.724171
2015-07-30,13.16,13.16,13.11,13.14,18900,12.637613
2015-07-29,13.08,13.15,13.03,13.15,30000,12.64723
2015-07-28,13.07,13.09,13.03,13.09,9700,12.589524
2015-07-27,12.99,13.08,12.99,13.06,30200,12.560671
2015-07-24,12.94,13.01,12.94,12.99,22500,12.493347
2015-07-23,12.97,13.00,12.92,12.94,19100,12.445259
2015-07-22,12.94,13.00,12.90,12.90,28500,12.406788
2015-07-21,12.96,13.00,12.95,13.00,45700,12.502965
2015-07-20,12.98,13.00,12.95,12.95,25300,12.454877
2015-07-17,12.98,13.00,12.96,12.97,29300,12.474112
2015-07-16,12.97,13.02,12.97,13.02,17400,12.522201
2015-07-15,12.94,12.99,12.93,12.98,26000,12.483729
2015-07-14,12.91,12.96,12.90,12.95,29500,12.454877
2015-07-13,12.98,12.98,12.94,12.98,10700,12.483729
2015-07-10,13.05,13.06,13.01,13.06,14300,12.49431
2015-07-09,13.09,13.09,13.06,13.08,32800,12.513443
2015-07-08,13.10,13.12,13.06,13.08,21800,12.513443
2015-07-07,13.06,13.10,13.05,13.10,37900,12.532577
2015-07-06,12.94,13.12,12.94,13.02,40900,12.456042
2015-07-02,12.90,12.96,12.90,12.96,16900,12.398641
2015-07-01,12.93,12.94,12.86,12.90,94800,12.341239
2015-06-30,12.89,12.94,12.89,12.90,69800,12.341239
2015-06-29,13.07,13.07,12.88,12.89,72800,12.331673
2015-06-26,13.04,13.06,13.03,13.06,44600,12.49431
2015-06-25,13.09,13.11,13.06,13.08,73800,12.513443
2015-06-24,13.05,13.10,13.04,13.10,20700,12.532577
2015-06-23,12.95,13.05,12.95,13.05,77600,12.484743
2015-06-22,12.96,13.02,12.94,13.02,55300,12.456042
2015-06-19,12.95,13.03,12.94,13.00,40000,12.436908
2015-06-18,12.96,13.00,12.94,12.94,30500,12.379507
2015-06-17,12.87,12.96,12.87,12.96,48300,12.398641
2015-06-16,12.88,12.93,12.86,12.91,16200,12.350806
2015-06-15,12.92,12.93,12.85,12.90,61300,12.341239
2015-06-12,12.82,12.89,12.81,12.89,302000,12.331673
2015-06-11,12.81,12.85,12.79,12.83,79700,12.274272
2015-06-10,12.87,12.91,12.82,12.84,64800,12.217827
2015-06-09,12.90,12.93,12.86,12.89,62000,12.265405
2015-06-08,12.96,13.00,12.89,12.95,64200,12.322497
2015-06-05,12.98,13.00,12.95,12.97,18300,12.341528
2015-06-04,13.08,13.14,13.03,13.03,65500,12.39862
2015-06-03,13.17,13.19,13.09,13.09,52900,12.455713
2015-06-02,13.22,13.22,13.12,13.20,39300,12.560383
2015-06-01,13.26,13.26,13.20,13.22,26000,12.579414
2015-05-29,13.22,13.22,13.15,13.18,50200,12.541352
2015-05-28,13.13,13.16,13.10,13.14,25300,12.503291
2015-05-27,13.16,13.22,13.11,13.13,32500,12.493775
2015-05-26,13.12,13.17,13.12,13.13,22600,12.493775
2015-05-22,13.24,13.24,12.91,13.16,52500,12.522321
2015-05-21,13.22,13.27,13.22,13.24,25200,12.598445
2015-05-20,13.26,13.26,13.20,13.26,35600,12.617476
2015-05-19,13.20,13.29,13.20,13.21,34100,12.569898
2015-05-18,13.38,13.38,13.22,13.26,46900,12.617476
2015-05-15,13.36,13.42,13.28,13.40,54000,12.750691
2015-05-14,13.27,13.34,13.25,13.33,36400,12.684084
2015-05-13,13.25,13.30,13.19,13.24,26000,12.598445
2015-05-12,13.28,13.31,13.23,13.28,36700,12.57085
2015-05-11,13.36,13.39,13.28,13.28,54100,12.57085
2015-05-08,13.40,13.43,13.34,13.41,20100,12.693908
2015-05-07,13.30,13.36,13.23,13.31,101300,12.599248
2015-05-06,13.59,13.62,13.32,13.32,132200,12.608714
2015-05-05,13.61,13.61,13.55,13.59,21100,12.864296
2015-05-04,13.63,13.63,13.59,13.59,14400,12.864296
2015-05-01,13.75,13.75,13.61,13.61,17400,12.883228
2015-04-30,13.73,13.73,13.69,13.73,32300,12.996819
2015-04-29,13.73,13.74,13.70,13.73,34800,12.996819
2015-04-28,13.75,13.77,13.74,13.75,41400,13.015752
2015-04-27,13.77,13.77,13.72,13.74,26200,13.006286
2015-04-24,13.75,13.77,13.71,13.77,28100,13.034684
2015-04-23,13.74,13.77,13.73,13.74,26600,13.006286
2015-04-22,13.74,13.77,13.66,13.74,121300,13.006286
2015-04-21,13.75,13.75,13.72,13.74,18800,13.006286
2015-04-20,13.73,13.76,13.71,13.73,31000,12.996819
2015-04-17,13.73,13.74,13.68,13.73,57200,12.996819
2015-04-16,13.72,13.76,13.71,13.72,38900,12.987354
2015-04-15,13.77,13.78,13.70,13.75,35800,13.015752
2015-04-14,13.70,13.77,13.70,13.77,25900,13.034684
2015-04-13,13.74,13.74,13.67,13.67,22800,12.940024
2015-04-10,13.78,13.82,13.74,13.79,29400,12.988301
2015-04-09,13.85,13.85,13.75,13.75,12500,12.950626
2015-04-08,13.81,13.84,13.81,13.82,11900,13.016556
2015-04-07,13.82,13.87,13.81,13.81,28300,13.007138
2015-04-06,13.79,13.84,13.77,13.78,30800,12.978882
2015-04-02,13.75,13.80,13.75,13.75,53300,12.950626
2015-04-01,13.96,14.00,13.83,13.84,63000,13.035394
2015-03-31,13.86,13.95,13.78,13.90,77700,13.091905
2015-03-30,13.83,13.83,13.77,13.83,49200,13.025975
2015-03-27,13.81,13.84,13.76,13.76,40400,12.960045
2015-03-26,13.83,13.83,13.73,13.73,26800,12.931788
2015-03-25,13.86,13.86,13.79,13.82,13300,13.016556
2015-03-24,13.80,13.86,13.77,13.86,23200,13.054231
2015-03-23,13.85,13.86,13.77,13.77,36300,12.969464
2015-03-20,13.76,13.77,13.71,13.76,40300,12.960045
2015-03-19,13.80,13.81,13.67,13.67,34300,12.875277
2015-03-18,13.68,13.80,13.63,13.80,37100,12.997719
2015-03-17,13.73,13.73,13.61,13.62,17600,12.828184
2015-03-16,13.72,13.73,13.67,13.73,20700,12.931788
2015-03-13,13.69,13.74,13.69,13.72,10900,12.92237
2015-03-12,13.80,13.81,13.71,13.74,18400,12.941207
2015-03-11,13.72,13.74,13.71,13.71,14800,12.912952
2015-03-10,13.80,13.82,13.77,13.77,49000,12.904476
