Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.23,14.28,14.23,14.27,79100,14.27
2016-03-10,14.31,14.33,14.29,14.31,116700,14.241001
2016-03-09,14.28,14.28,14.25,14.27,68600,14.201194
2016-03-08,14.24,14.31,14.23,14.26,86400,14.191242
2016-03-07,14.22,14.24,14.16,14.23,114900,14.161386
2016-03-04,14.24,14.29,14.20,14.23,160800,14.161386
2016-03-03,14.17,14.23,14.17,14.23,71500,14.161386
2016-03-02,14.29,14.30,14.17,14.21,234700,14.141483
2016-03-01,14.38,14.38,14.29,14.29,157500,14.221097
2016-02-29,14.34,14.35,14.31,14.35,87500,14.280808
2016-02-26,14.29,14.34,14.28,14.33,70600,14.260904
2016-02-25,14.32,14.34,14.30,14.34,48300,14.270856
2016-02-24,14.26,14.32,14.26,14.32,45100,14.250952
2016-02-23,14.25,14.29,14.24,14.29,70900,14.221097
2016-02-22,14.31,14.31,14.22,14.27,74200,14.201194
2016-02-19,14.19,14.30,14.19,14.27,92300,14.201194
2016-02-18,14.16,14.22,14.15,14.22,108600,14.151435
2016-02-17,14.17,14.19,14.13,14.15,68500,14.081771
2016-02-16,14.22,14.22,14.14,14.16,154100,14.091723
2016-02-12,14.32,14.39,14.20,14.21,204300,14.141483
2016-02-11,14.40,14.41,14.32,14.32,89800,14.250952
2016-02-10,14.38,14.40,14.35,14.35,58100,14.280808
2016-02-09,14.38,14.45,14.38,14.44,104100,14.301705
2016-02-08,14.43,14.43,14.39,14.40,74600,14.262089
2016-02-05,14.40,14.41,14.35,14.37,64700,14.232376
2016-02-04,14.34,14.37,14.32,14.37,62300,14.232376
2016-02-03,14.31,14.37,14.29,14.33,84100,14.192759
2016-02-02,14.29,14.35,14.26,14.30,133500,14.163047
2016-02-01,14.29,14.30,14.25,14.27,75200,14.133334
2016-01-29,14.22,14.29,14.22,14.25,70900,14.113526
2016-01-28,14.13,14.20,14.12,14.20,60000,14.064004
2016-01-27,14.13,14.16,14.10,14.11,56700,13.974866
2016-01-26,14.05,14.16,14.05,14.13,109100,13.994675
2016-01-25,14.10,14.15,14.04,14.04,97900,13.905537
2016-01-22,14.03,14.16,14.00,14.10,91500,13.964962
2016-01-21,14.05,14.05,13.98,14.03,90600,13.895632
2016-01-20,14.11,14.13,13.87,14.01,120100,13.875824
2016-01-19,14.21,14.21,14.11,14.12,71500,13.98477
2016-01-15,14.12,14.21,14.12,14.14,103500,14.004579
2016-01-14,14.10,14.16,14.07,14.15,152200,14.014483
2016-01-13,14.18,14.18,14.05,14.08,101300,13.945154
2016-01-12,14.22,14.23,14.19,14.22,80300,14.015474
2016-01-11,14.23,14.27,14.21,14.22,94000,14.015474
2016-01-08,14.35,14.37,14.21,14.24,167700,14.035186
2016-01-07,14.35,14.46,14.32,14.35,115100,14.143604
2016-01-06,14.26,14.37,14.26,14.35,67800,14.143604
2016-01-05,14.14,14.29,14.14,14.26,83400,14.054898
2016-01-04,14.12,14.19,14.07,14.19,94600,13.985905
2015-12-31,14.20,14.22,14.10,14.10,108300,13.8972
2015-12-30,14.00,14.14,13.98,14.14,142400,13.936624
2015-12-29,13.97,14.00,13.94,14.00,60200,13.798638
2015-12-28,13.94,14.00,13.92,13.97,64300,13.76907
2015-12-24,13.93,13.94,13.87,13.91,30800,13.709932
2015-12-23,13.92,13.94,13.88,13.88,87400,13.680364
2015-12-22,13.87,13.91,13.84,13.91,53000,13.709932
2015-12-21,13.88,13.90,13.85,13.86,91100,13.660651
2015-12-18,13.83,13.89,13.79,13.84,135500,13.640939
2015-12-17,13.72,13.81,13.69,13.81,116700,13.611371
2015-12-16,13.64,13.69,13.61,13.65,121600,13.453671
2015-12-15,13.62,13.67,13.58,13.65,114400,13.453671
2015-12-14,13.72,13.72,13.56,13.57,91400,13.374822
2015-12-11,13.79,13.79,13.66,13.67,62600,13.473384
2015-12-10,13.82,13.83,13.77,13.82,48600,13.54632
2015-12-09,13.80,13.85,13.78,13.82,134600,13.54632
2015-12-08,13.70,13.79,13.68,13.79,123300,13.516914
2015-12-07,13.70,13.71,13.63,13.70,115400,13.428696
2015-12-04,13.58,13.69,13.58,13.67,69700,13.399291
2015-12-03,13.71,13.71,13.55,13.62,144100,13.350281
2015-12-02,13.70,13.74,13.68,13.71,114900,13.438499
2015-12-01,13.72,13.77,13.68,13.71,91300,13.438499
2015-11-30,13.67,13.69,13.65,13.69,89300,13.418894
2015-11-27,13.64,13.65,13.58,13.64,28400,13.369885
2015-11-25,13.66,13.66,13.58,13.64,50800,13.369885
2015-11-24,13.60,13.63,13.58,13.61,74500,13.340479
