Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.48,14.52,14.44,14.45,146400,14.45
2016-03-10,14.52,14.58,14.50,14.52,171200,14.448
2016-03-09,14.46,14.53,14.46,14.47,132100,14.398248
2016-03-08,14.55,14.55,14.45,14.46,159200,14.388297
2016-03-07,14.46,14.50,14.40,14.50,267200,14.428099
2016-03-04,14.49,14.49,14.45,14.48,138900,14.408198
2016-03-03,14.40,14.49,14.40,14.48,172800,14.408198
2016-03-02,14.44,14.47,14.40,14.44,309000,14.368396
2016-03-01,14.48,14.51,14.44,14.45,235500,14.378347
2016-02-29,14.42,14.47,14.41,14.45,169100,14.378347
2016-02-26,14.43,14.45,14.39,14.39,169500,14.318645
2016-02-25,14.48,14.50,14.43,14.46,111300,14.388297
2016-02-24,14.48,14.50,14.44,14.45,120100,14.378347
2016-02-23,14.43,14.46,14.42,14.44,151600,14.368396
2016-02-22,14.50,14.50,14.41,14.42,179500,14.348496
2016-02-19,14.45,14.50,14.41,14.49,198500,14.418148
2016-02-18,14.46,14.46,14.39,14.40,105200,14.328594
2016-02-17,14.36,14.44,14.35,14.42,125200,14.348496
2016-02-16,14.45,14.47,14.36,14.41,209300,14.338545
2016-02-12,14.52,14.61,14.48,14.51,233500,14.43805
2016-02-11,14.58,14.61,14.55,14.56,161000,14.487802
2016-02-10,14.50,14.59,14.50,14.57,144500,14.497752
2016-02-09,14.51,14.63,14.50,14.58,136600,14.43606
2016-02-08,14.59,14.59,14.46,14.54,432700,14.396455
2016-02-05,14.65,14.65,14.52,14.57,279500,14.426158
2016-02-04,14.58,14.64,14.58,14.61,100100,14.465763
2016-02-03,14.61,14.63,14.57,14.57,123500,14.426158
2016-02-02,14.56,14.61,14.55,14.58,223300,14.43606
2016-02-01,14.51,14.55,14.47,14.52,306200,14.376653
2016-01-29,14.43,14.49,14.43,14.45,271300,14.307343
2016-01-28,14.39,14.48,14.34,14.41,174100,14.267738
2016-01-27,14.37,14.42,14.33,14.33,185300,14.188528
2016-01-26,14.34,14.39,14.30,14.39,197900,14.247936
2016-01-25,14.40,14.41,14.30,14.34,112000,14.198429
2016-01-22,14.28,14.41,14.28,14.40,103500,14.257837
2016-01-21,14.23,14.31,14.23,14.26,164800,14.119219
2016-01-20,14.42,14.43,14.15,14.28,330000,14.139021
2016-01-19,14.42,14.47,14.36,14.39,166700,14.247936
2016-01-15,14.33,14.42,14.33,14.41,122500,14.267738
2016-01-14,14.42,14.42,14.33,14.33,139000,14.188528
2016-01-13,14.49,14.49,14.34,14.36,215600,14.218231
2016-01-12,14.50,14.54,14.47,14.51,150000,14.295461
2016-01-11,14.60,14.60,14.50,14.51,178100,14.295461
2016-01-08,14.58,14.59,14.50,14.59,236200,14.374278
2016-01-07,14.61,14.63,14.56,14.58,240200,14.364426
2016-01-06,14.52,14.65,14.51,14.57,375900,14.354574
2016-01-05,14.48,14.53,14.46,14.49,306700,14.275757
2016-01-04,14.37,14.44,14.35,14.44,204000,14.226496
2015-12-31,14.57,14.61,14.46,14.46,212800,14.2462
