Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.79,15.84,15.59,15.73,7600,15.73
2016-03-10,15.83,15.83,15.76,15.79,1800,15.738
2016-03-09,15.84,15.84,15.60,15.60,800,15.548626
2016-03-08,15.50,15.61,15.40,15.56,12000,15.508758
2016-03-07,15.48,15.48,15.48,15.48,000,15.429021
2016-03-04,15.49,15.50,15.48,15.48,2600,15.429021
2016-03-03,15.38,15.38,15.37,15.37,1700,15.319383
2016-03-02,15.36,15.36,15.36,15.36,000,15.309416
2016-03-01,15.42,15.50,15.36,15.36,3700,15.309416
2016-02-29,15.52,15.52,15.52,15.52,200,15.46889
2016-02-26,15.39,15.39,15.39,15.39,000,15.339318
2016-02-25,15.95,15.95,15.36,15.39,3800,15.339318
2016-02-24,15.55,15.55,15.45,15.54,2800,15.488823
2016-02-23,15.53,15.56,15.53,15.55,1400,15.498791
2016-02-22,15.70,15.70,15.44,15.51,3600,15.458922
2016-02-19,15.84,15.85,15.50,15.83,3600,15.777868
2016-02-18,15.56,15.72,15.53,15.59,4600,15.538659
2016-02-17,15.53,15.54,15.52,15.52,2400,15.46889
2016-02-16,15.58,15.58,15.43,15.48,5000,15.429021
2016-02-12,15.38,15.38,15.38,15.38,000,15.32935
2016-02-11,15.54,15.69,15.36,15.38,2200,15.32935
2016-02-10,15.44,15.44,15.44,15.44,500,15.389152
2016-02-09,15.35,15.48,15.30,15.43,3600,15.327357
2016-02-08,15.45,15.45,15.45,15.45,000,15.347224
2016-02-05,15.65,15.65,15.33,15.45,1900,15.347224
2016-02-04,15.31,15.60,15.31,15.35,4300,15.247889
2016-02-03,15.58,15.58,15.55,15.58,5600,15.476359
2016-02-02,15.61,15.67,15.39,15.57,6900,15.466425
2016-02-01,15.19,15.58,15.19,15.56,8700,15.456493
2016-01-29,15.34,15.35,15.33,15.35,800,15.247889
2016-01-28,15.27,15.27,15.27,15.27,000,15.168422
2016-01-27,15.32,15.32,15.22,15.27,1700,15.168422
2016-01-26,15.20,15.23,15.20,15.21,3200,15.10882
2016-01-25,15.20,15.20,15.20,15.20,1000,15.098887
2016-01-22,15.23,15.24,15.14,15.18,5900,15.07902
2016-01-21,15.22,15.23,15.15,15.15,600,15.049219
2016-01-20,15.24,15.24,15.00,15.22,1800,15.118754
2016-01-19,15.20,15.21,15.15,15.15,4200,15.049219
2016-01-15,15.10,15.10,15.10,15.10,000,14.999553
2016-01-14,15.10,15.10,15.10,15.10,000,14.999553
2016-01-13,15.09,15.10,15.09,15.10,1500,14.999553
2016-01-12,15.24,15.24,15.18,15.18,2600,15.027366
2016-01-11,15.25,15.25,15.25,15.25,100,15.096662
2016-01-08,15.22,15.30,15.15,15.22,4800,15.066964
2016-01-07,15.23,15.23,15.10,15.12,1400,14.967969
2016-01-06,15.16,15.28,15.01,15.04,10600,14.888774
2016-01-05,15.15,15.15,14.98,15.10,4900,14.948171
2016-01-04,15.18,15.18,14.94,15.04,4200,14.888774
2015-12-31,15.17,15.18,15.01,15.03,11400,14.878874
2015-12-30,15.10,15.24,15.01,15.24,9000,15.086762
2015-12-29,15.15,15.15,15.10,15.11,3700,14.958069
2015-12-28,15.24,15.24,15.09,15.10,6500,14.948171
2015-12-24,15.09,15.10,15.09,15.10,400,14.948171
2015-12-23,15.16,15.24,15.16,15.21,10800,15.057064
2015-12-22,15.20,15.20,15.19,15.19,3200,15.037265
2015-12-21,15.04,15.04,15.04,15.04,000,14.888774
2015-12-18,15.04,15.04,15.04,15.04,200,14.888774
2015-12-17,15.13,15.13,15.13,15.13,200,14.977869
2015-12-16,14.95,14.99,14.95,14.99,3000,14.839276
2015-12-15,14.94,15.02,14.94,15.02,800,14.868975
2015-12-14,15.02,15.02,14.99,14.99,400,14.839276
2015-12-11,15.18,15.18,15.02,15.17,6600,15.017467
2015-12-10,15.16,15.16,15.16,15.16,100,14.94916
2015-12-09,15.10,15.10,15.10,15.10,000,14.889995
2015-12-08,15.10,15.10,15.10,15.10,000,14.889995
2015-12-07,15.20,15.20,15.01,15.10,6200,14.889995
2015-12-04,14.72,15.00,14.72,15.00,6200,14.791385
2015-12-03,14.92,14.93,14.82,14.91,3900,14.702636
2015-12-02,15.01,15.01,14.89,14.95,1900,14.74208
2015-12-01,14.89,14.98,14.88,14.98,4700,14.771663
2015-11-30,14.86,14.87,14.81,14.84,2300,14.63361
2015-11-27,14.95,14.95,14.88,14.89,2100,14.682915
2015-11-25,14.83,14.84,14.82,14.82,3600,14.613888
2015-11-24,14.77,14.77,14.76,14.76,3000,14.554723
2015-11-23,14.70,14.76,14.70,14.75,1600,14.544862
2015-11-20,14.67,14.77,14.67,14.76,4400,14.554723
2015-11-19,14.66,14.66,14.63,14.63,700,14.426531
2015-11-18,14.76,14.83,14.52,14.52,16700,14.318061
2015-11-17,14.71,14.76,14.69,14.76,1300,14.554723
2015-11-16,14.86,14.86,14.86,14.86,300,14.653332
2015-11-13,14.88,14.88,14.88,14.88,700,14.673054
2015-11-12,14.82,14.82,14.72,14.72,700,14.515279
2015-11-11,14.73,14.77,14.72,14.72,2200,14.515279
2015-11-10,14.69,14.85,14.69,14.85,400,14.643471
2015-11-09,14.88,14.93,14.77,14.80,5400,14.54289
2015-11-06,14.97,15.15,14.97,15.15,300,14.886809
2015-11-05,14.85,15.21,14.80,15.20,15300,14.935941
2015-11-04,14.82,14.84,14.74,14.83,12800,14.572369
