Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.53,15.53,15.48,15.51,77900,15.51
2016-03-10,15.51,15.59,15.51,15.59,115700,15.517
2016-03-09,15.49,15.56,15.48,15.48,106500,15.407515
2016-03-08,15.46,15.54,15.44,15.49,62300,15.417468
2016-03-07,15.35,15.47,15.35,15.46,128400,15.387609
2016-03-04,15.37,15.48,15.31,15.36,243600,15.288077
2016-03-03,15.30,15.39,15.29,15.34,171700,15.268171
2016-03-02,15.44,15.44,15.33,15.34,164800,15.268171
2016-03-01,15.41,15.48,15.37,15.44,183900,15.367702
2016-02-29,15.29,15.44,15.29,15.37,88400,15.29803
2016-02-26,15.28,15.37,15.27,15.31,117100,15.238312
2016-02-25,15.32,15.41,15.30,15.33,108300,15.258217
2016-02-24,15.30,15.34,15.27,15.34,167900,15.268171
2016-02-23,15.28,15.32,15.24,15.32,92200,15.248264
2016-02-22,15.32,15.37,15.22,15.26,131100,15.188546
2016-02-19,15.19,15.33,15.19,15.33,89500,15.258217
2016-02-18,15.15,15.24,15.15,15.23,56500,15.158685
2016-02-17,15.15,15.20,15.13,15.15,149900,15.07906
2016-02-16,15.29,15.30,15.17,15.19,152100,15.118873
2016-02-12,15.41,15.49,15.32,15.33,130100,15.258217
2016-02-11,15.45,15.46,15.38,15.46,106300,15.387609
2016-02-10,15.34,15.44,15.34,15.40,68100,15.327889
2016-02-09,15.34,15.50,15.34,15.42,95700,15.275138
2016-02-08,15.45,15.45,15.28,15.40,204800,15.255326
2016-02-05,15.38,15.43,15.34,15.43,62400,15.285045
2016-02-04,15.28,15.37,15.28,15.37,82200,15.225608
2016-02-03,15.33,15.37,15.28,15.28,109900,15.136453
2016-02-02,15.32,15.40,15.31,15.31,243300,15.166172
2016-02-01,15.23,15.33,15.23,15.30,130500,15.156266
2016-01-29,15.17,15.25,15.17,15.25,113200,15.106735
2016-01-28,15.10,15.24,15.06,15.18,72300,15.037393
2016-01-27,15.10,15.13,14.99,15.08,94900,14.938332
2016-01-26,15.04,15.09,15.02,15.07,159500,14.928426
2016-01-25,15.05,15.12,15.02,15.02,67500,14.878896
2016-01-22,14.94,15.12,14.94,15.05,89900,14.908614
2016-01-21,14.83,14.99,14.83,14.97,77500,14.829366
2016-01-20,15.02,15.06,14.82,14.90,174100,14.760023
2016-01-19,15.05,15.12,15.02,15.02,99300,14.878896
2016-01-15,15.07,15.15,15.07,15.08,103600,14.938332
2016-01-14,15.04,15.11,15.03,15.03,111300,14.888802
2016-01-13,15.10,15.10,14.97,15.04,97500,14.898708
2016-01-12,15.15,15.20,15.13,15.14,86400,14.925454
2016-01-11,15.15,15.24,15.15,15.18,108600,14.964887
2016-01-08,15.09,15.22,15.08,15.19,109700,14.974745
2016-01-07,15.13,15.23,15.12,15.14,176000,14.925454
2016-01-06,14.96,15.14,14.94,15.13,646800,14.915596
2016-01-05,14.98,15.15,14.98,15.10,163800,14.886021
2016-01-04,14.94,15.05,14.92,15.03,103300,14.817012
2015-12-31,15.02,15.04,14.96,14.96,122700,14.748004
2015-12-30,14.92,15.02,14.92,15.01,117900,14.797296
2015-12-29,14.91,14.93,14.89,14.93,81100,14.71843
2015-12-28,14.93,14.93,14.83,14.90,134200,14.688854
2015-12-24,14.90,14.91,14.86,14.91,25500,14.698713
2015-12-23,14.82,14.86,14.82,14.85,122100,14.639564
2015-12-22,14.80,14.90,14.80,14.86,84700,14.649421
2015-12-21,14.76,14.90,14.76,14.86,113300,14.649421
2015-12-18,14.91,14.92,14.84,14.84,107800,14.629705
2015-12-17,14.75,14.93,14.71,14.93,117200,14.71843
2015-12-16,14.55,14.72,14.55,14.72,105900,14.511406
2015-12-15,14.54,14.59,14.54,14.58,85300,14.373389
2015-12-14,14.65,14.66,14.53,14.54,95100,14.333956
2015-12-11,14.70,14.79,14.67,14.67,90200,14.462114
2015-12-10,14.71,14.82,14.69,14.79,131300,14.507462
2015-12-09,14.77,14.79,14.71,14.72,95200,14.4388
2015-12-08,14.65,14.79,14.65,14.78,99000,14.497653
2015-12-07,14.60,14.65,14.60,14.65,95100,14.370136
2015-12-04,14.56,14.68,14.56,14.63,113300,14.350519
2015-12-03,14.69,14.69,14.56,14.58,124100,14.301474
2015-12-02,14.79,14.84,14.74,14.74,145300,14.458417
2015-12-01,14.84,14.86,14.80,14.82,94000,14.536889
2015-11-30,14.77,14.83,14.77,14.83,71300,14.546698
2015-11-27,14.73,14.81,14.73,14.81,18900,14.527081
2015-11-25,14.71,14.77,14.71,14.74,73200,14.458417
2015-11-24,14.65,14.69,14.64,14.68,60300,14.399564
2015-11-23,14.60,14.67,14.60,14.67,58100,14.389755
2015-11-20,14.55,14.61,14.55,14.57,56800,14.291665
2015-11-19,14.55,14.57,14.52,14.54,79300,14.262238
2015-11-18,14.48,14.50,14.45,14.50,90400,14.223002
2015-11-17,14.46,14.49,14.43,14.45,107500,14.173957
2015-11-16,14.47,14.52,14.45,14.52,82000,14.242621
2015-11-13,14.35,14.48,14.35,14.47,64000,14.193576
2015-11-12,14.36,14.42,14.35,14.35,89600,14.075868
2015-11-11,14.42,14.45,14.35,14.35,107600,14.075868
2015-11-10,14.35,14.48,14.35,14.48,103600,14.203384
2015-11-09,14.49,14.53,14.41,14.47,180800,14.12197
2015-11-06,14.75,14.75,14.55,14.57,219600,14.219564
2015-11-05,14.71,14.83,14.71,14.82,182200,14.463551
2015-11-04,14.76,14.79,14.74,14.74,143500,14.385476
2015-11-03,14.80,14.80,14.76,14.76,101700,14.404995
2015-11-02,14.79,14.87,14.75,14.79,123200,14.434273
2015-10-30,14.87,14.88,14.74,14.77,149300,14.414755
2015-10-29,14.88,14.90,14.81,14.90,192900,14.541627
2015-10-28,14.80,14.87,14.80,14.84,173700,14.483071
2015-10-27,14.80,14.83,14.77,14.80,83100,14.444033
2015-10-26,14.73,14.82,14.73,14.75,129500,14.395235
2015-10-23,14.70,14.75,14.70,14.75,111600,14.395235
2015-10-22,14.65,14.73,14.63,14.70,120800,14.346438
2015-10-21,14.60,14.64,14.60,14.63,83100,14.278122
2015-10-20,14.55,14.60,14.55,14.58,112200,14.229324
2015-10-19,14.55,14.58,14.54,14.55,107300,14.200046
2015-10-16,14.50,14.60,14.47,14.57,104000,14.219564
