Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.64,13.65,13.53,13.54,115200,13.54
2016-03-10,13.64,13.68,13.64,13.66,54800,13.592
2016-03-09,13.72,13.73,13.62,13.64,144500,13.5721
2016-03-08,13.78,13.78,13.69,13.75,118900,13.681552
2016-03-07,13.72,13.74,13.69,13.72,129700,13.651701
2016-03-04,13.68,13.74,13.67,13.73,70100,13.661651
2016-03-03,13.66,13.70,13.65,13.70,66300,13.6318
2016-03-02,13.73,13.74,13.65,13.66,98900,13.592
2016-03-01,13.72,13.74,13.68,13.73,97100,13.661651
2016-02-29,13.61,13.65,13.61,13.65,61900,13.582049
2016-02-26,13.60,13.66,13.59,13.61,53800,13.542248
2016-02-25,13.66,13.72,13.63,13.66,93200,13.592
2016-02-24,13.61,13.67,13.61,13.65,76400,13.582049
2016-02-23,13.57,13.62,13.56,13.62,150500,13.552199
2016-02-22,13.59,13.62,13.54,13.60,103200,13.532299
2016-02-19,13.59,13.66,13.59,13.62,63600,13.552199
2016-02-18,13.53,13.61,13.53,13.61,88700,13.542248
2016-02-17,13.57,13.57,13.53,13.54,101200,13.472597
2016-02-16,13.61,13.63,13.56,13.56,131600,13.492498
2016-02-12,13.76,13.76,13.60,13.65,196100,13.582049
2016-02-11,13.81,13.81,13.73,13.78,64600,13.711402
2016-02-10,13.68,13.80,13.68,13.80,79800,13.731303
2016-02-09,13.85,13.85,13.73,13.78,131800,13.643741
2016-02-08,13.88,13.88,13.72,13.85,112300,13.713049
2016-02-05,13.80,13.87,13.79,13.85,68900,13.713049
2016-02-04,13.80,13.80,13.72,13.78,107200,13.643741
2016-02-03,13.77,13.80,13.73,13.75,65800,13.614038
2016-02-02,13.78,13.81,13.75,13.77,77000,13.63384
2016-02-01,13.74,13.79,13.70,13.79,83400,13.653642
2016-01-29,13.60,13.68,13.60,13.68,81600,13.54473
2016-01-28,13.55,13.60,13.54,13.60,97600,13.465521
2016-01-27,13.56,13.60,13.54,13.59,47500,13.45562
2016-01-26,13.46,13.56,13.46,13.56,49200,13.425917
2016-01-25,13.49,13.54,13.49,13.49,52800,13.356608
2016-01-22,13.54,13.56,13.49,13.52,67700,13.386312
2016-01-21,13.43,13.50,13.38,13.48,52100,13.346707
2016-01-20,13.51,13.54,13.36,13.38,116600,13.247696
2016-01-19,13.62,13.62,13.51,13.51,53500,13.376411
2016-01-15,13.52,13.61,13.52,13.57,90800,13.435817
2016-01-14,13.60,13.60,13.47,13.56,105300,13.425917
2016-01-13,13.47,13.55,13.47,13.52,142600,13.386312
2016-01-12,13.54,13.62,13.52,13.54,139700,13.338787
2016-01-11,13.69,13.69,13.55,13.55,112300,13.348639
2016-01-08,13.70,13.76,13.65,13.69,124300,13.486558
2016-01-07,13.61,13.73,13.59,13.72,97100,13.516112
2016-01-06,13.59,13.66,13.58,13.60,90900,13.397896
2016-01-05,13.42,13.59,13.42,13.57,86000,13.368341
2016-01-04,13.38,13.40,13.35,13.39,112700,13.191017
2015-12-31,13.43,13.45,13.35,13.38,83100,13.181165
2015-12-30,13.34,13.38,13.34,13.38,90500,13.181165
2015-12-29,13.34,13.37,13.32,13.33,69800,13.131908
2015-12-28,13.36,13.42,13.32,13.36,105200,13.161462
2015-12-24,13.33,13.41,13.28,13.34,35900,13.141759
2015-12-23,13.20,13.36,13.19,13.36,97500,13.161462
2015-12-22,13.24,13.29,13.17,13.23,113700,13.033393
2015-12-21,13.30,13.37,13.20,13.22,144600,13.023543
2015-12-18,13.27,13.36,13.25,13.32,62500,13.122056
2015-12-17,13.19,13.28,13.13,13.28,70200,13.082651
2015-12-16,13.06,13.20,13.04,13.19,125700,12.993988
2015-12-15,13.07,13.12,13.04,13.09,96900,12.895475
2015-12-14,13.25,13.25,13.07,13.07,145300,12.875771
2015-12-11,13.16,13.27,13.15,13.25,57700,13.053097
2015-12-10,13.19,13.27,13.19,13.21,77500,12.943746
2015-12-09,13.19,13.27,13.17,13.19,152000,12.924149
2015-12-08,13.20,13.27,13.19,13.22,49500,12.953545
2015-12-07,13.14,13.20,13.07,13.20,49500,12.933947
2015-12-04,13.10,13.15,13.07,13.14,89100,12.875157
2015-12-03,13.18,13.18,13.05,13.11,119700,12.845761
2015-12-02,13.21,13.24,13.18,13.18,42800,12.914351
2015-12-01,13.19,13.25,13.16,13.24,66300,12.973141
2015-11-30,13.17,13.18,13.11,13.13,53000,12.865359
2015-11-27,13.14,13.20,13.13,13.19,11100,12.924149
2015-11-25,13.06,13.16,13.06,13.11,70900,12.845761
2015-11-24,13.11,13.14,13.05,13.05,107600,12.786971
2015-11-23,13.10,13.17,13.08,13.09,93800,12.826165
2015-11-20,13.06,13.11,13.05,13.07,36600,12.806567
2015-11-19,13.03,13.10,13.01,13.08,52400,12.816366
2015-11-18,13.05,13.06,12.94,13.04,65100,12.777172
2015-11-17,13.00,13.07,13.00,13.04,101500,12.777172
2015-11-16,13.03,13.12,13.03,13.08,84300,12.816366
2015-11-13,12.96,13.05,12.96,13.04,66700,12.777172
2015-11-12,12.92,13.00,12.91,12.98,35900,12.718381
2015-11-11,12.89,12.97,12.87,12.93,76700,12.66939
2015-11-10,12.85,12.93,12.82,12.93,86500,12.66939
2015-11-09,13.02,13.02,12.88,12.92,119600,12.592961
2015-11-06,13.26,13.26,13.06,13.06,128300,12.729418
2015-11-05,13.32,13.36,13.26,13.27,127400,12.934102
2015-11-04,13.27,13.37,13.25,13.32,96100,12.982836
2015-11-03,13.29,13.30,13.25,13.27,99000,12.934102
2015-11-02,13.33,13.36,13.25,13.30,71900,12.963343
2015-10-30,13.23,13.30,13.20,13.30,63900,12.963343
2015-10-29,13.19,13.28,13.18,13.25,42400,12.914608
2015-10-28,13.19,13.24,13.17,13.22,34400,12.885368
2015-10-27,13.15,13.19,13.14,13.19,32000,12.856126
2015-10-26,13.16,13.17,13.13,13.14,37300,12.807393
2015-10-23,13.16,13.20,13.15,13.16,154400,12.826886
2015-10-22,13.16,13.19,13.15,13.16,54100,12.826886
2015-10-21,13.12,13.19,13.12,13.15,37600,12.817139
2015-10-20,13.08,13.13,13.08,13.12,39300,12.787899
2015-10-19,13.12,13.17,13.08,13.09,90700,12.758658
2015-10-16,13.10,13.15,13.10,13.12,27300,12.787899
2015-10-15,13.10,13.13,13.09,13.10,33900,12.768405
2015-10-14,13.14,13.17,13.09,13.10,65700,12.768405
2015-10-13,13.05,13.14,13.05,13.12,33600,12.787899
2015-10-12,13.12,13.17,13.10,13.14,42400,12.741114
2015-10-09,13.13,13.16,13.07,13.07,46500,12.673238
2015-10-08,13.12,13.16,13.10,13.14,52200,12.741114
2015-10-07,13.10,13.16,13.09,13.16,44200,12.760506
2015-10-06,13.12,13.14,13.07,13.10,60300,12.702328
2015-10-05,13.07,13.13,13.05,13.10,53400,12.702328
2015-10-02,13.02,13.06,13.01,13.04,95100,12.644149
2015-10-01,13.11,13.11,13.01,13.01,89100,12.61506
2015-09-30,13.13,13.13,13.03,13.04,60400,12.644149
2015-09-29,13.07,13.15,13.07,13.08,30900,12.682935
2015-09-28,13.07,13.13,13.02,13.04,66000,12.644149
2015-09-25,13.14,13.14,13.08,13.08,19400,12.682935
2015-09-24,13.17,13.17,13.10,13.13,30000,12.731417
2015-09-23,13.23,13.24,13.09,13.13,49000,12.731417
2015-09-22,13.14,13.21,13.12,13.19,60400,12.789595
2015-09-21,13.15,13.17,13.11,13.14,46700,12.741114
2015-09-18,12.91,13.17,12.91,13.14,89400,12.741114
2015-09-17,12.87,13.07,12.83,13.03,93000,12.634453
2015-09-16,12.77,12.85,12.77,12.83,60900,12.440524
2015-09-15,12.82,12.83,12.78,12.78,65600,12.392042
2015-09-14,12.89,12.90,12.82,12.83,51100,12.440524
2015-09-11,12.88,12.91,12.85,12.89,39100,12.498703
2015-09-10,12.93,12.95,12.91,12.91,59700,12.45216
2015-09-09,12.92,12.95,12.91,12.94,39100,12.481096
2015-09-08,12.95,12.97,12.93,12.93,37500,12.471451
2015-09-04,12.87,12.99,12.83,12.95,93600,12.490741
2015-09-03,12.82,12.87,12.76,12.86,66900,12.403933
2015-09-02,12.78,12.82,12.75,12.77,88000,12.317125
2015-09-01,12.82,12.83,12.73,12.77,131900,12.317125
2015-08-31,12.80,12.82,12.75,12.75,66900,12.297834
2015-08-28,12.78,12.86,12.75,12.76,91500,12.30748
2015-08-27,12.74,12.79,12.71,12.78,158200,12.32677
2015-08-26,12.92,12.95,12.70,12.70,100700,12.249607
2015-08-25,12.89,12.93,12.85,12.89,56300,12.43287
2015-08-24,12.97,12.97,12.85,12.85,65600,12.394288
2015-08-21,13.07,13.10,13.03,13.04,34000,12.57755
2015-08-20,13.02,13.07,13.01,13.04,48800,12.57755
2015-08-19,13.02,13.06,12.99,13.04,33800,12.57755
2015-08-18,13.07,13.11,13.03,13.07,45400,12.606485
2015-08-17,13.08,13.14,13.06,13.10,33000,12.635422
2015-08-14,13.11,13.12,13.07,13.08,13200,12.616131
2015-08-13,13.09,13.12,13.09,13.09,16600,12.625777
2015-08-12,13.13,13.16,13.10,13.11,88500,12.645067
2015-08-11,13.10,13.19,13.04,13.19,94400,12.656641
2015-08-10,13.14,13.15,13.07,13.08,37800,12.55109
2015-08-07,13.03,13.17,13.02,13.15,31800,12.618259
2015-08-06,12.98,13.06,12.94,13.03,33900,12.503111
2015-08-05,13.06,13.15,12.99,12.99,119800,12.464729
2015-08-04,13.10,13.14,12.98,13.05,242300,12.522303
2015-08-03,13.26,13.28,13.11,13.11,193600,12.579876
2015-07-31,13.27,13.28,13.19,13.25,68800,12.714216
2015-07-30,13.40,13.40,13.20,13.25,79700,12.714216
2015-07-29,13.30,13.40,13.28,13.40,71100,12.85815
2015-07-28,13.14,13.27,13.13,13.25,48200,12.714216
2015-07-27,13.18,13.18,13.12,13.15,48100,12.618259
2015-07-24,13.14,13.22,13.14,13.20,40400,12.666237
2015-07-23,13.13,13.17,13.09,13.14,46600,12.608664
2015-07-22,13.18,13.22,13.07,13.12,61700,12.589472
2015-07-21,13.21,13.22,13.17,13.17,51800,12.637451
2015-07-20,13.22,13.22,13.18,13.20,27000,12.666237
2015-07-17,13.10,13.24,13.08,13.21,56700,12.675833
2015-07-16,13.04,13.09,13.03,13.07,66800,12.541494
2015-07-15,13.03,13.07,13.01,13.06,49900,12.531899
2015-07-14,12.98,13.07,12.98,13.05,64300,12.522303
2015-07-13,13.12,13.12,13.01,13.01,54900,12.48392
2015-07-10,13.15,13.17,13.10,13.17,90200,12.5722
2015-07-09,13.18,13.18,13.11,13.15,76100,12.553108
2015-07-08,13.18,13.24,13.11,13.16,58700,12.562654
2015-07-07,13.24,13.30,13.16,13.20,95600,12.600838
2015-07-06,13.02,13.17,13.02,13.17,73700,12.5722
2015-07-02,13.07,13.09,12.92,13.00,105100,12.409917
2015-07-01,13.16,13.16,13.01,13.08,72900,12.486285
2015-06-30,13.00,13.09,12.93,13.08,121400,12.486285
2015-06-29,13.11,13.11,13.01,13.03,58500,12.438555
2015-06-26,13.12,13.14,13.04,13.13,146400,12.534016
2015-06-25,13.25,13.27,13.10,13.15,105400,12.553108
2015-06-24,13.24,13.30,13.21,13.27,126100,12.667662
2015-06-23,13.17,13.29,13.15,13.26,111500,12.658115
2015-06-22,13.14,13.25,13.11,13.21,152900,12.610385
2015-06-19,13.06,13.18,13.04,13.15,99000,12.553108
2015-06-18,12.86,13.18,12.86,13.11,208900,12.514923
2015-06-17,12.71,12.90,12.69,12.90,128500,12.314455
2015-06-16,12.71,12.72,12.66,12.71,78000,12.13308
2015-06-15,12.73,12.77,12.69,12.73,78000,12.152172
2015-06-12,12.63,12.77,12.63,12.72,131700,12.142626
2015-06-11,12.58,12.66,12.57,12.63,115400,12.056711
2015-06-10,12.64,12.72,12.58,12.60,140400,11.96316
2015-06-09,12.65,12.68,12.63,12.64,116600,12.001138
2015-06-08,12.65,12.71,12.64,12.67,146700,12.029622
2015-06-05,12.79,12.83,12.69,12.69,99000,12.04861
2015-06-04,12.93,12.95,12.84,12.84,87900,12.191029
2015-06-03,12.99,13.00,12.92,12.95,59800,12.295469
2015-06-02,13.02,13.06,13.00,13.02,65100,12.361932
2015-06-01,13.06,13.07,13.01,13.04,76700,12.380921
2015-05-29,12.94,13.03,12.94,13.01,31300,12.352437
2015-05-28,12.97,13.02,12.96,12.98,40900,12.323953
2015-05-27,12.98,13.01,12.96,12.98,86100,12.323953
2015-05-26,12.94,12.98,12.90,12.96,71600,12.304964
2015-05-22,12.98,12.98,12.89,12.94,44900,12.285975
2015-05-21,12.95,13.00,12.95,12.98,64800,12.323953
2015-05-20,13.00,13.00,12.94,12.96,68700,12.304964
2015-05-19,12.89,13.02,12.81,12.97,122800,12.314459
2015-05-18,13.02,13.02,12.93,12.93,167000,12.276481
2015-05-15,12.98,13.05,12.96,13.05,39400,12.390415
2015-05-14,12.86,12.98,12.85,12.97,69500,12.314459
2015-05-13,12.89,12.94,12.87,12.88,122500,12.229008
2015-05-12,12.95,12.97,12.85,12.94,145800,12.221412
2015-05-11,13.10,13.14,12.99,12.99,111100,12.268636
2015-05-08,13.15,13.16,13.10,13.11,63200,12.381972
2015-05-07,13.11,13.13,13.03,13.09,57800,12.363083
2015-05-06,13.35,13.38,13.11,13.13,148000,12.400861
2015-05-05,13.47,13.47,13.33,13.38,61800,12.636978
2015-05-04,13.48,13.48,13.40,13.47,54400,12.72198
2015-05-01,13.51,13.51,13.40,13.46,79600,12.712536
2015-04-30,13.50,13.51,13.46,13.51,56800,12.759759
2015-04-29,13.43,13.52,13.41,13.50,80600,12.750314
2015-04-28,13.41,13.47,13.41,13.47,46000,12.72198
2015-04-27,13.43,13.44,13.41,13.41,20700,12.665312
2015-04-24,13.43,13.43,13.36,13.41,53700,12.665312
2015-04-23,13.42,13.47,13.42,13.42,46400,12.674757
2015-04-22,13.42,13.45,13.40,13.41,62500,12.665312
2015-04-21,13.37,13.46,13.35,13.45,61800,12.703091
2015-04-20,13.36,13.39,13.33,13.37,52700,12.627533
2015-04-17,13.36,13.37,13.32,13.35,66900,12.608644
2015-04-16,13.36,13.38,13.31,13.35,51600,12.608644
2015-04-15,13.34,13.38,13.32,13.33,52300,12.589755
2015-04-14,13.33,13.37,13.30,13.32,91700,12.58031
2015-04-13,13.34,13.35,13.29,13.33,60700,12.589755
2015-04-10,13.34,13.44,13.34,13.36,59800,12.553865
2015-04-09,13.36,13.39,13.31,13.35,50200,12.544469
2015-04-08,13.36,13.42,13.35,13.35,48900,12.544469
2015-04-07,13.31,13.39,13.29,13.34,108000,12.535072
2015-04-06,13.31,13.36,13.27,13.31,75900,12.506882
2015-04-02,13.32,13.35,13.25,13.27,141800,12.469296
2015-04-01,13.44,13.45,13.35,13.40,85400,12.591451
2015-03-31,13.22,13.44,13.19,13.39,226300,12.582055
2015-03-30,13.24,13.24,13.16,13.22,83200,12.422313
2015-03-27,13.16,13.24,13.16,13.22,58400,12.422313
2015-03-26,13.19,13.19,13.11,13.12,42400,12.328346
2015-03-25,13.22,13.22,13.17,13.19,68000,12.394122
2015-03-24,13.17,13.22,13.11,13.22,82000,12.422313
2015-03-23,13.20,13.20,13.13,13.15,86200,12.356536
2015-03-20,13.17,13.19,13.09,13.18,100700,12.384726
2015-03-19,13.17,13.17,13.04,13.12,66200,12.328346
2015-03-18,13.01,13.18,13.01,13.18,71400,12.384726
2015-03-17,13.05,13.05,12.97,13.01,123000,12.224984
2015-03-16,13.11,13.12,13.04,13.05,59500,12.26257
2015-03-13,13.07,13.12,13.01,13.11,36300,12.318949
2015-03-12,13.14,13.16,13.08,13.09,42000,12.300157
2015-03-11,13.12,13.16,13.10,13.11,69900,12.318949
2015-03-10,13.18,13.24,13.18,13.20,57100,12.339622
2015-03-09,13.14,13.23,13.14,13.18,70900,12.320926
2015-03-06,13.30,13.30,13.14,13.15,83500,12.292881
2015-03-05,13.38,13.39,13.35,13.36,61600,12.489193
2015-03-04,13.36,13.41,13.35,13.38,66100,12.50789
2015-03-03,13.32,13.37,13.31,13.33,70900,12.461149
2015-03-02,13.42,13.43,13.32,13.36,88700,12.489193
2015-02-27,13.34,13.40,13.31,13.40,64700,12.526586
2015-02-26,13.31,13.34,13.27,13.28,85400,12.414408
2015-02-25,13.33,13.36,13.28,13.35,79900,12.479846
2015-02-24,13.26,13.29,13.22,13.27,137400,12.40506
2015-02-23,13.28,13.30,13.24,13.27,98000,12.40506
2015-02-20,13.18,13.28,13.18,13.23,97900,12.367667
2015-02-19,13.13,13.26,13.13,13.16,160000,12.302229
2015-02-18,13.02,13.18,12.97,13.16,182600,12.302229
2015-02-17,13.34,13.39,13.02,13.04,213600,12.190051
2015-02-13,13.45,13.50,13.35,13.38,134400,12.50789
2015-02-12,13.42,13.49,13.42,13.47,55600,12.592024
2015-02-11,13.50,13.54,13.45,13.45,72300,12.573327
2015-02-10,13.61,13.65,13.56,13.56,80500,12.61259
2015-02-09,13.74,13.77,13.68,13.72,41900,12.761411
2015-02-06,13.86,13.87,13.71,13.71,75200,12.752109
2015-02-05,13.91,13.95,13.86,13.91,62900,12.938136
2015-02-04,13.89,13.92,13.82,13.91,100000,12.938136
2015-02-03,13.93,14.03,13.93,13.95,107900,12.975341
2015-02-02,13.91,13.96,13.88,13.96,74700,12.984642
2015-01-30,13.82,13.95,13.81,13.90,96900,12.928834
2015-01-29,13.75,13.79,13.74,13.78,79300,12.817218
2015-01-28,13.68,13.79,13.68,13.75,92300,12.789315
2015-01-27,13.62,13.73,13.62,13.69,69100,12.733506
2015-01-26,13.58,13.63,13.58,13.60,63300,12.649795
2015-01-23,13.60,13.64,13.58,13.59,55800,12.640494
2015-01-22,13.64,13.65,13.58,13.60,125600,12.649795
2015-01-21,13.75,13.78,13.60,13.60,118400,12.649795
2015-01-20,13.76,13.76,13.69,13.71,54000,12.752109
2015-01-16,13.78,13.80,13.69,13.75,50400,12.789315
2015-01-15,13.67,13.77,13.67,13.76,84700,12.798616
2015-01-14,13.66,13.69,13.63,13.69,71100,12.733506
2015-01-13,13.64,13.66,13.60,13.61,58600,12.659096
2015-01-12,13.68,13.70,13.64,13.68,47300,12.660957
2015-01-09,13.57,13.66,13.56,13.64,57700,12.623936
2015-01-08,13.57,13.60,13.51,13.53,95900,12.52213
2015-01-07,13.52,13.72,13.52,13.56,115700,12.549896
2015-01-06,13.37,13.50,13.36,13.49,85700,12.485109
