Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.96,13.96,13.90,13.94,48700,13.94
2016-03-10,13.95,13.98,13.95,13.98,34800,13.92
2016-03-09,14.00,14.00,13.94,13.94,28300,13.880171
2016-03-08,13.99,14.02,13.94,14.00,52500,13.939914
2016-03-07,13.98,14.00,13.93,13.99,42000,13.929957
2016-03-04,13.98,14.00,13.95,14.00,41400,13.939914
2016-03-03,13.92,14.00,13.88,13.95,97100,13.890129
2016-03-02,13.88,13.91,13.86,13.87,133000,13.810472
2016-03-01,13.99,14.00,13.87,13.88,142200,13.820429
2016-02-29,14.00,14.00,13.97,13.97,58000,13.910043
2016-02-26,13.93,14.06,13.93,14.00,120100,13.939914
2016-02-25,13.98,13.99,13.97,13.99,66600,13.929957
2016-02-24,13.94,13.98,13.92,13.98,61400,13.92
2016-02-23,13.92,13.96,13.90,13.96,67900,13.900086
2016-02-22,13.94,13.95,13.88,13.92,68100,13.860258
2016-02-19,13.94,13.94,13.91,13.92,53300,13.860258
2016-02-18,13.92,13.94,13.89,13.94,98100,13.880171
2016-02-17,13.91,13.92,13.87,13.92,67000,13.860258
2016-02-16,13.91,13.94,13.85,13.89,66600,13.830387
2016-02-12,13.96,14.02,13.89,13.94,90500,13.880171
2016-02-11,14.03,14.03,13.97,13.98,122900,13.92
2016-02-10,14.00,14.02,13.98,14.01,40500,13.949872
2016-02-09,14.02,14.06,13.98,14.02,78000,13.900086
2016-02-08,13.98,14.03,13.98,14.02,43600,13.900086
2016-02-05,13.97,14.05,13.96,13.96,58800,13.840599
2016-02-04,13.94,13.97,13.88,13.96,42400,13.840599
2016-02-03,13.86,13.96,13.86,13.95,48300,13.830684
2016-02-02,13.86,13.90,13.81,13.89,103100,13.771198
2016-02-01,13.87,13.87,13.82,13.86,42400,13.741454
2016-01-29,13.76,13.84,13.75,13.84,26400,13.721625
2016-01-28,13.72,13.78,13.71,13.75,27300,13.632395
2016-01-27,13.74,13.77,13.68,13.74,36300,13.62248
2016-01-26,13.62,13.74,13.62,13.71,65800,13.592737
2016-01-25,13.71,13.71,13.63,13.64,28300,13.523336
2016-01-22,13.57,13.70,13.56,13.67,66300,13.553079
2016-01-21,13.59,13.67,13.55,13.59,72600,13.473764
2016-01-20,13.63,13.64,13.50,13.56,76000,13.444021
2016-01-19,13.62,13.68,13.62,13.63,37300,13.513422
2016-01-15,13.63,13.72,13.61,13.65,38000,13.53325
2016-01-14,13.67,13.69,13.61,13.69,47300,13.572908
2016-01-13,13.70,13.74,13.65,13.65,125300,13.53325
2016-01-12,13.77,13.77,13.70,13.74,60300,13.562994
2016-01-11,13.79,13.79,13.63,13.74,89100,13.562994
2016-01-08,13.75,13.83,13.75,13.83,54100,13.651835
2016-01-07,13.81,13.84,13.77,13.82,31200,13.641963
2016-01-06,13.67,13.83,13.66,13.77,74000,13.592608
2016-01-05,13.60,13.69,13.58,13.68,83600,13.503767
2016-01-04,13.52,13.61,13.51,13.61,35900,13.434668
2015-12-31,13.55,13.64,13.55,13.64,78500,13.464283
2015-12-30,13.42,13.55,13.41,13.54,70500,13.36557
2015-12-29,13.46,13.50,13.41,13.47,56300,13.296473
2015-12-28,13.43,13.48,13.41,13.48,42000,13.306343
2015-12-24,13.42,13.45,13.39,13.44,25900,13.266858
2015-12-23,13.38,13.42,13.35,13.38,41500,13.207632
2015-12-22,13.35,13.35,13.30,13.34,19900,13.168147
2015-12-21,13.34,13.40,13.31,13.32,53300,13.148404
2015-12-18,13.29,13.38,13.25,13.33,60500,13.158276
2015-12-17,13.17,13.28,13.17,13.26,75100,13.089178
2015-12-16,13.09,13.14,13.07,13.13,158300,12.960852
2015-12-15,13.16,13.16,13.06,13.09,70500,12.921368
2015-12-14,13.21,13.21,13.11,13.15,56700,12.980594
2015-12-11,13.21,13.22,13.16,13.21,50400,13.039822
2015-12-10,13.19,13.23,13.15,13.22,48300,12.98553
2015-12-09,13.18,13.22,13.17,13.20,77700,12.965884
2015-12-08,13.15,13.19,13.10,13.18,51500,12.94624
2015-12-07,13.17,13.17,13.09,13.09,56200,12.857836
2015-12-04,13.12,13.20,13.10,13.17,61800,12.936417
2015-12-03,13.21,13.21,13.09,13.14,74000,12.906949
2015-12-02,13.21,13.25,13.20,13.23,56300,12.995352
2015-12-01,13.15,13.26,13.15,13.23,56600,12.995352
2015-11-30,13.10,13.16,13.10,13.16,44200,12.926594
2015-11-27,13.06,13.12,13.06,13.11,20000,12.87748
2015-11-25,13.09,13.09,13.03,13.05,89700,12.818545
2015-11-24,13.05,13.07,13.02,13.06,52900,12.828368
2015-11-23,13.00,13.07,13.00,13.05,29800,12.818545
