Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.84,15.84,15.72,15.72,73700,15.72
2016-03-10,15.89,15.90,15.84,15.88,80600,15.802
2016-03-09,15.85,15.89,15.83,15.84,34600,15.762197
2016-03-08,15.77,15.85,15.77,15.84,44600,15.762197
2016-03-07,15.76,15.81,15.75,15.81,45100,15.732344
2016-03-04,15.77,15.82,15.75,15.75,74000,15.672639
2016-03-03,15.72,15.79,15.70,15.76,80300,15.68259
2016-03-02,15.80,15.80,15.69,15.71,72000,15.632835
2016-03-01,15.79,15.82,15.73,15.77,67800,15.692541
2016-02-29,15.66,15.71,15.63,15.71,44200,15.632835
2016-02-26,15.75,15.75,15.61,15.61,56700,15.533326
2016-02-25,15.65,15.76,15.65,15.73,53300,15.652736
2016-02-24,15.70,15.77,15.64,15.65,43200,15.573129
2016-02-23,15.66,15.72,15.62,15.70,78000,15.622884
2016-02-22,15.76,15.76,15.63,15.64,47100,15.563179
2016-02-19,15.64,15.72,15.62,15.71,55600,15.632835
2016-02-18,15.59,15.65,15.59,15.65,68500,15.573129
2016-02-17,15.65,15.65,15.58,15.58,64700,15.503473
2016-02-16,15.64,15.65,15.58,15.61,73500,15.533326
2016-02-12,15.88,15.88,15.67,15.69,62500,15.612933
2016-02-11,15.88,15.89,15.81,15.85,60500,15.772148
2016-02-10,15.76,15.87,15.76,15.87,32800,15.792049
2016-02-09,15.81,15.84,15.78,15.82,54900,15.664678
2016-02-08,15.93,15.93,15.77,15.81,47000,15.654777
2016-02-05,15.86,15.89,15.82,15.88,53900,15.724089
2016-02-04,15.90,15.91,15.81,15.81,77800,15.654777
2016-02-03,15.92,15.97,15.88,15.93,69700,15.773598
2016-02-02,15.91,15.94,15.86,15.94,37600,15.783499
2016-02-01,15.79,15.88,15.73,15.86,76000,15.704285
2016-01-29,15.70,15.78,15.68,15.73,36800,15.575561
2016-01-28,15.61,15.66,15.61,15.65,30200,15.496347
2016-01-27,15.74,15.74,15.62,15.62,46500,15.466642
2016-01-26,15.60,15.73,15.60,15.73,40800,15.575561
2016-01-25,15.69,15.70,15.59,15.60,46500,15.446838
2016-01-22,15.65,15.73,15.61,15.62,45100,15.466642
2016-01-21,15.61,15.70,15.61,15.65,48800,15.496347
2016-01-20,15.72,15.72,15.50,15.59,66600,15.436936
2016-01-19,15.66,15.75,15.65,15.70,129700,15.545856
2016-01-15,15.64,15.68,15.62,15.66,60100,15.506249
2016-01-14,15.63,15.65,15.57,15.59,49300,15.436936
2016-01-13,15.62,15.62,15.58,15.60,45800,15.446838
2016-01-12,15.61,15.70,15.61,15.70,48200,15.468621
2016-01-11,15.61,15.66,15.59,15.63,56800,15.399653
2016-01-08,15.62,15.71,15.59,15.67,59400,15.439064
2016-01-07,15.59,15.66,15.57,15.63,93300,15.399653
2016-01-06,15.51,15.62,15.51,15.58,75600,15.35039
2016-01-05,15.44,15.51,15.42,15.48,53900,15.251863
2016-01-04,15.40,15.41,15.37,15.40,57200,15.173042
2015-12-31,15.39,15.45,15.35,15.42,90900,15.192748
2015-12-30,15.27,15.34,15.27,15.32,41200,15.094221
2015-12-29,15.30,15.30,15.24,15.24,61100,15.0154
2015-12-28,15.27,15.30,15.24,15.29,69400,15.064664
2015-12-24,15.24,15.28,15.19,15.26,46300,15.035106
2015-12-23,15.15,15.24,15.15,15.19,75000,14.966137
2015-12-22,15.10,15.18,15.10,15.12,67600,14.897169
2015-12-21,15.14,15.17,15.13,15.13,57500,14.907022
2015-12-18,15.08,15.16,15.07,15.15,54600,14.926727
2015-12-17,14.99,15.11,14.99,15.06,138000,14.838054
2015-12-16,14.91,14.99,14.90,14.99,69100,14.769085
2015-12-15,14.92,14.97,14.91,14.93,47100,14.70997
2015-12-14,15.04,15.04,14.91,14.94,73200,14.719822
2015-12-11,15.07,15.13,14.98,15.02,66800,14.798643
2015-12-10,15.11,15.15,15.10,15.14,29700,14.83904
2015-12-09,15.08,15.15,15.04,15.13,63100,14.829238
2015-12-08,15.01,15.07,15.01,15.07,53000,14.770431
2015-12-07,15.05,15.05,15.00,15.02,42200,14.721425
2015-12-04,15.05,15.06,15.01,15.01,60300,14.711624
2015-12-03,15.13,15.13,15.02,15.02,63700,14.721425
2015-12-02,15.18,15.22,15.15,15.15,37700,14.84884
2015-12-01,15.19,15.21,15.13,15.18,75800,14.878245
