Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.10,14.13,14.06,14.10,40000,14.10
2016-03-10,14.07,14.15,14.07,14.12,53800,14.052
2016-03-09,14.11,14.15,14.07,14.07,110800,14.00224
2016-03-08,14.13,14.18,14.09,14.09,107900,14.022144
2016-03-07,14.17,14.18,14.08,14.09,238300,14.022144
2016-03-04,14.20,14.26,14.17,14.17,25500,14.101759
2016-03-03,14.32,14.37,14.20,14.20,49300,14.131614
2016-03-02,14.31,14.37,14.20,14.35,56700,14.280893
2016-03-01,14.30,14.32,14.26,14.28,49200,14.211229
2016-02-29,14.25,14.29,14.24,14.25,38800,14.181374
2016-02-26,14.30,14.30,14.21,14.22,39000,14.151519
2016-02-25,14.38,14.38,14.29,14.29,40200,14.221181
2016-02-24,14.35,14.35,14.32,14.35,50100,14.280893
2016-02-23,14.22,14.33,14.21,14.32,39400,14.251036
2016-02-22,14.24,14.26,14.20,14.22,34700,14.151519
2016-02-19,14.15,14.27,14.14,14.21,74000,14.141566
2016-02-18,14.13,14.15,14.11,14.12,25100,14.052
2016-02-17,14.18,14.18,14.11,14.11,56200,14.042048
2016-02-16,14.14,14.17,14.09,14.17,94600,14.101759
2016-02-12,14.30,14.30,14.15,14.19,54900,14.121662
2016-02-11,14.30,14.32,14.25,14.30,74600,14.231133
2016-02-10,14.31,14.31,14.19,14.28,29100,14.211229
2016-02-09,14.27,14.35,14.26,14.35,74600,14.21322
2016-02-08,14.34,14.35,14.25,14.30,77700,14.163696
2016-02-05,14.24,14.34,14.24,14.34,54100,14.203315
2016-02-04,14.18,14.25,14.18,14.25,68900,14.114173
2016-02-03,14.21,14.21,14.16,14.20,50300,14.064649
2016-02-02,14.14,14.18,14.12,14.18,68700,14.04484
2016-02-01,14.07,14.14,14.06,14.12,66800,13.985412
2016-01-29,14.03,14.09,14.01,14.07,120100,13.935888
2016-01-28,14.01,14.04,13.91,14.04,45400,13.906174
2016-01-27,14.06,14.08,14.00,14.00,41800,13.866556
2016-01-26,14.00,14.04,13.93,14.03,98000,13.896269
2016-01-25,13.92,14.02,13.92,14.01,19600,13.876461
2016-01-22,13.91,14.04,13.90,13.95,23200,13.817032
