Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.47,14.47,14.32,14.37,54100,14.37
2016-03-10,14.48,14.51,14.47,14.49,69300,14.426
2016-03-09,14.47,14.51,14.45,14.45,62200,14.386177
2016-03-08,14.46,14.50,14.43,14.47,65800,14.406089
2016-03-07,14.43,14.45,14.40,14.45,37700,14.386177
2016-03-04,14.40,14.48,14.36,14.40,90700,14.336397
2016-03-03,14.37,14.43,14.31,14.40,105000,14.336397
2016-03-02,14.40,14.40,14.23,14.32,169800,14.256751
2016-03-01,14.40,14.44,14.36,14.41,83200,14.346353
2016-02-29,14.34,14.39,14.33,14.39,33200,14.326442
2016-02-26,14.35,14.37,14.30,14.30,24300,14.23684
2016-02-25,14.45,14.46,14.38,14.39,98200,14.326442
2016-02-24,14.44,14.46,14.42,14.45,34000,14.386177
2016-02-23,14.38,14.44,14.35,14.44,59600,14.376221
2016-02-22,14.34,14.39,14.29,14.39,33800,14.326442
2016-02-19,14.36,14.37,14.33,14.35,24100,14.286619
2016-02-18,14.34,14.36,14.27,14.32,57900,14.256751
2016-02-17,14.29,14.33,14.29,14.30,22000,14.23684
2016-02-16,14.40,14.40,14.28,14.34,83500,14.276663
2016-02-12,14.46,14.48,14.34,14.40,57000,14.336397
2016-02-11,14.50,14.50,14.40,14.44,65900,14.376221
2016-02-10,14.46,14.51,14.42,14.42,66300,14.356309
2016-02-09,14.49,14.54,14.46,14.47,76900,14.342371
2016-02-08,14.55,14.55,14.44,14.48,66800,14.352283
2016-02-05,14.45,14.48,14.40,14.45,60800,14.322547
2016-02-04,14.39,14.43,14.36,14.40,24900,14.272988
2016-02-03,14.35,14.44,14.32,14.39,84800,14.263077
2016-02-02,14.30,14.38,14.30,14.31,64600,14.183783
2016-02-01,14.24,14.35,14.24,14.29,105700,14.163959
2016-01-29,14.15,14.23,14.15,14.20,35900,14.074752
2016-01-28,14.13,14.16,14.06,14.12,41400,13.995458
2016-01-27,14.06,14.17,14.06,14.08,57300,13.955811
2016-01-26,14.02,14.13,14.01,14.13,79900,14.00537
2016-01-25,14.15,14.15,14.02,14.06,90000,13.935988
