Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.51,14.56,14.48,14.52,70100,14.52
2016-03-10,14.63,14.63,14.59,14.63,104800,14.561
2016-03-09,14.64,14.65,14.58,14.58,97800,14.511236
2016-03-08,14.56,14.65,14.56,14.63,103200,14.561
2016-03-07,14.56,14.56,14.51,14.55,54700,14.481377
2016-03-04,14.64,14.64,14.56,14.56,176500,14.491331
2016-03-03,14.61,14.62,14.57,14.62,102500,14.551047
2016-03-02,14.61,14.61,14.55,14.60,115800,14.531142
2016-03-01,14.65,14.65,14.58,14.62,101000,14.551047
2016-02-29,14.60,14.60,14.56,14.60,64600,14.531142
2016-02-26,14.62,14.62,14.54,14.54,89200,14.471424
2016-02-25,14.64,14.66,14.60,14.63,72000,14.561
2016-02-24,14.55,14.63,14.54,14.63,82700,14.561
2016-02-23,14.47,14.56,14.47,14.55,63300,14.481377
2016-02-22,14.55,14.56,14.45,14.52,92800,14.451519
2016-02-19,14.52,14.52,14.46,14.46,129300,14.391802
2016-02-18,14.43,14.51,14.39,14.51,210900,14.441566
2016-02-17,14.43,14.43,14.36,14.38,133500,14.312179
2016-02-16,14.50,14.50,14.36,14.40,221900,14.332084
2016-02-12,14.65,14.65,14.44,14.50,126700,14.431613
2016-02-11,14.62,14.63,14.55,14.61,109500,14.541094
2016-02-10,14.60,14.62,14.57,14.60,66400,14.531142
2016-02-09,14.57,14.63,14.54,14.63,100800,14.492325
2016-02-08,14.56,14.59,14.46,14.55,173800,14.413078
2016-02-05,14.52,14.55,14.50,14.55,81500,14.413078
2016-02-04,14.54,14.54,14.49,14.51,78200,14.373455
2016-02-03,14.52,14.55,14.50,14.51,134800,14.373455
2016-02-02,14.48,14.52,14.47,14.51,89400,14.373455
2016-02-01,14.45,14.45,14.42,14.45,81200,14.314019
2016-01-29,14.38,14.42,14.36,14.40,59400,14.264489
2016-01-28,14.30,14.34,14.25,14.33,126600,14.195148
2016-01-27,14.32,14.34,14.26,14.27,56000,14.135713
2016-01-26,14.28,14.41,14.17,14.28,191000,14.145619
2016-01-25,14.28,14.30,14.20,14.23,80300,14.096089
2016-01-22,14.19,14.27,14.16,14.24,68200,14.105995
