Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.90,12.93,12.87,12.87,13300,12.87
2016-03-10,12.96,12.96,12.90,12.95,19700,12.893
2016-03-09,12.84,12.96,12.84,12.92,15500,12.863132
2016-03-08,12.95,12.96,12.85,12.86,33000,12.803396
2016-03-07,12.89,12.94,12.85,12.90,26200,12.843219
2016-03-04,12.96,12.97,12.87,12.87,51900,12.813352
2016-03-03,12.99,12.99,12.94,12.99,4400,12.932823
2016-03-02,12.98,12.98,12.92,12.96,28100,12.902956
2016-03-01,12.99,13.00,12.92,12.98,26500,12.922867
2016-02-29,12.87,12.95,12.87,12.93,13300,12.873088
2016-02-26,12.91,12.92,12.84,12.84,28100,12.783484
2016-02-25,12.99,12.99,12.89,12.91,27700,12.853176
2016-02-24,12.91,12.97,12.90,12.97,23400,12.912912
2016-02-23,12.78,12.90,12.78,12.90,30400,12.843219
2016-02-22,12.89,12.90,12.80,12.80,17300,12.74366
2016-02-19,12.82,12.88,12.82,12.85,8600,12.79344
2016-02-18,12.85,12.87,12.82,12.87,28500,12.813352
2016-02-17,12.82,12.85,12.79,12.85,20900,12.79344
2016-02-16,12.83,12.85,12.80,12.84,16800,12.783484
2016-02-12,12.85,12.90,12.78,12.83,54300,12.773528
2016-02-11,13.02,13.02,12.83,12.87,36600,12.813352
2016-02-10,12.90,12.98,12.89,12.93,35300,12.873088
2016-02-09,12.92,12.95,12.89,12.89,51900,12.776515
2016-02-08,12.89,13.02,12.88,12.96,21600,12.845898
2016-02-05,12.88,12.93,12.86,12.89,23700,12.776515
2016-02-04,12.82,12.99,12.82,12.87,50800,12.756691
2016-02-03,12.88,12.95,12.88,12.90,19000,12.786426
2016-02-02,12.93,12.95,12.89,12.90,15100,12.786426
2016-02-01,12.86,12.86,12.79,12.86,11800,12.746778
2016-01-29,12.77,12.84,12.74,12.83,14600,12.717043
2016-01-28,12.70,12.76,12.70,12.76,10500,12.647659
2016-01-27,12.67,12.70,12.63,12.70,15500,12.588187
2016-01-26,12.51,12.69,12.51,12.64,49000,12.528716
2016-01-25,12.60,12.62,12.53,12.55,55100,12.439508
2016-01-22,12.53,12.63,12.53,12.60,24800,12.489068
2016-01-21,12.58,12.60,12.55,12.56,21700,12.44942
2016-01-20,12.65,12.67,12.50,12.56,33800,12.44942
2016-01-19,12.70,12.70,12.67,12.67,22800,12.558452
2016-01-15,12.66,12.69,12.60,12.60,48200,12.489068
2016-01-14,12.71,12.71,12.61,12.61,46500,12.498979
2016-01-13,12.73,12.73,12.65,12.66,6200,12.548539
