Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.15,14.16,14.04,14.04,15500,14.04
2016-03-10,14.15,14.17,14.11,14.13,9500,14.068
2016-03-09,14.14,14.17,14.11,14.14,12500,14.077956
2016-03-08,14.09,14.12,14.08,14.10,21100,14.038132
2016-03-07,14.09,14.09,14.01,14.07,70600,14.008263
2016-03-04,14.08,14.10,14.03,14.08,32300,14.018219
2016-03-03,14.03,14.11,14.01,14.07,28800,14.008263
2016-03-02,14.06,14.07,13.98,13.98,29900,13.918657
2016-03-01,14.09,14.09,14.01,14.05,51200,13.988351
2016-02-29,13.94,14.01,13.92,14.01,19700,13.948526
2016-02-26,13.94,13.99,13.91,13.91,20500,13.848965
2016-02-25,14.01,14.08,14.00,14.04,41400,13.978394
2016-02-24,14.00,14.02,13.91,14.02,70500,13.958483
2016-02-23,13.85,13.91,13.81,13.91,27700,13.848965
2016-02-22,13.84,13.87,13.77,13.82,43000,13.75936
2016-02-19,13.80,13.83,13.77,13.80,64000,13.739448
2016-02-18,13.87,13.89,13.81,13.89,29000,13.829053
2016-02-17,13.87,13.87,13.75,13.77,26400,13.70958
2016-02-16,13.82,13.91,13.76,13.76,53600,13.699623
2016-02-12,13.97,14.01,13.85,13.86,47000,13.799184
2016-02-11,14.07,14.07,13.95,13.95,46200,13.888789
2016-02-10,14.06,14.06,14.00,14.02,12200,13.958483
2016-02-09,14.09,14.10,14.02,14.10,20300,13.976404
2016-02-08,14.02,14.07,13.94,14.06,52100,13.936755
2016-02-05,13.94,14.01,13.93,14.01,26000,13.887193
2016-02-04,13.97,13.98,13.90,13.93,38000,13.807894
2016-02-03,13.93,13.98,13.93,13.97,25400,13.847543
2016-02-02,13.89,13.98,13.86,13.93,31900,13.807894
2016-02-01,13.78,13.85,13.76,13.84,43200,13.718683
2016-01-29,13.76,13.82,13.71,13.72,45100,13.599735
2016-01-28,13.63,13.74,13.63,13.74,47800,13.619559
2016-01-27,13.68,13.73,13.62,13.62,31100,13.500611
2016-01-26,13.62,13.68,13.59,13.62,39400,13.500611
2016-01-25,13.63,13.70,13.61,13.61,16400,13.490699
2016-01-22,13.60,13.69,13.56,13.61,31700,13.490699
2016-01-21,13.52,13.57,13.46,13.55,20700,13.431225
2016-01-20,13.65,13.65,13.45,13.49,31900,13.371751
2016-01-19,13.61,13.65,13.60,13.60,24600,13.480787
2016-01-15,13.68,13.72,13.60,13.63,54700,13.510524
2016-01-14,13.71,13.71,13.60,13.64,36500,13.520436
2016-01-13,13.76,13.77,13.65,13.69,35400,13.569997
2016-01-12,13.76,13.78,13.73,13.75,32500,13.568015
2016-01-11,13.81,13.85,13.70,13.72,25000,13.538412
2016-01-08,13.86,13.90,13.80,13.80,42800,13.617353
2016-01-07,13.88,13.89,13.80,13.85,14600,13.666692
2016-01-06,13.86,13.87,13.79,13.84,39900,13.656824
2016-01-05,13.77,13.78,13.67,13.78,104200,13.597618
2016-01-04,13.73,13.73,13.64,13.71,27100,13.528544
2015-12-31,13.73,13.74,13.64,13.69,88900,13.508809
2015-12-30,13.55,13.63,13.55,13.63,54000,13.449603
2015-12-29,13.54,13.62,13.53,13.59,47800,13.410133
2015-12-28,13.55,13.62,13.54,13.58,26100,13.400265
2015-12-24,13.54,13.56,13.48,13.55,19600,13.370662
2015-12-23,13.48,13.55,13.41,13.51,57900,13.331192
2015-12-22,13.47,13.50,13.39,13.49,55700,13.311456
2015-12-21,13.48,13.50,13.41,13.48,45800,13.301588
2015-12-18,13.44,13.45,13.37,13.43,33100,13.252251
2015-12-17,13.27,13.39,13.27,13.36,42600,13.183176
2015-12-16,13.15,13.28,13.15,13.27,19700,13.094368
2015-12-15,13.11,13.17,13.07,13.14,70200,12.966089
2015-12-14,13.23,13.28,13.07,13.08,53600,12.906883
2015-12-11,13.28,13.35,13.21,13.24,35900,13.064765
2015-12-10,13.28,13.34,13.27,13.31,47300,13.07266
2015-12-09,13.36,13.40,13.26,13.30,46800,13.062838
2015-12-08,13.27,13.33,13.26,13.33,43800,13.092303
2015-12-07,13.31,13.31,13.24,13.26,39300,13.023551
2015-12-04,13.21,13.33,13.20,13.31,45000,13.07266
2015-12-03,13.34,13.36,13.19,13.22,38800,12.984265
2015-12-02,13.30,13.35,13.30,13.32,53400,13.082481
2015-12-01,13.33,13.34,13.30,13.31,29200,13.07266
2015-11-30,13.32,13.32,13.23,13.26,58100,13.023551
2015-11-27,13.28,13.35,13.26,13.27,17400,13.033373
2015-11-25,13.26,13.31,13.25,13.26,5000,13.023551
2015-11-24,13.28,13.33,13.25,13.25,18400,13.013729
2015-11-23,13.30,13.33,13.26,13.27,30000,13.033373
2015-11-20,13.21,13.28,13.21,13.23,27600,12.994086
2015-11-19,13.22,13.26,13.21,13.23,15600,12.994086
2015-11-18,13.15,13.21,13.15,13.20,21300,12.964621
2015-11-17,13.26,13.26,13.14,13.16,32600,12.917477
2015-11-16,13.26,13.29,13.13,13.18,69900,12.937109
2015-11-13,13.21,13.29,13.18,13.28,18600,13.035265
2015-11-12,13.22,13.25,13.17,13.22,19700,12.976371
2015-11-11,13.18,13.21,13.15,13.16,13600,12.917477
2015-11-10,13.19,13.24,13.15,13.20,20800,12.95674
2015-11-09,13.26,13.32,13.14,13.28,71800,12.972445
2015-11-06,13.38,13.40,13.25,13.30,11100,12.991982
2015-11-05,13.49,13.52,13.44,13.46,30300,13.148276
2015-11-04,13.45,13.52,13.44,13.47,12800,13.158045
2015-11-03,13.51,13.51,13.45,13.49,30200,13.177581
2015-11-02,13.53,13.53,13.42,13.51,20100,13.197119
2015-10-30,13.34,13.43,13.34,13.43,12300,13.118971
2015-10-29,13.33,13.38,13.31,13.35,13100,13.040824
2015-10-28,13.34,13.43,13.32,13.33,30600,13.021287
2015-10-27,13.31,13.37,13.31,13.34,18100,13.031056
2015-10-26,13.30,13.35,13.30,13.33,11100,13.021287
2015-10-23,13.28,13.33,13.28,13.31,8700,13.001751
2015-10-22,13.24,13.32,13.24,13.29,27400,12.982213
2015-10-21,13.21,13.25,13.15,13.23,113100,12.923602
2015-10-20,13.21,13.24,13.20,13.22,60400,12.913835
2015-10-19,13.31,13.33,13.21,13.24,42800,12.933371
2015-10-16,13.22,13.27,13.21,13.24,82400,12.933371
2015-10-15,13.26,13.27,13.21,13.22,47900,12.913835
2015-10-14,13.26,13.29,13.25,13.27,17500,12.962677
2015-10-13,13.25,13.27,13.20,13.25,35500,12.94314
2015-10-12,13.30,13.34,13.29,13.30,14400,12.929464
2015-10-09,13.23,13.31,13.22,13.30,32500,12.929464
2015-10-08,13.28,13.29,13.23,13.29,23900,12.919742
2015-10-07,13.32,13.32,13.20,13.23,31600,12.861414
2015-10-06,13.21,13.29,13.21,13.29,24400,12.919742
2015-10-05,13.25,13.27,13.20,13.22,16700,12.851693
2015-10-02,13.24,13.27,13.22,13.23,10100,12.861414
2015-10-01,13.24,13.26,13.18,13.20,38700,12.83225
2015-09-30,13.15,13.19,13.14,13.19,19800,12.822528
2015-09-29,13.13,13.18,13.13,13.17,11500,12.803086
2015-09-28,13.18,13.25,13.12,13.13,53100,12.7642
2015-09-25,13.18,13.21,13.17,13.17,19500,12.803086
2015-09-24,13.20,13.23,13.19,13.20,39600,12.83225
2015-09-23,13.24,13.24,13.17,13.19,61900,12.822528
2015-09-22,13.17,13.25,13.17,13.22,28600,12.851693
2015-09-21,13.20,13.25,13.15,13.20,19600,12.83225
2015-09-18,13.15,13.30,13.15,13.21,16400,12.841971
2015-09-17,13.06,13.28,13.06,13.21,78200,12.841971
2015-09-16,13.08,13.12,13.06,13.06,17700,12.696151
2015-09-15,13.10,13.11,13.05,13.11,24100,12.744757
2015-09-14,13.10,13.15,13.08,13.10,39900,12.735036
2015-09-11,13.11,13.16,13.06,13.11,26800,12.744757
2015-09-10,13.16,13.17,13.14,13.14,13500,12.711705
2015-09-09,13.14,13.21,13.13,13.15,35700,12.721378
