Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.39,15.40,15.34,15.36,32500,15.36
2016-03-10,15.42,15.46,15.42,15.43,25400,15.363
2016-03-09,15.42,15.45,15.38,15.39,25700,15.323174
2016-03-08,15.36,15.43,15.36,15.41,12600,15.343087
2016-03-07,15.32,15.38,15.32,15.38,23300,15.313217
2016-03-04,15.39,15.43,15.34,15.35,41200,15.283348
2016-03-03,15.42,15.42,15.39,15.42,10400,15.353043
2016-03-02,15.43,15.44,15.39,15.39,33500,15.323174
2016-03-01,15.44,15.44,15.40,15.43,43400,15.363
2016-02-29,15.34,15.44,15.34,15.44,57300,15.372956
2016-02-26,15.42,15.43,15.32,15.33,30600,15.263434
2016-02-25,15.44,15.50,15.38,15.38,28300,15.313217
2016-02-24,15.37,15.49,15.37,15.43,39400,15.363
2016-02-23,15.24,15.41,15.24,15.40,38200,15.33313
2016-02-22,15.37,15.37,15.29,15.29,20700,15.223608
2016-02-19,15.39,15.42,15.32,15.35,56500,15.283348
2016-02-18,15.36,15.42,15.33,15.39,24800,15.323174
2016-02-17,15.44,15.46,15.36,15.36,34400,15.293303
2016-02-16,15.53,15.54,15.45,15.45,29800,15.382913
2016-02-12,15.72,15.72,15.51,15.52,17200,15.45261
2016-02-11,15.69,15.74,15.62,15.62,25100,15.552175
2016-02-10,15.70,15.70,15.64,15.64,9400,15.572088
2016-02-09,15.68,15.73,15.67,15.70,12300,15.565118
2016-02-08,15.73,15.75,15.65,15.69,36200,15.555204
2016-02-05,15.67,15.70,15.64,15.68,17700,15.545291
2016-02-04,15.59,15.66,15.55,15.66,20300,15.525462
2016-02-03,15.50,15.65,15.47,15.52,34300,15.386665
2016-02-02,15.60,15.61,15.50,15.50,25800,15.366837
2016-02-01,15.56,15.66,15.45,15.51,30400,15.376751
2016-01-29,15.52,15.52,15.43,15.49,22500,15.356922
2016-01-28,15.28,15.44,15.28,15.44,19100,15.307352
2016-01-27,15.37,15.42,15.26,15.31,31000,15.17847
2016-01-26,15.20,15.36,15.20,15.34,16800,15.208212
2016-01-25,15.28,15.46,15.18,15.18,16900,15.049586
2016-01-22,15.15,15.59,15.15,15.23,18900,15.099156
2016-01-21,15.07,15.15,15.05,15.14,25700,15.00993
2016-01-20,15.21,15.25,14.93,15.01,52100,14.881047
2016-01-19,15.36,15.36,15.18,15.18,34900,15.049586
2016-01-15,15.23,15.28,15.23,15.28,12800,15.148727
2016-01-14,15.21,15.25,15.17,15.25,22600,15.118985
2016-01-13,15.33,15.34,15.16,15.17,51300,15.039672
2016-01-12,15.47,15.54,15.39,15.40,33500,15.201271
2016-01-11,15.60,15.60,15.44,15.50,29400,15.299981
2016-01-08,15.45,15.58,15.40,15.53,19100,15.329593
2016-01-07,15.36,15.49,15.36,15.43,21300,15.230884
2016-01-06,15.32,15.39,15.31,15.36,13300,15.161787
2016-01-05,15.33,15.35,15.30,15.31,15500,15.112433
2016-01-04,15.22,15.30,15.21,15.29,19900,15.092691
2015-12-31,15.15,15.29,15.14,15.26,44800,15.063078
2015-12-30,15.09,15.24,15.09,15.19,29600,14.993981
2015-12-29,15.15,15.15,15.09,15.12,22600,14.924884
2015-12-28,15.18,15.24,15.10,15.11,59300,14.915013
2015-12-24,15.17,15.19,15.14,15.19,22700,14.993981
2015-12-23,15.19,15.22,15.11,15.17,25600,14.974239
2015-12-22,15.24,15.24,15.09,15.15,70900,14.954497
2015-12-21,15.01,15.25,15.01,15.23,34100,15.033465
2015-12-18,14.99,15.05,14.99,15.03,18500,14.836046
2015-12-17,14.86,15.02,14.81,14.97,55900,14.77682
2015-12-16,14.82,14.86,14.75,14.86,29300,14.668239
2015-12-15,14.73,14.92,14.73,14.83,32800,14.638627
2015-12-14,14.76,14.85,14.68,14.71,25500,14.520175
2015-12-11,14.81,14.86,14.78,14.82,30800,14.628756
2015-12-10,14.78,14.86,14.78,14.82,28200,14.562621
2015-12-09,14.83,14.86,14.78,14.78,28700,14.523315
2015-12-08,14.74,14.84,14.74,14.83,33100,14.572447
2015-12-07,14.91,14.91,14.75,14.78,33300,14.523315
2015-12-04,14.73,14.80,14.73,14.79,9000,14.533142
2015-12-03,14.82,14.82,14.71,14.74,24800,14.48401
2015-12-02,14.92,14.92,14.76,14.82,33100,14.562621
2015-12-01,14.82,14.87,14.77,14.86,29200,14.601926
2015-11-30,14.79,14.81,14.74,14.80,18500,14.542969
2015-11-27,14.76,14.77,14.74,14.74,1600,14.48401
2015-11-25,14.74,14.79,14.73,14.77,5600,14.51349
2015-11-24,14.73,14.82,14.65,14.71,30900,14.454531
2015-11-23,14.70,14.80,14.70,14.76,20500,14.503663
2015-11-20,14.65,14.70,14.65,14.68,19100,14.425053
2015-11-19,14.63,14.73,14.63,14.70,44200,14.444705
2015-11-18,14.61,14.69,14.61,14.67,17100,14.415226
2015-11-17,14.62,14.65,14.61,14.63,11600,14.37199
2015-11-16,14.65,14.72,14.60,14.66,31600,14.40146
2015-11-13,14.64,14.70,14.64,14.64,16100,14.381814
2015-11-12,14.65,14.71,14.58,14.64,29000,14.381814
2015-11-11,14.66,14.71,14.66,14.70,2800,14.440755
2015-11-10,14.67,14.77,14.66,14.71,36300,14.450579
