Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.18,10.21,10.16,10.18,243500,10.18
2016-03-10,10.18,10.24,10.18,10.23,169300,10.197
2016-03-09,10.21,10.24,10.19,10.19,200700,10.157129
2016-03-08,10.20,10.24,10.19,10.21,221700,10.177065
2016-03-07,10.18,10.20,10.16,10.19,302900,10.157129
2016-03-04,10.28,10.32,10.17,10.17,401700,10.137194
2016-03-03,10.27,10.36,10.25,10.25,342100,10.216936
2016-03-02,10.28,10.32,10.26,10.29,255500,10.256806
2016-03-01,10.31,10.33,10.28,10.30,290900,10.266774
2016-02-29,10.25,10.31,10.25,10.31,247900,10.276742
2016-02-26,10.26,10.27,10.22,10.25,314500,10.216936
2016-02-25,10.32,10.33,10.25,10.26,300800,10.226903
2016-02-24,10.26,10.31,10.26,10.31,188000,10.276742
2016-02-23,10.22,10.30,10.20,10.27,319800,10.236871
2016-02-22,10.22,10.28,10.19,10.20,340600,10.167097
2016-02-19,10.22,10.25,10.19,10.25,143700,10.216936
2016-02-18,10.16,10.24,10.16,10.21,181200,10.177065
2016-02-17,10.14,10.19,10.14,10.17,249100,10.137194
2016-02-16,10.20,10.24,10.14,10.14,342600,10.107291
2016-02-12,10.34,10.38,10.23,10.25,265400,10.216936
2016-02-11,10.36,10.39,10.31,10.34,276500,10.306645
2016-02-10,10.34,10.40,10.33,10.37,304300,10.336548
2016-02-09,10.29,10.40,10.28,10.40,450400,10.333558
2016-02-08,10.31,10.34,10.28,10.33,271500,10.264005
2016-02-05,10.39,10.40,10.33,10.34,287500,10.273941
2016-02-04,10.29,10.36,10.27,10.36,287800,10.293813
2016-02-03,10.30,10.33,10.28,10.29,241200,10.224261
2016-02-02,10.28,10.32,10.27,10.32,198400,10.254069
2016-02-01,10.28,10.28,10.23,10.27,335600,10.204389
2016-01-29,10.27,10.29,10.25,10.28,292500,10.214324
2016-01-28,10.25,10.28,10.22,10.28,310100,10.214324
2016-01-27,10.20,10.28,10.20,10.22,313700,10.154708
2016-01-26,10.17,10.20,10.15,10.18,220500,10.114964
2016-01-25,10.22,10.25,10.17,10.19,183300,10.124899
2016-01-22,10.08,10.30,10.07,10.20,374200,10.134835
2016-01-21,10.04,10.12,10.03,10.11,284300,10.04541
2016-01-20,10.10,10.14,9.96,10.04,459900,9.975858
2016-01-19,10.13,10.15,10.10,10.11,285500,10.04541
2016-01-15,10.08,10.20,10.08,10.09,443500,10.025539
2016-01-14,10.06,10.16,10.05,10.11,366000,10.04541
2016-01-13,10.16,10.17,10.11,10.11,334600,10.04541
2016-01-12,10.16,10.20,10.14,10.18,292600,10.082175
2016-01-11,10.25,10.26,10.17,10.19,322800,10.092078
2016-01-08,10.25,10.29,10.20,10.25,308000,10.151502
2016-01-07,10.21,10.28,10.21,10.25,343000,10.151502
2016-01-06,10.21,10.30,10.20,10.25,451400,10.151502
2016-01-05,10.17,10.23,10.17,10.20,302500,10.101982
2016-01-04,10.16,10.21,10.16,10.18,290200,10.082175
2015-12-31,10.23,10.27,10.18,10.18,343800,10.082175
