Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.76,17.889999,17.700001,17.860001,38200,17.860001
2016-03-10,17.82,17.85,17.700001,17.809999,14000,17.744999
2016-03-09,17.790001,17.860001,17.690001,17.75,48700,17.685219
2016-03-08,17.74,17.90,17.65,17.860001,66600,17.794818
2016-03-07,17.59,17.719999,17.50,17.67,74700,17.605511
2016-03-04,17.530001,17.629999,17.49,17.559999,43400,17.495912
2016-03-03,17.530001,17.620001,17.530001,17.559999,27100,17.495912
2016-03-02,17.83,17.83,17.57,17.58,61800,17.515839
2016-03-01,17.85,17.860001,17.709999,17.790001,34100,17.725074
2016-02-29,17.700001,17.870001,17.67,17.719999,86600,17.655327
2016-02-26,17.790001,17.84,17.700001,17.700001,28600,17.635402
2016-02-25,17.809999,17.90,17.809999,17.83,33100,17.764927
2016-02-24,17.809999,17.85,17.68,17.85,44200,17.784854
2016-02-23,17.530001,17.84,17.530001,17.780001,33900,17.71511
2016-02-22,17.540001,17.65,17.49,17.57,37300,17.505875
2016-02-19,17.469999,17.67,17.459999,17.49,27400,17.426167
2016-02-18,17.60,17.629999,17.49,17.549999,42100,17.485948
2016-02-17,17.530001,17.74,17.530001,17.59,65900,17.525803
2016-02-16,17.75,17.860001,17.49,17.59,36900,17.525803
2016-02-12,17.870001,17.889999,17.709999,17.75,25400,17.685219
2016-02-11,17.879999,17.879999,17.84,17.84,16100,17.77489
2016-02-10,17.77,17.870001,17.719999,17.84,36900,17.77489
2016-02-09,17.889999,17.889999,17.74,17.75,17000,17.620456
2016-02-08,17.860001,17.879999,17.799999,17.879999,17800,17.749507
2016-02-05,17.83,17.860001,17.799999,17.83,18400,17.699872
2016-02-04,17.84,17.84,17.74,17.82,26100,17.689945
2016-02-03,17.82,17.82,17.76,17.799999,18100,17.670091
2016-02-02,17.549999,17.83,17.549999,17.82,37500,17.689945
2016-02-01,17.549999,17.799999,17.549999,17.66,31900,17.531113
2016-01-29,17.60,17.700001,17.549999,17.66,54200,17.531113
2016-01-28,17.469999,17.52,17.41,17.51,25600,17.382208
2016-01-27,17.559999,17.559999,17.34,17.41,49900,17.282938
2016-01-26,17.389999,17.549999,17.35,17.540001,24700,17.41199
2016-01-25,17.42,17.559999,17.370001,17.370001,30600,17.243231
2016-01-22,17.52,17.57,17.440001,17.49,59600,17.362354
2016-01-21,17.59,17.610001,17.440001,17.51,21000,17.382208
2016-01-20,17.73,17.73,17.459999,17.540001,117000,17.41199
2016-01-19,17.68,17.77,17.59,17.59,46900,17.461624
2016-01-15,17.629999,17.75,17.58,17.620001,35600,17.491406
2016-01-14,17.60,17.73,17.559999,17.620001,40400,17.491406
2016-01-13,17.73,17.73,17.610001,17.620001,17000,17.491406
2016-01-12,17.84,17.85,17.76,17.790001,25600,17.59564
2016-01-11,17.889999,17.889999,17.790001,17.790001,28800,17.59564
2016-01-08,17.83,17.879999,17.83,17.85,31000,17.654984
2016-01-07,17.889999,17.90,17.85,17.879999,43700,17.684655
2016-01-06,17.91,17.92,17.809999,17.85,43200,17.654984
2016-01-05,17.860001,17.870001,17.799999,17.809999,27200,17.61542
2016-01-04,17.93,17.93,17.74,17.74,22000,17.546185
2015-12-31,17.940001,17.969999,17.83,17.860001,23000,17.664875
2015-12-30,18.120001,18.120001,17.91,17.98,69800,17.783563
2015-12-29,18.469999,18.469999,18.15,18.15,33100,17.951706
2015-12-28,17.83,18.76,17.83,18.549999,39300,18.347335
2015-12-24,17.870001,17.870001,17.60,17.77,14900,17.575858
2015-12-23,17.629999,17.870001,17.629999,17.77,23400,17.575858
2015-12-22,17.540001,17.73,17.43,17.709999,45700,17.516512
2015-12-21,17.67,17.74,17.43,17.530001,34800,17.33848
2015-12-18,17.58,17.74,17.50,17.559999,45700,17.368151
2015-12-17,17.379999,17.67,17.360001,17.51,24000,17.318698
2015-12-16,17.27,17.50,17.200001,17.440001,44400,17.249463
2015-12-15,16.950001,17.15,16.940001,17.15,27300,16.962631
2015-12-14,17.40,17.40,16.91,16.950001,40600,16.764817
2015-12-11,17.24,17.52,17.24,17.379999,35300,17.190118
2015-12-10,17.18,17.35,17.139999,17.32,24300,17.051647
2015-12-09,17.42,17.50,17.16,17.18,19400,16.913817
2015-12-08,17.42,17.42,17.25,17.42,28200,17.150098
2015-12-07,17.690001,17.690001,17.299999,17.370001,13600,17.100873
2015-12-04,17.379999,17.66,17.379999,17.639999,17500,17.366689
2015-12-03,17.440001,17.58,17.309999,17.33,22400,17.061492
2015-12-02,17.42,17.450001,17.299999,17.450001,25300,17.179634
2015-12-01,17.309999,17.379999,17.299999,17.34,23100,17.071337
2015-11-30,17.299999,17.299999,17.209999,17.290001,7900,17.022113
2015-11-27,17.25,17.309999,17.200001,17.24,12700,16.972886
2015-11-25,16.870001,17.27,16.870001,17.25,50100,16.982732
2015-11-24,17.040001,17.040001,16.85,16.91,39700,16.648
2015-11-23,17.040001,17.059999,17.01,17.01,29600,16.746451
2015-11-20,17.07,17.07,17.00,17.040001,14200,16.775986
2015-11-19,16.959999,17.07,16.959999,17.030001,8700,16.766141
2015-11-18,17.040001,17.040001,16.959999,17.01,23500,16.746451
2015-11-17,17.030001,17.040001,16.950001,16.99,18000,16.72676
2015-11-16,16.91,17.08,16.889999,17.049999,16300,16.78583
2015-11-13,16.879999,16.950001,16.73,16.91,19000,16.648
2015-11-12,16.709999,16.90,16.690001,16.83,32400,16.569239
2015-11-11,16.73,16.73,16.59,16.709999,27800,16.451098
2015-11-10,16.799999,16.85,16.639999,16.709999,25600,16.451098
2015-11-09,16.889999,16.959999,16.68,16.92,40600,16.593852
2015-11-06,17.08,17.08,16.85,16.959999,28800,16.63308
2015-11-05,17.18,17.190001,17.02,17.110001,53900,16.78019
2015-11-04,17.33,17.33,17.139999,17.15,28400,16.819418
2015-11-03,17.27,17.34,17.24,17.32,33100,16.986141
2015-11-02,17.25,17.32,17.17,17.32,23200,16.986141
2015-10-30,17.15,17.26,17.120001,17.219999,27800,16.888068
2015-10-29,17.219999,17.219999,17.049999,17.15,14200,16.819418
2015-10-28,17.17,17.25,17.129999,17.24,17400,16.907683
2015-10-27,17.09,17.24,17.09,17.129999,16000,16.799803
2015-10-26,17.129999,17.16,17.110001,17.139999,14900,16.80961
2015-10-23,17.129999,17.26,16.98,17.219999,62500,16.888068
2015-10-22,17.07,17.209999,17.07,17.190001,17800,16.858648
2015-10-21,17.110001,17.23,17.09,17.17,28300,16.839033
2015-10-20,16.950001,17.18,16.950001,17.139999,16800,16.80961
2015-10-19,17.129999,17.190001,17.01,17.049999,13300,16.721345
2015-10-16,17.00,17.120001,17.00,17.120001,18600,16.789997
2015-10-15,17.110001,17.110001,17.01,17.030001,14200,16.701732
2015-10-14,17.10,17.10,16.92,17.10,9500,16.770382
2015-10-13,17.209999,17.209999,16.98,17.129999,10500,16.799803
2015-10-12,16.99,17.209999,16.99,17.209999,3400,16.814514
2015-10-09,16.93,17.040001,16.93,17.040001,12700,16.648422
2015-10-08,16.860001,17.00,16.860001,16.940001,36200,16.55072
