Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.40,14.40,14.22,14.32,3800,14.32
2016-03-10,14.27,14.46,14.27,14.46,6700,14.414
2016-03-09,14.14,14.30,14.14,14.26,4700,14.214636
2016-03-08,14.23,14.33,14.16,14.16,2100,14.114954
2016-03-07,14.28,14.28,14.10,14.24,2300,14.194699
2016-03-04,14.11,14.28,14.04,14.22,8300,14.174763
2016-03-03,14.05,14.23,14.05,14.19,7200,14.144858
2016-03-02,14.18,14.18,13.99,14.16,2900,14.114954
2016-03-01,14.10,14.12,14.05,14.12,4300,14.075081
2016-02-29,14.04,14.18,14.04,14.17,3000,14.124922
2016-02-26,14.18,14.18,13.99,14.05,6500,14.005304
2016-02-25,14.19,14.22,14.12,14.12,1300,14.075081
2016-02-24,14.09,14.13,14.09,14.13,1600,14.085049
2016-02-23,14.09,14.15,14.09,14.09,2400,14.045177
2016-02-22,14.01,14.05,13.92,14.04,2400,13.995336
2016-02-19,14.00,14.02,13.89,14.01,17800,13.965431
2016-02-18,14.01,14.01,13.92,13.93,3000,13.885686
2016-02-17,14.02,14.02,13.98,13.98,700,13.935526
2016-02-16,14.04,14.04,14.04,14.04,600,13.995336
2016-02-12,14.05,14.05,13.94,13.94,2200,13.895653
2016-02-11,13.90,13.97,13.90,13.97,6400,13.925559
2016-02-10,14.06,14.06,13.89,13.89,1400,13.845813
2016-02-09,13.89,14.39,13.89,14.02,16400,13.929546
2016-02-08,13.91,13.98,13.91,13.97,1600,13.879869
2016-02-05,14.00,14.00,13.96,13.96,1600,13.869933
2016-02-04,13.94,14.02,13.88,13.97,13800,13.879869
2016-02-03,13.94,14.00,13.89,13.99,5500,13.899739
2016-02-02,13.82,13.90,13.72,13.89,7900,13.800385
2016-02-01,13.78,13.96,13.63,13.79,11600,13.70103
2016-01-29,13.71,13.73,13.67,13.73,4800,13.641417
2016-01-28,13.65,13.68,13.65,13.65,1300,13.561933
2016-01-27,13.43,13.72,13.43,13.58,7400,13.492385
2016-01-26,13.48,13.52,13.43,13.43,3900,13.343353
2016-01-25,13.42,13.58,13.37,13.43,27300,13.343353
2016-01-22,13.56,13.70,13.43,13.48,17500,13.393029
2016-01-21,13.48,13.63,13.41,13.46,6600,13.373159
2016-01-20,13.45,13.60,13.35,13.39,8300,13.303611
2016-01-19,13.69,13.69,13.46,13.51,21700,13.422837
2016-01-15,13.60,13.67,13.60,13.64,3100,13.551998
2016-01-14,13.60,13.71,13.55,13.62,13700,13.532127
2016-01-13,13.69,13.69,13.55,13.55,6000,13.462578
2016-01-12,13.76,13.76,13.60,13.68,10300,13.546036
2016-01-11,13.80,13.80,13.65,13.71,4300,13.575742
2016-01-08,13.84,13.85,13.80,13.80,6400,13.664861
2016-01-07,13.72,13.82,13.72,13.78,8600,13.645057
2016-01-06,13.71,13.75,13.65,13.73,12500,13.595546
2016-01-05,13.66,13.70,13.61,13.62,12200,13.486624
2016-01-04,13.68,13.73,13.57,13.61,11100,13.476721
2015-12-31,13.68,13.72,13.57,13.70,7500,13.56584
2015-12-30,13.47,13.68,13.47,13.68,13500,13.546036
2015-12-29,13.66,13.66,13.56,13.56,6000,13.427212
2015-12-28,13.55,13.66,13.51,13.66,6500,13.526232
2015-12-24,13.59,13.67,13.59,13.65,5800,13.516329
2015-12-23,13.53,13.59,13.50,13.57,10100,13.437113
2015-12-22,13.46,13.58,13.41,13.47,7200,13.338093
2015-12-21,13.41,13.56,13.34,13.48,9400,13.347994
2015-12-18,13.42,13.46,13.35,13.46,5600,13.32819
2015-12-17,13.33,13.39,13.33,13.37,1000,13.239072
2015-12-16,13.48,13.48,13.30,13.30,5600,13.169757
