Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.50,14.50,14.40,14.44,19600,14.44
2016-03-10,14.50,14.50,14.44,14.49,12600,14.444
2016-03-09,14.44,14.52,14.44,14.48,11900,14.434031
2016-03-08,14.44,14.49,14.39,14.47,29900,14.424064
2016-03-07,14.35,14.43,14.34,14.43,18100,14.384191
2016-03-04,14.50,14.50,14.38,14.39,53000,14.344318
2016-03-03,14.47,14.52,14.43,14.45,36800,14.404127
2016-03-02,14.49,14.51,14.41,14.44,38600,14.394158
2016-03-01,14.61,14.64,14.44,14.46,34100,14.414095
2016-02-29,14.54,14.57,14.46,14.52,42900,14.473905
2016-02-26,14.63,14.66,14.51,14.51,34000,14.463937
2016-02-25,14.50,14.66,14.50,14.65,38700,14.603492
2016-02-24,14.51,14.62,14.51,14.59,22700,14.543683
2016-02-23,14.42,14.61,14.33,14.56,50200,14.513778
2016-02-22,14.40,14.48,14.33,14.38,18200,14.334349
2016-02-19,14.30,14.41,14.30,14.41,12400,14.364254
2016-02-18,14.23,14.39,14.23,14.39,13700,14.344318
2016-02-17,14.30,14.35,14.24,14.28,52800,14.234666
2016-02-16,14.46,14.46,14.33,14.35,34600,14.304445
2016-02-12,14.54,14.54,14.27,14.44,50800,14.394158
2016-02-11,14.60,14.60,14.49,14.51,23000,14.463937
2016-02-10,14.57,14.58,14.51,14.57,36400,14.523746
2016-02-09,14.56,14.56,14.52,14.55,22700,14.457956
2016-02-08,14.52,14.56,14.50,14.55,19800,14.457956
2016-02-05,14.48,14.54,14.48,14.54,22400,14.448019
2016-02-04,14.47,14.52,14.47,14.50,18200,14.408272
2016-02-03,14.37,14.49,14.37,14.48,49100,14.388398
2016-02-02,14.34,14.42,14.34,14.41,31300,14.318841
2016-02-01,14.33,14.38,14.29,14.33,25800,14.239347
2016-01-29,14.24,14.32,14.24,14.32,39200,14.22941
2016-01-28,14.23,14.25,14.21,14.23,21400,14.139979
2016-01-27,14.21,14.26,14.18,14.22,34900,14.130043
2016-01-26,14.12,14.22,14.11,14.22,16300,14.130043
2016-01-25,14.20,14.24,14.16,14.16,18400,14.070423
2016-01-22,14.15,14.23,14.14,14.22,30800,14.130043
2016-01-21,14.13,14.15,14.08,14.13,74400,14.040613
2016-01-20,14.25,14.26,14.02,14.11,40000,14.020739
2016-01-19,14.31,14.31,14.23,14.25,17400,14.159853
