Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.04,14.05,13.96,14.00,30600,14.00
2016-03-10,14.06,14.11,13.98,14.02,42400,13.975
2016-03-09,14.02,14.06,14.02,14.03,10400,13.984968
2016-03-08,14.01,14.06,14.01,14.05,20000,14.004904
2016-03-07,13.96,14.07,13.94,13.98,29000,13.935128
2016-03-04,13.96,14.01,13.91,13.92,28100,13.875321
2016-03-03,13.94,13.97,13.93,13.97,9600,13.925161
2016-03-02,14.01,14.01,13.91,13.93,29000,13.885289
2016-03-01,14.08,14.09,13.91,13.97,59300,13.925161
2016-02-29,14.06,14.13,14.00,14.05,35400,14.004904
2016-02-26,14.11,14.14,14.01,14.06,22600,14.014872
2016-02-25,14.14,14.19,14.06,14.11,33300,14.064711
2016-02-24,14.04,14.15,14.04,14.14,18900,14.094615
2016-02-23,13.96,14.09,13.89,14.07,20800,14.024839
2016-02-22,13.91,14.07,13.87,13.91,43500,13.865353
2016-02-19,13.84,13.94,13.84,13.91,25600,13.865353
2016-02-18,13.83,13.91,13.82,13.91,22400,13.865353
2016-02-17,13.82,13.91,13.81,13.87,21600,13.825481
2016-02-16,13.87,13.91,13.81,13.86,46000,13.815513
2016-02-12,13.99,14.05,13.86,13.86,50800,13.815513
2016-02-11,14.06,14.08,13.97,13.98,29100,13.935128
2016-02-10,14.08,14.08,13.96,14.02,23100,13.975
2016-02-09,14.04,14.11,13.97,14.11,25600,14.019856
2016-02-08,14.20,14.24,14.04,14.04,19000,13.950303
2016-02-05,14.23,14.28,14.17,14.18,32700,14.089409
2016-02-04,14.12,14.15,14.05,14.12,17000,14.029792
2016-02-03,14.01,14.18,14.01,14.16,41400,14.069536
2016-02-02,14.00,14.06,13.92,14.05,24700,13.960239
2016-02-01,13.87,13.98,13.81,13.97,36300,13.880751
2016-01-29,13.83,13.93,13.78,13.87,23500,13.781389
2016-01-28,13.74,13.82,13.72,13.81,47700,13.721773
2016-01-27,13.85,13.91,13.72,13.72,28300,13.632348
2016-01-26,13.82,13.84,13.76,13.84,37000,13.751581
2016-01-25,13.80,13.89,13.76,13.76,28700,13.672092
2016-01-22,13.70,13.83,13.70,13.76,39500,13.672092
2016-01-21,13.59,13.74,13.59,13.70,37900,13.612475
2016-01-20,13.74,13.75,13.54,13.59,45900,13.503178
2016-01-19,13.77,13.80,13.74,13.74,31900,13.65222
2016-01-15,13.82,13.88,13.76,13.76,29400,13.672092
2016-01-14,13.77,13.81,13.74,13.81,21500,13.721773
2016-01-13,13.96,13.96,13.72,13.73,38700,13.642283
2016-01-12,13.98,14.01,13.92,14.00,27300,13.865846
2016-01-11,13.97,13.98,13.93,13.98,7100,13.846037
2016-01-08,13.90,13.99,13.85,13.97,19100,13.836133
2016-01-07,13.89,13.94,13.89,13.91,39300,13.776708
2016-01-06,13.90,13.93,13.86,13.89,18900,13.7569
2016-01-05,13.83,13.88,13.79,13.86,15300,13.727187
2016-01-04,13.73,13.86,13.73,13.79,39600,13.657858
2015-12-31,13.77,13.86,13.68,13.68,43900,13.548912
2015-12-30,13.60,13.75,13.60,13.75,12700,13.618241
2015-12-29,13.66,13.72,13.64,13.64,19500,13.509296
2015-12-28,13.63,13.70,13.60,13.65,23000,13.519199
2015-12-24,13.60,13.66,13.59,13.62,6700,13.489487
2015-12-23,13.64,13.66,13.60,13.65,9100,13.519199
2015-12-22,13.68,13.68,13.57,13.59,16900,13.459775
2015-12-21,13.65,13.70,13.61,13.65,23800,13.519199
