Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.70,14.70,14.58,14.58,31900,14.58
2016-03-10,14.78,14.78,14.67,14.71,30900,14.664
2016-03-09,14.72,14.76,14.71,14.75,14600,14.703875
2016-03-08,14.69,14.73,14.68,14.72,13200,14.673969
2016-03-07,14.63,14.68,14.59,14.68,12400,14.634095
2016-03-04,14.70,14.70,14.59,14.60,59100,14.554345
2016-03-03,14.76,14.76,14.66,14.69,28400,14.644063
2016-03-02,14.79,14.79,14.69,14.69,18300,14.644063
2016-03-01,14.83,14.83,14.67,14.76,54400,14.713844
2016-02-29,14.78,14.86,14.75,14.76,19800,14.713844
2016-02-26,14.85,14.85,14.77,14.77,28300,14.723813
2016-02-25,14.94,14.94,14.88,14.88,30600,14.833469
2016-02-24,14.82,14.94,14.79,14.90,25200,14.853406
2016-02-23,14.75,14.87,14.69,14.85,16400,14.803563
2016-02-22,14.76,14.76,14.69,14.71,19800,14.664
2016-02-19,14.66,14.71,14.65,14.71,11200,14.664
2016-02-18,14.57,14.66,14.57,14.66,13600,14.614157
2016-02-17,14.65,14.70,14.63,14.63,16000,14.584251
2016-02-16,14.69,14.72,14.65,14.66,29200,14.614157
2016-02-12,14.85,14.85,14.65,14.69,37300,14.644063
2016-02-11,14.81,14.84,14.76,14.76,16300,14.713844
2016-02-10,14.86,14.86,14.80,14.81,14900,14.763688
2016-02-09,14.83,14.89,14.83,14.89,9700,14.797581
2016-02-08,14.84,14.88,14.79,14.88,20900,14.787643
2016-02-05,14.92,14.92,14.82,14.83,27800,14.737953
2016-02-04,14.75,14.83,14.75,14.81,17000,14.718078
2016-02-03,14.76,14.81,14.72,14.76,26400,14.668388
2016-02-02,14.62,14.74,14.62,14.74,22200,14.648511
2016-02-01,14.61,14.67,14.58,14.60,30700,14.509381
2016-01-29,14.58,14.62,14.58,14.58,9200,14.489505
2016-01-28,14.50,14.58,14.47,14.58,38200,14.489505
2016-01-27,14.54,14.56,14.46,14.47,27100,14.380188
2016-01-26,14.42,14.53,14.42,14.53,24900,14.439815
2016-01-25,14.59,14.59,14.46,14.46,31900,14.37025
2016-01-22,14.46,14.59,14.46,14.56,22900,14.469629
2016-01-21,14.42,14.65,14.35,14.48,74900,14.390125
2016-01-20,14.45,14.48,14.27,14.34,29200,14.250994
2016-01-19,14.50,14.50,14.46,14.47,25100,14.380188
2016-01-15,14.57,14.58,14.43,14.45,64200,14.360311
2016-01-14,14.47,14.57,14.42,14.57,48600,14.479566
2016-01-13,14.64,14.64,14.49,14.50,36800,14.410001
2016-01-12,14.65,14.67,14.64,14.67,9100,14.533232
2016-01-11,14.68,14.72,14.62,14.62,15600,14.483698
2016-01-08,14.65,14.82,14.65,14.73,28100,14.592672
2016-01-07,14.61,14.70,14.61,14.65,17700,14.513418
2016-01-06,14.67,14.71,14.60,14.69,16800,14.553045
2016-01-05,14.60,14.65,14.59,14.64,10200,14.503512
2016-01-04,14.57,14.58,14.54,14.55,32300,14.414351
2015-12-31,14.50,14.61,14.50,14.54,37000,14.404444
2015-12-30,14.48,14.50,14.45,14.49,8400,14.354909
2015-12-29,14.47,14.47,14.41,14.43,8800,14.295469
2015-12-28,14.47,14.49,14.44,14.49,23700,14.354909
2015-12-24,14.46,14.46,14.43,14.45,9300,14.315282
2015-12-23,14.45,14.48,14.39,14.44,8500,14.305375
2015-12-22,14.37,14.41,14.35,14.41,17300,14.275655
2015-12-21,14.44,14.44,14.35,14.40,17100,14.265748
2015-12-18,14.35,14.39,14.34,14.39,7300,14.255842
2015-12-17,14.23,14.37,14.23,14.35,19900,14.216215
2015-12-16,14.17,14.23,14.13,14.22,18100,14.087427
2015-12-15,14.15,14.21,14.13,14.17,23900,14.037893
2015-12-14,14.32,14.33,14.14,14.16,16500,14.027986
2015-12-11,14.24,14.31,14.24,14.27,12600,14.136961
2015-12-10,14.20,14.28,14.20,14.28,28800,14.100306
2015-12-09,14.12,14.20,14.12,14.19,19600,14.011438
2015-12-08,14.05,14.15,14.05,14.15,17800,13.971941
2015-12-07,14.09,14.09,14.01,14.04,17800,13.863326
2015-12-04,14.04,14.08,14.04,14.08,7600,13.902823
2015-12-03,14.10,14.10,14.00,14.00,9000,13.823829
2015-12-02,14.12,14.12,14.11,14.12,26500,13.942319
2015-12-01,14.05,14.12,14.05,14.08,38500,13.902823
2015-11-30,14.10,14.10,14.04,14.04,11300,13.863326
2015-11-27,14.05,14.09,14.02,14.05,5600,13.8732
2015-11-25,14.02,14.07,14.02,14.02,22200,13.843578
2015-11-24,14.12,14.18,14.05,14.06,13100,13.883075
2015-11-23,14.11,14.13,14.06,14.12,11900,13.942319
2015-11-20,14.08,14.10,14.03,14.08,12100,13.902823
2015-11-19,14.11,14.11,14.03,14.05,8400,13.8732
2015-11-18,14.02,14.08,14.02,14.06,12800,13.883075
2015-11-17,14.02,14.04,13.99,14.02,11500,13.843578
