Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.63,14.66,14.58,14.58,65200,14.58
2016-03-10,14.71,14.73,14.69,14.72,29800,14.659
2016-03-09,14.70,14.73,14.68,14.68,30500,14.619166
2016-03-08,14.73,14.75,14.68,14.68,59600,14.619166
2016-03-07,14.68,14.73,14.68,14.72,86900,14.659
2016-03-04,14.68,14.73,14.66,14.66,61700,14.599249
2016-03-03,14.66,14.73,14.65,14.72,126700,14.659
2016-03-02,14.66,14.70,14.61,14.62,69400,14.559414
2016-03-01,14.70,14.70,14.64,14.67,59100,14.609207
2016-02-29,14.62,14.65,14.60,14.65,73300,14.58929
2016-02-26,14.60,14.65,14.59,14.59,101700,14.529539
2016-02-25,14.61,14.67,14.60,14.61,94100,14.549456
2016-02-24,14.59,14.65,14.59,14.61,74300,14.549456
2016-02-23,14.60,14.60,14.57,14.58,57100,14.51958
2016-02-22,14.61,14.63,14.56,14.56,84900,14.499664
2016-02-19,14.51,14.62,14.51,14.56,78800,14.499664
2016-02-18,14.47,14.57,14.47,14.54,91300,14.479746
2016-02-17,14.51,14.52,14.47,14.50,90800,14.439912
2016-02-16,14.54,14.56,14.45,14.52,132600,14.459829
2016-02-12,14.68,14.68,14.52,14.59,68100,14.529539
2016-02-11,14.67,14.69,14.60,14.64,240600,14.579332
2016-02-10,14.63,14.66,14.60,14.65,44300,14.58929
2016-02-09,14.66,14.68,14.60,14.67,71700,14.54846
2016-02-08,14.59,14.62,14.49,14.62,110100,14.498874
2016-02-05,14.52,14.58,14.52,14.57,25000,14.449288
2016-02-04,14.49,14.54,14.49,14.53,32300,14.40962
2016-02-03,14.45,14.53,14.45,14.49,119300,14.369951
2016-02-02,14.46,14.49,14.46,14.47,52400,14.350117
2016-02-01,14.46,14.46,14.38,14.46,56300,14.3402
2016-01-29,14.35,14.41,14.33,14.39,57200,14.27078
2016-01-28,14.35,14.35,14.29,14.35,43700,14.231112
2016-01-27,14.28,14.35,14.28,14.35,36900,14.231112
2016-01-26,14.21,14.32,14.21,14.32,33800,14.20136
2016-01-25,14.31,14.35,14.25,14.25,17900,14.13194
2016-01-22,14.25,14.35,14.25,14.27,39000,14.151775
2016-01-21,14.14,14.28,14.13,14.28,105600,14.161691
2016-01-20,14.22,14.22,14.01,14.12,74400,14.003017
2016-01-19,14.22,14.27,14.16,14.21,61900,14.092271
2016-01-15,14.20,14.32,14.20,14.25,53800,14.13194
2016-01-14,14.25,14.28,14.18,14.26,109300,14.141857
2016-01-13,14.32,14.32,14.24,14.24,88600,14.122022
2016-01-12,14.34,14.39,14.33,14.37,53700,14.19045
2016-01-11,14.40,14.40,14.32,14.33,62200,14.15095
