Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.84,12.85,12.70,12.85,6500,12.85
2016-03-10,12.81,12.81,12.71,12.71,1800,12.71
2016-03-09,12.80,12.85,12.80,12.80,1000,12.80
2016-03-08,12.80,12.89,12.80,12.80,5300,12.80
2016-03-07,12.80,12.87,12.80,12.82,5800,12.82
2016-03-04,12.82,12.82,12.72,12.73,600,12.73
2016-03-03,12.80,12.88,12.80,12.81,2300,12.81
2016-03-02,12.85,12.90,12.78,12.90,2100,12.90
2016-03-01,12.83,12.94,12.82,12.82,6700,12.82
2016-02-29,12.88,12.92,12.80,12.92,11100,12.92
2016-02-26,12.78,12.85,12.78,12.85,4100,12.85
2016-02-25,12.88,12.92,12.86,12.88,1700,12.88
2016-02-24,12.82,12.88,12.79,12.88,6100,12.88
2016-02-23,12.73,12.82,12.73,12.79,2800,12.79
2016-02-22,12.73,12.74,12.73,12.74,500,12.74
2016-02-19,12.77,12.80,12.68,12.73,9100,12.73
2016-02-18,12.72,12.72,12.66,12.67,5900,12.67
2016-02-17,12.77,12.77,12.69,12.77,1600,12.713
2016-02-16,12.79,12.83,12.68,12.72,14200,12.663223
2016-02-12,12.90,12.91,12.75,12.77,7400,12.713
2016-02-11,12.91,12.94,12.86,12.92,4900,12.86233
2016-02-10,12.90,12.92,12.86,12.90,4200,12.842419
2016-02-09,12.94,12.94,12.82,12.89,4000,12.832464
2016-02-08,12.69,12.87,12.69,12.84,4100,12.782687
2016-02-05,12.90,12.90,12.78,12.79,14400,12.73291
2016-02-04,12.65,12.79,12.65,12.79,2900,12.73291
2016-02-03,12.73,12.78,12.70,12.70,14100,12.643312
2016-02-02,12.69,12.74,12.66,12.74,9800,12.683133
2016-02-01,12.65,12.74,12.55,12.65,30900,12.593535
2016-01-29,12.49,12.66,12.47,12.65,23100,12.593535
2016-01-28,12.38,12.48,12.38,12.43,7400,12.374518
2016-01-27,12.45,12.49,12.22,12.38,40700,12.324741
2016-01-26,12.33,12.46,12.25,12.37,18700,12.314785
2016-01-25,12.40,12.40,12.30,12.30,10600,12.245098
2016-01-22,12.17,12.42,12.17,12.40,14200,12.344651
2016-01-21,12.27,12.36,12.15,12.25,7500,12.195321
2016-01-20,12.16,12.34,12.12,12.30,13100,12.245098
2016-01-19,12.50,12.53,12.32,12.34,11900,12.228174
2016-01-15,12.30,12.54,12.30,12.50,13300,12.386724
2016-01-14,12.44,12.45,12.31,12.39,9400,12.277721
2016-01-13,12.45,12.48,12.42,12.42,6200,12.307449
2016-01-12,12.44,12.54,12.40,12.51,6200,12.396633
2016-01-11,12.55,12.66,12.45,12.49,6400,12.376814
2016-01-08,12.55,12.68,12.55,12.60,8900,12.485818
2016-01-07,12.50,12.65,12.46,12.55,6600,12.436271
2016-01-06,12.44,12.63,12.38,12.59,5800,12.475908
2016-01-05,12.49,12.53,12.43,12.53,1600,12.416451
2016-01-04,12.37,12.52,12.37,12.49,5300,12.376814
2015-12-31,12.48,12.64,12.38,12.47,13200,12.356996
2015-12-30,12.45,12.58,12.43,12.58,2700,12.465999
2015-12-29,12.41,12.45,12.37,12.41,5000,12.297539
2015-12-28,12.45,12.50,12.44,12.50,6100,12.386724
2015-12-24,12.35,12.53,12.35,12.53,1800,12.416451
2015-12-23,12.43,12.43,12.38,12.39,1800,12.277721
2015-12-22,12.40,12.56,12.29,12.36,20300,12.247992
2015-12-21,12.37,12.53,12.37,12.41,3200,12.297539
2015-12-18,12.40,12.53,12.40,12.53,600,12.359968
2015-12-17,12.18,12.45,12.18,12.45,7000,12.281054
2015-12-16,12.29,12.30,12.18,12.28,5300,12.113361
2015-12-15,12.21,12.28,12.14,12.26,2000,12.093633
2015-12-14,12.28,12.28,12.15,12.17,3300,12.004854
2015-12-11,12.37,12.37,12.20,12.32,2100,12.152818
2015-12-10,12.21,12.38,12.21,12.33,4200,12.162682
2015-12-09,12.17,12.32,12.17,12.27,4800,12.103497
2015-12-08,12.25,12.30,12.18,12.19,1900,12.024582
2015-12-07,12.36,12.36,12.22,12.22,9300,12.054175
2015-12-04,12.19,12.26,12.16,12.26,500,12.093633
2015-12-03,12.26,12.26,12.17,12.17,1500,12.004854
2015-12-02,12.17,12.32,12.17,12.28,7100,12.113361
2015-12-01,12.29,12.29,11.48,12.17,28600,12.004854
2015-11-30,12.23,12.24,12.18,12.23,2900,12.064039
2015-11-27,12.16,12.22,12.16,12.17,3100,12.004854
