Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.69,15.70,15.62,15.62,600,15.62
2016-03-10,15.35,15.69,15.35,15.68,1400,15.627
2016-03-09,15.47,15.69,15.47,15.69,600,15.636966
2016-03-08,15.42,15.50,15.37,15.50,4500,15.447608
2016-03-07,15.35,15.35,15.35,15.35,200,15.298116
2016-03-04,15.70,15.70,15.38,15.50,5300,15.447608
2016-03-03,15.37,15.70,15.37,15.70,3700,15.646932
2016-03-02,15.36,15.56,15.35,15.56,10500,15.507406
2016-03-01,15.50,15.50,15.43,15.45,2900,15.397777
2016-02-29,15.70,15.70,15.60,15.60,3400,15.547271
2016-02-26,15.69,15.69,15.49,15.63,5400,15.577169
2016-02-25,15.45,15.70,15.32,15.70,8100,15.646932
2016-02-24,15.47,15.47,15.30,15.30,4800,15.248284
2016-02-23,15.42,15.42,15.24,15.36,3800,15.308081
2016-02-22,15.23,15.36,15.14,15.36,3000,15.308081
2016-02-19,15.47,15.49,15.01,15.49,7900,15.437642
2016-02-18,15.45,15.70,15.45,15.65,3200,15.597101
2016-02-17,15.60,15.64,15.53,15.53,2000,15.477506
2016-02-16,15.57,15.57,15.50,15.53,1300,15.477506
2016-02-12,15.69,15.69,15.45,15.45,300,15.397777
2016-02-11,15.45,15.69,15.45,15.69,1600,15.636966
2016-02-10,15.48,15.67,15.48,15.67,600,15.617034
2016-02-09,15.69,15.69,15.41,15.50,5400,15.394788
2016-02-08,15.38,15.57,15.25,15.57,3200,15.464312
2016-02-05,15.62,15.62,15.61,15.62,800,15.513973
2016-02-04,15.67,15.70,15.30,15.70,6600,15.59343
2016-02-03,15.30,15.69,15.26,15.69,3900,15.583497
2016-02-02,15.75,15.75,15.27,15.68,4600,15.573566
2016-02-01,15.95,15.95,15.60,15.68,7000,15.573566
2016-01-29,15.45,15.45,15.45,15.45,200,15.345127
2016-01-28,15.45,15.49,15.30,15.45,18800,15.345127
2016-01-27,15.15,15.31,15.01,15.31,12700,15.206078
2016-01-26,15.15,15.15,14.97,15.05,1900,14.947842
2016-01-25,14.95,15.11,14.94,15.06,8000,14.957775
2016-01-22,15.15,15.15,14.88,14.95,14100,14.848521
2016-01-21,15.15,15.15,14.84,15.05,3500,14.947842
2016-01-20,14.84,15.30,14.84,15.15,11400,15.047163
2016-01-19,15.06,15.06,14.95,14.95,15300,14.848521
2016-01-15,15.00,15.03,14.93,14.94,11100,14.838588
2016-01-14,14.99,15.18,14.90,14.95,16600,14.848521
2016-01-13,15.14,15.14,14.91,14.91,6100,14.808792
2016-01-12,15.39,15.39,15.08,15.12,4400,14.964727
2016-01-11,15.52,15.52,15.20,15.25,2600,15.093392
2016-01-08,15.77,15.77,15.40,15.48,6600,15.321029
2016-01-07,15.68,15.68,15.68,15.68,000,15.518976
2016-01-06,15.50,15.71,15.50,15.68,4600,15.518976
2016-01-05,15.50,15.55,15.50,15.55,300,15.390311
2016-01-04,15.16,15.52,15.16,15.52,3200,15.360619
2015-12-31,15.22,15.30,15.22,15.30,5100,15.142878
2015-12-30,15.13,15.33,15.06,15.33,10200,15.17257
2015-12-29,15.27,15.34,15.13,15.13,5600,14.974624
2015-12-28,15.50,15.50,15.25,15.25,1000,15.093392
2015-12-24,15.40,15.58,15.40,15.58,700,15.420003
2015-12-23,14.98,15.40,14.98,15.40,5500,15.241851
2015-12-22,15.25,15.26,14.84,14.84,5200,14.687602
2015-12-21,15.06,15.27,15.05,15.27,8400,15.113187
2015-12-18,15.07,15.07,15.06,15.06,2300,14.905343
2015-12-17,14.98,15.10,14.76,15.10,1800,14.944932
2015-12-16,14.89,14.91,14.89,14.91,600,14.756883
2015-12-15,14.92,14.92,14.87,14.88,4800,14.727191
2015-12-14,15.05,15.05,14.68,14.85,2600,14.6975
2015-12-11,15.03,15.04,15.02,15.03,1100,14.875651
2015-12-10,15.03,15.04,14.80,15.04,5200,14.833092
2015-12-09,14.87,14.96,14.76,14.96,5500,14.754193
2015-12-08,14.83,14.88,14.74,14.88,7100,14.675293
2015-12-07,14.91,14.91,14.75,14.75,4400,14.547082
2015-12-04,14.77,14.95,14.74,14.89,2700,14.685156
2015-12-03,14.96,14.96,14.74,14.80,5900,14.596394
2015-12-02,14.95,14.95,14.95,14.95,000,14.74433
2015-12-01,15.09,15.09,14.75,14.95,9300,14.74433
