Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.61,14.65,14.58,14.58,123700,14.58
2016-03-10,14.70,14.72,14.67,14.68,185500,14.611001
2016-03-09,14.74,14.75,14.69,14.70,96100,14.630906
2016-03-08,14.75,14.75,14.69,14.70,79000,14.630906
2016-03-07,14.73,14.76,14.67,14.71,65000,14.640859
2016-03-04,14.74,14.77,14.70,14.70,72800,14.630906
2016-03-03,14.68,14.72,14.66,14.72,55600,14.650813
2016-03-02,14.69,14.70,14.64,14.65,108800,14.581141
2016-03-01,14.74,14.74,14.67,14.71,90600,14.640859
2016-02-29,14.67,14.69,14.63,14.69,62500,14.620953
2016-02-26,14.70,14.70,14.62,14.64,92300,14.571189
2016-02-25,14.61,14.71,14.60,14.70,83300,14.630906
2016-02-24,14.63,14.64,14.59,14.61,46400,14.541329
2016-02-23,14.56,14.59,14.52,14.59,63100,14.521424
2016-02-22,14.63,14.63,14.52,14.53,65300,14.461705
2016-02-19,14.57,14.60,14.54,14.55,84200,14.481612
2016-02-18,14.60,14.60,14.56,14.56,90500,14.491565
2016-02-17,14.60,14.60,14.55,14.59,56300,14.521424
2016-02-16,14.58,14.62,14.51,14.59,88400,14.521424
2016-02-12,14.70,14.71,14.56,14.63,139700,14.561236
2016-02-11,14.72,14.72,14.64,14.67,132200,14.601048
2016-02-10,14.66,14.67,14.60,14.67,112200,14.601048
2016-02-09,14.67,14.67,14.65,14.67,144900,14.532371
2016-02-08,14.61,14.66,14.60,14.65,89200,14.512558
2016-02-05,14.61,14.61,14.60,14.61,101600,14.472934
2016-02-04,14.61,14.65,14.56,14.65,64300,14.512558
2016-02-03,14.57,14.64,14.55,14.55,71200,14.413497
2016-02-02,14.60,14.64,14.56,14.60,101300,14.463028
2016-02-01,14.60,14.60,14.55,14.58,73100,14.443215
2016-01-29,14.51,14.56,14.50,14.54,112500,14.403591
2016-01-28,14.42,14.49,14.42,14.47,53700,14.334248
2016-01-27,14.40,14.49,14.39,14.39,37400,14.254998
2016-01-26,14.38,14.41,14.33,14.40,38500,14.264904
2016-01-25,14.44,14.45,14.32,14.32,58800,14.185654
2016-01-22,14.45,14.45,14.35,14.38,65300,14.245092
2016-01-21,14.35,14.40,14.26,14.37,127100,14.235186
2016-01-20,14.46,14.46,14.16,14.35,115200,14.215374
2016-01-19,14.49,14.49,14.36,14.38,59700,14.245092
2016-01-15,14.32,14.46,14.32,14.38,150100,14.245092
2016-01-14,14.45,14.49,14.36,14.36,96700,14.225279
2016-01-13,14.47,14.53,14.39,14.40,111800,14.264904
2016-01-12,14.52,14.54,14.45,14.54,114200,14.335238
2016-01-11,14.57,14.57,14.47,14.52,125300,14.31552
2016-01-08,14.47,14.60,14.47,14.57,77400,14.364815
2016-01-07,14.45,14.54,14.44,14.48,73200,14.276082
2016-01-06,14.42,14.48,14.42,14.45,107500,14.246505
2016-01-05,14.39,14.45,14.35,14.43,74000,14.226787
2016-01-04,14.26,14.38,14.26,14.38,71300,14.177491
2015-12-31,14.36,14.38,14.29,14.36,82800,14.157773
2015-12-30,14.21,14.26,14.08,14.26,69000,14.059181
2015-12-29,14.14,14.23,14.10,14.15,47400,13.95073
2015-12-28,14.20,14.20,14.14,14.18,64900,13.980308
2015-12-24,14.19,14.23,14.16,14.16,32300,13.960589
2015-12-23,14.14,14.18,13.99,14.17,82200,13.970449
2015-12-22,14.10,14.12,14.04,14.05,63800,13.852139
2015-12-21,14.06,14.12,14.03,14.03,46400,13.83242
2015-12-18,14.03,14.05,13.99,13.99,24300,13.792983
2015-12-17,13.86,13.98,13.86,13.98,112200,13.783124
2015-12-16,13.87,13.91,13.79,13.91,80300,13.71411
2015-12-15,13.88,13.89,13.79,13.84,27100,13.645096
2015-12-14,13.97,13.97,13.82,13.88,54100,13.684533
2015-12-11,14.01,14.03,13.93,13.97,58000,13.773265
2015-12-10,14.05,14.06,14.00,14.03,52200,13.759463
2015-12-09,13.97,14.05,13.93,14.00,133100,13.730041
2015-12-08,13.87,13.94,13.86,13.94,93800,13.671198
2015-12-07,13.87,13.88,13.79,13.86,59700,13.592741
2015-12-04,13.74,13.85,13.71,13.85,45100,13.582934
2015-12-03,13.83,13.83,13.69,13.75,65200,13.484862
2015-12-02,13.84,13.90,13.83,13.86,32500,13.592741
2015-12-01,13.85,13.89,13.81,13.84,34200,13.573127
2015-11-30,13.83,13.83,13.77,13.81,41100,13.543706
2015-11-27,13.76,13.83,13.76,13.83,27200,13.563319
2015-11-25,13.78,13.81,13.72,13.79,34100,13.524091
2015-11-24,13.73,13.76,13.70,13.74,54400,13.475055
2015-11-23,13.66,13.74,13.64,13.68,64000,13.416212
2015-11-20,13.61,13.68,13.61,13.67,129500,13.406405
2015-11-19,13.69,13.70,13.63,13.64,62200,13.376984
2015-11-18,13.59,13.67,13.59,13.65,91500,13.38679
2015-11-17,13.58,13.67,13.58,13.60,42500,13.337755
2015-11-16,13.68,13.69,13.61,13.61,81600,13.347561
